,https://roic.ai/company/TIGO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),17600000,10400000,7600000,12700000,16600000,20500000,18573000,26264000,8217000,22734000,52369000,58900000,65299000,118205000,87077000,277369000,187998000,227096000,-18347000,393000000,182000000,256000000,291000000,180000000,158000000,116000000,120000000,102000000,189000000
23,Net Income,32700000,10400000,-29900000,-18100000,-111000000,54200000,-26089000,355388000,-138053000,-278199000,178823000,68241000,10043000,168947000,697142000,291366000,850788000,1652233000,924515000,508000000,229000000,2643000000,-559000000,-32000000,85000000,-10000000,149000000,-344000000,590000000
24,Net Income ratio,0.5334,0.1278,-0.2275,-0.0840,-0.3195,0.1210,-0.0472,0.6226,-0.2142,-0.4597,0.2763,0.0741,0.0093,0.1072,0.2650,0.0854,0.2523,0.4215,0.2041,0.1055,0.0444,0.4139,-0.0831,-0.0073,0.0206,-0.0025,0.0344,-0.0825,0.1278
25,EPS,0.58,0.17,-0.47,-0.28,-1.73,0.83,-0.41,5.46,-2.12,-5.90,2.74,0.82,0.10,1.68,6.90,4.80,7.84,15.27,8.87,5.02,2.30,26.43,-5.59,-0.32,0.85,-0.10,1.48,-3.40,5.83
26,EPS Diluted,0.58,0.17,-0.47,-0.28,-1.73,0.83,-0.41,5.39,-2.12,-5.90,2.26,0.77,0.10,1.67,6.61,4.77,7.82,15.24,8.86,5.01,2.30,26.42,-5.59,-0.32,0.85,-0.10,1.48,-3.40,5.83
27,Weighted Average Shares Outstanding,56623377,60289855,63280423,63508772,64347826,65105105,64860000,65086824,65250807,65272000,65312000,83220732,100430000,100563690,101035072,107869000,108566000,108219000,104000000,101332000,99801000,99983000,100144000,100337000,100384000,100793000,101144000,101172000,101172000
28,Weighted Average Shares Outstanding Diluted,56623377,60289855,63280423,63508772,64347826,65105105,64860000,65994733,65250807,65272000,80500000,88624675,100430000,101165868,105467776,108646000,108789000,108396000,104000000,101425000,99855000,100017000,100154000,100337000,100384000,100793000,101144000,101172000,101172000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,70451000,148829000,413381000,596567000,656692000,1174597000,674195000,1511162000,1023487000,881279000,1174000000,941000000,694000000,769000000,646000000,619000000,528000000,1164000000,875000000,895000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,101540000,- -,24587000,47035000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000000,160000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,171991000,148829000,437968000,643602000,656692000,1174597000,674195000,1511162000,1023487000,881279000,1174000000,941000000,694000000,769000000,646000000,619000000,528000000,1535000000,1035000000,895000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294573000,363503000,- -,442000000,612000000,854000000,539000000,505000000,522000000,522000000,560000000,684000000,620000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,6962000,10941000,16304000,16369000,54245000,82893000,58162000,46980000,62132000,74593000,93000000,140000000,152000000,80000000,62000000,45000000,39000000,32000000,37000000,63000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,202881000,247285000,255616000,581346000,416281000,494079000,631811000,222449000,200977000,823924000,390000000,1229000000,706000000,484000000,454000000,631000000,442000000,519000000,551000000,708000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,381834000,407055000,709888000,1241317000,1127218000,1751569000,1364168000,2075164000,1650099000,1779796000,2099000000,2922000000,2406000000,1872000000,1667000000,1817000000,1531000000,2646000000,2307000000,2286000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,458933000,487746000,575649000,671774000,1267159000,2066122000,2787224000,2710641000,2767667000,2865117000,3108000000,3162000000,4631000000,3206000000,3057000000,2881000000,3042000000,3860000000,3649000000,4206000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196178000,183857000,507295000,547986000,- -,- -,1508000000,1422000000,3066000000,644000000,615000000,599000000,1077000000,1712000000,1659000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,84021000,85615000,317968000,373253000,286597000,283645000,483055000,496851000,2282845000,2170000000,911000000,1121000000,2437000000,769000000,744000000,666000000,1297000000,-809000000,1744000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,84021000,85615000,317968000,373253000,482775000,467502000,990350000,1044837000,2282845000,2170353000,2419000000,2543000000,5503000000,1413000000,1359000000,1265000000,2374000000,- -,3403000000,7721000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,872000,18120000,- -,193000000,122000000,274000000,3583000000,3276000000,3208000000,3036000000,2822000000,2666000000,618000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8470000,5226000,5883000,4817000,3706000,97544000,14221000,19930000,23959000,316966000,259000000,313000000,294000000,188000000,166000000,180000000,202000000,- -,197000000,180000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,259239000,537307000,435441000,268261000,440136000,31089000,64845000,139574000,252427000,149714000,133000000,85000000,189000000,101000000,103000000,113000000,130000000,3528000000,199000000,127000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,810663000,1115894000,1334941000,1318105000,2193776000,2662257000,3856640000,3915854000,5345018000,5502150000,6112000000,6225000000,10891000000,8491000000,7961000000,7647000000,8784000000,10210000000,10114000000,12852000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25705000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1192497000,1522949000,2044829000,2559422000,3320994000,4413826000,5220808000,5991018000,6995117000,7281946000,8211000000,9147000000,13297000000,10363000000,9628000000,9464000000,10315000000,12856000000,12421000000,15139000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,91294000,112764000,173969000,210540000,428304000,238252000,240576000,194691000,202707000,224089000,259000000,277000000,386000000,334000000,297000000,288000000,282000000,426000000,334000000,347000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,156666000,132664000,88511000,411699000,134661000,889085000,496543000,433987000,555464000,621426000,693000000,471000000,362000000,221000000,80000000,185000000,457000000,283000000,236000000,2011000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93364000,79861000,105217000,232000000,231000000,226000000,184000000,129000000,155000000,143000000,164000000,149000000,128000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000000,248000000,203000000,259000000,260000000,243000000,334000000,1167000000,368000000,97000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,127902000,157985000,240063000,286769000,338886000,874932000,1011960000,984676000,926660000,1853330000,1826000000,2010000000,3623000000,1644000000,1260000000,1351000000,1610000000,530000000,1668000000,2029000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,375862000,403413000,502543000,909008000,901851000,2002269000,1749079000,1613354000,1684831000,2698845000,2998000000,3006000000,4574000000,2458000000,1897000000,2067000000,2683000000,2406000000,2606000000,4484000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1071909000,1144201000,1025902000,820924000,1358995000,945206000,1661483000,1912900000,1796572000,1817000000,2366000000,3424000000,4205000000,3462000000,3531000000,3237000000,4123000000,6140000000,5577000000,6900000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,41000000,30000000,24000000,18000000,73000000,85000000,- -,57000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,26874000,33944000,39216000,45228000,34368000,42414000,81063000,66492000,195919000,199066000,180000000,188000000,176000000,50000000,57000000,56000000,233000000,- -,209000000,214000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194774000,450712000,443392000,55601000,77106000,88142000,158784000,121481000,280000000,407000000,565000000,678000000,756000000,751000000,401000000,- -,1699000000,801000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1098783000,1178145000,1259892000,1316864000,1836755000,1043221000,1819652000,2067534000,2151275000,2137547000,2877000000,4060000000,4976000000,4214000000,4362000000,4117000000,4842000000,6140000000,7542000000,7915000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13909000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232000000,279000000,272000000,336000000,295000000,365000000,- -,1064000000,1020000000,1167000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1474645000,1581558000,1762435000,2225872000,2738606000,3045490000,3568731000,3680888000,3836106000,4836392000,5875000000,7066000000,9550000000,6672000000,6259000000,6184000000,7525000000,10175000000,10148000000,12399000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,281989000,239876000,513782000,465157000,372526000,153643000,642544000,660547000,681559000,662527000,642000000,640000000,639000000,639000000,638000000,637000000,153000000,153000000,153000000,628000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57719000,-446110000,-276608000,-151779000,129382000,824998000,1082548000,937398000,2786587000,2811130000,2450000000,2383000000,4764000000,3512000000,3215000000,3035000000,2525000000,2387000000,2021000000,2609000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-360239000,-545864000,-616427000,-525337000,-668743000,-740014000,-1267896000,937398000,1134354000,- -,-870000000,-922000000,-2901000000,-531000000,-562000000,-470000000,-538000000,-544000000,-562000000,-594000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171484000,666918000,618296000,511330000,671709000,1049280000,1220722000,-151540000,-1489039000,-1219273000,-198000000,-172000000,-160000000,-143000000,-124000000,-106000000,402000000,414000000,447000000,-60000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307453000,-85180000,239043000,299371000,504874000,1287907000,1677918000,2383803000,3113461000,2254384000,2024000000,1929000000,2342000000,3477000000,3167000000,3096000000,2542000000,2410000000,2059000000,2583000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167192000,1496378000,2001478000,2525243000,3243480000,4333397000,5246649000,6064691000,6949567000,7090776000,7899000000,8995000000,11892000000,10149000000,9426000000,9280000000,10067000000,12585000000,12207000000,14982000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,25305000,26571000,43351000,34179000,77514000,80429000,-25841000,-73673000,45550000,191170000,312000000,152000000,1405000000,214000000,202000000,184000000,248000000,271000000,214000000,157000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1192497000,1522949000,2044829000,2559422000,3320994000,4413826000,5220808000,5991018000,6995117000,7281946000,8211000000,9147000000,13297000000,10363000000,9628000000,9464000000,10315000000,12856000000,12421000000,15139000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,32700000,10400000,-29900000,-18100000,-111000000,54200000,-26089000,355388000,-138053000,-278199000,178823000,68241000,10043000,168947000,697142000,291366000,850788000,1652233000,924515000,508000000,229000000,2643000000,-559000000,-32000000,85000000,-10000000,149000000,-344000000,590000000
74,Depreciation and Amortization,7700000,9400000,18600000,27900000,48200000,80000000,102917000,143329000,154191000,139318000,128569000,170994000,218590000,257757000,354940000,515908000,611435000,676986000,738980000,811000000,875000000,1158000000,1321000000,932000000,879000000,830000000,1100000000,1208000000,1196000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10175000,30718000,17264000,22000000,17000000,22000000,19000000,14000000,24000000,22000000,- -,24000000,17000000
77,Change in Working Capital,- -,-13700000,- -,41800000,60000000,126900000,36311000,128964000,30030000,352868000,61129000,14422000,89487000,27399000,45930000,61618000,77523000,885000,14539000,84000000,38000000,57000000,62000000,12000000,-61000000,-66000000,-172000000,-2000000,-81000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103000000,38000000,59000000,162000000,102000000,6000000,-128000000,-121000000,-43000000,-93000000
79,Inventory,- -,-3400000,- -,-2500000,-6700000,4600000,-3446000,-5532000,3277000,- -,-1387000,-5358000,533000,-22285000,-25357000,24648000,8812000,-12606000,-13143000,-14000000,-55000000,-2000000,17000000,19000000,16000000,2000000,- -,-6000000,9000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44773000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,- -,7000000,-3000000
82,Other Non-Cash Items,-56700000,-31800000,-15400000,-53300000,-800000,-192700000,-137219000,-506612000,57801000,-139318000,-184161000,49586000,89045000,23357000,13425000,253347000,-295186000,-977829000,-83841000,160000000,51000000,-2422000000,808000000,-48000000,-107000000,16000000,-1077000000,-65000000,-766000000
83,Cash Provided by Operating Activities,-16300000,-25700000,-26700000,-1700000,-3600000,68400000,-24080000,121069000,103969000,74669000,184360000,303243000,407165000,477460000,1111437000,1122239000,1254735000,1382993000,1611457000,1585000000,1210000000,1458000000,1651000000,878000000,820000000,792000000,- -,821000000,956000000
84,CAPEX,-24000000,-48500000,-109000000,-134100000,-177900000,-191700000,-135691000,-182771000,-192178000,- -,-86452000,-197873000,-323524000,-548120000,-887143000,-1406702000,-772569000,-623138000,-776523000,-1001000000,-1160000000,-1312000000,-1205000000,-862000000,-783000000,-780000000,-736000000,-824000000,-908000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-17121000,-27399000,-22978000,- -,- -,-1006000,-72250000,-30764000,- -,-532181000,-53086000,51000,1000000,-172000000,-4000000,221000000,-50000000,147000000,- -,-777000000,-878000000,217000000,-1807000000
86,Purchases of Investments,- -,- -,- -,-32300000,-4400000,-57500000,- -,-11646000,-30941000,- -,-45328000,-9057000,-1256000,- -,- -,- -,- -,- -,- -,- -,-800000000,- -,- -,- -,- -,-63000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1400000,64500000,29300000,34730000,65434000,125196000,- -,33291000,39116000,15490000,7745000,- -,- -,- -,- -,11520000,- -,- -,- -,- -,- -,- -,- -,- -,197000000,- -
88,Other Investing Activites,77000000,10400000,-6300000,-296800000,-88300000,105800000,-18477000,-31731000,-46173000,139577000,2900000,-18327000,-62119000,3697000,40630000,39536000,-213079000,53039000,35052000,-96000000,-458000000,631000000,-342000000,20000000,283000000,273000000,1984000000,-287000000,-156000000
89,Cash Used for Investing Activites,53000000,-38100000,-115300000,-461800000,-206100000,-114100000,-136559000,-188113000,-167074000,139577000,-95589000,-187147000,-443659000,-567442000,-846513000,-1899347000,-992730000,-543810000,-672478000,-1110000000,-2020000000,-276000000,-1411000000,-552000000,-367000000,-1199000000,370000000,-495000000,-2703000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-506588000,-1396997000,-791940000,-978000000,-1168000000,-2042000000,-1392000000,-821000000,-1195000000,-546000000,1636000000,-2053000000,-1279000000
91,Common Stock Issued,- -,23200000,72100000,1300000,8300000,6700000,6671000,774000,913000,- -,- -,205920000,3553000,14227000,33626000,3179000,2856000,3276000,1319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1000000,-9600000,- -,-7840000,- -,- -,- -,-1628000,- -,- -,- -,- -,- -,- -,-300000000,-498274000,-190000000,- -,- -,- -,- -,- -,- -,- -,-10000000,-50000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12541000,-3163000,-2000000,-4873000,- -,-259704000,- -,-788526000,-493909000,-541000000,-264000000,-264000000,-264000000,-265000000,-265000000,-266000000,- -,- -,- -
94,Other Financing Activites,-37900000,64600000,78100000,582700000,109900000,41100000,149021000,123883000,21663000,-199780000,2531000,-52915000,219846000,138184000,211287000,542313000,619602000,1153182000,675531000,1545000000,2008000000,938000000,1572000000,645000000,996000000,1153000000,-281000000,1465000000,3106000000
95,Cash Used/Provided by Financing Activities,-37900000,87800000,150200000,583000000,108600000,47800000,147852000,124657000,22576000,-199780000,-11638000,149842000,221399000,147538000,244913000,285788000,115870000,-1329065000,-1107273000,-164000000,576000000,-1368000000,-84000000,-441000000,-464000000,341000000,1355000000,-598000000,1777000000
96,Effect of Forex Changes on Cash,-500000,-100000,-500000,-400000,-1500000,-4800000,-3307000,-775000,1884000,-290000,1245000,-1386000,-1719000,2569000,8068000,-9082000,1178000,2820000,-27016000,2000000,1000000,-29000000,-81000000,-8000000,4000000,-33000000,-8000000,-17000000,-10000000
97,Net Change In Cash,-37900000,87800000,150200000,583000000,108600000,-2700000,-16094000,56838000,-38645000,14175000,78378000,264552000,183186000,60125000,517905000,-500402000,836967000,-487675000,-142208000,313000000,-233000000,-215000000,75000000,-123000000,-27000000,-91000000,636000000,-289000000,20000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,53100000,38083000,94921000,56276000,70451000,148829000,413381000,596567000,656692000,1174597000,674195000,1511162000,1023487000,881279000,1174000000,941000000,694000000,769000000,646000000,619000000,528000000,- -,875000000,895000000
99,Cash at the Beginning of Period,9300000,7700000,31600000,39300000,158400000,55800000,54177000,38083000,94921000,56276000,70451000,148829000,413381000,596567000,656692000,1174597000,674195000,1511162000,1023487000,861000000,1174000000,909000000,694000000,769000000,646000000,619000000,- -,1164000000,875000000
100,Free Cash Flow,-40300000,-74200000,-135700000,-135800000,-181500000,-123300000,-159771000,-61702000,-88209000,74669000,97908000,105370000,83641000,-70660000,224294000,-284463000,482166000,759855000,834934000,584000000,50000000,146000000,446000000,16000000,37000000,12000000,- -,-3000000,48000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
