,https://roic.ai/company/MPVDF,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-6.0000,-9.9460,-17.0556,-32.7747,-48.1816,-20.9856,-1912307.9655,-79.5056,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,0.5420,0.3192,-0.0574,-0.7290,1.1944
17,Operating Income,139919,-999049,-1800055,-3500709,-4800000,-2099464,-3105813,-1440319,-1684444,-1820024,-2707519,-2210830,-1360738,-1189605,-1797168,-2188050,-12268455,-14179216,-26935484,-4636839,-6316576,-6277175,36068000,58388000,-112852000,-235811000,334916000
18,Operating Income ratio,1.0000,-9.9325,-18.0556,-34.7606,-48.1816,-20.9856,-1970018.5216,-80.4558,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2120,0.1878,-0.4084,-1.0388,1.0848
19,Total Other Income Expenses (Gains),- -,300394,300471,-800000,-1898868,- -,61475,-2347,-28316,7019,4238763,-1080000,-623266,1132970,36782,122590,426166,10841606,331546,242760,-36852395,11075009,-18916000,-73204000,-19087000,-27618000,-38029000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-3044338,-1442666,-1712760,-1813005,1531244,- -,- -,-56635,-1760386,-2065460,- -,-3337610,-26603938,-4394079,-43168971,4797834,17152000,-14816000,-131939000,-263429000,296887000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-1931024.9026,-80.5869,-Infinity,-Infinity,Infinity,- -,- -,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,0.1008,-0.0476,-0.4775,-1.1605,0.9617
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,15735,13215,5581,- -,- -,- -,- -,-222166,-222796,-498745,- -,- -,- -,- -,- -,- -,- -,4118000,-3181000,- -,20720000
23,Net Income,-839513,-1000408,-1700360,-3300709,-4800000,-2099464,-3060073,-1455881,-1718341,-1813005,1531244,-2199888,-1961263,165531,-1537590,-1566715,-11538935,-3337610,-26603938,-4394079,-43168971,4797834,17152000,-18934000,-128758000,-263429000,276167000
24,Net Income ratio,-6.0000,-9.9460,-17.0556,-32.7747,-48.1816,-20.9856,-1941005.6199,-81.3250,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,0.1008,-0.0609,-0.4660,-1.1605,0.8945
25,EPS,-0.07,-0.05,-0.08,0.07,-0.10,0.03,-0.07,-0.03,-0.03,-0.04,0.03,-0.04,-0.04,0.00,-0.03,-0.02,-0.14,-0.04,-0.28,-0.04,-0.28,0.03,0.11,-0.10,-0.61,-1.25,2.63
26,EPS Diluted,-0.07,-0.05,-0.08,0.07,-0.10,0.03,-0.07,-0.03,-0.03,-0.04,0.03,-0.04,-0.04,0.00,-0.03,-0.02,-0.14,-0.04,-0.28,-0.04,-0.28,0.03,0.11,-0.10,-0.61,-1.25,2.57
27,Weighted Average Shares Outstanding,12644445,21086485,22507211,46439222,45998126,42123108,46679199,49371368,52130227,53623461,54703627,55762088,58201510,63041900,63310779,74830127,84042212,82188631,94835082,118768840,153476202,159743601,160189858,195968588,210134192,210743200,104899000
28,Weighted Average Shares Outstanding Diluted,12644445,21086485,22507211,46439222,45998126,42123108,48754470,49371368,52130227,53623461,54725429,55762088,58201510,63041900,63310779,74830127,84042212,82188631,94835082,118768840,153476202,160374298,161024354,195968588,210134192,210743200,107486000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4300666,11800055,6700709,3900377,1999420,1082193,585880,1210076,914494,1001104,845452,179970,144750,208559,23778053,21546,274696,11344472,3779907,9081791,6843704,43129000,30708000,34751000,35152000,25000000
32,Short-Term Investments,- -,100584,99695,100709,99623,100043,36260,32392,32392,32392,71392,71392,279632,1474946,9747149,9800151,17836861,47428518,24346812,77261842,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4401250,11899750,6801418,4000000,2099463,1118453,618272,1242468,946886,1072496,916844,459602,1619696,9955708,33578204,17858407,47703214,35691284,81041749,9081791,6843704,43129000,30708000,34751000,35152000,25000000
34,Net Receivables,- -,300394,199391,100709,99623,100043,32499,45872,24941,18433,26324,66637,127487,103399,269979,499192,350559,337907,614609,1597060,1348018,2036079,2679000,2478000,1688000,797000,877000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11730391,82173000,102261000,111772000,90506000,109832000
36,Other Current Assets,- -,97867,101081,-102127,-99623,1,55914,-1,10196,8380,36879,6052,11260,56932,39173,134174,101641,722402,12776825,2245319,758249,1317946,3464000,1269000,1766000,2032000,1914000
37,Total Current Assets,- -,4799511,12200222,6800000,4000000,2199507,1206866,664143,1277605,973699,1135699,989533,598349,1780027,10264860,34211570,18310607,48763523,49082718,84884128,11188058,21928120,131445000,136716000,149977000,128487000,137623000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1718857,1678311,1556788,1555706,32577731,- -,44100,42753,43225,46826529,61284485,213539470,463256628,676053329,662658000,841241000,672268000,451411000,714480000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83051319,48202682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,8101128,15400166,34900709,33200000,33099899,33225939,33283021,31421493,30861543,33345670,32329049,8439747,64984141,73437586,- -,- -,- -,- -,2570914,108403422,85780433,963000,1920000,450000,15431000,25394000
45,Total Non-Current Assets,- -,8101128,15400166,34900709,33200000,33099899,33225939,33283021,33140350,32539854,34902458,33884755,41017478,64984141,73481686,83094072,48245907,46826529,61284485,216110384,571660050,761833762,663621000,843161000,672718000,466842000,739874000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,12900639,27600388,41700709,37200000,35299406,34432805,33947164,34417955,33513553,36038157,34874288,41615827,66764168,83746546,117305642,66556514,95590052,110367203,300994512,582848108,783761882,795066000,979877000,822695000,595329000,877497000
48,Accounts Payable,- -,1200217,199391,100709,99623,300130,202943,213209,228299,263949,94976,181266,418798,213078,- -,- -,- -,- -,- -,38087790,28193849,16115963,34615000,48295000,47319000,41010000,36893000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33286991,- -,- -,811000,32231000,375700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,574000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,5400300,101080,- -,- -,- -,100472,111036,11846,8798,- -,- -,- -,- -,1949489,4760390,3246132,2109984,13949350,- -,15746449,2912000,- -,1227000,2445000,2489000,721000
53,Total Current Liabilities,- -,6600517,300471,100709,99623,300130,303415,324245,240145,272747,94976,181266,418798,213078,1949489,4760390,3246132,2109984,13949350,38087790,43940298,52314954,34615000,49522000,50575000,75730000,413314000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205686683,392616147,396509000,408144000,379903000,375456000,336000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5909363,5176881,4100008,- -,- -,- -,- -,- -,- -,- -,3174000,- -,- -,20720000
57,Other Non-Current Liabilities,- -,100584,-99695,- -,99623,-1450,-2,- -,- -,- -,- -,- -,- -,- -,5103875,3281215,6178004,6284770,5224662,7996825,24540130,24400227,29200000,54922000,56071000,70443000,92392000
58,Total Non-Current Liabilities,- -,100584,-99695,- -,99623,-1450,-2,- -,- -,- -,- -,- -,- -,5909363,10280756,7381223,6178004,6284770,5224662,7996825,230226813,417016374,425709000,466240000,435974000,445899000,113448000
59,Other Liabilities,- -,- -,- -,- -,- -,-2899,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1845000,1168000,519000
61,Total Liabilities,- -,6701101,200775,100709,199245,298681,303413,324245,240145,272747,94976,181266,418798,6122441,12230245,12141613,9424136,8394754,19174012,46084615,274167111,469331328,460324000,515762000,486549000,521629000,526762000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180170247,209820460,377614185,472285993,472995222,475624000,629796000,631224000,631498000,631717000
64,Retained Earnings,- -,-3399483,-5199391,-8500709,-13299623,-15299406,-18391646,-19847527,-21565869,-23378875,-21922530,-24122418,-26083681,-25918150,-28914078,-30480793,-90876085,-94213695,-120817633,-125211712,-168380683,-163582849,-146431000,-173765000,-302523000,-565952000,-289785000
65,Other Comprehensive Income/Loss,- -,- -,- -,-100709,-99623,-100043,-160695,-180053,24419,24419,257925,-26585,-28259,32937,8799,18430,13046,4889,-1042,- -,-4651244,-6563459,-68720000,1334000,1334000,1334000,1334000
66,Other Total Stockholders Equity,- -,9599021,32599003,50201418,50400001,50400174,52681732,53650499,- -,- -,- -,- -,- -,- -,- -,- -,- -,1233857,2191406,2507424,9426931,11581640,74269000,6750000,6111000,6820000,7469000
67,Total Stockholders Equity,- -,6199538,27399612,41600000,37000755,35000725,34129391,33622919,34177810,33240807,35943181,34693022,41197028,60641726,71516301,105164029,57132378,87195298,91193191,254909897,308680997,314430554,334742000,464115000,336146000,73700000,350735000
68,Total Liabilities And Stockholders Equity,- -,12900639,27600387,41700709,37200000,35299406,34432804,33947164,34417955,33513554,36038157,34874288,41615826,66764167,83746546,117305642,66556514,95590052,110367203,300994512,582848108,783761882,795066000,979877000,822695000,595329000,877497000
69,Minority Interest,- -,- -,1,- -,- -,- -,1,- -,- -,-1,- -,- -,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,12900639,27600388,41700709,37200000,35299406,34432805,33947164,34417955,33513553,36038157,34874288,41615827,66764168,83746546,117305642,66556514,95590052,110367203,300994512,582848108,783761882,795066000,979877000,822695000,595329000,877497000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1000408,-1700360,-3300709,-4800000,-2099464,-3060073,-1455881,-1718341,-1813005,1531244,-2199888,-1961263,165531,-1537590,-1566715,-11538935,-3337610,-26603938,-4394079,-43168971,4797834,17152000,-18934000,-128758000,-263429000,276167000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,29508,19356,17319,2853,2135,1082,1676,14239,- -,- -,14789,21246,259334,6795,8537,16254,44634000,79441000,83043000,63929000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222166,-222796,-498745,- -,- -,- -,- -,- -,- -,- -,4118000,-3748000,- -,20720000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,574200,- -,487085,463500,1240821,316018,2268263,468573,1582000,1685000,789000,983000,868000
77,Change in Working Capital,- -,- -,- -,- -,99623,200087,-709737,63372,-73367,40926,-214161,76804,171476,-111726,44296,679109,-1333092,-92071,-7184207,-4544658,-293774,-12242372,-39723000,-3118000,-6642000,5371000,-21400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65980,-229213,148633,948267,-276702,-982451,80857,-149353,-643000,842000,790000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11730391,-53534000,-15633000,-6740000,11591000,-18399000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-419577,5146918,-11934754,-363461,134012,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,1,1,1,- -,-1,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-4200081,-8100249,-4600000,2099622,- -,1212392,3870,189716,749640,-2177233,1394879,809585,-1075419,- -,398102,-729520,-10841606,-331546,-242760,36942395,-11051817,19006000,72711000,134675000,244894000,-163777000
83,Cash Provided by Operating Activities,- -,-5200489,-9800609,-7900709,-2600755,-1899377,-2527910,-1369283,-1584673,-1019586,-858015,-727123,-978526,-1229541,-1141890,-988249,-13099673,-13786541,-32619536,-8858684,-4243550,-18011528,42651000,135903000,79359000,51748000,112578000
84,CAPEX,- -,- -,-99695,-14900709,- -,-2199508,-36052,-3772,-40945,- -,-37106,-63379,-94651,- -,- -,- -,- -,-175089,-9108832,-112267464,-239795590,-191632633,-38331000,-76062000,-28095000,-38837000,-43820000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16274,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-480755,-912377,- -,-10068941,-18867659,-29599814,- -,-52918620,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,63908,- -,- -,- -,- -,- -,- -,1995420,1205441,- -,- -,- -,23075775,2944,77261842,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-400000,-100043,-635001,-43667,1001,4002,- -,- -,- -,-13496,-177393,- -,303354,147762,355428,458659,-93213415,-10313029,147001000,-3611000,521000,-14849000,-9923000
89,Cash Used for Investing Activites,- -,- -,-99695,-14900709,-400000,- -,-607145,-47439,-39944,4002,-37106,-63379,-575406,1053273,1028048,-10068941,-18564305,-29627141,14322371,-164724481,-255747163,-205568103,41177000,-79673000,-27574000,-53686000,-53743000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-458888000,-26366000,-13966000,-679000,-70825000
91,Common Stock Issued,- -,2400435,22899474,17500709,200755,- -,2236480,920409,2248814,720003,981730,634851,888450,141048,34502,33048756,- -,- -,28807501,167793725,94671808,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8400000,- -,- -,- -
94,Other Financing Activites,- -,5398940,-5299086,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1577928,7907471,43666832,559440,-1775125,170518613,221207443,410195000,-33371000,-33513000,2688000,1031000
95,Cash Used/Provided by Financing Activities,- -,7799375,17600388,17500709,200755,- -,2236480,920409,2248814,720003,981730,634851,888450,141048,34502,34626684,7907471,43666832,29366941,166018600,265190421,221207443,-48693000,-68137000,-47479000,2009000,-69794000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102176,134101,1150000,-514000,-263000,330000,807000
97,Net Change In Cash,- -,2600245,7600388,-5200000,-2800000,-1900826,-898575,-496312,624197,-295582,86609,-155651,-665482,-35220,-79340,23569494,-23756507,253150,11069776,-7564565,5301884,-2238087,36285000,-12421000,4043000,401000,-10152000
98,Cash at the End of Period,- -,4300666,11899751,6700709,3900377,1999420,1082193,585880,1210076,914494,1001104,845452,179970,144750,65410,23778053,21546,274696,11344472,3779907,9081791,6843704,43129000,30708000,34751000,35152000,25000000
99,Cash at the Beginning of Period,- -,1700421,4299363,11900709,6700377,3900246,1980768,1082192,585879,1210076,914495,1001103,845452,179970,144750,208559,23778053,21546,274696,11344472,3779907,9081791,6844000,43129000,30708000,34751000,35152000
100,Free Cash Flow,- -,-5200489,-9900304,-22801418,-2600755,-4098885,-2563962,-1373055,-1625618,-1019586,-895121,-790502,-1073177,-1229541,-1141890,-988249,-13099673,-13961630,-41728368,-121126148,-244039140,-209644161,4320000,59841000,51264000,12911000,68758000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.7144,0.7357,0.7226,0.7042,0.6631,0.6901,0.6343,0.6267,0.6808,0.7635,0.8268,0.8559,0.8671,0.9746,0.7926,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
