,https://roic.ai/company/IRS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,36792640,44477750,5904819,-30647935,-512805681,288001938,88160324,103201061,96681440,104656580,54809819,158635000,334501000,282104000,280081000,238737000,-786487000,-41193000,-693000000,3030000000,15003000000,-25615000000,14249000000,-29929000000
24,Net Income ratio,0.2128,0.2214,0.0352,-0.1764,-2.3643,1.3452,0.3369,0.2791,0.1672,0.1450,0.0506,0.1300,0.2528,0.1956,0.1787,0.1092,-0.2764,-0.0121,-0.0212,0.0409,0.4534,-0.4312,0.1487,-2.3061
25,EPS,2.14,2.10,0.28,-1.38,-30.62,13.38,3.85,3.65,2.47,2.32,0.99,2.70,5.71,4.81,4.78,4.05,-13.52,-0.69,-11.95,52.03,257.56,-439.80,244.43,-508.60
26,EPS Diluted,2.14,2.10,0.28,-1.38,-30.62,5.57,2.27,2.27,2.27,1.93,0.99,2.70,5.71,4.81,4.78,4.05,-13.52,-0.69,-11.95,51.63,255.78,-439.80,243.05,-508.60
27,Weighted Average Shares Outstanding,17217605,21173541,20730552,21472658,16746129,21522970,22889564,28308480,39132949,45152672,55639892,58617911,58617911,58617911,58617911,58617911,58340055,58121862,58245545,58245545,58245545,58245545,58245545,58800000
28,Weighted Average Shares Outstanding Diluted,17217605,21173541,20730552,21472658,16746129,21522970,56852818,45539528,42535472,54183067,55639892,58617911,58617911,58617911,58617911,58617911,58340055,58549941,58245545,58650731,58650731,58245545,58650731,58800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9898020,6496750,5752849,5383462,25485836,87656396,93414128,98201781,103133249,213380367,161556666,66562000,71175000,168170000,257451000,796902000,609907000,375180000,13866000000,24854000000,37317000000,60482000000,90359000000,1931000000
32,Short-Term Investments,- -,- -,- -,- -,37767366,- -,71046240,113641242,130564242,623808813,382994381,335234000,259168000,210183000,123189000,244053000,234107000,295409000,10912000000,14288000000,29969000000,43880000000,22811000000,3166000000
33,Cash and Short-Term Investments,9898020,6496750,5752849,5383462,63253202,87656396,164460368,211843023,233697491,837189180,544551047,401796000,330343000,378353000,380640000,1040955000,844014000,670589000,24778000000,39142000000,67286000000,104362000000,113170000000,5097000000
34,Net Receivables,55088980,54472750,47486501,49512048,39616829,48001716,87476589,112125871,159134335,255502865,239841719,465174000,600420000,248998000,450231000,720062000,668086000,1062156000,13298000000,16740000000,15346000000,22934000000,37450000000,8640000000
35,Inventory,21595680,54672650,36755647,12668733,24766383,14655354,10608246,65596781,81369969,34568248,53539743,24899000,259569000,262660000,132179000,28010000,21559000,26070000,3487000000,5509000000,3862000000,1513000000,6999000000,186000000
36,Other Current Assets,152669460,37781100,35858827,45857414,12269800,139858088,-2960,- -,8121871,21741132,54858203,- -,- -,155169000,- -,50293000,1425362000,145505000,1200000000,4101000000,9524000000,12467000000,48098000000,- -
37,Total Current Assets,239252140,153423250,125853824,113421657,139906215,290171554,262542243,389565675,482323666,1149001425,892790712,891869000,1190332000,1045180000,963050000,1839320000,2959021000,1904320000,42763000000,65492000000,96018000000,141276000000,205717000000,13923000000
38,PP&E,237252540,258970450,230795832,214381560,347734255,1204025625,1269973363,1436005496,1414782952,1981123214,2527166587,2724397000,2692637000,3405851000,3319660000,212673000,220013000,243134000,24055000000,27113000000,13403000000,22323000000,57589000000,4957000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,-18234850,-76974786,-73797452,-64926000,-69123000,-389300000,-363467000,56893000,5824000,5481000,2214000000,2778000000,3086000000,4590000000,5643000000,135000000
40,Intangible Assets,7498500,4297850,4878024,3535646,4054743,3255817,2610623,5876751,3602517,2758812,8603252,18559000,54397000,42362000,58180000,22760000,118261000,121928000,9549000000,9609000000,9211000000,13324000000,22141000000,2265000000
41,Intangible Assets,7498500,4297850,4878024,3535646,4054743,3255817,2610623,5876751,-14632333,-74215974,-65194200,-46367000,-14726000,-346938000,-305287000,79653000,124085000,127409000,11763000000,12387000000,12297000000,17914000000,27784000000,2400000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1001654000,1480805000,1946145000,2318203000,1677390000,2535521000,3073689000,21808000000,15882000000,34141000000,38159000000,77907000000,13383000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85236000,368641000,52810000,638000000,285000000,380000000,400000000,633000000,446000000
44,Other Non-Current Assets,428114360,467865950,489728035,432667729,683233902,566662550,675313703,691886420,860689856,994559316,1111948339,364434000,284393000,265072000,304939000,4432257000,3602825000,4228011000,57973000000,110083000000,179534000000,254562000000,257569000000,187673000000
45,Total Non-Current Assets,672865400,731134250,725401891,650584935,1035022899,1773943991,1947897689,2133768666,2260840475,2901466557,3573920725,4044118000,4443109000,5270130000,5637515000,6487209000,6851085000,7725053000,116237000000,165750000000,239755000000,333358000000,421482000000,208859000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,912117540,884557500,851255715,764006592,1174929114,2064115546,2210439932,2523334342,2743164141,4050467982,4466711437,4935987000,5633441000,6315310000,6600565000,8326529000,9810106000,9629373000,159000000000,231242000000,335773000000,474634000000,627199000000,222782000000
48,Accounts Payable,8498300,7296350,4188162,5538446,12547415,25946271,43155196,66852374,127511209,191406565,241777072,229542000,315614000,153149000,146888000,432084000,474193000,603249000,16110000000,18051000000,14617000000,18561000000,29672000000,5103000000
49,Short-Term Debt,89182160,119740100,91299736,179156083,579644417,87909843,137812478,93877924,129351055,209313159,189927740,349243000,609190000,683813000,575687000,772529000,737477000,1236940000,22252000000,19926000000,25587000000,45504000000,83210000000,15463000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147883000,101111000,119053000,161132000,148523000,120664000,217751000,900000000,1307000000,522000000,346000000,625000000,941000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232863000,225732000,1087000,495000,495000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,31693660,21589200,25329933,12454754,29865115,59537724,75924138,150111159,162832549,236505437,309689840,396105000,416816000,235932000,332160000,399547000,1207259000,846838000,5238000000,8457000000,6552000000,9894000000,30502000000,1572000000
53,Total Current Liabilities,129374120,148625650,120817832,197149283,622056946,173393838,256891813,310841456,419694812,637225161,741394652,974890000,1341620000,1305757000,1280467000,1605247000,2419424000,2687522000,43600000000,46434000000,46756000000,73959000000,143384000000,22138000000
54,Long-Term Debt,164567080,96251850,104437108,13296670,144673,595321538,470403478,389585880,295610162,1194574704,1118407582,1173279000,1165337000,1757171000,2065826000,2922642000,3756003000,3736028000,90680000000,109489000000,181046000000,267024000000,311194000000,47576000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94244000,111032000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404573000,353521000,58860000,7636000000,23024000000,26197000000,36796000000,44037000000,68748000000
57,Other Non-Current Liabilities,16796640,15292350,5909818,4336566,2956013,38089438,48187009,125573702,89954889,169320960,228816251,227775000,160331000,359497000,445032000,263378000,724562000,888605000,3583000000,4959000000,7233000000,11036000000,5929000000,1596000000
58,Total Non-Current Liabilities,181363720,111544200,110346926,17633237,3100686,633410975,518590487,515159582,385565051,1363895664,1347223833,1401054000,1325668000,2210912000,2621890000,3590593000,4834086000,4683493000,101899000000,137472000000,214476000000,314856000000,361160000000,117920000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,1037180975,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2513000,2752000,2735000,- -,- -,- -,- -,18245000000,906000000
61,Total Liabilities,310737840,260169850,231164758,214782520,625157632,806804814,775482300,826001039,805259863,2001120825,2088618485,2375944000,2667288000,3516669000,3902357000,5195840000,7253510000,7371015000,145499000000,183906000000,261232000000,388815000000,504544000000,140058000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,190804550,205761839,207411257,212887671,213165495,249648962,357113655,435932380,454376051,577996377,578676000,853063000,578676000,578676000,702005000,697100000,697780000,698000000,698000000,698000000,9869000000,14107000000,21275000000
64,Retained Earnings,107278540,140229850,73664264,1604840,-509583783,-267595290,-178895752,-75009397,96681440,104656580,54809819,158635000,453477000,301080000,63472000,239328000,-784869000,-40414000,-1243000000,19293000000,30902000000,-42554000000,12600000000,-28502000000
65,Other Comprehensive Income/Loss,-2699460,-2698650,-52139570,-52144785,-103096816,295429880,294834643,293704781,294159277,381513799,496920181,12849000,17459000,34124000,79975000,1031864000,1362604000,463380000,851000000,5063000000,5009000000,54533000000,15786000000,43023000000
66,Other Total Stockholders Equity,496800620,296051900,392804423,392352761,949564410,572580951,597533714,675878334,660643643,668650841,792188612,1345502000,1079047000,1567935000,1613156000,772341000,733409000,760968000,809000000,810000000,812000000,10227000000,14634000000,26036000000
67,Total Stockholders Equity,601379700,624387650,620090957,549224072,549771482,813581035,963121567,1251687374,1487416740,1609197270,1921914988,2095662000,2403046000,2481815000,2335279000,2745538000,2008244000,1881714000,1115000000,25864000000,37421000000,32075000000,57127000000,61832000000
68,Total Liabilities And Stockholders Equity,912117540,884557500,851255715,764006592,1174929114,1620385849,1738603867,2077688412,2292676603,3610318095,4010533474,4471606000,5070334000,5998484000,6237636000,7941378000,9261754000,9252729000,146614000000,209770000000,298653000000,420890000000,561671000000,201890000000
69,Minority Interest,- -,- -,- -,- -,0,443729697,471836065,445645929,450487538,440149887,456177963,464381000,563107000,316826000,362929000,385151000,548352000,376644000,12386000000,21472000000,37120000000,53744000000,65528000000,20892000000
70,Total Liabilities & Equity,912117540,884557500,851255715,764006592,1174929114,2064115546,2210439932,2523334342,2743164141,4050467982,4466711437,4935987000,5633441000,6315310000,6600565000,8326529000,9810106000,9629373000,159000000000,231242000000,335773000000,474634000000,627199000000,222782000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,36792640,44477750,5904819,-30647935,-512805681,288001938,88160324,103201061,96681440,104656580,54809819,158635000,334501000,282104000,280081000,238737000,-786487000,-41193000,-693000000,3030000000,15003000000,-25615000000,14249000000,-29929000000
74,Depreciation and Amortization,7298540,9995000,13303339,11809819,21587496,79211882,68752325,74928577,81403926,96059843,116493167,133370000,159981000,154126000,159309000,220021000,225819000,175281000,2694000000,4715000000,3737000000,7503000000,16268000000,642000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132847000,-64267000,488266000,149000000,2915000000,-124000000,-1690000000,6869000000,21673000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5856000,44690000,21999000,49000000,100000000,23000000,44000000,211000000,- -
77,Change in Working Capital,-46590680,34982500,51467704,36166383,173481986,75825164,-15995246,-33733591,-23800693,-110373636,-47267988,-188361000,-294533000,-180197000,-37721000,140083000,-63948000,-155615000,-380000000,-280000000,1217000000,958000000,1892000000,-1086000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122571000,-108890000,-112828000,-70324000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,199960,30484750,8992201,26680332,54150559,35641309,6917263,-7415213,25097229,28307286,129574948,74872000,-28807000,57094000,185686000,3804000,5038000,-6111000,74000000,252000000,478000000,1209000000,1070000000,-2000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38571000,24684000,-7115000,12851000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-4238437,-5067391,7475303,62565000,-122518000,-117348000,-157178000,-2966000,-2034000,-4021000,-143000000,-219000000,-202000000,-419000000,-2714000000,-108000000
82,Other Non-Cash Items,-2799440,-20189900,-7339532,21855814,366310998,-355507919,-67254621,-50945313,40615527,69039802,195522121,195649000,39994000,315799000,476931000,125829000,1666172000,345150000,2320000000,-1421000000,-5517000000,37720000000,-8376000000,10156000000
83,Cash Provided by Operating Activities,-5298940,69265350,63336330,39184081,48574800,87531066,73662782,93450734,194900201,159382588,319557119,299293000,239943000,571832000,878600000,863373000,1021979000,833888000,4139000000,9059000000,14339000000,18920000000,31113000000,1456000000
84,CAPEX,-208458300,-41979000,-10727854,-4624538,-24645171,-7700884,-25159065,-79281298,-116330131,-409824106,-349267821,-282133000,-168460000,-87955000,-133698000,-14215000,-34963000,-52456000,-1190000000,-3130000000,-2506000000,-7201000000,-8947000000,-359000000
85,Acquisitions Net,- -,- -,-8360328,- -,-19831875,-31917590,-559419,-681195,-2515897,-54813638,-418526264,- -,-8316000,-428315000,-7384000,-211211000,-1129111000,-1225026000,8995000000,-577000000,4000000,5771000000,7349000000,-42000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2305982,- -,-23865329,-157613000,-276902000,-320879000,-241545000,-281950000,-1533331000,-2933606000,-11901000000,-4782000000,-21999000000,-30691000000,-14319000000,-10643000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000,58772000,- -,540509000,1647674000,2339172000,11957000000,4569000000,20526000000,42162000000,38080000000,16639000000
88,Other Investing Activites,-26394720,-60369800,2038592,51653834,26541555,1935665,-70516419,-46664752,-15567691,-34498749,3988643,-3711000,-2458000,32335000,-19697000,-79825000,120872000,2128581000,215000000,1351000000,-8227000000,-5015000000,14467000000,62233000000
89,Cash Used for Investing Activites,-234853020,-102348800,-17049589,47029297,-17935491,-37682809,-96234904,-126627245,-136719700,-499136493,-787670771,-443457000,-455979000,-746042000,-402324000,-45892000,-917120000,261333000,8210000000,-2068000000,-11573000000,7829000000,40644000000,67880000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-264229000,-233170000,-155624000,-464292000,-353689000,-924181000,-968838000,-13893000000,-20122000000,-17969000000,-45308000000,-81399000000,-44979000000
91,Common Stock Issued,- -,- -,21089781,- -,- -,- -,- -,105634313,43690169,25367172,163222884,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4132000000
92,Common Stock Repurchased,- -,-12793600,-15301939,-41115888,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23304000,-10910000,-39546000,-105861000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-12797440,-11494250,-16111777,- -,- -,- -,-4877899,-10295860,- -,- -,-24303808,-23541000,-55385000,-247934000,-267515000,-391754000,-117414000,-297301000,-106000000,-2512000000,-1392000000,- -,- -,- -
94,Other Financing Activites,329034180,-38580700,-43081382,-43050695,-38870006,109979213,-42933204,-42493875,-80499438,846562494,10051743,228872000,470003000,738688000,249701000,450085000,484374000,-17685000,10031000000,24171000000,15494000000,25889000000,5274000000,-7993000000
95,Cash Used/Provided by Financing Activities,316236740,-62868550,-53405317,-84166583,-38870006,109979213,-47811103,52844577,-36809269,871929665,148970819,-58898000,181448000,335130000,-505410000,-306268000,-596767000,-1389685000,-3968000000,1537000000,-3867000000,-19419000000,-76125000000,-48840000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26520000,304913000,59737000,5110000000,2617000000,13911000000,-4734000000,8734000000,-8954000000
97,Net Change In Cash,76084780,-95852050,-7118576,2046795,-8230697,159827470,-70380264,19668066,21374319,532175761,-319142833,-203062000,-34588000,160920000,-29134000,537733000,-186995000,-234727000,13491000000,10988000000,12463000000,2427000000,3916000000,-133788000000
98,Cash at the End of Period,162567480,22088950,14965006,17011299,25919854,188358342,123332697,142528533,164122910,692380251,388546427,185942000,151354000,312274000,283140000,796902000,609907000,375180000,13866000000,24854000000,37317000000,60482000000,90359000000,1931000000
99,Cash at the Beginning of Period,86482700,117941000,22083582,14964503,34150551,28530872,193712961,122860467,142748592,160204491,707689260,389004000,185942000,151354000,312274000,259169000,796902000,609907000,375000000,13866000000,24854000000,58055000000,86443000000,135719000000
100,Free Cash Flow,-213757240,27286350,52608476,34559544,23929628,79830181,48503717,14169436,78570069,-250441518,-29710702,17160000,71483000,483877000,744902000,849158000,987016000,781432000,2949000000,5929000000,11833000000,11719000000,22166000000,1097000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,0.3465,0.3243,0.3234,0.3307,0.26335,0.25435,0.24325,0.22089,0.18562,0.12296,0.10988,0.06644,0.0601,0.03449,0.02354,0.01419,0.01045
