,https://roic.ai/company/ENTX,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,351000,53000,596000,473000,334000,164000,166000
49,Short-Term Debt,- -,9885000,- -,- -,177000,189000,179000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,225000,267000,158000,- -
52,Other Current Liabilities,453000,604000,1424000,1090000,3814000,2762000,2816000
53,Total Current Liabilities,804000,10542000,2020000,1788000,4592000,3273000,3161000
54,Long-Term Debt,8053000,4835000,3893000,- -,- -,- -,123000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,19577000,16155000,38923000,1437000,192000,324000,138000
58,Total Non-Current Liabilities,27630000,20990000,42816000,1437000,192000,324000,261000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,299000,432000,- -
61,Total Liabilities,28434000,31532000,44836000,3225000,4784000,3597000,3422000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-29417000,-30616000,-41813000,-52117000,-62912000,-72895000,-82426000
65,Other Comprehensive Income/Loss,1395000,2885000,7402000,13060000,11439000,8965000,41000
66,Other Total Stockholders Equity,3730000,5370000,10255000,62233000,74831000,79560000,104950000
67,Total Stockholders Equity,-25687000,-25246000,-31558000,10116000,11919000,6665000,22565000
68,Total Liabilities And Stockholders Equity,2747000,6286000,13278000,13341000,16703000,10262000,25987000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2747000,6286000,13278000,13341000,16703000,10262000,25987000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1638097/000117891319000961/0001178913-19-000961-index.html,https://www.sec.gov/Archives/edgar/data/1638097/000117891320000939/0001178913-20-000939-index.html,- -,https://www.sec.gov/Archives/edgar/data/1638097/000117891322000994/0001178913-22-000994-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-4282000,-1199000,-11197000,-10304000,-10795000,-9983000,12187000
74,Depreciation and Amortization,28000,35000,43000,54000,238000,225000,53000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-217000
76,Stock Based Compensation,366000,1490000,4885000,1233000,1483000,901000,1861000
77,Change in Working Capital,-183000,15506000,281000,366000,-5208000,16332000,1409000
78,Accounts Receivable,- -,- -,- -,-725000,447000,23000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,227000,-298000,543000,-123000,-139000,-170000,74000
81,Other Working Capital,-5109000,10397000,10678000,11044000,5836000,22168000,-143000
82,Other Non-Cash Items,576000,-18974000,1462000,-1145000,5363000,-17898000,-24356000
83,Cash Provided by Operating Activities,-3495000,-3142000,-4526000,-9796000,-8919000,-10423000,-9063000
84,CAPEX,-54000,-41000,-51000,-68000,-40000,-53000,-17000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1075000,1053000,- -,3986000,-33000,- -
89,Cash Used for Investing Activites,-54000,-1116000,1002000,-4068000,3946000,-86000,-17000
90,Debt Repayment,- -,- -,-980000,- -,-114000,-136000,- -
91,Common Stock Issued,- -,- -,- -,9624000,12528000,3985000,21805000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4465000,7216000,12087000,- -,238000,68000,3576000
95,Cash Used/Provided by Financing Activities,4465000,7216000,11107000,9624000,12652000,3917000,25381000
96,Effect of Forex Changes on Cash,-1000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,915000,2958000,7583000,-4240000,7679000,-6592000,16301000
98,Cash at the End of Period,1205000,4163000,11746000,7506000,15185000,8593000,24964000
99,Cash at the Beginning of Period,290000,1205000,4163000,11746000,7506000,15185000,8663000
100,Free Cash Flow,-3549000,-3183000,-4577000,-9864000,-8959000,-10476000,-9080000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1638097/000117891319000961/0001178913-19-000961-index.html,https://www.sec.gov/Archives/edgar/data/1638097/000117891320000939/0001178913-20-000939-index.html,- -,https://www.sec.gov/Archives/edgar/data/1638097/000117891322000994/0001178913-22-000994-index.htm
102,false,,,,,,,
