,https://roic.ai/company/DERM,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1557883/000104746915002713/a2223853z10-k.htm,https://www.sec.gov/Archives/edgar/data/1557883/000104746916010731/0001047469-16-010731-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459017002872/0001564590-17-002872-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459018002915/0001564590-18-002915-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459019004452/0001564590-19-004452-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1867066/000141057822000558/0001410578-22-000558-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,55358000,107242000,41793000,295923000,104976000,4801000,8246000,49081000
32,Short-Term Investments,41793000,107451000,210149000,255070000,208064000,- -,- -,- -
33,Cash and Short-Term Investments,97151000,214693000,251942000,550993000,313040000,4801000,8246000,49081000
34,Net Receivables,7300000,- -,21400000,52000,5724000,18955000,23928000,23112000
35,Inventory,- -,- -,- -,- -,8370000,857000,1404000,9862000
36,Other Current Assets,1012000,2540000,10649000,5569000,8275000,655000,1664000,2438000
37,Total Current Assets,105463000,217233000,283991000,556614000,335409000,25268000,35242000,84493000
38,PP&E,192000,386000,1127000,1433000,1180000,89000,175000,89000
39,Goodwill,771000,771000,771000,771000,771000,- -,- -,- -
40,Intangible Assets,3520000,1126000,1126000,1126000,952000,7377000,15029000,12552000
41,Intangible Assets,4291000,1897000,1897000,1897000,1723000,7377000,15029000,12552000
42,Investments,66483000,1019000,24551000,- -,2962000,- -,- -,- -
43,Tax Assets,816000,194000,194000,194000,- -,1119000,1454000,- -
44,Other Non-Current Assets,976000,1203000,841000,656000,3047000,6000,6000,150000
45,Total Non-Current Assets,72758000,4699000,28610000,4180000,8912000,8591000,16664000,12791000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,178221000,221932000,312601000,560794000,344321000,33859000,51906000,97284000
48,Accounts Payable,5563000,9230000,13500000,15094000,15948000,2108000,1956000,22812000
49,Short-Term Debt,- -,- -,- -,- -,- -,83000,85000,4608000
50,Tax Payable,635000,1072000,3022000,4625000,3193000,- -,- -,8000
51,Deferred Revenue,10000000,10000000,4265000,4988000,- -,- -,- -,- -
52,Other Current Liabilities,-3673000,6666000,17227000,85276000,22608000,18706000,26020000,24186000
53,Total Current Liabilities,11890000,25896000,34992000,105358000,38556000,20897000,28061000,51606000
54,Long-Term Debt,1936000,- -,- -,279389000,313789000,5220000,5317000,4439000
55,Deferred Revenue,10000000,10000000,29550000,25286000,- -,- -,- -,- -
56,Deferred Tax Liabilities,816000,194000,194000,194000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,367000,495000,918000,1015000,4990000,8236000,- -
58,Total Non-Current Liabilities,12752000,10561000,30239000,305787000,314804000,10210000,13553000,4439000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,83000,182000,- -
61,Total Liabilities,24642000,36457000,65231000,411145000,353360000,31107000,41614000,55241000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,25000,30000,36000,42000,42000,1000,1000,1000
64,Retained Earnings,-82649000,-161048000,-250132000,-553393000,-745038000,-163000,5120000,-38874000
65,Other Comprehensive Income/Loss,-16000,-75000,-198000,-511000,-1017000,- -,- -,- -
66,Other Total Stockholders Equity,236219000,346568000,497664000,703511000,736974000,2914000,5171000,80916000
67,Total Stockholders Equity,153579000,185475000,247370000,149649000,-9039000,2752000,10292000,42043000
68,Total Liabilities And Stockholders Equity,178221000,221932000,312601000,560794000,344321000,33859000,51906000,97284000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,178221000,221932000,312601000,560794000,344321000,33859000,51906000,97284000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1557883/000104746915002713/a2223853z10-k.htm,https://www.sec.gov/Archives/edgar/data/1557883/000104746916010731/0001047469-16-010731-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459017002872/0001564590-17-002872-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459018002915/0001564590-18-002915-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459019004452/0001564590-19-004452-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1867066/000141057822000558/0001410578-22-000558-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-31875000,-78399000,-89084000,-303261000,-221540000,3625000,5283000,-43994000
74,Depreciation and Amortization,47000,72000,123000,339000,555000,90000,96000,2658000
75,Deferred Income Tax,- -,31000,-622000,- -,-194000,69000,-335000,1566000
76,Stock Based Compensation,1643000,5132000,11003000,20703000,29843000,240000,153000,2466000
77,Change in Working Capital,-1542000,97764000,57662000,202257000,-154403000,-292482000,2810000,25706000
78,Accounts Receivable,-7300000,7300000,-21400000,21348000,-5672000,-10492000,-5022000,768000
79,Inventory,- -,- -,- -,- -,-8370000,-179000,-547000,-8458000
80,Accounts Payable,3209000,3607000,4266000,1542000,823000,1148000,-152000,20388000
81,Other Working Capital,93573000,191337000,248999000,451256000,296853000,4371000,7181000,32887000
82,Other Non-Cash Items,323000,-73042000,-53193000,-24001000,132641000,297476000,-2875000,9417000
83,Cash Provided by Operating Activities,-31404000,-48442000,-74111000,-103963000,-213098000,9018000,5132000,-2181000
84,CAPEX,-156000,-202000,-753000,-278000,-616000,-2400000,-1200000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-109324000,-60276000,-252175000,-302432000,-319940000,- -,- -,- -
87,Sales/Maturities of Investments,- -,57875000,122640000,278580000,363328000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-80300000,-56000000,-2400000,-1200000,-10000000
89,Cash Used for Investing Activites,-109480000,-2603000,-130288000,-104430000,-13228000,-2400000,-1200000,-10000000
90,Debt Repayment,- -,-2120000,- -,- -,- -,-4000000,-500000,-1996000
91,Common Stock Issued,11000,105049000,138950000,181538000,2146000,- -,- -,32536000
92,Common Stock Repurchased,170086000,105049000,138950000,184277000,2146000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4001000,-105049000,-138950000,96708000,31089000,449000,13000,22476000
95,Cash Used/Provided by Financing Activities,174098000,102929000,138950000,462523000,35381000,-3551000,-487000,53016000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,33214000,51884000,-65449000,254130000,-190945000,3067000,3445000,40835000
98,Cash at the End of Period,33214000,107242000,41793000,295923000,104978000,4801000,8246000,49081000
99,Cash at the Beginning of Period,- -,55358000,107242000,41793000,295923000,1734000,4801000,8246000
100,Free Cash Flow,-31560000,-48644000,-74864000,-184241000,-269714000,6618000,3932000,-2181000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1557883/000104746915002713/a2223853z10-k.htm,https://www.sec.gov/Archives/edgar/data/1557883/000104746916010731/0001047469-16-010731-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459017002872/0001564590-17-002872-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459018002915/0001564590-18-002915-index.html,https://www.sec.gov/Archives/edgar/data/1557883/000156459019004452/0001564590-19-004452-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1867066/000141057822000558/0001410578-22-000558-index.htm
102,false,,,,,,,,
