,https://roic.ai/company/SBLK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
78,Accounts Receivable,- -,- -,- -,- -,-3379000,-2070000,-1334000,-3249000,-1207000,2766000,-16057000,13876000,-1683000,-5949000,-22266000,-20383000,20322000
79,Inventory,- -,- -,- -,-598000,-678000,294000,-112000,-2773000,254000,1887000,-5409000,121000,-184000,-4811000,-8091000,-23717000,3859000
80,Accounts Payable,- -,174053,429467,-31000,- -,- -,-744000,5268000,-237000,-1626000,1995000,-5276000,-4236000,4709000,10288000,3627000,-3052000
81,Other Working Capital,- -,-9000,- -,-263000,2710000,-454000,3992000,493000,-2654000,-986000,1384000,-35000,-621000,3335000,517000,-3838000,4301000
82,Other Non-Cash Items,- -,- -,- -,-3600000,-76851000,69918000,36079000,67562000,306084000,-474000,-10691000,348068000,44140000,-995000,22396000,17583000,8719000
83,Cash Provided by Operating Activities,- -,-26924,1699109,370000,110747000,65877000,87949000,50604000,18999000,27495000,12819000,-14578000,-33448000,80970000,169009000,88525000,170552000
84,CAPEX,- -,- -,-3664,-179151000,-413457000,-49000,-44090000,- -,-91000,-127814000,-523303000,-473917000,-396154000,-143684000,-328634000,-347140000,-72059000
85,Acquisitions Net,- -,- -,- -,-85000000,2000000,19000000,-67000000,-119000000,8000000,-120000000,-522000000,-404000000,-16000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-188675000,- -,277114000,-11848000,-20381000,50939000,-3337000,17579000,139696000,603572000,480384000,398938000,16832000,3307000,67303000,5725000
89,Cash Used for Investing Activites,- -,-188675000,-3664,12963000,-423305000,-1430000,-60151000,-122337000,25488000,-108118000,-437075000,-397533000,-13216000,-126852000,-325327000,-279837000,-66334000
90,Debt Repayment,- -,-590000,- -,- -,-22625000,-49480000,-68421000,-101464000,-42026000,-33780000,-173986000,-244529000,-181201000,-86262000,-875037000,-623892000,-708910000
91,Common Stock Issued,- -,200025000,- -,- -,- -,- -,- -,28786000,- -,150905000,- -,418771000,50589000,51454000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-170585,- -,-13449000,- -,- -,- -,-861000,- -,- -,- -,- -,- -,-3145000,-20523000,- -
93,Dividends Paid,- -,- -,- -,- -,-52614000,-6185000,-12385000,-14391000,-3631000,- -,- -,- -,- -,- -,- -,-4804000,-4804000
94,Other Financing Activites,- -,-10139795,- -,3534000,411736000,1885000,25690000,161050000,-91000,-5154000,630694000,359925000,150978000,156843000,974877000,752916000,678765000
95,Cash Used/Provided by Financing Activities,- -,189295205,-170585,3534000,323048000,-53780000,-55116000,73981000,-46609000,111971000,456708000,534167000,20366000,122035000,96695000,103697000,-34949000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1524860,16867000,10490000,10667000,-27318000,2248000,-2122000,31348000,32452000,122056000,-26298000,76153000,-59623000,-87615000,69269000
98,Cash at the End of Period,- -,593281,2118141,18985000,29475000,40142000,12824000,15072000,12950000,44298000,86000000,208056000,181758000,257911000,213877000,126262000,195531000
99,Cash at the Beginning of Period,- -,- -,593281,2118000,18985000,29475000,40142000,12824000,15072000,12950000,53548000,86000000,208056000,181758000,273500000,213877000,126262000
100,Free Cash Flow,- -,-26924,1695445,-178781000,-302710000,65828000,43859000,50604000,18908000,-100319000,-510484000,-488495000,-429602000,-62714000,-159625000,-258615000,98493000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386716/000091957409008897/d968870_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957410002702/0000919574-10-002702-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957411002542/d1183687_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957412002515/0000919574-12-002515-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957413002451/0000919574-13-002451-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957414002395/d1460935_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000156761915000448/s000840x1_20f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000156761916002064/0001567619-16-002064-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000156761917000493/0001567619-17-000493-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036118014673/0001140361-18-014673-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036119005312/0001140361-19-005312-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036120007197/0001140361-20-007197-index.html,- -
102,false,,,,,,,,,,,,,,,,,
