,https://roic.ai/company/RMAX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-1378000,-1404000,-1816000,-1340000,-2148000,-3628000,-4502000,-2198000,-7787000,-13226000,-6903000,-15239000
85,Acquisitions Net,- -,- -,- -,-27000000,- -,6000000,-113000000,-36000000,-26000000,-15000000,-11000000,-180002000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,73700000,-429000,-46925000,-519000,-17000,-790000,63000,280000,112000,14124000,373000,319000
89,Cash Used for Investing Activites,72958000,-1347000,-47390000,-28627000,-2043000,1664000,-117332000,-37918000,-33675000,-876000,-17530000,-194922000
90,Debt Repayment,-323959000,-16875000,-8747000,-234924000,-17020000,-9722000,-203298000,-2366000,-3171000,-2622000,-2634000,-227390000
91,Common Stock Issued,- -,- -,- -,235922000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1244000,- -,- -,-197618000,-1781000,-327000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-16311000,-15894000,-9603000,- -,-2901000,-24003000,-10578000,-12793000,-14306000,-15074000,-16354000,-17833000
94,Other Financing Activites,239315000,-15370000,44303000,195069000,-20975000,-38364000,214104000,-18076000,-15675000,-16846000,-17011000,434575000
95,Cash Used/Provided by Financing Activities,-102199000,-48139000,25953000,-1551000,-42677000,-72416000,228000,-33235000,-33152000,-34542000,-35999000,189352000
96,Effect of Forex Changes on Cash,258000,-61000,68000,-17000,-165000,-823000,122000,1063000,-70000,70000,308000,300000
97,Net Change In Cash,7439000,-5958000,29890000,19874000,18824000,3013000,-52603000,-6802000,9167000,43627000,17626000,37172000
98,Cash at the End of Period,44569000,38611000,68501000,88375000,107199000,110212000,57609000,50807000,59974000,103601000,121227000,158399000
99,Cash at the Beginning of Period,37130000,44569000,38611000,68501000,88375000,107199000,110212000,57609000,50807000,59974000,103601000,121227000
100,Free Cash Flow,35044000,42185000,49443000,48729000,61561000,70960000,59877000,61090000,68277000,65749000,63944000,27203000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1581091/000156459014001100/0001564590-14-001100-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000156459015001651/0001564590-15-001651-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837016003588/0001558370-16-003588-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837017000964/0001558370-17-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837018002152/0001558370-18-002152-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837019000930/0001558370-19-000930-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837020001165/0001558370-20-001165-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837021001856/0001558370-21-001856-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837022001747/0001558370-22-001747-index.htm
102,false,,,,,,,,,,,,
