,https://roic.ai/company/WPRT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,EBITDA,- -,-579752,-2254315,-4042466,-6609112,-15586581,-25484630,-28496792,-23301318,-16209541,-11832098,-11360000,-11570038,-12280493,-21203051,- -,-79609000,-162826000,-123339000,-78862000,-65872000,-8135000,-3872000,25572000,16094000
16,EBITDA ratio,- -,-8.0000,-32.0000,-20.3333,-32.0000,-306.6532,-1.2282,-1.6979,-0.9421,-0.5694,-0.3167,-0.2139,-0.1670,-0.1135,-0.1768,- -,-0.5116,-0.9928,-0.9446,-0.7634,-0.3940,-0.0354,-0.0143,0.0837,0.0637
17,Operating Income,- -,-797159,-2324762,-4506355,-7572941,-19449740,-29291620,-32709830,-27057264,-19494745,-13292178,-13142337,-18115224,-21335234,-20411026,- -,-107561000,-167260000,-159387000,-110637000,-121780000,-64934000,-52718000,-21393000,-21989000
18,Operating Income ratio,- -,-11.0000,-33.0000,-22.6667,-36.6667,-382.6576,-1.4116,-1.9489,-1.0940,-0.6848,-0.3558,-0.2475,-0.2614,-0.1972,-0.1702,- -,-0.6913,-1.0199,-1.2207,-1.0710,-0.7284,-0.2825,-0.1950,-0.0701,-0.0871
19,Total Other Income Expenses (Gains),- -,217407,70447,- -,- -,806,230631,-2370374,-1675136,-2316688,-1227560,542337,3815224,5435234,911026,- -,10561000,-17240000,10830000,12214000,25058000,-2350000,14060000,23541000,16061000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12600000,-14300000,-15900000,-19500000,- -,-97000000,-184500000,-148557000,-98423000,-96722000,-67284000,-38658000,2148000,-5928000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2373,-0.2063,-0.1470,-0.1626,- -,-0.6234,-1.1250,-1.1378,-0.9528,-0.5785,-0.2928,-0.1430,0.0070,-0.0235
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,-4300000,5800000,8200000,- -,1700000,900000,-579000,731000,3950000,-27384000,1977000,1926000,1431000
23,Net Income,- -,-579752,-2324762,-4373815,-7435251,-18064334,-29276076,-33049787,-28768506,-21665382,-14462313,-9900000,-10000000,-21700000,-34500000,- -,-98800000,-185400000,-147978000,-99154000,-97573000,-9979000,-31492000,41000,-7359000
24,Net Income ratio,- -,-8.0000,-33.0000,-22.0000,-36.0000,-355.4009,-1.4109,-1.9691,-1.1632,-0.7611,-0.3871,-0.1864,-0.1443,-0.2006,-0.2877,- -,-0.6350,-1.1305,-1.1333,-0.9598,-0.5836,-0.0434,-0.1165,0.0001,-0.0291
25,EPS,- -,-0.15,-0.39,-0.60,-0.84,-1.67,-2.33,-2.27,-1.71,-1.10,-0.69,-0.46,-0.41,-0.64,-1.08,- -,-1.83,-3.22,-2.37,-1.53,-1.07,-0.08,-0.24,0.00,-0.05
26,EPS Diluted,- -,-0.15,-0.39,-0.60,-0.84,-1.67,-2.33,-2.27,-1.71,-1.10,-0.69,-0.46,-0.41,-0.64,-1.08,- -,-1.83,-3.22,-2.37,-1.53,-1.07,-0.08,-0.24,0.00,-0.05
27,Weighted Average Shares Outstanding,- -,3809520,5892851,7252740,8832151,10839130,12526707,14534532,16870552,19823399,21208120,21478500,25167940,30268947,34133247,54072513,54072513,57633190,63130022,64109703,91028504,119558566,132371396,134224799,137092854
28,Weighted Average Shares Outstanding Diluted,- -,3809520,5892851,7252740,8832151,10839130,12526707,14534532,16870552,19823399,21208120,21478500,25167940,30268947,34133247,54072513,54072513,57633190,63130022,64109703,91028504,119558566,132371396,134224799,137092854
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370416/000095012309012251/0000950123-09-012251-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000127956910000695/0001279569-10-000695-index.html,- -,https://www.sec.gov/Archives/edgar/data/1370416/000110465913018916/0001104659-13-018916-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1370416/000137041616000030/0001370416-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041617000004/0001370416-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041618000003/0001370416-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041619000002/0001370416-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041620000003/0001370416-20-000003-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,2031639,1605498,264368,897025,1500000,7400000,31000000,70500000,63285000,189000000,178500000,93282000,27143000,60057000,71842000,61119000,43733000,64187000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,17126129,14245085,16508950,5821052,18500000,14800000,34600000,33700000,4274000,26900000,32100000,- -,696000,848000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,19157768,15850583,16773318,6718077,20000000,22200000,65600000,104200000,67559000,215900000,210600000,93282000,27839000,60905000,71842000,61119000,43733000,64187000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,4823803,3869209,4992995,5263990,9400000,13500000,14000000,24700000,50922000,44200000,59300000,46849000,38324000,66660000,61900000,57118000,66950000,90467000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1224695,731639,2400000,8800000,11100000,8100000,37026000,44900000,40600000,41824000,35660000,53300000,45737000,46011000,47806000,51402000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,181834,406376,456502,618960,2300000,5800000,4600000,6300000,8511000,13800000,9200000,5364000,3475000,32897000,21718000,4835000,9696000,11842000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,24163404,20126168,23447510,13332666,34100000,50300000,95300000,143300000,164018000,318800000,319700000,187319000,105298000,213762000,201197000,169083000,168185000,217898000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,11689126,8163910,4773808,3396957,3400000,3600000,6100000,6100000,35408000,58200000,67300000,58134000,42527000,54576000,69804000,63431000,76380000,85469000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55814000,56900000,41500000,23352000,3008000,2923000,3324000,3170000,3110000,3397000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1067956,646612,965873,740455,600000,600000,300000,300000,36582000,35200000,38300000,27920000,22307000,21832000,20943000,16829000,13075000,11784000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1067956,646612,965873,740455,600000,600000,300000,300000,92396000,92100000,79800000,51272000,25315000,24755000,24267000,19999000,16185000,15181000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1532431,- -,26307000,19118000,22128000,33324000,31111000,13422000,9302000,8818000,10587000,13954000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,933000,9200000,4900000,5352000,3570000,5909000,4616000,5521000,4445000,2140000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,8316155,9309106,7550530,7834857,13600000,22500000,4267569,4100000,1994000,-7318000,-2128000,448000,5862000,19036000,4436000,3076000,4144000,11621000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,21073237,18119628,13290210,11972270,17600000,26700000,12200000,10500000,157038000,171300000,172000000,148530000,108385000,117698000,112425000,100845000,111741000,128365000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,45236641,38245796,36737720,25304936,51700000,77000000,107500000,153800000,321056000,490100000,491700000,335849000,213683000,331460000,313622000,269928000,279926000,346263000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,5665820,2854950,3692371,2805415,- -,6500000,7000000,7600000,37651000,38000000,42900000,41796000,42851000,60287000,56309000,60027000,60964000,57307000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1955333,2609149,1948991,145160,5908460,11488390,4967926,3528546,39977000,28566000,53025000,18955000,8257000,48097000,8993000,10327000,17973000,44223000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1770809,2554444,1311000,876000,709000,580000,2014000,941000,511000,2244000,3497000,3905000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2181794,1222618,- -,- -,546000,891000,478000,7183000,3109000,3556000,- -,3767000,1848000,1664000,1929000,8008000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2852163,2908866,3029821,8341805,10291540,10711610,13986074,17980454,12787000,6751000,25966000,21628000,21936000,47589000,53128000,32629000,33728000,37484000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,10473316,8372964,10852978,12514997,16200000,28700000,26500000,30000000,90893000,80500000,125000000,85935000,73044000,159740000,120278000,104647000,114594000,147022000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,794562,1277229,724816,12000000,- -,9000000,12700000,65577000,52200000,13000000,57741000,54190000,50997000,62070000,59827000,47634000,43941000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2876000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3446000,- -,- -,- -,- -,- -,- -,- -,- -,3250000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2584278,3096158,2589525,3700365,14300000,19200000,23600000,27500000,5674000,21300000,30800000,24165000,14822000,35285000,13242000,14778000,28339000,47991000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2584278,3890720,3866754,4425180,26300000,19200000,32600000,40200000,77573000,73500000,43800000,81906000,69012000,86282000,75312000,74605000,75973000,95182000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,567026,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19156000,30497000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,13057594,12263684,14719731,16940178,42500000,47900000,59100000,70200000,168466000,154000000,168800000,167841000,142056000,246022000,195590000,179252000,190567000,242204000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,129354946,163180143,190443031,- -,201900000,251700000,247400000,371100000,459866000,733400000,916500000,930857000,937029000,1042410000,1078280000,1087068000,1094633000,1115092000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-98975594,-139561811,-175000417,-196052641,-208000000,-241200000,-215700000,-304900000,-331158000,-429900000,-615300000,-764960000,-859317000,-956890000,-966869000,-998361000,-998320000,-1005679000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,1771990,2293791,4162737,2023917,10707351,13559701,2697394,150088,13271000,17016000,-292000,-15493000,-32382000,-31087000,-19705000,-21058000,-23890000,-24541000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,27704,69988,2412638,202393482,4597746,4888128,13878522,16929292,- -,15565000,21994000,17604000,22266000,31005000,26326000,23027000,16936000,19187000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,32179047,25982111,22017989,8364758,9205097,28947829,48275917,83279380,152590000,336081000,322902000,168008000,67596000,85438000,118032000,90676000,89359000,104059000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,45236641,38245796,36737720,25304936,51705097,76847829,107375917,153479380,321056000,490081000,491702000,335849000,209652000,331460000,313622000,269928000,279926000,346263000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,0,- -,0,0,-5097,152171,124083,320620,- -,19000,-2000,- -,4031000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,45236641,38245796,36737720,25304936,51700000,77000000,107500000,153800000,321056000,490100000,491700000,335849000,213683000,331460000,313622000,269928000,279926000,346263000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370416/000095012309012251/0000950123-09-012251-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000127956910000695/0001279569-10-000695-index.html,- -,https://www.sec.gov/Archives/edgar/data/1370416/000110465913018916/0001104659-13-018916-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1370416/000137041616000030/0001370416-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041617000004/0001370416-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041618000003/0001370416-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041619000002/0001370416-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041620000003/0001370416-20-000003-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-579752,-2324762,-4373815,-7435251,-18064334,-29276076,-33049787,-28768506,-21665382,-14462313,-9900000,-10000000,-21700000,-34500000,-42283000,-98800000,-185400000,-147978000,-99154000,-97573000,-9979000,-31492000,41000,-7359000
74,Depreciation and Amortization,- -,- -,70447,265080,757294,2372875,3576358,4552995,5232582,5227252,2360962,1240000,1500000,1760000,1950000,3596000,11400000,16290000,18666000,13654000,15322000,14741000,16510000,16340000,14034000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3040000,-4550000,2880000,-1230000,761000,-410000,-540000,-1185000,-514000,2340000,-1644000,-1838000,-1647000,-1007000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2246000,4827000,4923000,12468000,14283000,9683000,- -,10450000,6961000,3040000,1474000,2368000
77,Change in Working Capital,- -,-72469,70447,728969,-275380,3188204,760542,-328911,-1605445,-484275,-2578800,-2675104,1743904,12947652,2970375,491000,3344000,19149000,-5936000,-1701000,-8977000,5359000,-206000,-8286000,-24111000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004000,-6046000,5523000,6733000,-12289000,11629000,8010000,-4675000,2605000,3512000,-11137000,-22721000
79,Inventory,- -,- -,- -,- -,- -,- -,-484181,- -,- -,-1224695,539173,-1700000,-6400000,-4962000,5807000,-1927000,-7920000,4925000,2102000,6164000,7104000,1111000,162000,57000,-3225000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86499000,110640000,214000,249303000,252644000,123620000,- -,111695000,56823000,63144000,53591000,- -
82,Other Non-Cash Items,- -,- -,70447,-66270,68845,-806,3346396,2015520,4474343,5219311,4671821,1715104,-4003904,-6373652,5762625,8533000,-13732000,19428000,19993000,18647000,-883000,-56971000,-14886000,-23754000,-19074000
83,Cash Provided by Operating Activities,- -,-652221,-2113420,-3446036,-6884492,-12504061,-21592779,-26810183,-20667027,-11703094,-10008331,-12660000,-15310000,-8240000,-20220000,-23979000,-85730000,-116790000,-106757000,-69068000,-79321000,-41533000,-28872000,-15832000,-35149000
84,CAPEX,- -,-217407,-422684,-994049,-2271882,-8045360,-5099155,-2776185,-2062375,-462014,-339772,-1030000,-1640000,-5240000,-230000,-3613000,-30363000,-26450000,-10249000,-4845000,-9347000,-25288000,-10273000,-8860000,-7123000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13016000,-1125000,1178000,-3053000,787000,45344000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-3843656,-17555455,-5045188,-21149123,- -,- -,-515758,- -,- -,- -,-27024000,8753000,-25258000,-22520000,-5771000,31369000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,32242874,4925907,- -,11309569,- -,- -,- -,- -,21561000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-265080,- -,-8362189,111992,-0,0,114380,79648,-9182559,18422229,18739372,-1125964,- -,4715000,8287000,3200000,20464000,40582000,16548000,30159000,25045000,20965000
89,Cash Used for Investing Activites,- -,-217407,-422684,-5102785,-19827337,-21452737,-26136286,29466689,2863532,-863392,11049445,-10201110,16780336,-12960323,7375907,-20326000,-49293000,-22756000,21267000,16406000,76579000,-8740000,19886000,16185000,13842000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5449000,-1205000,-3323000,-6725000,-9947000,- -,- -,- -,- -,- -,- -,-59471000
91,Common Stock Issued,- -,289876,1902078,7621042,26987209,35259112,44369095,369470,16854723,12576959,1059358,- -,- -,- -,- -,134563000,- -,- -,- -,- -,- -,- -,- -,- -,13904000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1170000,51440000,58120000,- -,274530000,153080000,242000,- -,- -,25953000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,797159,1620289,-66270,-206535,-131981,2365572,-1580634,280052,-933703,-1477771,23261963,3090177,-5408914,-4745096,-6069000,-7004000,-8795000,6224000,-2876000,31395000,-40213000,-8142000,-14764000,85258000
95,Cash Used/Provided by Financing Activities,- -,1087035,3522367,7554772,26780674,35127131,46734666,-1211164,17134775,11643255,-418412,23261963,4260177,40582086,52169904,119171000,260801000,134338000,6466000,-2876000,31395000,-14260000,-8142000,-14764000,39691000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4657480,-5980969,3116000,-103000,-5238000,-6207000,-10601000,4570000,4246000,-7645000,-696000,-134000
97,Net Change In Cash,- -,289876,915815,-927779,68845,1170333,-994400,1445343,-668719,-923231,622702,580000,5680000,27960000,29850000,77982000,125670000,-10450000,-85231000,-66166000,33066000,16861000,-10723000,-15107000,18250000
98,Cash at the End of Period,- -,434814,1338499,331350,413070,1552362,539566,2031639,1605498,264368,897025,1480000,7180000,35360000,60850000,148462000,195970000,178550000,93269000,27116000,60209000,76918000,61119000,46012000,64262000
99,Cash at the Beginning of Period,- -,144938,422684,1259129,344225,382029,1533966,586296,2274217,1187599,274323,900000,1500000,7400000,31000000,70480000,70300000,189000000,178500000,93282000,27143000,60057000,71842000,61119000,46012000
100,Free Cash Flow,- -,-869628,-2536104,-4440085,-9156374,-20549421,-26691935,-29586368,-22729402,-12165108,-10348103,-13690000,-16950000,-13480000,-20450000,-27592000,-117080000,-143240000,-117006000,-73913000,-87975000,-66821000,-39145000,-24692000,-42272000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370416/000095012309012251/0000950123-09-012251-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000127956910000695/0001279569-10-000695-index.html,- -,https://www.sec.gov/Archives/edgar/data/1370416/000110465913018916/0001104659-13-018916-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1370416/000137041616000030/0001370416-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041617000004/0001370416-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041618000003/0001370416-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041619000002/0001370416-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1370416/000137041620000003/0001370416-20-000003-index.html,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
