,https://roic.ai/company/TXMD,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,- -,0.2116,0.1737,0.1844,0.3024,-0.0660,-0.0507,0.0599,0.3578,0.1850,0.3451,0.2379,0.3103,0.4575,0.5346,-Infinity,-Infinity,-148.4986,-11.8196,-6.1269,-8.6848,-2.9276,-3.5874,-4.2206,-4.6363,-4.5723,-7.9286,-3.1698,-2.3257,-1.5573
17,Operating Income,- -,- -,42579,34183,36103,74463,49262,-4837,15644,131668,61535,98912,104109,196758,348992,488883,-93743,-395553,-1645685,- -,-5427218,-16148423,-25808244,-54041061,-85190185,-90253600,-77628710,-130220170,-151205258,-155540741,-139770000
18,Operating Income ratio,- -,- -,0.2116,0.1737,0.1844,0.3051,0.2551,-0.0249,0.0730,0.3578,0.1850,0.3451,0.2379,0.3164,0.3734,0.4863,-Infinity,-Infinity,-155.7087,- -,-2.5990,-4.2295,-2.9409,-3.5965,-4.2293,-4.6627,-4.6269,-8.0885,-3.0456,-2.3976,-1.6075
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-4592,- -,-62000,-10745,-3214,- -,- -,- -,- -,-45765,23373,-5868,42742,- -,-8856,-41948,-7486147,-18971812,-2611069,-176149,113161,378141,703330,-2396990,-24939741,-27983396,-32645000
20,Income Before Tax,- -,- -,42579,34183,31511,- -,-12738,-15582,12430,131668,61535,98912,104109,150993,372365,483015,-51001,-395553,-1654541,-509907,-12913365,-35120235,-28419313,-54217210,-85077024,-89875459,-76925380,-132617160,-176144999,-183524137,-172415000
21,Income Before Tax Ratio,- -,- -,0.2116,0.1737,0.1609,- -,-0.0660,-0.0803,0.0580,0.3578,0.1850,0.3451,0.2379,0.2428,0.3985,0.4805,-Infinity,-Infinity,-156.5466,-10.5753,-6.1840,-9.1986,-3.2384,-3.6082,-4.2237,-4.6432,-4.5850,-8.2374,-3.5480,-2.8290,-1.9829
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,8877,82478,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,42579,34183,31511,73793,-12738,-15582,12430,131668,61535,98912,94109,142116,289887,373015,170542,-395553,-1654541,-695375,-12913365,-35120235,-28419313,-54217210,-85077024,-89875459,-76925380,-132617160,-176144999,-183524137,-172415000
24,Net Income ratio,- -,- -,0.2116,0.1737,0.1609,0.3024,-0.0660,-0.0803,0.0580,0.3578,0.1850,0.3451,0.2151,0.2285,0.3102,0.3711,Infinity,-Infinity,-156.5466,-14.4218,-6.1840,-9.1986,-3.2384,-3.6082,-4.2237,-4.6432,-4.5850,-8.2374,-3.5480,-2.8290,-1.9829
25,EPS,2.33,1.33,2.57,2.07,2.03,4.67,-4.00,-0.32,-0.10,0.42,2.00,1.48,0.34,-4.33,-1.67,5.00,-10.33,-15.00,-23.00,-4.00,-0.21,-0.38,-0.22,-0.36,-0.49,-0.46,-0.37,-0.59,-0.72,-0.67,-0.63
26,EPS Diluted,2.33,1.33,2.57,2.07,2.03,4.67,-4.00,-0.32,-0.10,0.42,2.00,1.48,0.34,-4.33,-1.67,5.00,-10.33,-15.00,-23.00,-4.00,-0.21,-0.38,-0.22,-0.36,-0.49,-0.46,-0.37,-0.59,-0.72,-0.67,-0.63
27,Weighted Average Shares Outstanding,16134,17512,16536,16536,15495,15813,15489,15489,15789,15787,15781,16981,17007,17007,17022,16372,16536,25707,72647,164204,62516461,91630693,127569731,149727228,173174229,196088196,205523288,225026300,246353318,275648552,275648552
28,Weighted Average Shares Outstanding Diluted,16134,17512,16536,16536,15495,15813,15489,15489,15789,15787,15781,16981,17007,17007,17022,16372,16536,25707,72647,164204,62516461,91630693,127569731,149727228,173174229,196088196,205523288,225026300,246353318,275648552,275648552
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25743/000002574306000003/0000025743-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000121465907000634/0001214659-07-000634-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000135601808000256/0001356018-08-000256-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000101968709000895/0001019687-09-000895-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000119312510059383/0001193125-10-059383-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713111000602/0001387131-11-000602-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713112000862/0001387131-12-000862-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713113000737/0001387131-13-000737-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713114000771/0001387131-14-000771-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713115000875/0001387131-15-000875-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713116004361/0001387131-16-004361-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713117001111/0001387131-17-001111-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713118000776/0001387131-18-000776-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713119001471/0001387131-19-001471-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713120002086/0001387131-20-002086-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713121003140/0001387131-21-003140-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000156459022011525/0001564590-22-011525-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,19385,37933,- -,166883,14294,57716,191634,338870,316473,154490,257667,902257,985729,408634,54419,42066,1497,126421,1553474,54191260,51361607,64706355,131534101,127135628,161613077,160829713,80485784,65122000
32,Short-Term Investments,- -,- -,- -,24250,15500,10500,15687,3125,4375,6125,4600,61540,125899,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,43635,53433,10500,182570,17419,62091,197759,343470,378013,280389,257667,902257,985729,408634,54419,42066,1497,126421,1553474,54191260,51361607,64706355,131534101,127135628,161613077,160829713,80485784,65122000
34,Net Receivables,- -,- -,- -,15553,9090,40488,3200,2900,2500,3500,65385,58266,80531,109691,157959,124900,86730,- -,10568,5588,26720,606641,1940734,2404198,3049715,4500699,4328802,11063821,24395958,32381701,36176000
35,Inventory,- -,- -,- -,26684,28425,- -,26552,32271,43915,88242,- -,- -,7660,- -,- -,- -,- -,- -,- -,- -,588073,1615210,1043618,1182113,690153,1076321,1485358,3267670,11860716,7993087,7622000
36,Other Current Assets,- -,- -,- -,- -,- -,180203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17238,- -,496060,751938,2227734,1287426,2233897,2299052,6604284,10834693,11329793,7543397,10548000
37,Total Current Assets,- -,- -,- -,85872,90948,231191,212322,52590,108506,289501,408855,436279,368580,367358,1060216,1110629,495364,54419,69872,7085,1237274,4527263,59403346,56235344,70680120,139410173,139554072,186779261,208416180,128403969,119468000
38,PP&E,- -,- -,- -,344455,318771,201980,276276,444980,389656,338671,286269,316933,529641,721195,747286,756532,- -,- -,382760,171889,70113,65673,61318,63293,198592,516839,437055,472683,12616929,11507924,9433000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288443,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18870,239555,665588,1228588,1615251,2405972,3099747,24092679,44479519,41444639,40318000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288443,18870,239555,665588,1228588,1615251,2405972,3099747,24092679,44479519,41444639,40318000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,95299,82533,16277,11277,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382333,- -,112464,985604,1886141,1552263,1234883,139036,139036,639301,473009,253121,253000
45,Total Non-Current Assets,- -,- -,- -,344455,414070,284513,292553,456257,389656,338671,286269,316933,529641,721195,747286,756532,- -,- -,779893,460332,201447,1290832,2613047,2844144,3048726,3061847,3675838,25204663,57569457,53205684,50004000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,430327,505018,515704,504875,508847,498162,628172,695124,753212,898221,1088553,1807502,1867161,495364,54419,849765,467417,1438721,5818095,62016393,59079488,73728846,142472020,143229910,211983924,265985637,181609653,169472000
48,Accounts Payable,- -,- -,- -,10934,10829,3164,4378,19290,14451,10838,17568,15481,21383,28410,37945,58756,7159,3646,229044,580079,306511,1641366,2114217,6327129,3126174,7358514,4097600,22743841,19181212,21068327,20318000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,- -,- -,- -,600000,753531,2150000,- -,- -,- -,- -,- -,- -,- -,1501539,2253994,188269000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144752,1602580,522613,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,537,53662,1660,2605,31434,3358,5368,5471,1323,10726,8705,373409,56375,70667,32076,331773,41359,694068,725870,3601189,3840639,7539526,7624085,9223595,18334948,32322074,35915875,44304000
53,Total Current Liabilities,- -,- -,- -,11471,64491,4824,6983,50724,17809,16206,23039,16804,32109,37115,434354,115131,77826,35722,1160817,1374969,3150579,3511988,7317986,10690381,10665700,14982599,13321195,41078789,53004825,59238196,252891000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58828,- -,- -,- -,- -,- -,- -,3589167,- -,- -,- -,- -,- -,73381014,194634643,237697531,8063000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64695,- -,- -,- -,- -,- -,150068,- -,- -,- -,- -,- -,- -,9145049,8675477,2139000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58828,64695,- -,- -,- -,- -,- -,3739235,- -,- -,- -,- -,- -,73381014,203779692,246373008,10202000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10646588,10929471,8063000
61,Total Liabilities,- -,- -,- -,11471,64491,4824,6983,50724,17809,16206,23039,16804,32109,37115,493182,179826,77826,35722,1160817,1374969,3150579,7251223,7317986,10690381,10665700,14982599,13321195,114459803,256784517,305611204,263093000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,470910,559295,772929,1089233,1380387,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,57914,57914,57914,57914,57914,58914,58914,62914,62914,62014,62214,62064,62064,62064,101757,1579021,16575,82979,99785,144977,156097,177928,196688,216430,240463,271177,299765,430000
64,Retained Earnings,- -,- -,- -,-476235,-444724,-370931,-383669,-399251,-386821,-255153,-193618,-94706,-597,141519,115102,196963,23653,-578618,-1890073,-2585448,-16993078,-52113313,-80532626,-134749836,-219826860,-309702319,-386659120,-519276280,-695421279,-878945416,-1051360000
65,Other Comprehensive Income/Loss,- -,- -,- -,-227330,-249154,-229621,-250729,-288717,-336006,-370391,-388924,-65205,-41210,-497924,-535330,-583830,- -,- -,-48536,-109134,-81500,-60600,-93765,-122752,-152711,-230617,-372218,-553630,-968824,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,1064507,1076491,1053518,1074376,1088177,1144266,1178596,1191713,362495,286610,572700,583251,631751,331821,495558,48536,1770455,15279741,50641000,135179821,183105598,282864789,437225669,516723623,617113568,705320046,754644100,957309000
67,Total Stockholders Equity,- -,- -,- -,418856,440527,510880,497892,458123,480353,611966,672085,736408,866112,1051438,1314320,1687335,417538,18697,-311052,-907552,-1711858,-1433128,54698407,48389107,63063146,127489421,129908715,97524121,9201120,-124001551,-93621000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,430327,505018,515704,504875,508847,498162,628172,695124,753212,898221,1088553,1807502,1867161,495364,54419,849765,467417,1438721,5818095,62016393,59079488,73728846,142472020,143229910,211983924,265985637,181609653,169472000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,430327,505018,515704,504875,508847,498162,628172,695124,753212,898221,1088553,1807502,1867161,495364,54419,849765,467417,1438721,5818095,62016393,59079488,73728846,142472020,143229910,211983924,265985637,181609653,169472000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25743/000002574306000003/0000025743-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000121465907000634/0001214659-07-000634-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000135601808000256/0001356018-08-000256-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000101968709000895/0001019687-09-000895-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000119312510059383/0001193125-10-059383-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713111000602/0001387131-11-000602-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713112000862/0001387131-12-000862-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713113000737/0001387131-13-000737-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713114000771/0001387131-14-000771-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713115000875/0001387131-15-000875-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713116004361/0001387131-16-004361-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713117001111/0001387131-17-001111-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713118000776/0001387131-18-000776-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713119001471/0001387131-19-001471-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713120002086/0001387131-20-002086-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000138713121003140/0001387131-21-003140-index.htm,https://www.sec.gov/Archives/edgar/data/25743/000156459022011525/0001564590-22-011525-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,42579,34183,31511,73793,-12738,-15582,12430,131668,61535,98912,94109,142116,289887,373015,170542,-395553,-1654541,-695375,-12913365,-35120235,-28419313,-54217210,-85077024,-89875459,-76925380,-132617160,-176144999,-183524137,-172415000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,55187,54368,- -,- -,76203,61383,54845,56260,58145,52467,62400,132451,213117,293886,1391478,4066561,4093000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7790513,1868345,3207238,4239358,7189699,17411021,6889323,8661967,10693662,10678992,18125000
77,Change in Working Capital,- -,- -,-1415,74401,-47944,199910,-21028,-203473,88831,182598,112521,33659,-83004,-6228,295619,369636,-577960,-398841,-1109642,-276939,-545421,2928580,51070085,-6540397,14469457,64413154,1805303,19467595,9710883,-86245582,-202588773
78,Accounts Receivable,- -,- -,-4869,3558,4022,- -,6374,-5419,-11244,-45327,42516,278,-31583,- -,- -,- -,- -,86730,-10568,3525,-16409,-620469,-1068619,-458028,-917656,-3975893,167691,-6951041,-13639575,-8199558,-4327000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29996,-1027137,571592,-138495,491960,-386168,-409037,-1782312,-8593046,-3337189,-711000
80,Accounts Payable,- -,- -,2320,-5046,-105,- -,1214,14912,4383,-3613,6730,-2087,5902,- -,- -,- -,- -,-3513,229044,19051,188876,1334855,472851,4212912,-3200955,4232340,-3260914,18646241,-3562629,1887115,-750000
81,Other Working Capital,- -,- -,- -,74401,26457,226367,205339,1866,90697,273295,385816,419475,336471,330243,625862,995498,417538,18697,-1090945,-1367884,-1913305,1015275,52085360,45544963,60014420,124427574,126232877,145700472,155411355,69165773,-133423000
82,Other Non-Cash Items,- -,- -,18600,-35725,79882,-214919,111292,263653,-52728,-180293,-12108,-32494,128898,29839,-228354,-467179,751516,661391,2270642,1747763,646832,17529724,-46684224,10944786,-15688651,-61223500,-8137977,-2618069,-11348619,95553831,210092773
83,Cash Provided by Operating Activities,- -,- -,59764,72859,63449,58784,77526,44598,48533,133973,161948,100077,140003,207727,412339,329840,344098,-133003,-417338,836832,-4966596,-12737326,-20768069,-45520996,-79044119,-69142333,-76155614,-106811781,-165697595,-159470335,-142693000
84,CAPEX,- -,- -,-90000,-70354,-10557,- -,-95404,-211369,- -,- -,-21705,-62664,-247708,-311054,-92228,-57746,- -,- -,-841296,- -,-37636,-272506,-479824,-617442,-584361,-1241420,-827108,-21322447,-23892274,-1597907,-2223000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-16660,- -,-100000,- -,-3810,- -,- -,- -,-72931,-286669,-77429,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,8910,- -,13511,8012,4256,15000,- -,- -,95124,188700,56515,128943,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,51307,-4000,11985,133276,- -,- -,8458,- -,-15000,8159,-43364,77561,23857,112000,22756,- -,- -,-285500,-8870,-206101,-542771,-575794,-419104,-859302,-765291,-21280817,-21462409,-1390834,-2189000
89,Cash Used for Investing Activites,- -,- -,-46443,-74354,-85061,141288,-94958,-196369,8458,- -,-14512,-152474,-311986,-104550,-68371,54254,22756,- -,-841296,-285500,-37636,-272506,-583561,-606756,-584361,-1255456,-827108,-21497857,-23912694,-1597907,-2223000
90,Debt Repayment,- -,- -,- -,- -,- -,-50000,- -,-66631,-23369,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100696,-2350000,-5191847,- -,- -,- -,- -,- -,-81660719,- -,-50000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,1000000,7895485,78650353,42771353,91374649,134863475,68572635,89907797,77031258,31702635,184115000
92,Common Stock Repurchased,- -,- -,-105,- -,-9840,- -,-250,-24187,-200,-55,-200,- -,- -,- -,- -,- -,- -,-46570,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174642,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,50000,-3440,- -,90000,10000,- -,- -,30000,10000,- -,300622,-300622,-943949,- -,600700,-550000,3808410,8891400,530910,526746,1598579,2362060,4011614,72879290,193456386,49021678,-4563000
95,Cash Used/Provided by Financing Activities,- -,- -,-105,- -,40160,-53440,-250,-818,-13569,-55,-200,30000,10000,- -,300622,-300622,-943949,-221212,1300700,-550000,4707714,14436885,73989416,43298099,92973228,137225535,72584249,162787087,188826925,80724313,129552000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,13216,-1495,18548,146632,-17682,-152589,43422,133918,147236,-22397,-161983,103177,644590,83472,-577095,-354215,- -,1332,-296518,1427053,52637786,-2829653,13344748,66827746,-4398473,34477449,-783364,-80343929,-15364000
98,Cash at the End of Period,- -,- -,20880,19385,37933,184565,166883,14294,57716,191634,338870,316473,154490,257667,902257,985729,408634,54419,42066,1497,126421,1553474,54191260,51361607,64706355,131534101,127135628,161613077,160829713,80485784,65122000
99,Cash at the Beginning of Period,- -,- -,7664,20880,19385,37933,184565,166883,14294,57716,191634,338870,316473,154490,257667,902257,985729,408634,- -,165,422939,126421,1553474,54191260,51361607,64706355,131534101,127135628,161613077,160829713,80486000
100,Free Cash Flow,- -,- -,-30236,2505,52892,58784,-17878,-166771,48533,133973,140243,37413,-107705,-103327,320111,272094,344098,-133003,-1258634,836832,-5004232,-13009832,-21247893,-46138438,-79628480,-70383753,-76982722,-128134228,-189589869,-161068242,-144916000
