,https://roic.ai/company/SKKY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-411155,-108327,-327558,-1098011,1390249,-1131214,-776243,-523118,-574852,-327337,-189489
21,Income Before Tax Ratio,-0.5720,-0.1485,-0.4179,-1.1976,1.1381,-0.9649,-0.5809,-0.3567,-0.4204,-0.2172,-0.1035
22,Income Tax expense (Gain),- -,- -,-85870,-38748,-77767,-33770,-33317,-32275,-30482,-16004,-25901
23,Net Income,-411155,-108327,-241688,-1059263,-1312482,-1097444,-742926,-490843,-575854,-311333,-163588
24,Net Income ratio,-0.5720,-0.1485,-0.3084,-1.1553,-1.0744,-0.9361,-0.5560,-0.3347,-0.4211,-0.2066,-0.0894
25,EPS,-0.04,-0.00,-0.00,-0.02,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00
26,EPS Diluted,-0.04,-0.00,-0.00,-0.02,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00
27,Weighted Average Shares Outstanding,9000000,38871688,49334000,49909053,50787549,50876750,51057293,51328090,51423261,51576122,51576122
28,Weighted Average Shares Outstanding Diluted,9000000,38871688,49334000,49909053,50787549,50876750,51057293,51328090,51423261,51576122,51576122
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546853/000147793221000699/0001477932-21-000699-index.htm,https://www.sec.gov/Archives/edgar/data/1546853/000147793222000442/0001477932-22-000442-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,136296,122053,365415,977688,469994,266860,582671,677303,700410,816798,797808
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,136296,122053,365415,977688,469994,266860,582671,677303,700410,816798,797808
34,Net Receivables,106744,101885,88806,86564,168488,156977,147174,203052,146277,200527,259721
35,Inventory,- -,- -,- -,- -,11078,4079,2634,2319,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,11492,19528,7431,10690,17916,19770
37,Total Current Assets,243040,223938,454221,1064252,649560,439408,752007,890105,857377,1035241,1077299
38,PP&E,6065,4190,5398,3456,1762,1311,961,6060,8469,53048,26648
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2248,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,1648,2248,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,9095,9352,5996,7221,- -,- -,- -
45,Total Non-Current Assets,6065,4190,7046,5704,10857,10663,6957,13281,8469,53048,26648
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,249105,228128,461267,1069956,660417,450071,758964,903386,865846,1088289,1103947
48,Accounts Payable,44,6879,34567,58104,- -,59110,56653,74701,96979,156668,159840
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,20980,16234
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,59312,44845,77864,94711,103204,88386,111732,168728,204961
52,Other Current Liabilities,319855,311102,196304,402417,117558,49984,29987,84210,76821,222604,221924
53,Total Current Liabilities,319899,317981,290183,505366,195422,203805,189844,247297,285532,568980,602959
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,49935,48421
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,125818,210657,197434,- -,- -,- -,- -,- -,- -,-2,- -
58,Total Non-Current Liabilities,125818,210657,197434,- -,- -,- -,- -,- -,- -,49933,48421
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,40883,16234
61,Total Liabilities,445717,528638,487617,505366,195422,203805,189844,247297,285532,618913,651380
62,Preferred Stock,- -,5,5,5,193666,193666,193666,193666,193666,199,199
63,Common Stock,19000,49334,49334,50643,50877,50932,51288,51364,51577,51577,51577
64,Retained Earnings,-215612,-353944,-644065,-1703328,-3015810,-4113254,-4856180,-5347023,-5922877,-6234210,-6470423
65,Other Comprehensive Income/Loss,- -,- -,-70484,-67247,-68941,-69918,-82721,-81713,-81653,56430,80908
66,Other Total Stockholders Equity,- -,4095,638860,2284517,3305203,4184840,5263067,5839795,6339601,6595380,6790306
67,Total Stockholders Equity,-196612,-300510,-26350,564590,464995,246266,569120,656089,580314,469376,452567
68,Total Liabilities And Stockholders Equity,249105,228128,461267,1069956,660417,450071,758964,903386,865846,1088289,1103947
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,249105,228128,461267,1069956,660417,450071,758964,903386,865846,1088289,1103947
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546853/000147793221000699/0001477932-21-000699-index.htm,https://www.sec.gov/Archives/edgar/data/1546853/000147793222000442/0001477932-22-000442-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-411155,-108327,-241688,-1059263,-1312482,-1097444,-742926,-490843,-575854,-311333,-163588
74,Depreciation and Amortization,2969,1875,1761,1628,38978,978,701,496,480,2455,2624
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,452436,594625,504585,354750,387345,209437,194926
77,Change in Working Capital,76843,-17184,258081,394848,-104748,-218535,326560,80645,-70963,-105584,-119596
78,Accounts Receivable,32374,3997,13079,2242,-64664,14133,12242,-58486,25165,-47986,-59096
79,Inventory,- -,- -,- -,- -,-4610,7584,1117,311,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-5448,- -,27082,68346,59689,3172
81,Other Working Capital,-76859,-94043,164038,558886,454138,235603,562163,642808,571845,466261,36233
82,Other Non-Cash Items,-16,19092,231729,72857,422098,554215,-57223,177486,256199,306575,24649
83,Cash Provided by Operating Activities,-331359,-104544,249883,-589930,-503718,-166161,31697,122534,-2793,101550,-60985
84,CAPEX,-4669,- -,-4617,-2020,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1118,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4669,- -,-4617,-2020,-1118,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,9000,4600,- -,1248100,100000,- -,256300,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,125818,85701,-6652,-31209,- -,- -,- -,- -,5185,28717,15678
95,Cash Used/Provided by Financing Activities,134818,90301,-6652,1216891,100000,- -,256300,- -,5185,28717,15678
96,Effect of Forex Changes on Cash,- -,- -,4747,-12668,-102857,-36973,27814,-27902,54205,-13879,26317
97,Net Change In Cash,-201240,-14243,243361,612273,-507694,-203134,315811,94632,29583,116388,-18990
98,Cash at the End of Period,136296,122053,365415,977688,469994,266860,582671,677303,700410,816798,797808
99,Cash at the Beginning of Period,337536,136296,122054,365415,977688,469994,266860,582671,670827,700410,816798
100,Free Cash Flow,-336028,-104544,245266,-591950,-503718,-166161,31697,122534,-2793,101550,-60985
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546853/000147793221000699/0001477932-21-000699-index.htm,https://www.sec.gov/Archives/edgar/data/1546853/000147793222000442/0001477932-22-000442-index.htm
102,false,,,,,,,,,,,
