,https://roic.ai/company/EHTH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,- -,32000,128000,1113000,1683000,2633000,2295000,10810000,8055000,5601000,5991000,8476000,9647000,9213000,9894000,138899000,177442000,221003000,5750000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,923000,908000,3787000,14955000,8826000,8333000,9708000,7999000,9608000,11418000,6584000,5185000,5148000,4845000,4180000,7238000,16610000,278605000
37,Total Current Assets,- -,- -,- -,9662000,10451000,95374000,138152000,162094000,164151000,148592000,139661000,156058000,124464000,66475000,77542000,76142000,55032000,156168000,208146000,330992000,407587000
38,PP&E,- -,- -,- -,2563000,2761000,3936000,3791000,4567000,3775000,4528000,4631000,6185000,10283000,9640000,7364000,5608000,4705000,7684000,47139000,57167000,49478000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,14096000,14096000,14096000,14096000,14096000,14096000,14096000,14096000,40233000,40233000,40233000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12262000,10526000,8911000,7496000,10774000,9620000,8580000,7540000,12249000,10062000,8569000,1923000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,26358000,24622000,23007000,21592000,24870000,23716000,22676000,21636000,52482000,50295000,48802000,1923000
42,Investments,- -,- -,- -,- -,- -,- -,40000000,56000000,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,5165000,4535000,1314000,919000,3119000,3390000,2928000,4569000,- -,204000,204000,232000,232000,264000,- -,50796000
44,Other Non-Current Assets,- -,- -,- -,673000,1953000,453000,-39025000,-55220000,-21137000,3248000,5641000,8123000,5518000,5679000,4493000,4269000,7085000,222712000,435790000,603061000,639508000
45,Total Non-Current Assets,- -,- -,- -,3236000,4714000,9554000,9301000,6661000,5557000,37253000,38284000,40243000,41962000,40189000,35777000,32757000,33658000,283110000,533488000,709030000,741705000
46,Other Assets,28523000,18152000,14620000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28523000,18152000,14620000,12898000,15165000,104928000,147453000,168755000,169708000,185845000,177945000,196301000,166426000,106664000,113319000,108899000,88690000,439278000,741634000,1040022000,1149292000
48,Accounts Payable,- -,- -,- -,822000,1077000,1440000,1495000,2190000,3252000,3573000,2391000,6123000,4381000,5961000,3012000,5112000,3246000,5688000,24554000,36921000,13750000
49,Short-Term Debt,- -,- -,- -,- -,- -,221000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4759000,5192000,11086000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,3000,523000,62000,436000,427000,401000,2785000,314000,926000,1784000,869000,392000,959000,385000,876000,2570000,308000,- -
52,Other Current Liabilities,- -,- -,- -,4040000,5215000,7148000,9376000,10531000,11607000,13839000,15646000,13760000,21079000,19907000,28532000,21853000,23016000,54055000,81102000,41987000,50629000
53,Total Current Liabilities,- -,- -,- -,4865000,6815000,8871000,11307000,13148000,15260000,20197000,18351000,20809000,27244000,26737000,31936000,27924000,26647000,60619000,112985000,84408000,75465000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50796000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000,329000,443000,71000,47901000,64130000,72317000,50796000
57,Other Non-Current Liabilities,- -,- -,- -,86429000,86531000,317000,252000,628000,2997000,3451000,3920000,4625000,6165000,6039000,4633000,2931000,829000,22609000,37355000,45739000,-9876000
58,Total Non-Current Liabilities,- -,- -,- -,86429000,86531000,317000,252000,628000,2997000,3451000,3920000,4625000,6165000,6449000,4962000,3374000,900000,75510000,101485000,118056000,91716000
59,Other Liabilities,91382000,4184000,90072000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39064000,46561000,- -
61,Total Liabilities,91382000,4184000,90072000,91294000,93346000,9188000,11559000,13776000,18257000,23648000,22271000,25434000,33409000,33186000,36898000,31298000,27547000,136129000,214470000,202464000,167181000
62,Preferred Stock,- -,86351000,86422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,5000,5000,22000,25000,25000,25000,26000,26000,27000,28000,29000,29000,29000,30000,31000,35000,38000,39000
64,Retained Earnings,-63550000,-73196000,-76391000,-79718000,-80132000,-63655000,-32060000,-17892000,-2545000,14937000,21661000,28743000,30466000,14261000,9498000,4616000,-20796000,204965000,271852000,316155000,193213000
65,Other Comprehensive Income/Loss,- -,- -,- -,-104000,-37000,-203000,82000,390000,223000,205000,180000,185000,160000,179000,193000,176000,201000,127000,116000,350000,390000
66,Other Total Stockholders Equity,691000,87164000,939000,1421000,1983000,159576000,167847000,172456000,153748000,147029000,133807000,141912000,102363000,59009000,66701000,72780000,81708000,98026000,255161000,521015000,555877000
67,Total Stockholders Equity,-62859000,13968000,-75452000,-78396000,-78181000,95740000,135894000,154979000,151451000,162197000,155674000,170867000,133017000,73478000,76421000,77601000,61143000,303149000,527164000,837558000,749519000
68,Total Liabilities And Stockholders Equity,28523000,18152000,14620000,12898000,15165000,104928000,147453000,168755000,169708000,185845000,177945000,196301000,166426000,106664000,113319000,108899000,88690000,439278000,741634000,1040022000,916700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232592000
70,Total Liabilities & Equity,28523000,18152000,14620000,12898000,15165000,104928000,147453000,168755000,169708000,185845000,177945000,196301000,166426000,106664000,113319000,108899000,88690000,439278000,741634000,1040022000,1149292000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333493/000119312507060688/0001193125-07-060688-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312508058976/0001193125-08-058976-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312509053969/0001193125-09-053969-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000119312510048905/0001193125-10-048905-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000119312511067102/0001193125-11-067102-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312512115547/0001193125-12-115547-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349313000033/0001333493-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349314000029/0001333493-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349315000016/a10kehth12312014.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349316000078/0001333493-16-000078-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349317000021/0001333493-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349318000025/0001333493-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000162828019002899/0001628280-19-002899-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349320000021/0001333493-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349321000019/0001333493-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349322000023/0001333493-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-3327000,-414000,16503000,31595000,14168000,15347000,17482000,6724000,7082000,1723000,-16205000,-4763000,-4882000,-25412000,241000,66887000,45450000,-104375000
74,Depreciation and Amortization,- -,- -,- -,1484000,1136000,1526000,1709000,1863000,2211000,3347000,4404000,4026000,4680000,5721000,5928000,5515000,5341000,6771000,8991000,12943000,5966000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-7422000,-10303000,9451000,9352000,14274000,5604000,1071000,-1368000,9163000,101000,114000,-401000,2812000,16197000,8817000,-21522000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4835000,6395000,7096000,5622000,7802000,5877000,7002000,7266000,9694000,12540000,22570000,25172000,32857000
77,Change in Working Capital,- -,- -,- -,1145000,-1161000,82867000,40342000,22101000,-55000,-20496000,-7085000,13939000,-38029000,-57482000,5868000,2612000,-19833000,67164000,-388000,151423000,85538000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-290000,-8146000,3383000,3587000,-118000,-3614000,-1447000,434000,-681000,-2127000,1270000,533000,-3952000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1060000,-459000,-1948000,3732000,-1742000,1581000,-2949000,2227000,-1866000,1414000,19694000,12294000,-23052000
81,Other Working Capital,- -,- -,- -,4797000,3636000,86503000,126845000,148946000,148891000,128395000,121310000,135249000,97220000,39738000,45606000,48218000,28385000,95549000,95161000,246584000,332122000
82,Other Non-Cash Items,- -,- -,- -,99000,3056000,-82062000,-37151000,-17389000,-1604000,-493000,5798000,-6849000,46139000,54705000,-440000,-6542000,15070000,-92758000,-185749000,-351665000,-161086000
83,Cash Provided by Operating Activities,- -,- -,- -,-599000,2617000,11412000,26192000,30194000,30086000,20509000,22541000,24891000,20947000,1779000,13696000,4083000,-15541000,-3230000,-71492000,-107860000,-162622000
84,CAPEX,- -,- -,- -,-1582000,-1337000,-2248000,-1777000,-2482000,-1433000,-2948000,-2407000,-3853000,-7326000,-8104000,-2996000,-3726000,-5078000,-10828000,-16872000,-23756000,-20857000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27203000,-4190000,- -,- -,- -,- -,- -,- -,-14929000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-3000,-5000,-54343000,-85653000,-40550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180505000,-103058000
87,Sales/Maturities of Investments,- -,- -,- -,7002000,- -,- -,14435000,69429000,73938000,22100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,130978000,111284000
88,Other Investing Activites,- -,- -,- -,27000,101000,- -,14000,- -,-1280000,-2550000,- -,-6243000,- -,-4500000,- -,- -,-3210000,-6294000,-10303000,-16005000,-16992000
89,Cash Used for Investing Activites,- -,- -,- -,5447000,-1239000,-2253000,-41671000,-18706000,30675000,-10601000,-6597000,-10096000,-7326000,-8104000,-2996000,-3726000,-5078000,-25757000,-16944000,-73283000,-12631000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-41000,-44000,-63000,-43000,-53000,-74000,-73000,-83000,-105000,-103000,-5105000,-157000,-150000
91,Common Stock Issued,- -,- -,- -,232000,362000,75228000,6868000,1547000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126051000,228024000,8699000
92,Common Stock Repurchased,- -,- -,- -,- -,-1022000,- -,- -,-639000,-29360000,-26203000,-25355000,-9434000,-59007000,-50000000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-17000,-22000,-3515000,-416000,298000,5839000,13081000,5037000,11917000,11657000,743000,650000,-1186000,-765000,1963000,-18805000,-26618000,204692000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,215000,-682000,71713000,6452000,1206000,-23562000,-13166000,-20381000,2440000,-47403000,-49331000,577000,-1269000,-870000,1860000,102141000,201249000,213241000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000,64000
97,Net Change In Cash,- -,- -,- -,5063000,708000,80901000,-8921000,12741000,37203000,-3265000,-4467000,17242000,-33794000,-55640000,11295000,-929000,-21488000,-27204000,13731000,20293000,38052000
98,Cash at the End of Period,- -,- -,- -,8707000,9415000,90316000,81395000,94136000,131339000,128074000,123607000,140849000,107055000,51415000,62710000,61781000,40293000,13089000,26820000,47113000,85165000
99,Cash at the Beginning of Period,- -,- -,- -,3644000,8707000,9415000,90316000,81395000,94136000,131339000,128074000,123607000,140849000,107055000,51415000,62710000,61781000,40293000,13089000,26820000,47113000
100,Free Cash Flow,- -,- -,- -,-2181000,1280000,9164000,24415000,27712000,28653000,17561000,20134000,21038000,13621000,-6325000,10700000,357000,-20619000,-14058000,-88364000,-131616000,-183479000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1333493/000119312507060688/0001193125-07-060688-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312508058976/0001193125-08-058976-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312509053969/0001193125-09-053969-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000119312510048905/0001193125-10-048905-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000119312511067102/0001193125-11-067102-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312512115547/0001193125-12-115547-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349313000033/0001333493-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349314000029/0001333493-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349315000016/a10kehth12312014.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349316000078/0001333493-16-000078-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349317000021/0001333493-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349318000025/0001333493-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000162828019002899/0001628280-19-002899-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349320000021/0001333493-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349321000019/0001333493-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349322000023/0001333493-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
