,https://roic.ai/company/ALPN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,78060947,41880373,- -,- -,66000,- -,11429000,11815000,- -
58,Total Non-Current Liabilities,- -,91410725,41880373,- -,- -,4410000,2155000,15938000,40765000,65219000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,11429000,12470000,- -
61,Total Liabilities,- -,95422411,44295590,4419000,6499000,6305000,10282000,24619000,81932000,134997000
62,Preferred Stock,- -,1992,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,171,2211,15000,16000,14000,14000,19000,24000,30000
64,Retained Earnings,- -,-110983067,-126019079,-148837000,-180300000,-9384000,-46074000,-87926000,-115866000,-166199000
65,Other Comprehensive Income/Loss,- -,-1335697,-1401165,3000,-17000,-59000,-13000,10000,53000,-273000
66,Other Total Stockholders Equity,- -,21028598,111665709,232309000,235737000,88346000,90664000,117371000,177947000,287345000
67,Total Stockholders Equity,- -,-91288003,-15752324,83490000,55436000,78917000,44591000,29474000,62158000,120903000
68,Total Liabilities And Stockholders Equity,- -,4134408,28543266,87909000,61935000,85222000,54873000,54093000,144090000,255900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4134408,28543266,87909000,61935000,85222000,54873000,54093000,144090000,255900000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1626199/000155837016003896/0001558370-16-003896-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000155837017000560/0001558370-17-000560-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000156459018006916/0001564590-18-006916-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619919000010/0001626199-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619920000009/0001626199-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619921000038/0001626199-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619922000032/0001626199-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-9572760,-16198000,-15036012,-22818000,-31463000,-7783000,-36487000,-41852000,-27940000,-50333000
74,Depreciation and Amortization,212033,219000,86440,66000,143000,241000,388000,468000,578000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-305000,- -,- -,- -
76,Stock Based Compensation,17731,98000,69627,1343000,3263000,838000,2309000,3041000,4140000,- -
77,Change in Working Capital,-205952,-2207223,28235474,57240309,-28103000,25489000,-35235000,-11797000,32313000,10061000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,111351,400000,258253,65000,927000,66000,1523000,- -,- -,- -
81,Other Working Capital,-1560,-2208783,26026691,83267000,55164000,80653000,45418000,33621000,65934000,75995000
82,Other Non-Cash Items,30510,3795223,-27803353,-55038309,29901000,-35357000,40914000,14794000,20993000,40272000
83,Cash Provided by Operating Activities,-9518438,-14293000,-14447824,-19207000,-26259000,-16572000,-28416000,-35346000,30084000,- -
84,CAPEX,-29599,-125000,-4100,-188000,-106000,-586000,-495000,-821000,-802000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,31130000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-76260000,-75324000,-88307000,-72863000,-59382000,-101328000,- -
87,Sales/Maturities of Investments,- -,- -,- -,14000000,100735000,27960000,105226000,76966000,29311000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -
89,Cash Used for Investing Activites,-29599,-125000,-4100,-62448000,25305000,-29803000,32118000,16763000,-72819000,- -
90,Debt Repayment,-821425,-1189000,-3139693,- -,- -,- -,-1000000,-1333000,- -,- -
91,Common Stock Issued,2000000,12000000,11867845,78771000,20000,- -,- -,23598000,56258000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10484036,- -,32437439,63000,146000,42688000,9000,1990000,5123000,- -
95,Cash Used/Provided by Financing Activities,11662611,10811000,41165591,78834000,166000,42688000,-991000,24255000,61381000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-6000,58000,- -
97,Net Change In Cash,2114574,-3607000,26713667,-2821000,-788000,-3687000,2711000,5666000,18704000,- -
98,Cash at the End of Period,4704567,1098000,27811557,24991000,24203000,8132000,10843000,16509000,35213000,- -
99,Cash at the Beginning of Period,2589993,4705000,1097890,27812000,24991000,11819000,8132000,10843000,16509000,35213000
100,Free Cash Flow,-9548037,-14418000,-14451924,-19395000,-26365000,-17158000,-28911000,-36167000,29282000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1626199/000155837016003896/0001558370-16-003896-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000155837017000560/0001558370-17-000560-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000156459018006916/0001564590-18-006916-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619919000010/0001626199-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619920000009/0001626199-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619921000038/0001626199-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619922000032/0001626199-22-000032-index.htm
102,false,,,,,,,,,,
