,https://roic.ai/company/PUBM,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -
47,Total Assets,178223000,207445000,371246000,550215000
48,Accounts Payable,81861000,99384000,176731000,244321000
49,Short-Term Debt,- -,- -,- -,11592000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,8595000,11120000,14844000,11052000
53,Total Current Liabilities,90456000,110504000,191575000,266965000
54,Long-Term Debt,- -,- -,- -,35684000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1561000,6067000
57,Other Non-Current Liabilities,64117000,64621000,2683000,-15681000
58,Total Non-Current Liabilities,64117000,64621000,4244000,26070000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,154573000,175125000,195819000,293035000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,19026000,19026000,6000,6000
64,Retained Earnings,9435000,16078000,42691000,99295000
65,Other Comprehensive Income/Loss,-40171000,-47062000,-59103000,-36000
66,Other Total Stockholders Equity,35360000,44278000,191833000,157915000
67,Total Stockholders Equity,23650000,32320000,175427000,257180000
68,Total Liabilities And Stockholders Equity,178223000,207445000,371246000,550215000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,178223000,207445000,371246000,550215000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1422930/000142293021000009/0001422930-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1422930/000142293022000009/0001422930-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,4425000,6643000,26613000,56604000
74,Depreciation and Amortization,12285000,12671000,15743000,23073000
75,Deferred Income Tax,-4000,193000,2933000,4753000
76,Stock Based Compensation,3175000,2002000,3563000,14107000
77,Change in Working Capital,-4722000,7687000,68402000,58245000
78,Accounts Receivable,-24183000,-11919000,-102175000,-67405000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-24183000,-11919000,-102175000,68301000
81,Other Working Capital,59450000,67137000,135539000,193784000
82,Other Non-Cash Items,436000,5929000,-92924000,-68101000
83,Cash Provided by Operating Activities,15595000,35125000,24330000,88681000
84,CAPEX,-9657000,-14995000,-31403000,-39361000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-26992000,-38045000,-36719000,-90562000
87,Sales/Maturities of Investments,23900000,30951000,38245000,33200000
88,Other Investing Activites,-4470000,-5442000,-7226000,-8929000
89,Cash Used for Investing Activites,-12749000,-22089000,-29877000,-96723000
90,Debt Repayment,-3000000,- -,- -,-10000
91,Common Stock Issued,- -,- -,45811000,4804000
92,Common Stock Repurchased,-301000,-5000,-3000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,-4692000,4000,6677000,4565000
95,Cash Used/Provided by Financing Activities,-7993000,-1000,52485000,9359000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-5147000,13035000,46938000,1317000
98,Cash at the End of Period,21215000,34250000,81188000,82505000
99,Cash at the Beginning of Period,26362000,21215000,34250000,81188000
100,Free Cash Flow,5938000,20130000,-7073000,49320000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1422930/000142293021000009/0001422930-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1422930/000142293022000009/0001422930-22-000009-index.htm
102,false,,,,
