,https://roic.ai/company/FN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,7596000,2715000,1358000,- -,- -,1308000,- -,- -,- -,- -,- -,- -,- -,2239000,1556000,1680000
52,Other Current Liabilities,33155000,19619000,19752000,8502000,15918000,19494000,79590000,26132000,19700000,29729000,59073000,47264000,46257000,49544000,70252000,81374000
53,Total Current Liabilities,143344000,95635000,93675000,70012000,124903000,117800000,175258000,112900000,120600000,181048000,255725000,311272000,270117000,313048000,337546000,444358000
54,Long-Term Debt,12498000,9825000,23318000,19385000,14377000,12000000,28911000,19200000,10500000,4500000,36100000,22701000,61454000,57790000,45387000,31208000
55,Deferred Revenue,131000,1358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2481000,1040000,737000,854000,1981000,2284000,3561000,4729000,5107000
57,Other Non-Current Liabilities,6159000,3908000,5155000,5183000,5982000,6400000,6484000,3719000,5560000,7274000,8759000,15547000,13224000,17820000,19316000,22929000
58,Total Non-Current Liabilities,18788000,15091000,28473000,24568000,20359000,18400000,35395000,25400000,17100000,12511000,45713000,40229000,76962000,79171000,69432000,59244000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1368000,967000,500000,7852000,6443000
61,Total Liabilities,162132000,110726000,122148000,94580000,145262000,136200000,210653000,138300000,137700000,193559000,301438000,351501000,347079000,392219000,406978000,503602000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,296000,298000,300000,306000,337000,300000,345000,300000,400000,354000,362000,373000,377000,382000,385000,388000
64,Retained Earnings,52748000,102487000,142316000,163566000,177040000,241400000,184902000,253900000,345600000,389244000,451141000,548256000,632423000,754583000,868062000,1016296000
65,Other Comprehensive Income/Loss,-19677000,-30690000,-38000000,-43668000,-50495000,-55800000,- -,-73200000,-70200000,-44000,591000,-348000,-1257000,-2386000,-1147000,-6266000
66,Other Total Stockholders Equity,45316000,57260000,65949000,73301000,105281000,115627000,65462000,144318000,151036000,89390000,102325000,133293000,109396000,110520000,107109000,102102000
67,Total Stockholders Equity,78683000,129355000,170565000,193505000,232163000,301527000,250709000,325318000,426836000,478944000,554419000,681574000,740939000,863099000,974409000,1112520000
68,Total Liabilities And Stockholders Equity,240815000,240081000,292713000,288085000,377425000,437727000,461362000,463618000,564536000,672503000,855857000,1033075000,1088018000,1255318000,1381387000,1616122000
69,Minority Interest,- -,- -,- -,- -,- -,73000,- -,-18000,64000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,240815000,240081000,292713000,288085000,377425000,437800000,461362000,463600000,564600000,672503000,855857000,1033075000,1088018000,1255318000,1381387000,1616122000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408710/000119312511237974/0001193125-11-237974-index.html,- -,https://www.sec.gov/Archives/edgar/data/1408710/000119312513338274/0001193125-13-338274-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312514373828/d744961d10k.htm,https://www.sec.gov/Archives/edgar/data/1408710/000119312515296113/0001193125-15-296113-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312516684108/d209618d10k.htm,https://www.sec.gov/Archives/edgar/data/1408710/000119312517265630/0001193125-17-265630-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312518255054/0001193125-18-255054-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312519225268/0001193125-19-225268-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312520223682/0001193125-20-223682-index.htm,https://www.sec.gov/Archives/edgar/data/1408710/000140871021000034/0001408710-21-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,21454000,49739000,41829000,31304000,44323000,64300000,-56467000,69000000,91700000,43642000,61897000,97115000,84167000,120955000,113479000,148341000
74,Depreciation and Amortization,5592000,6360000,7624000,8727000,8209000,9195000,9713000,10211000,10658000,12947000,17357000,23793000,29087000,29944000,30875000,36252000
75,Deferred Income Tax,442000,8000,-89000,626000,-464000,-939000,-2242000,2086000,65000,-878000,864000,754000,-2074000,879000,1262000,-3473000
76,Stock Based Compensation,126000,811000,1144000,837000,655000,3460000,4649000,5100000,5547000,8027000,9927000,26507000,22581000,17157000,22203000,25462000
77,Change in Working Capital,390000,37412000,33045000,23057000,33053000,48477000,-37081000,65700000,92800000,2091000,71575000,69916000,96711000,126594000,86523000,110839000
78,Accounts Receivable,-37529000,18095000,-19839000,32510000,-37492000,-16229000,-10672000,4739000,17379000,-33797000,-61013000,-64142000,17852000,-13494000,-12260000,-63810000
79,Inventory,-12050000,-6705000,7194000,21666000,-49192000,-8336000,-13867000,14229000,-36051000,-6440000,-50598000,-53802000,-19432000,-44035000,-16174000,-112349000
80,Accounts Payable,40938000,-34457000,18680000,-12731000,49400000,-10414000,-6563000,-8861000,17714000,20466000,56308000,38293000,3502000,38807000,-5990000,96312000
81,Other Working Capital,64856000,102268000,135313000,158370000,191423000,239900000,- -,251100000,343900000,345991000,417566000,487482000,584193000,710787000,797310000,908149000
82,Other Non-Cash Items,-2931000,-68086000,-31662000,15806000,-67930000,-83211000,83679000,-103347000,-134220000,-13200000,-114532000,-147151000,-92392000,-148135000,-103682000,-198756000
83,Cash Provided by Operating Activities,25073000,26244000,51891000,80357000,17846000,41282000,2251000,48750000,66550000,52629000,47088000,70934000,138080000,147394000,150660000,118665000
84,CAPEX,-12286000,-12820000,-30003000,-7283000,-8604000,-22419000,-35682000,-10795000,-10836000,-51532000,-40995000,-70030000,-35402000,-18943000,-43507000,-44484000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9917000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-2940000,- -,- -,-203407000,-108341000,-122778000,-152908000,-233080000,-196373000,-244329000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1217000,- -,- -,59392000,108983000,111939000,129212000,153357000,191316000,258971000
88,Other Investing Activites,1441000,440000,-768000,-90000,-2494000,-1281000,-120000,4931000,37823000,-86000,371000,-1538000,-1128000,317000,-23864000,22448000
89,Cash Used for Investing Activites,-10845000,-12380000,-29815000,-7187000,-10718000,-23590000,-37378000,-5862000,26988000,-195499000,-39603000,-90556000,-58649000,-98067000,-71248000,-5442000
90,Debt Repayment,-8733000,-5129000,-26220000,-6280000,-7933000,-6008000,-5798000,-9668000,-12411000,-6000000,-47500000,-18533000,-12632000,-3718000,-70479000,-12288000
91,Common Stock Issued,65000,122000,237000,853000,484000,27894000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42401000,-5378000,-20722000,-18842000
93,Dividends Paid,- -,- -,- -,-10054000,-30849000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-8460000,-8126000,17760000,1645000,1000000,2000000,29000000,540000,4240000,28537000,70362000,31965000,927000,-14127000,55896000,-11624000
95,Cash Used/Provided by Financing Activities,-17128000,-13133000,-8223000,-13836000,-37298000,23886000,23202000,-9128000,-8171000,22537000,22862000,13432000,-54106000,-23223000,-35305000,-42754000
96,Effect of Forex Changes on Cash,10000,79000,956000,-171000,267000,762000,150000,449000,-1606000,-166000,-521000,523000,-1029000,704000,484000,-178000
97,Net Change In Cash,-2890000,810000,14809000,59163000,-29903000,42340000,-11775000,34209000,83761000,-120499000,29826000,-5667000,24296000,26808000,44591000,70291000
98,Cash at the End of Period,40063000,40873000,55682000,114845000,84942000,127282000,115507000,149716000,233477000,112978000,142804000,137137000,161433000,188241000,232832000,303123000
99,Cash at the Beginning of Period,42953000,40063000,40873000,55682000,114845000,84942000,127282000,115507000,149716000,233477000,112978000,142804000,137137000,161433000,188241000,232832000
100,Free Cash Flow,12787000,13424000,21888000,73074000,9242000,18863000,-33431000,37955000,55714000,1097000,6093000,904000,102678000,128451000,107153000,74181000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408710/000119312511237974/0001193125-11-237974-index.html,- -,https://www.sec.gov/Archives/edgar/data/1408710/000119312513338274/0001193125-13-338274-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312514373828/d744961d10k.htm,https://www.sec.gov/Archives/edgar/data/1408710/000119312515296113/0001193125-15-296113-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312516684108/d209618d10k.htm,https://www.sec.gov/Archives/edgar/data/1408710/000119312517265630/0001193125-17-265630-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312518255054/0001193125-18-255054-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312519225268/0001193125-19-225268-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312520223682/0001193125-20-223682-index.htm,https://www.sec.gov/Archives/edgar/data/1408710/000140871021000034/0001408710-21-000034-index.htm
102,false,,,,,,,,,,,,,,,,
