,https://roic.ai/company/HGEN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1293310/000119312513134980/0001193125-13-134980-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000104746914002331/a2218868z10-k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000155837015000364/kbio-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465916013550/s82516010k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465917001799/0001214659-17-001799-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465918002397/0001214659-18-002397-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465919002284/0001214659-19-002284-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465920002661/0001214659-20-002661-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465921002990/0001214659-21-002990-index.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465922003416/0001214659-22-003416-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-26810000,-5100000,-2230000,-23510000,-41950000,-37998000,-35378000,-27019000,-21987000,-12004000,-10294000,-89535000,-236649000
74,Depreciation and Amortization,844000,843000,595000,304000,298000,310000,197000,102000,48000,19000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,345000,299000,221000,821000,1440000,2013000,1971000,844000,2115000,4812000,2025000,2110000,5368000
77,Change in Working Capital,824000,16566000,-5640000,3550000,52300000,-42148000,-13798000,-13669000,-19830000,16141000,-6178000,60939000,-45551000
78,Accounts Receivable,-28000,-509000,332000,90000,43000,44000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-481000,487000,-908000,2007000,1223000,-1375000,2465000,4474000,-520000,-198000,2190000,8032000,29332000
81,Other Working Capital,-436000,16130000,10490000,14040000,66340000,24192000,10394000,-3275000,-23105000,-6964000,-13142000,47797000,2246000
82,Other Non-Cash Items,-222000,1793000,-8276000,-5071000,-50903000,41884000,17945000,18781000,25405000,-15177000,10446000,-43367000,92787000
83,Cash Provided by Operating Activities,-25019000,14401000,-15330000,-23906000,-38815000,-35939000,-29063000,-20961000,-14249000,-6209000,-4001000,-69853000,-184045000
84,CAPEX,-293000,-68000,-463000,-20000,-344000,-448000,-136000,- -,- -,- -,- -,-20000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-28497000,-59344000,-26974000,-25507000,-46852000,-54163000,-3703000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,33955000,49225000,36891000,30432000,33276000,46379000,33371000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-183000,278000,170000,- -,12000,565000,103000,- -,- -,- -,-20000,- -
89,Cash Used for Investing Activites,5165000,-10370000,9732000,5075000,-13920000,-8220000,30097000,103000,- -,- -,- -,-20000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-4211000,-3452000,- -,- -,- -,-505000,-3776000,- -
91,Common Stock Issued,7000,119000,34000,84000,97530000,73000,8219000,10132000,- -,2781000,185000,139760000,159915000
92,Common Stock Repurchased,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4991000,- -,- -,26356000,-1522000,5000000,-8293000,5201000,12080000,3475000,3650000,1482000,26409000
95,Cash Used/Provided by Financing Activities,4988000,119000,34000,26440000,96008000,862000,-3526000,15333000,12080000,6256000,3330000,137466000,186324000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-14866000,4150000,-5564000,7609000,43273000,-43297000,-2492000,-5525000,-2169000,47000,-671000,67593000,2279000
98,Cash at the End of Period,4752000,8902000,3338000,10947000,54220000,10923000,8431000,2906000,737000,885000,214000,67807000,70016000
99,Cash at the Beginning of Period,19618000,4752000,8902000,3338000,10947000,54220000,10923000,8431000,2906000,838000,885000,214000,67737000
100,Free Cash Flow,-25312000,14333000,-15793000,-23926000,-39159000,-36387000,-29199000,-20961000,-14249000,-6209000,-4001000,-69873000,-184045000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293310/000119312513134980/0001193125-13-134980-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000104746914002331/a2218868z10-k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000155837015000364/kbio-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465916013550/s82516010k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465917001799/0001214659-17-001799-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465918002397/0001214659-18-002397-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465919002284/0001214659-19-002284-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465920002661/0001214659-20-002661-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465921002990/0001214659-21-002990-index.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465922003416/0001214659-22-003416-index.htm
102,false,,,,,,,,,,,,,
