,https://roic.ai/company/IQV,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,20147000,55710000,10433000,826000,48513000,92000000,103000000,100000000,100000000,149000000,91000000
50,Tax Payable,- -,47039000,9639000,35778000,55694000,35173000,76000000,72000000,100000000,108000000,102000000,137000000
51,Deferred Revenue,- -,398471000,456587000,538585000,543305000,584646000,774000000,733000000,1007000000,1014000000,1252000000,1825000000
52,Other Current Liabilities,- -,703487000,720955000,832613000,819026000,815533000,1589000000,1746000000,1990000000,319000000,344000000,2704000000
53,Total Current Liabilities,- -,1192133000,1317964000,1482247000,1471900000,1594176000,2705000000,2904000000,3534000000,3945000000,4558000000,5241000000
54,Long-Term Debt,- -,1951708000,2366268000,2035586000,2292491000,2419293000,7108000000,10122000000,10907000000,11545000000,12755000000,12347000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,9866000,11616000,37541000,61797000,65702000,2133000000,918000000,736000000,646000000,338000000,410000000
57,Other Non-Current Liabilities,- -,138806000,162349000,178908000,183656000,182826000,402000000,440000000,418000000,852000000,633000000,649000000
58,Total Non-Current Liabilities,- -,2100380000,2540233000,2252035000,2537944000,2667821000,9643000000,11480000000,12061000000,13043000000,13726000000,13406000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000000,371000000,313000000
61,Total Liabilities,- -,3292513000,3858197000,3734282000,4009844000,4261997000,12348000000,14384000000,15595000000,16988000000,18284000000,18647000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1160000,4554000,478144000,143828000,8784000,10602000000,10782000000,10901000000,11049000000,11095000000,10777000000
64,Retained Earnings,- -,-994415000,-1371772000,-1145181000,-788798000,-461635000,-399000000,655000000,807000000,998000000,1277000000,2243000000
65,Other Comprehensive Income/Loss,- -,22871000,7695000,-376000,-59091000,-111366000,-570000000,46000000,-224000000,-311000000,-205000000,-406000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-1000000000,-3374000000,-4770000000,-5733000000,-6166000000,-6572000000
67,Total Stockholders Equity,- -,-970384000,-1359523000,-667413000,-704061000,-564217000,8633000000,8109000000,6714000000,6003000000,6001000000,6042000000
68,Total Liabilities And Stockholders Equity,- -,2322129000,2498674000,3066869000,3305783000,3697780000,20981000000,22493000000,22309000000,22991000000,24285000000,24689000000
69,Minority Interest,- -,788000,479000,-72000,49000,228536000,227000000,249000000,240000000,260000000,279000000,- -
70,Total Liabilities & Equity,- -,2322917000,2499153000,3066797000,3305832000,3926316000,21208000000,22742000000,22549000000,23251000000,24564000000,24689000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1478242/000119312514050071/0001193125-14-050071-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000119312515045845/0001193125-15-045845-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459016012629/0001564590-16-012629-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000119312517046709/0001193125-17-046709-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459018002340/0001564590-18-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459019003180/0001564590-19-003180-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459020004901/0001564590-20-004901-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000147824221000020/0001478242-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000147824222000041/0001478242-22-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,160596000,241772000,177546000,226591000,356383000,387205000,115000000,1309000000,259000000,191000000,279000000,966000000
74,Depreciation and Amortization,84217000,92004000,98288000,107504000,121013000,127742000,289000000,1011000000,1141000000,1202000000,1287000000,1264000000
75,Deferred Income Tax,-9005000,-73216000,16595000,-24236000,-6168000,18351000,135000000,-1216000000,-177000000,-157000000,-176000000,-138000000
76,Stock Based Compensation,17329000,14130000,25926000,22826000,30001000,37758000,80000000,106000000,113000000,146000000,95000000,170000000
77,Change in Working Capital,103300000,- -,18685000,271411000,210742000,143626000,-185809000,-86000000,-206000000,-159000000,351000000,680000000
78,Accounts Receivable,2751000,-115748000,-60255000,- -,- -,- -,- -,- -,- -,- -,255000000,-138000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,38914000,67382000,58345000,107047000,45804000,104350000,160000000,90000000,368000000,240000000,253000000,244000000
81,Other Working Capital,173345000,173345000,192030000,463441000,674183000,817809000,632000000,546000000,340000000,181000000,532000000,591000000
82,Other Non-Cash Items,21723000,-113737000,-1339000,-206726000,-280217000,-238991000,426809000,-154000000,124000000,194000000,123000000,- -
83,Cash Provided by Operating Activities,378160000,160953000,335701000,397370000,431754000,475691000,860000000,970000000,1254000000,1417000000,1959000000,2942000000
84,CAPEX,-80236000,-75679000,-71336000,-92346000,-82650000,-78391000,-164000000,-369000000,-459000000,-582000000,-616000000,-640000000
85,Acquisitions Net,-101874000,-135821000,-47420000,-149988000,-96673000,19375000,1870000000,-827000000,-326000000,-588000000,-167000000,-1463000000
86,Purchases of Investments,-7056000,-32684000,-13365000,- -,- -,-10981000,-40000000,- -,-27000000,-25000000,-11000000,-10000000
87,Sales/Maturities of Investments,21695000,- -,70000,- -,5861000,- -,41000000,2000000,- -,- -,- -,5000000
88,Other Investing Activites,26037000,19346000,-182000,-90187000,-82302000,-75349000,-140000000,-365000000,-457000000,-577000000,-2000000,5000000
89,Cash Used for Investing Activites,-141434000,-224838000,-132233000,-240175000,-173114000,-66955000,1731000000,-1190000000,-810000000,-1190000000,-796000000,-2103000000
90,Debt Repayment,-97212000,-1719879000,-2000879000,-2448412000,-182769000,-2061076000,-1951000000,-4652000000,-3061000000,-3675000000,-2499000000,-2691000000
91,Common Stock Issued,67000,- -,3466000,525000000,35228000,64297000,97000000,91000000,15000000,- -,- -,- -
92,Common Stock Repurchased,-9336000,-14324000,-13363000,-6434000,-415131000,-515010000,-1097000000,-2620000000,-1405000000,-949000000,-447000000,-406000000
93,Dividends Paid,-67493000,-288322000,-567851000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20893000,1963216000,2431754000,2000803000,432328000,2262543000,667000000,7109000000,3999000000,4348000000,2729000000,1862000000
95,Cash Used/Provided by Financing Activities,-153081000,-59309000,-146873000,70957000,-130344000,-249246000,-2284000000,-72000000,-452000000,-276000000,-217000000,-1235000000
96,Effect of Forex Changes on Cash,-2804000,-7122000,-5166000,-17737000,-39081000,-49697000,-86000000,53000000,-60000000,-5000000,31000000,-52000000
97,Net Change In Cash,80841000,-130316000,51429000,210415000,89215000,109793000,221000000,-239000000,-68000000,-54000000,977000000,-448000000
98,Cash at the End of Period,646615000,516299000,567728000,778143000,867358000,977151000,1198000000,959000000,891000000,837000000,1814000000,1366000000
99,Cash at the Beginning of Period,565774000,646615000,516299000,567728000,778143000,867358000,977000000,1198000000,959000000,891000000,837000000,1814000000
100,Free Cash Flow,297924000,85274000,264365000,305024000,349104000,397300000,696000000,601000000,795000000,835000000,1343000000,2302000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1478242/000119312514050071/0001193125-14-050071-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000119312515045845/0001193125-15-045845-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459016012629/0001564590-16-012629-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000119312517046709/0001193125-17-046709-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459018002340/0001564590-18-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459019003180/0001564590-19-003180-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459020004901/0001564590-20-004901-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000147824221000020/0001478242-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000147824222000041/0001478242-22-000041-index.htm
102,false,,,,,,,,,,,,
