,https://roic.ai/company/GOLF,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,1095894000,678840000,505240000,573149000,469770000,506298000,491497000,439246000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1442747000,1434431000,967348000,879932000,764637000,865416000,849176000,922270000
62,Preferred Stock,- -,131036000,131036000,- -,- -,- -,807000,126000,- -
63,Common Stock,- -,18000,22000,74000,74000,75000,76000,76000,76000
64,Retained Earnings,- -,-66934000,-81647000,-53951000,1618000,72946000,151039000,199776000,324966000
65,Other Comprehensive Income/Loss,- -,-41058000,-67234000,-90834000,-81691000,-89039000,-112028000,-96182000,-99582000
66,Other Total Stockholders Equity,- -,264561000,309110000,880576000,894727000,910890000,879353000,880279000,854807000
67,Total Stockholders Equity,- -,287623000,291287000,735865000,814728000,894872000,919247000,984075000,1080267000
68,Total Liabilities And Stockholders Equity,- -,1730370000,1725718000,1703213000,1694660000,1659509000,1784663000,1833251000,2002537000
69,Minority Interest,- -,32333000,33255000,32958000,32664000,32112000,32386000,33304000,-65014000
70,Total Liabilities & Equity,- -,1762703000,1758973000,1736171000,1727324000,1691621000,1817049000,1866555000,1937523000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1672013/000155837017002327/0001558370-17-002327-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000155837018001635/0001558370-18-001635-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201319000009/0001672013-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201320000008/0001672013-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201321000013/0001672013-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1672013/000167201322000009/0001672013-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,19636000,21557000,-966000,45012000,92114000,99872000,121070000,96006000,184240000
74,Depreciation and Amortization,39423000,43159000,41702000,40834000,40871000,40496000,43002000,45429000,41243000
75,Deferred Income Tax,-15861000,-11293000,2188000,7849000,27853000,15541000,8474000,-3984000,- -
76,Stock Based Compensation,1138000,632000,2033000,14494000,15285000,18563000,10975000,16016000,27639000
77,Change in Working Capital,22325000,256128000,-374006000,286491000,177870000,-11159000,14566000,58428000,44024000
78,Accounts Receivable,-15514000,-35594000,-174000,12630000,-2592000,571000,-27092000,22744000,16679000
79,Inventory,-16320000,-16192000,-45415000,-2377000,-28372000,805000,-25168000,49006000,-64238000
80,Accounts Payable,15947000,-2585000,-1998000,1968000,974000,-5789000,10851000,9952000,48784000
81,Other Working Capital,33810000,289938000,-84068000,202423000,380293000,369134000,383700000,442128000,486152000
82,Other Non-Cash Items,12134000,-256070000,420879000,-289492000,-381030000,420000,-63804000,52530000,16976000
83,Cash Provided by Operating Activities,78795000,54113000,91830000,105188000,-27037000,163733000,134283000,264425000,314122000
84,CAPEX,-46459000,-23527000,-23201000,-19175000,-18845000,-32801000,-32956000,-24675000,-37597000
85,Acquisitions Net,- -,- -,- -,- -,- -,-16902000,-28104000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,99000,- -,1362000,-919000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-46360000,-23527000,-21839000,-20094000,-18845000,-49703000,-61060000,-24675000,-37597000
90,Debt Repayment,-59504000,-54503000,-84503000,-439503000,-23750000,-61719000,-384844000,-17500000,-2704000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-29352000,-6976000,- -
93,Dividends Paid,-13894000,-13786000,-13747000,-17316000,-35744000,-39057000,-43490000,-46065000,-49167000
94,Other Financing Activites,45219000,38135000,38193000,394156000,68749000,-28107000,387358000,-58046000,-88455000
95,Cash Used/Provided by Financing Activities,-28179000,-30154000,-60057000,-62663000,9255000,-128883000,-70328000,-128587000,-140326000
96,Effect of Forex Changes on Cash,-606000,-2522000,-3192000,-2425000,5209000,-1855000,275000,6105000,-5974000
97,Net Change In Cash,3650000,-2090000,6742000,20006000,-31418000,-16708000,3170000,117268000,130225000
98,Cash at the End of Period,49257000,53767000,54409000,79140000,47722000,31014000,34184000,151452000,281677000
99,Cash at the Beginning of Period,45607000,55857000,47667000,59134000,79140000,47722000,31014000,34184000,151452000
100,Free Cash Flow,32336000,30586000,68629000,86013000,-45882000,130932000,101327000,239750000,276525000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1672013/000155837017002327/0001558370-17-002327-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000155837018001635/0001558370-18-001635-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201319000009/0001672013-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201320000008/0001672013-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201321000013/0001672013-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1672013/000167201322000009/0001672013-22-000009-index.htm
102,false,,,,,,,,,
