,https://roic.ai/company/SRLP,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1525287/000119312514118659/0001193125-14-118659-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000119312515093473/0001193125-15-093473-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528716000068/0001525287-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528717000047/0001525287-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528718000037/0001525287-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528719000016/0001525287-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528720000012/0001525287-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528721000017/0001525287-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528722000013/0001525287-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3854000,31829000,3691000,998000,4080000,30974000,2682000,6815000,7530000,5386000,3771000,669000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3854000,31829000,3691000,998000,4080000,30974000,2682000,6815000,7530000,5386000,3771000,669000
34,Net Receivables,- -,250202000,229306000,255099000,240779000,289860000,162545000,222333000,316613000,269908000,281527000,193015000,- -
35,Inventory,- -,323425000,401210000,472596000,348107000,390555000,241320000,318899000,335859000,259568000,293224000,255533000,- -
36,Other Current Assets,- -,83532000,91710000,74115000,92674000,282765000,213023000,109795000,147200000,162326000,141576000,213363000,883311000
37,Total Current Assets,- -,661013000,754055000,805501000,682558000,967260000,647862000,653709000,806487000,699332000,721713000,665682000,883980000
38,PP&E,- -,103461000,110743000,177080000,116807000,250126000,250909000,251101000,350059000,349846000,366309000,347503000,- -
39,Goodwill,- -,38407000,38407000,50894000,37383000,63288000,63288000,70550000,115037000,115037000,115037000,115037000,115037000
40,Intangible Assets,- -,10908000,1694000,14588000,1577000,27626000,22113000,23446000,71891000,59987000,49764000,41142000,- -
41,Intangible Assets,- -,49315000,40101000,65482000,38960000,90914000,85401000,93996000,186928000,175024000,164801000,156179000,- -
42,Investments,- -,54206000,56226000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,8925000,6184000,15265000,31540000,16160000,13668000,19511000,21038000,22720000,30066000,- -
45,Total Non-Current Assets,- -,206982000,215995000,248746000,171032000,372580000,352470000,358765000,556498000,545908000,553830000,533748000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534275000
47,Total Assets,- -,867995000,970050000,1054247000,853590000,1339840000,1000332000,1012474000,1362985000,1245240000,1275543000,1199430000,1418255000
48,Accounts Payable,- -,154142000,150539000,196776000,175187000,198609000,91387000,138358000,205105000,197995000,147577000,97280000,- -
49,Short-Term Debt,- -,- -,- -,- -,126652000,397214000,332914000,153603000,275613000,154318000,437184000,358685000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14866000
51,Deferred Revenue,- -,- -,13409000,18485000,9082000,14665000,14318000,13421000,8178000,9846000,7501000,9413000,- -
52,Other Current Liabilities,- -,236063000,297402000,398312000,160240000,154980000,85723000,145817000,215327000,160996000,129550000,209220000,- -
53,Total Current Liabilities,- -,390205000,461350000,613573000,471161000,765468000,524342000,451199000,704223000,523155000,721812000,674598000,- -
54,Long-Term Debt,- -,267239000,288289000,232007000,332848000,418356000,283561000,402133000,449737000,506780000,374600000,382400000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,20197000,22578000,42536000,1540000,15826000,15062000,15481000,17623000,17766000,16202000,15784000,13733000
57,Other Non-Current Liabilities,- -,20170000,19432000,24925000,18082000,24296000,19882000,18224000,59568000,60563000,69147000,67953000,5785000
58,Total Non-Current Liabilities,- -,307606000,330299000,299468000,352470000,458478000,318505000,435838000,526928000,585109000,459949000,466137000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1483837000
60,Capital Lease Obligations,- -,- -,- -,6426000,3260000,6737000,4625000,5523000,6476000,- -,18622000,20528000,- -
61,Total Liabilities,- -,697811000,791649000,913041000,823631000,1223946000,842847000,887037000,1231151000,1108264000,1181761000,1140735000,1483837000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,- -,146779000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,56865000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-100490000,-109790000,-118078000,-11000000,-10000000,-12000000,-11000000,-9000000,-12000000,-20000000,-25982000,-16497000
66,Other Total Stockholders Equity,- -,213799000,288191000,112505000,- -,- -,- -,- -,- -,- -,- -,84677000,- -
67,Total Stockholders Equity,- -,170184000,178401000,141206000,- -,- -,- -,- -,- -,- -,- -,- -,-65582000
68,Total Liabilities And Stockholders Equity,- -,867995000,970050000,1054247000,823631000,1223946000,842847000,887037000,1231151000,1108264000,1181761000,1199430000,1418255000
69,Minority Interest,- -,- -,- -,- -,29959000,115894000,157485000,125437000,131834000,136976000,93782000,- -,- -
70,Total Liabilities & Equity,- -,867995000,970050000,1054247000,853590000,1339840000,1000332000,1012474000,1362985000,1245240000,1275543000,1199430000,1418255000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1525287/000119312514118659/0001193125-14-118659-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000119312515093473/0001193125-15-093473-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528716000068/0001525287-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528717000047/0001525287-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528718000037/0001525287-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528719000016/0001525287-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528720000012/0001525287-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528721000017/0001525287-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528722000013/0001525287-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,19744000,15721000,29572000,-9181000,-27500000,122814000,78348000,10166000,29497000,79819000,31256000,33811000,-68916000
74,Depreciation and Amortization,12214000,13025000,12792000,14814000,19035000,22441000,23893000,25211000,33361000,36930000,37605000,39094000,37928000
75,Deferred Income Tax,-1533000,6005000,5707000,-5389000,-7433000,2467000,147000,387000,857000,77000,-1499000,-368000,-2125000
76,Stock Based Compensation,- -,- -,- -,- -,6000,8182000,8436000,3681000,2274000,-896000,590000,4170000,- -
77,Change in Working Capital,133134000,-17559000,21897000,-100777000,19469000,-9605000,-78272000,78990000,-100246000,73913000,-176276000,-8817000,- -
78,Accounts Receivable,819000,-6993000,19190000,24160000,-172094000,-19135000,127202000,-61541000,-94454000,44975000,-11942000,88087000,- -
79,Inventory,-166349000,-28552000,-73339000,54373000,57783000,84456000,149236000,-77235000,-12247000,76291000,-33655000,37691000,-184288000
80,Accounts Payable,- -,- -,- -,32517000,-6641000,7166000,-127408000,47737000,71475000,8077000,-85711000,-52781000,- -
81,Other Working Capital,288367000,270808000,292705000,191928000,211397000,201792000,123520000,202510000,102264000,176177000,-99000,-8916000,- -
82,Other Non-Cash Items,-4485000,7805000,-113829000,263662000,-83032000,-130735000,255061000,13309000,91299000,-30864000,42959000,86576000,33113000
83,Cash Provided by Operating Activities,159074000,24997000,-43861000,163129000,-79455000,15564000,287613000,131744000,57042000,158979000,-65365000,154466000,- -
84,CAPEX,-7237000,-9587000,-7255000,-7293000,-22079000,-18580000,-14899000,-15986000,-46955000,-17249000,-14292000,-12198000,- -
85,Acquisitions Net,- -,- -,- -,- -,-21000000,-116000000,- -,-29000000,-107000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-465000,200000,-9749000,-72400000,2339000,2088000,334000,89000,686000,394000,406000,12712000,-2775000
89,Cash Used for Investing Activites,-7702000,-9387000,-17004000,-79693000,-40740000,-132492000,-14565000,-44897000,-153269000,-16855000,-13886000,514000,-2775000
90,Debt Repayment,-805000,-45803000,-1107000,-109836000,-2712000,-1634000,-201115000,-61667000,-5030000,-6136000,-6438000,-12215000,-7449000
91,Common Stock Issued,- -,- -,- -,- -,140251000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-136000,-2343000,-3870000,-1587000,-2508000,- -,-366000,- -
93,Dividends Paid,-16322000,-39000000,-26000000,-26900000,-50038000,-88259000,-40569000,-47503000,-57472000,-68621000,-66874000,-67315000,- -
94,Other Financing Activites,-130386000,67641000,115989000,25176000,30133000,208419000,-1938000,-2089000,164375000,-64050000,150380000,-76656000,- -
95,Cash Used/Provided by Financing Activities,-147513000,-17162000,88882000,-111560000,117634000,118390000,-245965000,-115129000,100286000,-141315000,77068000,-156552000,- -
96,Effect of Forex Changes on Cash,13000,81000,-42000,-14000,-132000,572000,-189000,-10000,74000,-94000,39000,-43000,-29000
97,Net Change In Cash,3872000,-1471000,27975000,-28138000,-2693000,2034000,26894000,-28292000,4133000,715000,-2144000,-1615000,- -
98,Cash at the End of Period,5325000,3854000,31829000,3691000,998000,4080000,30974000,2682000,6815000,7530000,5386000,3771000,669000
99,Cash at the Beginning of Period,1453000,5325000,3854000,31829000,3691000,2046000,4080000,30974000,2682000,6815000,7530000,5386000,- -
100,Free Cash Flow,151837000,15410000,-51116000,155836000,-101534000,-3016000,272714000,115758000,10087000,141730000,-79657000,142268000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1525287/000119312514118659/0001193125-14-118659-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000119312515093473/0001193125-15-093473-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528716000068/0001525287-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528717000047/0001525287-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528718000037/0001525287-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528719000016/0001525287-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528720000012/0001525287-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528721000017/0001525287-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1525287/000152528722000013/0001525287-22-000013-index.htm
102,false,,,,,,,,,,,,,
