,https://roic.ai/company/KNX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,457000,462000,730000,998000,897000,8686000,30170000,29433000,17309000,21140000
14,Depreciation and Amortization,-4105079,-5416390,7520905,9560569,12446438,14179613,19131183,18416513,22887000,30066000,40755000,52603000,60387000,65688000,69821000,71444000,70962000,75832000,85056000,86129000,92893000,111023000,116160000,207105000,430089000,462958000,506670000,577895000
15,EBITDA,3272474,4989305,20330962,27023092,35168580,39793513,47736369,50483047,70232000,88864000,120515000,155317000,180232000,170113000,163909000,155339000,168667000,176740000,194644000,202553000,264294000,296786000,268512000,408367000,1010912000,905395000,1083657000,1573310000
16,EBITDA ratio,0.0872,0.0888,0.2623,0.2718,0.2813,0.2627,0.2201,0.2013,0.2457,0.2613,0.2725,0.2740,0.2713,0.2384,0.2137,0.2384,0.2308,0.2040,0.2079,0.2090,0.2398,0.2509,0.2402,0.1684,0.1892,0.1869,0.2319,0.2623
17,Operating Income,6897649,8836022,13156531,17480352,22981177,25910014,32023375,39551483,47494000,59449000,79362000,101695000,119492000,102442000,92658000,81996000,95215000,100021000,108267000,113909000,162722000,178000000,148479000,200630000,569043000,427438000,564438000,965697000
18,Operating Income ratio,0.1837,0.1573,0.1698,0.1758,0.1838,0.1710,0.1477,0.1577,0.1662,0.1748,0.1794,0.1794,0.1798,0.1436,0.1208,0.1258,0.1303,0.1155,0.1157,0.1175,0.1476,0.1505,0.1328,0.0827,0.1065,0.0882,0.1208,0.1610
19,Total Other Income Expenses (Gains),479904,1569673,-346474,-17829,-259035,-296114,-3418189,-7484949,-149000,-651000,398000,1019000,353000,1983000,1430000,1899000,2397000,1167000,1510000,2795000,9108000,8504000,4351000,-6921000,-17005000,-13462000,-4127000,8938000
20,Income Before Tax,7377553,10405695,12810057,17462523,22722142,25613900,28605186,32066534,47345000,58798000,79760000,102714000,119845000,104425000,94088000,83895000,97612000,101188000,109777000,116704000,171830000,186504000,152830000,193709000,552038000,413976000,560311000,974635000
21,Income Before Tax Ratio,0.1965,0.1853,0.1653,0.1756,0.1817,0.1691,0.1319,0.1278,0.1657,0.1729,0.1803,0.1812,0.1804,0.1463,0.1227,0.1287,0.1336,0.1168,0.1173,0.1204,0.1559,0.1577,0.1367,0.0799,0.1033,0.0855,0.1199,0.1625
22,Income Tax expense (Gain),3283000,4600000,5300000,7211000,9376000,10150000,10860000,13050000,19410000,23340000,31900000,41000000,46879000,41302000,37827000,33332000,38633000,40480000,45014000,46680000,67809000,68047000,57592000,-291716000,131389000,103798000,149676000,230887000
23,Net Income,4094553,5805695,7510057,10251523,13346142,15463900,17745186,19016534,27935000,35458000,47860000,61714000,72966000,63123000,56261000,50563000,59072000,60248000,64117000,69282000,102862000,116718000,93863000,484292000,419264000,309206000,410002000,743388000
24,Net Income ratio,0.1091,0.1034,0.0969,0.1031,0.1067,0.1021,0.0818,0.0758,0.0977,0.1043,0.1082,0.1089,0.1098,0.0885,0.0734,0.0776,0.0808,0.0696,0.0685,0.0715,0.0933,0.0987,0.0840,0.1997,0.0785,0.0638,0.0877,0.1239
25,EPS,0.01,0.02,0.14,0.19,0.24,0.28,0.33,0.34,0.46,0.59,0.79,1.00,1.18,1.01,0.92,0.85,0.99,1.03,1.11,1.21,1.76,1.99,1.63,4.38,2.37,1.80,2.42,1.53
26,EPS Diluted,0.01,0.02,0.14,0.18,0.24,0.28,0.32,0.33,0.45,0.57,0.77,0.99,1.17,1.00,0.92,0.83,0.97,1.03,1.11,1.19,1.74,1.97,1.61,4.34,2.36,1.80,2.40,1.52
27,Weighted Average Shares Outstanding,231360247,252515202,260466970,54222094,54561884,54639129,54123650,55525673,59959440,60495660,60910920,61417440,61777440,62201520,61446240,59925600,60143760,58636080,57364560,57595680,58281840,58673520,57860640,110657000,177018000,171541000,169711000,165966000
28,Weighted Average Shares Outstanding Diluted,231360247,252515202,260466970,55223608,55633142,55522662,54708063,56935616,61606980,61945560,62250120,62385840,62668800,62812800,61809120,60215040,60779520,58947840,57600000,57837600,59070240,59376240,58484160,111697000,177999000,172142000,170549000,167106000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492691/000119312512081602/0001193125-12-081602-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000119312513076100/0001193125-13-076100-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269114000013/swft-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269115000005/swft-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269116000059/0001492691-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269117000009/0001492691-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269118000017/0001492691-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269119000012/0001492691-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269120000013/0001492691-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269121000016/0001492691-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269122000012/0001492691-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2146797,623656,1244745,512339,124188,3294827,6151383,24135601,36198000,40550000,25357000,18809000,1582000,23688000,22027000,30812000,28013000,9584000,5684000,992000,17066000,8691000,8021000,76649000,82486000,159722000,156699000,261001000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2278000,- -,7620000,31877000,66942000,24379000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2146797,623656,1244745,512339,124188,3294827,6151383,24135601,36198000,40550000,25357000,21087000,1582000,31308000,53904000,97754000,52392000,9584000,5684000,992000,17066000,8691000,8021000,76649000,82486000,159722000,156699000,261001000
34,Net Receivables,4816262,7375038,10414133,11934364,18810592,25192447,34067454,32470292,41312000,41027000,62120000,80089000,85691000,92112000,71743000,77791000,89822000,109042000,106158000,117913000,163983000,174560000,151133000,643046000,623773000,548269000,595942000,935181000
35,Inventory,306916,422589,328825,402076,1329329,589827,792683,1905934,1345000,1336000,2332000,3355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1365963,2357304,1828485,2602234,4358100,5807191,8065315,14045571,13081000,13157000,12708000,15900000,33714000,43927000,26846000,28907000,23034000,41471000,51255000,45927000,57203000,60862000,31037000,203512000,200973000,182037000,170722000,218098000
37,Total Current Assets,8635938,10778587,13816188,15451013,24622209,34884292,49076835,72557398,91936000,96070000,102517000,120431000,120987000,167347000,152493000,204452000,165248000,160097000,163097000,164832000,238252000,244113000,190191000,923207000,907232000,890028000,923363000,1414280000
38,PP&E,23831650,31977828,49526742,65445499,84571907,113198940,142977141,153695029,176893000,212935000,287930000,352339000,433828000,459548000,472228000,461039000,483709000,547033000,584064000,591791000,752046000,803643000,802858000,2384221000,2612837000,3020145000,3105948000,3702904000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7504000,8119000,10256000,10372000,10353000,10333000,10313000,10295000,10276000,10257000,47067000,47050000,47031000,2887867000,2919176000,2918992000,2922964000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,238000,176000,114000,52000,- -,- -,- -,3575000,3075000,2575000,1440903000,1420919000,1379459000,1389245000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7504000,8119000,10556000,10610000,10529000,10447000,10365000,10295000,10276000,10257000,50642000,50125000,49606000,4328770000,4340095000,4298451000,4312209000,5346184000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16183000,30929000,32773000,13153000,27713000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5877000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,120278,343079,775526,1793284,7764104,16461352,14930043,14861622,15011000,12221000,4916000,2938000,4848000,5859000,5813000,10535000,17665000,20158000,8892000,9312000,8572000,9198000,8157000,47244000,51721000,73108000,126482000,192132000
45,Total Non-Current Assets,23951928,32320907,50302268,67238783,92336011,129660292,157907184,168556651,191904000,225156000,300350000,363396000,449232000,476017000,494447000,482021000,511739000,577486000,619415000,642289000,844033000,876119000,888334000,6760235000,7004653000,7391704000,7544639000,9241220000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32587866,43099494,64118456,82689796,116958220,164544584,206984019,241114049,283840000,321226000,402867000,483827000,570219000,643364000,646940000,686473000,676987000,737583000,782512000,807121000,1082285000,1120232000,1078525000,7683442000,7911885000,8281732000,8468002000,10655500000
48,Accounts Payable,2323428,3202258,3954286,4847070,7143476,8133119,6125474,3838011,7749000,3408000,5044000,7464000,13077000,17744000,6195000,14022000,7571000,14322000,11281000,14354000,19122000,14818000,18006000,119867000,117883000,99194000,101001000,224844000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2715000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49002000,58672000,457752000,100079000,297745000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2850932,4775443,5720962,8559906,14236738,39860798,15438336,16990388,17217000,22746000,34146000,46838000,48521000,44702000,28944000,31737000,32898000,35693000,42542000,48448000,73463000,65205000,60644000,440681000,438008000,436092000,638628000,552227000
53,Total Current Liabilities,5174360,7977701,9675248,13406976,21380214,47993917,21563810,20828399,27681000,26154000,39190000,54302000,61598000,62446000,35139000,45759000,40469000,50015000,53823000,62802000,92585000,80023000,78650000,609550000,614563000,993038000,839708000,1074816000
54,Long-Term Debt,2117480,980787,53491,- -,7919647,11735651,48885268,14914526,12200000,- -,- -,- -,- -,- -,- -,- -,- -,55000000,80000000,38000000,134400000,112000000,18000000,489771000,559590000,279000000,717002000,1661332000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4692400,6315200,8426558,12485085,17012285,22001375,31414320,37675395,44302000,55149000,72660000,76597000,82526000,93368000,112661000,108135000,118886000,145668000,144871000,142504000,162007000,174165000,178000000,679077000,739538000,771719000,815941000,874877000
57,Other Non-Current Liabilities,1701028,3093513,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15236000,12421000,10168000,10150000,12978000,11375000,14018000,13672000,15144000,664674000,535475000,569672000,223311000,501025000
58,Total Non-Current Liabilities,8510908,10389500,8480049,12485085,24931932,33737026,80299588,52589921,56502000,55149000,72660000,76597000,82526000,93368000,127897000,120556000,129054000,210818000,237849000,191879000,310425000,299837000,211144000,1833522000,1834603000,1620391000,1756254000,3037234000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176104000,129920000,611295000,308174000,661525000
61,Total Liabilities,13685268,18367201,18155297,25892061,46312146,81730943,101863398,73418320,84183000,81303000,111850000,130899000,144124000,155814000,163036000,166315000,169523000,260833000,291672000,254681000,403010000,379860000,289794000,2443072000,2449166000,2613429000,2595962000,4112050000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,91000,91020,99045,99496,149814,151160,152602,368341,371000,375000,567000,857000,861000,867000,834000,833000,837000,794000,798000,802000,818000,810000,802000,1780000,1728000,1707000,1665000,1660000
64,Retained Earnings,9073831,14879526,22389583,32641106,45987248,61451148,79196334,98212868,126148000,161606000,208333000,264923000,331014000,384233000,374185000,403977000,379714000,343290000,346899000,396032000,479527000,529367000,562404000,1016738000,1216852000,1395465000,1566759000,2181142000
65,Other Comprehensive Income/Loss,-7984928,-10926067,-14186781,-20025293,-25964744,-32150943,-42113992,-50258826,-383000,- -,-104125000,-141053000,-133387000,-146721000,-186881000,-204091000,7000,-448000,-302000,4582000,12231000,2573000,- -,-462922000,-693107000,-892019000,- -,-563000
66,Other Total Stockholders Equity,17722695,20687814,37661312,44082426,50473756,53362276,67885677,119373346,73521000,77942000,186242000,228201000,227607000,249171000,295766000,319439000,126975000,132723000,142837000,150079000,185184000,205648000,223267000,4682136000,4935476000,5161062000,4301424000,- -
67,Total Stockholders Equity,18902598,24732293,45963159,56797735,70646074,82813641,105120621,167695729,199657000,239923000,291017000,352928000,426095000,487550000,483904000,520158000,507533000,476359000,490232000,551495000,677760000,738398000,786473000,5237732000,5460949000,5666215000,5869848000,6533152000
68,Total Liabilities And Stockholders Equity,32587866,43099494,64118456,82689796,116958220,164544584,206984019,241114049,283840000,321226000,402867000,483827000,570219000,643364000,646940000,686473000,677056000,737192000,781904000,806176000,1080770000,1118258000,1076267000,7680804000,7910115000,8279644000,8465810000,10645202000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000,391000,608000,945000,1515000,1974000,2258000,2638000,1770000,2088000,2192000,10298000
70,Total Liabilities & Equity,32587866,43099494,64118456,82689796,116958220,164544584,206984019,241114049,283840000,321226000,402867000,483827000,570219000,643364000,646940000,686473000,676987000,737583000,782512000,807121000,1082285000,1120232000,1078525000,7683442000,7911885000,8281732000,8468002000,10655500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492691/000119312512081602/0001193125-12-081602-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000119312513076100/0001193125-13-076100-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269114000013/swft-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269115000005/swft-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269116000059/0001492691-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269117000009/0001492691-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269118000017/0001492691-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269119000012/0001492691-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269120000013/0001492691-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269121000016/0001492691-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269122000012/0001492691-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4094553,5805695,7510057,10251523,13346142,15463900,17745186,19016534,27935000,35458000,47860000,61714000,72966000,63123000,56261000,50563000,59072000,60248000,64117000,69282000,102862000,116718000,93863000,484292000,419264000,309206000,410002000,743388000
74,Depreciation and Amortization,-4105079,-5416390,7520905,9560569,12446438,14179613,19131183,18416513,22887000,30066000,40755000,52603000,60387000,65688000,69821000,71444000,70962000,75832000,85056000,86129000,92893000,111023000,116160000,207105000,430089000,462958000,506670000,577895000
75,Deferred Income Tax,1316447,1403200,2211958,3470127,3694800,5051072,5815361,3226369,9280000,8608000,15685000,1292000,5423000,9604000,17093000,2077000,10830000,30412000,-1975000,-5338000,17060000,21532000,5454000,-305584000,62469000,30731000,46214000,39929000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3486000,3401000,6840000,3501000,6465000,2982000,4703000,7366000,4439000,6640000,- -,- -,- -,- -
77,Change in Working Capital,503679,-660692,1340054,-2096903,1197958,-16351620,40622650,24215974,12526001,5661000,-6589000,2802000,-6740000,45512000,12453000,41339000,-33914000,-14697000,-808000,-7244000,43637000,18423000,-52549000,202116000,-20988000,-395679000,186665000,255809000
78,Accounts Receivable,-1642985,-2720821,-3062225,-1659831,-9927337,-13433925,-4954286,1774804,-9200000,47000,-21868000,-14670000,-5980000,-7018000,14159000,-4539000,-6295000,-22955000,-2167000,-14828000,-17031000,10266000,-11099000,-48454000,-9375000,70106000,-75521000,-214573000
79,Inventory,-75410,-115673,93764,-73251,-927253,778426,-151262,-1113251,561000,9000,-996000,-1023000,- -,159000,515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-126068,479426,-250046,1069469,2828741,-1086359,319348,-2287463,-363000,-141000,1559000,33000,596000,1161000,-1167000,-819000,1993000,-3034000,4783000,2424000,4285000,-8543000,3788000,-29890000,-18033000,-13180000,7500000,73371000
81,Other Working Capital,3461578,2800886,4140940,2044037,3241995,-13109625,27513025,51728999,64255000,69916000,63327000,66129000,59389000,104901000,117354000,158693000,124779000,110082000,109274000,102030000,145667000,164090000,111541000,313657000,292669000,-103010000,83655000,339464000
82,Other Non-Cash Items,8293337,9520745,-4299939,2420744,-10676306,582714,-48764958,-18709355,-17141001,4614000,1193000,-10647000,994000,-65564000,-17676000,-81925000,56319000,5401000,-2035000,-7293000,-83968000,-69297000,75987000,-276000000,-8857000,432378000,-229906000,-1588742000
83,Cash Provided by Operating Activities,10102937,10652558,14283035,23606060,20009032,18925679,34549422,46166035,55487000,84407000,98904000,107764000,133030000,118363000,141438000,86899000,170109000,160697000,150820000,138518000,177187000,205765000,243354000,318569000,881977000,839594000,919645000,28279000
84,CAPEX,-3087876,-11360029,-21919774,-23548158,-29326223,-37273468,-33965304,-30377780,-41811000,-70308000,-115672000,-116586000,-175221000,-135219000,-117504000,-95478000,-134394000,-172916000,-160633000,-140612000,-260389000,-221660000,-154596000,-387191000,-755997000,-829977000,-521067000,-74799000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-2528420,- -,- -,- -,- -,-3284000,-16029000,-135000,115000,-263000,-1214000,-2201000,-2166000,-2734000,-97832000,-3210000,-21213000,8674000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1129000,-1720000,-1334000,-1845000,- -,- -,-1819000,-1836000,-488000,- -,- -,-5014000,-2264000,-2033000,-10035000,- -,- -,- -,-10893000,-22156000,-14302000,-16936000,-7706000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4224000,314000,32000,- -,- -,203000,3114000,112000,8782000,6355000,12528000,7403000,10730000,26970000,22695000,13675000,10624000
88,Other Investing Activites,-598929,- -,- -,- -,- -,64501,3321622,-2357437,1366000,2945000,628000,12792000,47112000,43804000,37759000,35328000,44786000,34176000,40917000,58894000,84951000,74007000,67386000,104739000,103891000,237878000,43616000,-1744852000
89,Cash Used for Investing Activites,-3686805,-11360029,-21919774,-23548158,-29326223,-38337967,-34892102,-34069217,-42290000,-67363000,-115044000,-104673000,-145660000,-92006000,-79630000,-60413000,-95633000,-140091000,-123803000,-85705000,-266915000,-138335000,-101020000,-273941000,-647292000,-583706000,-480712000,-1816733000
90,Debt Repayment,-14082742,-1311348,-20603665,-433511,-302543,-1888184,-9862592,-36289448,-3159000,-2715000,- -,-6819000,-4500000,- -,- -,- -,- -,- -,- -,-42000000,- -,-22400000,-94000000,-521153000,-46630000,-115642000,-217910000,-409889000
91,Common Stock Issued,9628767,24000,13720809,573003,484698,6136990,1218213,48262108,2024000,2223000,2081000,2793000,2449000,3828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13483000,13547000,13307000,12748000,9282000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5813982,- -,-2517091,- -,- -,- -,- -,- -,- -,-53576000,-4899000,- -,-76564000,- -,- -,- -,-45345000,-39873000,- -,-179318000,-86892000,-179585000,-57175000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1133000,-3411000,-8588000,-9510000,-12770000,-15805000,-81972000,-19540000,-59141000,-19445000,-19648000,-19885000,-19597000,-25454000,-42770000,-41425000,-54620000,-63535000
94,Other Financing Activites,- -,471678,15140684,-929800,8746885,24148103,11843615,-3568169,- -,-12200000,- -,- -,6042000,1431000,2877000,3003000,4697000,57069000,28224000,3940000,125450000,11825000,10466000,557124000,-271000,46016000,-4517000,1300643000
95,Cash Used/Provided by Financing Activities,-4453975,-815670,8257828,-790308,8929040,22582927,3199236,5887400,-1135000,-12692000,948000,-7437000,-4597000,-4251000,-63469000,-17701000,-77275000,-39035000,-30917000,-57505000,105802000,-75805000,-143004000,24000000,-255442000,-184636000,-443884000,779326000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1962157,-1523141,621089,-732406,-388151,3170639,2856556,17984218,12062000,4352000,-15193000,-4346000,-17227000,22106000,-1661000,8785000,-2799000,-18429000,-3900000,-4692000,16074000,-8375000,-670000,68628000,-20757000,71252000,-4951000,152746000
98,Cash at the End of Period,2146797,623656,1244745,512339,124188,3294827,6151383,24135601,36198000,40550000,25357000,18809000,1582000,23688000,22027000,30812000,28013000,9584000,5684000,992000,17066000,8691000,8021000,76649000,130976000,202228000,197277000,350023000
99,Cash at the Beginning of Period,184640,2146797,623656,1244745,512339,124188,3294827,6151383,24136000,36198000,40550000,23155000,18809000,1582000,23688000,22027000,30812000,28013000,9584000,5684000,992000,17066000,8691000,8021000,151733000,130976000,202228000,197277000
100,Free Cash Flow,7015061,-707471,-7636739,57902,-9317191,-18347789,584118,15788255,13676000,14099000,-16768000,-8822000,-42191000,-16856000,23934000,-8579000,35715000,-12219000,-9813000,-2094000,-83202000,-15895000,88758000,-68622000,125980000,9617000,398578000,-46520000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492691/000119312512081602/0001193125-12-081602-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000119312513076100/0001193125-13-076100-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269114000013/swft-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269115000005/swft-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269116000059/0001492691-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269117000009/0001492691-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269118000017/0001492691-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269119000012/0001492691-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269120000013/0001492691-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1492691/000149269121000016/0001492691-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1492691/000149269122000012/0001492691-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
