,https://roic.ai/company/YTRA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,1545118,63703804,32980119,389664000,1532629000,2465073000,2161014000,1365370000,1711589000
32,Short-Term Investments,- -,- -,- -,- -,- -,1030569000,3000175000,1005957000,1162820000,803270000,628829000
33,Cash and Short-Term Investments,- -,- -,1545118,63703804,32980119,1420233000,4532804000,3471030000,3323834000,2168640000,2340418000
34,Net Receivables,- -,- -,- -,- -,- -,1808102000,2321715000,4381867000,5423896000,2863899000,1122904000
35,Inventory,- -,- -,- -,- -,- -,11933000,14222000,23175000,3807000,2490000,1480000
36,Other Current Assets,- -,- -,- -,4194737,3442354,381308000,749553000,974486000,968317000,1067887000,629861000
37,Total Current Assets,- -,- -,1545118,67898541,36422472,3621576000,7618294000,8850558000,9719854000,6102916000,4094663000
38,PP&E,- -,- -,- -,- -,- -,126563000,141646000,241694000,155434000,600985000,474185000
39,Goodwill,- -,- -,- -,- -,- -,653666000,653666000,961186000,1015099000,793100000,528191000
40,Intangible Assets,- -,- -,- -,- -,- -,757438000,955437000,1264077000,1221383000,909593000,361846000
41,Intangible Assets,- -,- -,- -,- -,- -,1411104000,1609103000,2225263000,2236482000,1702693000,890037000
42,Investments,- -,- -,- -,13491285414,14145695582,110558000,39504000,6187000,54245000,800000,21346000
43,Tax Assets,- -,- -,- -,- -,- -,- -,35874000,102649000,123169000,93831000,15398000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,84226000,130012000,190436000,262714000,256965000,251662000
45,Total Non-Current Assets,- -,- -,- -,13491285414,14145695582,1732451000,1956139000,2766229000,2832044000,2655274000,1652628000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1545118,13559183955,14182118054,5354027000,9574433000,11616787000,12551898000,8758190000,5747291000
48,Accounts Payable,- -,- -,- -,- -,- -,2051539000,2250935000,3977674000,5264949000,2859370000,2215425000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,13974000,491860000,1151818000,1039498000,203060000
50,Tax Payable,- -,- -,- -,11414077,11968085,- -,14563000,2755000,4080000,204000,263000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1020273000,1765585000,1281763000,900520000,657131000
52,Other Current Liabilities,- -,- -,- -,11820545,13415758,1437530000,2546293000,4523685000,2223372000,1607914000,394496000
53,Total Current Liabilities,- -,- -,- -,11820545,13415758,3489069000,5831475000,10758804000,9921902000,6407302000,3470112000
54,Long-Term Debt,- -,- -,- -,- -,- -,405856000,30902000,359969000,24587000,485587000,430963000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,458703000,599612000,96392000,232069000,266920000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,44460000,42503000,37645000,14413000
57,Other Non-Current Liabilities,- -,- -,- -,472495237,495428844,1029630000,63784000,79221000,87343000,84613000,401808000
58,Total Non-Current Liabilities,- -,- -,- -,472495237,495428844,1435486000,553389000,1083262000,250825000,839914000,1114104000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,12851000,8912000,4103000,539628000,502968000
61,Total Liabilities,- -,- -,- -,484315783,508844601,4924555000,6384864000,11842066000,10172727000,7247216000,4584216000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,32880,12757851309,13340869738,27000,633000,638000,713000,714000,838000
64,Retained Earnings,- -,- -,- -,-23488015,-60840623,-5848870000,-12003430000,-16002266000,-17256409000,-18053916000,-19167316000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-45304000,755719000,844179000,742559000,667208000,95470000
66,Other Total Stockholders Equity,- -,- -,1512237,340504878,393244338,6323619000,14384565000,14932531000,18872886000,18877935000,20228836000
67,Total Stockholders Equity,- -,- -,1545118,13074868172,13673273453,429472000,3137487000,-224918000,2359749000,1491941000,1157828000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,13559183955,14182118054,5354027000,9522351000,11617148000,12532476000,8739157000,5742044000
69,Minority Interest,- -,- -,1545118,- -,- -,- -,52082000,-361000,19422000,19033000,5247000
70,Total Liabilities & Equity,- -,- -,1545118,13559183955,14182118054,5354027000,9574433000,11616787000,12551898000,8758190000,5747291000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1516899/000114420417035210/0001144204-17-035210-index.html,https://www.sec.gov/Archives/edgar/data/1516899/000104746918005329/a2236356z20-f.htm,https://www.sec.gov/Archives/edgar/data/1516899/000104746919004463/a2239368z20-f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,- -,-23488015,-36212566,-1218824000,-5901483000,-3993140000,-1148203000,-833808000,-1177343000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,233703000,275587000,425600000,581746000,666369000,749480000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,586932000,729920000,282883000,5135000,- -
77,Change in Working Capital,- -,- -,- -,7570831,2016955,456026000,-384616000,1069870000,-2217170000,-396545000,871039000
78,Accounts Receivable,- -,- -,- -,- -,- -,11508000,-889875000,-824920000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-3402000,-3086000,-4006000,20142000,1428000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,298799000,508345000,1898796000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,69192000,3833760000,885809000,-1041390000,8493000,322267000
83,Cash Provided by Operating Activities,- -,- -,- -,-15917184,-34195611,-459903000,-1589820000,-881941000,-3542134000,-550356000,765443000
84,CAPEX,- -,- -,- -,- -,- -,-307770000,-473698000,-576276000,-424304000,-219323000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-3000000,-353457000,-253448000,-3500000,-410383000
86,Purchases of Investments,- -,- -,- -,-13491285414,-28297072281,- -,-10292660000,-5262906000,-2634374000,-1091549000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,28297491696,- -,8374026000,7404456000,2640748000,1383049000,- -
88,Other Investing Activites,- -,- -,- -,- -,0,-167779000,-393839000,-343819000,-373094000,-175785000,180018000
89,Cash Used for Investing Activites,- -,- -,- -,-13491285414,419415,-475549000,-2380528000,1221059000,-650325000,96643000,-230365000
90,Debt Repayment,- -,- -,- -,-12682308,- -,- -,-451690000,-613538000,-526674000,-1081063000,- -
91,Common Stock Issued,- -,- -,- -,13221306090,- -,- -,5645941000,5801000,3563630000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,846283000,-11219000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,360697332,-39495,297738000,-47420000,1184919000,-132376000,747592000,535283000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,13569321114,-39495,1144021000,5135612000,577182000,2904580000,-333471000,535283000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-39929000,-22299000,16144000,186477000,69742000,-5001000
97,Net Change In Cash,- -,- -,- -,62118515,-33815691,168640000,1142965000,932444000,-1101402000,-717442000,1065360000
98,Cash at the End of Period,- -,- -,- -,63703804,32980119,403114000,1532629000,2465073000,1363671000,646229000,1711589000
99,Cash at the Beginning of Period,- -,- -,- -,1585289,66795809,234474000,389664000,1532629000,2465073000,1363671000,646229000
100,Free Cash Flow,- -,- -,- -,-15917184,-34195611,-767673000,-2063518000,-1458217000,-3966438000,-769679000,765443000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1516899/000114420417035210/0001144204-17-035210-index.html,https://www.sec.gov/Archives/edgar/data/1516899/000104746918005329/a2236356z20-f.htm,https://www.sec.gov/Archives/edgar/data/1516899/000104746919004463/a2239368z20-f.htm,- -,- -
102,Forex Rate,undefined,undefined,undefined,0.0159,0.0151,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
