,https://roic.ai/company/OTIC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.73,-4.42,-5.46,-2.57,-3.69,-2.97,-1.65,-1.45,-1.10,-0.00
26,EPS Diluted,-0.73,-4.42,-5.46,-2.57,-3.69,-2.97,-1.65,-1.45,-1.10,-0.00
27,Weighted Average Shares Outstanding,11473844,4500520,7853228,23952562,29962781,30304158,30610244,30726786,40845844,67792425
28,Weighted Average Shares Outstanding Diluted,11473844,4500520,7853228,23952562,29962781,30304158,30610244,30726786,40845844,67792425
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1493566/000119312515096931/d843158d10k.htm,https://www.sec.gov/Archives/edgar/data/1493566/000119312516495186/0001193125-16-495186-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459017003217/0001564590-17-003217-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459018004915/0001564590-18-004915-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459019006043/0001564590-19-006043-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459020007386/0001564590-20-007386-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459021005551/0001564590-21-005551-index.htm,https://www.sec.gov/Archives/edgar/data/1493566/000095017022002299/0000950170-22-002299-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,4663000,37284000,139810000,158664000,24156000,18456000,33633000,25194000,30767000,77412000
32,Short-Term Investments,- -,- -,16223000,26172000,172222000,101548000,63651000,35476000,55576000,- -
33,Cash and Short-Term Investments,4663000,37284000,156033000,184836000,196378000,120004000,97284000,60670000,86343000,77412000
34,Net Receivables,- -,- -,- -,- -,91000,107000,108000,48000,- -,- -
35,Inventory,- -,- -,- -,- -,1435000,6000,- -,- -,227000,- -
36,Other Current Assets,747000,1729000,1669000,3319000,4316000,2328000,2677000,2432000,2145000,3056000
37,Total Current Assets,5410000,39013000,157702000,188155000,202220000,122445000,100069000,63150000,88715000,80468000
38,PP&E,439000,683000,1257000,3094000,4977000,4679000,3996000,19167000,16848000,14467000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,55000,61000,205000,1781000,1399000,1240000,927000,701000,702000,702000
45,Total Non-Current Assets,494000,744000,1462000,4875000,6376000,5919000,4923000,19868000,17550000,15169000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5904000,39757000,159164000,193030000,208596000,128364000,104992000,83018000,106265000,95637000
48,Accounts Payable,1134000,2014000,1710000,3450000,1292000,961000,1029000,1161000,849000,1090000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,3265000,3455000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,550000,701000,3707000,7841000,13941000,7230000,6461000,11337000,6880000,7788000
53,Total Current Liabilities,1684000,2715000,5417000,11291000,15233000,8191000,7490000,12498000,10994000,12333000
54,Long-Term Debt,7065000,- -,- -,- -,- -,- -,14764000,14967000,15158000,15997000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,36222000,96019000,134000,205000,626000,2894000,3001000,15320000,13847000,12400000
58,Total Non-Current Liabilities,43287000,96019000,134000,205000,626000,2894000,17765000,30287000,29005000,28397000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,18622000,17112000,- -
61,Total Liabilities,44971000,98734000,5551000,11496000,15859000,11085000,25255000,42785000,39999000,40730000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,21000,24000,30000,31000,31000,31000,48000,57000
64,Retained Earnings,-39459000,-59557000,-102469000,-164137000,-274720000,-364850000,-415218000,-459893000,-504624000,-555805000
65,Other Comprehensive Income/Loss,-643000,-794000,-999000,-1132000,-1840000,-2694000,-3847000,-4847000,-5879000,- -
66,Other Total Stockholders Equity,1035000,1374000,257060000,346779000,469267000,484792000,498771000,504942000,576721000,610655000
67,Total Stockholders Equity,-39067000,-58977000,153613000,181534000,192737000,117279000,79737000,40233000,66266000,54907000
68,Total Liabilities And Stockholders Equity,5904000,39757000,159164000,193030000,208596000,128364000,104992000,83018000,106265000,95637000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5904000,39757000,159164000,193030000,208596000,128364000,104992000,83018000,106265000,95637000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1493566/000119312515096931/d843158d10k.htm,https://www.sec.gov/Archives/edgar/data/1493566/000119312516495186/0001193125-16-495186-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459017003217/0001564590-17-003217-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459018004915/0001564590-18-004915-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459019006043/0001564590-19-006043-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459020007386/0001564590-20-007386-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459021005551/0001564590-21-005551-index.htm,https://www.sec.gov/Archives/edgar/data/1493566/000095017022002299/0000950170-22-002299-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-7569000,-19559000,-42877000,-61668000,-110583000,-90130000,-50368000,-44675000,-44731000,-51181
74,Depreciation and Amortization,192000,257000,213000,358000,708000,1289000,1186000,1149000,1062000,856000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,191000,183000,1692000,7716000,12611000,13661000,12414000,4890000,6111000,7397000
77,Change in Working Capital,-596000,32572000,115987000,24579000,10123000,-72733000,-21675000,-41927000,27069000,-9586000
78,Accounts Receivable,- -,- -,- -,- -,-91000,-16000,-1000,60000,- -,- -
79,Inventory,- -,- -,- -,- -,-1435000,153000,- -,- -,- -,- -
80,Accounts Payable,641000,874000,-309000,1659000,-2158000,-398000,68000,127000,-374000,276000
81,Other Working Capital,3726000,36298000,152285000,176864000,186987000,114254000,92579000,50652000,77721000,68135000
82,Other Non-Cash Items,-3046000,-32920000,-110234000,-20881000,-7164000,72606000,20009000,43638000,-28385000,-41033819
83,Cash Provided by Operating Activities,-10828000,-19467000,-35219000,-49896000,-94305000,-75307000,-38434000,-36925000,-38874000,-42418000
84,CAPEX,-185000,-486000,-782000,-2019000,-2546000,-1259000,-496000,-700000,-134000,727000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-16224000,-41332000,-261242000,-129308000,-104270000,-85004000,-68581000,- -
87,Sales/Maturities of Investments,- -,- -,- -,31370000,114371000,199565000,142750000,114000000,48500000,55490000
88,Other Investing Activites,- -,-25000,75000,-695000,-2000,- -,- -,- -,- -,-254000
89,Cash Used for Investing Activites,-185000,-511000,-16931000,-12676000,-149419000,68998000,37984000,28296000,-20215000,55963000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1126000,- -
91,Common Stock Issued,- -,5000,104126000,80731000,108850000,448000,303000,242000,64187000,32207000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8014000,52594000,50550000,695000,366000,622000,14862000,-47000,1602000,893000
95,Cash Used/Provided by Financing Activities,8014000,52599000,154676000,81426000,109216000,1070000,15165000,195000,64663000,33100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2999000,32621000,102526000,18854000,-134508000,-5239000,14715000,-8434000,5574000,46645000
98,Cash at the End of Period,4663000,37284000,139810000,158664000,24156000,19614000,34329000,25895000,31469000,78114000
99,Cash at the Beginning of Period,7662000,4663000,37284000,139810000,158664000,24853000,19614000,34329000,25895000,31469000
100,Free Cash Flow,-11013000,-19953000,-36001000,-51915000,-96851000,-76566000,-38930000,-37625000,-39008000,-41691000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1493566/000119312515096931/d843158d10k.htm,https://www.sec.gov/Archives/edgar/data/1493566/000119312516495186/0001193125-16-495186-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459017003217/0001564590-17-003217-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459018004915/0001564590-18-004915-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459019006043/0001564590-19-006043-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459020007386/0001564590-20-007386-index.html,https://www.sec.gov/Archives/edgar/data/1493566/000156459021005551/0001564590-21-005551-index.htm,https://www.sec.gov/Archives/edgar/data/1493566/000095017022002299/0000950170-22-002299-index.htm
102,false,,,,,,,,,,
