,https://roic.ai/company/ADMA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1368514/000114420407044499/0001144204-07-044499-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000093041308005468/0000930413-08-005468-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000093041309004889/0000930413-09-004889-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000114420410050666/0001144204-10-050666-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000114420411054936/0001144204-11-054936-index.html,- -,https://www.sec.gov/Archives/edgar/data/1368514/000119380514000641/0001193805-14-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380515000352/e613392_10k-adma.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380516002889/0001193805-16-002889-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380517000330/0001193805-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380518000470/0001193805-18-000470-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380519000281/0001193805-19-000281-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380520000348/0001193805-20-000348-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380521000411/0001193805-21-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000114036122011030/0001140361-22-011030-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,14652000,2647000,8688000,200000,8512,12535672,26149477,17199030,10440959,9914867,43107574,22754852,26752135,55921152,51089118
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2935184,4652675,6368177,5390184,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,14652000,2647000,8688000,200000,8512,12535672,29084661,21851705,16809136,15305051,43107574,22754852,26752135,55921152,51089118
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,39112,- -,383961,924468,1018027,3880154,1392441,3469919,13237290,28576857
35,Inventory,- -,- -,- -,- -,- -,3400000,- -,1265593,1669058,1708763,3445773,5020146,12628181,18616169,53064734,81535599,124724091
36,Other Current Assets,- -,- -,- -,- -,- -,100000,- -,107761,298730,143586,111027,313914,3550740,1766163,2533593,3046466,4339245
37,Total Current Assets,- -,- -,14652000,2647000,8688000,3700000,8512,13948138,31052449,24088015,21290404,21657138,63166649,44529625,85820381,153740507,208729311
38,PP&E,- -,- -,- -,- -,- -,1100000,- -,779297,765299,2840698,2396950,2000784,30466858,30115730,31741317,45852281,50935074
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3529509,3529509,3529509,3529509,3529509
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4849350,4004412,3159474,2444121,1728768
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8378859,7533921,6688983,5973630,5258277
42,Investments,- -,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,827984,162195,298784,27163,27163,6006467,6697245,2840044,2106976,11330062
45,Total Non-Current Assets,- -,- -,- -,- -,- -,1500000,- -,1607281,927494,3139482,2424113,2027947,44852184,44346896,41270344,53932887,67523413
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,14652000,2647000,8688000,5200000,8512,15555419,31979943,27227497,23714517,23685085,108018833,88876521,127090725,207673394,276252724
48,Accounts Payable,- -,- -,- -,- -,- -,800000,- -,1058671,2709489,1779197,2087855,2564681,5920873,5900394,9174591,11073708,12429409
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,11569,12654,13841,15139,6127670,- -,29983,229073,365682,94866239
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,75556,75556,145154,145154,142834,142834,142834,142834,142834
52,Other Current Liabilities,- -,- -,10072000,15958000,11508000,8100000,9818,747079,860147,2329303,1968384,2385356,3376476,3551835,4481395,8365143,-77060167
53,Total Current Liabilities,- -,- -,10072000,15958000,11508000,8900000,9818,1817319,3657846,4197897,4216532,11222861,9440183,9625046,14027893,19947367,30378315
54,Long-Term Debt,- -,- -,10072000,15958000,11508000,100000,- -,3957414,4997728,14904766,15679212,14111640,42970854,44075014,83199216,92968866,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1580370,1504815,2832867,2690033,2547199,2404365,2261532,2118698,1975865
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,- -,356940,170640,611369,164932,117813,12727840,13001658,1408935,4389037,102725978
58,Total Non-Current Liabilities,- -,- -,10072000,15958000,11508000,200000,- -,4314354,6748738,17020950,18677011,16919486,58245893,59481037,86869683,99476601,104701843
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,89459,77890,65236,51395,36256,- -,149063,1531434,4699833,- -
61,Total Liabilities,- -,- -,14652000,2647000,8688000,9100000,9818,6131673,10406584,21218847,22893543,28142347,67686076,69106083,100897576,119423968,135080158
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,250000,250000,- -,250,462,929,929,1072,1289,4532,4635,5932,10490,19581
64,Retained Earnings,- -,- -,- -,- -,- -,-23900000,-140056,-37109328,-52636574,-69449737,-87419667,-106934818,-150693793,-216437238,-264716555,-340465103,-412112721
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-500000,- -,- -,-1036016,-1283868,-1753689,-2223265,-1285922,-3421032,-5724956,- -,- -
66,Other Total Stockholders Equity,- -,- -,4580000,- -,- -,20500000,138500,46532612,75245020,76741326,89993258,104699532,192307940,239624073,296628728,428704039,553265706
67,Total Stockholders Equity,- -,- -,4580000,-13311000,-2820000,-3900000,-1306,9423746,21573359,6008650,820974,-4457262,40332757,19770438,26193149,88249426,141172566
68,Total Liabilities And Stockholders Equity,- -,- -,19232000,-10664000,5868000,5200000,8512,15555419,31979943,27227497,23714517,23685085,108018833,88876521,127090725,207673394,276252724
69,Minority Interest,- -,- -,-4580000,13311000,2820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,14652000,2647000,8688000,5200000,8512,15555419,31979943,27227497,23714517,23685085,108018833,88876521,127090725,207673394,276252724
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1368514/000114420407044499/0001144204-07-044499-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000093041308005468/0000930413-08-005468-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000093041309004889/0000930413-09-004889-index.html,- -,https://www.sec.gov/Archives/edgar/data/1368514/000114420411054936/0001144204-11-054936-index.html,- -,https://www.sec.gov/Archives/edgar/data/1368514/000119380514000641/0001193805-14-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380515000352/e613392_10k-adma.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380516002889/0001193805-16-002889-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380517000330/0001193805-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380518000470/0001193805-18-000470-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380519000281/0001193805-19-000281-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380520000348/0001193805-20-000348-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380521000411/0001193805-21-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000114036122011030/0001140361-22-011030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-29687000,-24891000,-20009000,-5950000,-26460,-7301313,-15527246,-16813163,-17969930,-19515151,-43758975,-65743445,-48279317,-75748548,-71647618
74,Depreciation and Amortization,- -,- -,- -,- -,- -,220000,- -,182089,210633,247852,469821,469576,2692301,3446398,3258148,3942292,5495502
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,626787,888295,1248454,1711047,1250074,1561659,2223288,2650777,2855122,3488253
77,Change in Working Capital,- -,- -,- -,-17891000,10491000,-5199654,5198694,12132125,15263784,-6593993,-2816246,-6639595,43292189,-18821887,36887909,62000652,44557856
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-39112,39112,-383961,-540507,-93559,-2862127,2487713,-2077478,-9767371,-15339567
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-118248,-403465,-39704,-1737010,-1574373,589318,-5987988,-34650132,-28470864,-43188489
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-244743,1608980,-937779,308658,476826,2812066,-20480,3274200,1899115,1355700
81,Other Working Capital,- -,- -,4580000,-13311000,-2820000,-5200000,-1306,12130819,27394603,19890118,17073872,10434277,53726466,34904579,71792488,133793140,178350996
82,Other Non-Cash Items,- -,- -,6072000,23777000,-14941000,6119654,-5201234,-12543483,-11722620,7205940,3186904,6166123,-41058948,16216964,-70711021,-95052476,-94262975
83,Cash Provided by Operating Activities,- -,- -,-23615000,-19005000,-24459000,-4810000,-29000,-6903795,-10887154,-14704910,-15418404,-18268973,-37271774,-62678682,-76193504,-102002958,-112368982
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-118853,-196635,-2323251,-26073,-73410,-2676328,-2095600,-3811838,-12726680,-13511258
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2935184,-1717492,-1715502,-15680000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16657993,5390184,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-118853,-3131819,-4040743,-1741575,904583,15213856,-2095600,-3811838,-12724680,-13511258
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-209730,-11569,-12654,-15314622,-15139,-20016559,-36278,-30029983,-13982068,-61598
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,17287288,27030820,- -,10257380,14145000,39199850,42944831,48397088,131195291,121144103
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,12500000,7000000,30500000,2290000,25500,2542991,613527,9807860,15459150,2708437,41567334,13007,61635520,26683432,-34299
95,Cash Used/Provided by Financing Activities,- -,- -,12500000,7000000,30500000,2290000,25500,19470549,27632778,9795206,10401908,16838298,60750625,42921560,80002625,143896655,121048206
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-11115000,-12005000,6041000,-2530000,-3500,12447901,13613805,-8950447,-6758071,-526092,38692707,-21852722,-2717,29169017,-4832034
98,Cash at the End of Period,- -,- -,14652000,2647000,8688000,-2530000,8512,12535672,26149477,17199030,10440959,9914867,48607574,26754852,26752135,55921152,51089118
99,Cash at the Beginning of Period,- -,- -,25767000,14652000,2647000,- -,12012,87771,12535672,26149477,17199030,10440959,9914867,48607574,26754852,26752135,55921152
100,Free Cash Flow,- -,- -,-23615000,-19005000,-24459000,-4810000,-29000,-7022648,-11083789,-17028161,-15444477,-18342383,-39948102,-64774282,-80005342,-114729638,-125880240
101,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1368514/000114420407044499/0001144204-07-044499-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000093041308005468/0000930413-08-005468-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000093041309004889/0000930413-09-004889-index.html,- -,https://www.sec.gov/Archives/edgar/data/1368514/000114420411054936/0001144204-11-054936-index.html,- -,https://www.sec.gov/Archives/edgar/data/1368514/000119380514000641/0001193805-14-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380515000352/e613392_10k-adma.htm,https://www.sec.gov/Archives/edgar/data/1368514/000119380516002889/0001193805-16-002889-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380517000330/0001193805-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380518000470/0001193805-18-000470-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380519000281/0001193805-19-000281-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380520000348/0001193805-20-000348-index.html,https://www.sec.gov/Archives/edgar/data/1368514/000119380521000411/0001193805-21-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1368514/000114036122011030/0001140361-22-011030-index.htm
102,false,,,,,,,,,,,,,,,,,
