,https://roic.ai/company/UNVR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,-91500000,-695300000,- -,1145900000,-186900000,143900000,-200100000,-64200000,260500000,-245000000,150100000,39800000,187000000,-210100000
78,Accounts Receivable,66200000,212000000,- -,-48200000,-13900000,9300000,-63200000,198700000,70200000,-58500000,-62100000,197000000,-66000000,-328600000
79,Inventory,700000,188500000,- -,-17200000,-97500000,41600000,-90900000,82300000,42000000,-47700000,14400000,69000000,126000000,-270200000
80,Accounts Payable,-189200000,-181000000,- -,78700000,-47400000,111700000,12700000,-104100000,12000000,53600000,9300000,-70900000,-139300000,255100000
81,Other Working Capital,695300000,- -,- -,1145900000,959000000,1102900000,902800000,838600000,1099100000,854100000,1004200000,1044000000,1231000000,168600000
82,Other Non-Cash Items,-11300000,868600000,27100000,-919400000,118600000,18900000,142900000,178600000,40800000,172300000,-235500000,160200000,-217000000,-195400000
83,Cash Provided by Operating Activities,9400000,217400000,27100000,262400000,15500000,289300000,126300000,356000000,449600000,278900000,289900000,363900000,226000000,290300000
84,CAPEX,-77500000,-65900000,-92000000,-102900000,-170100000,-141300000,-113900000,-145000000,-90100000,-82700000,-94600000,-122500000,-111000000,-110900000
85,Acquisitions Net,4000000,24300000,- -,-153600000,-491200000,-86000000,-42200000,-153400000,-53600000,-24400000,-18600000,-362700000,32700000,107800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1600000,6300000,-697600000,5700000,4200000,11600000,7900000,4000000,7700000,28000000,14200000,52100000,37000000,26700000
89,Cash Used for Investing Activites,-71900000,-35300000,-789600000,-250800000,-657100000,-215700000,-148200000,-294400000,-136000000,-79100000,-99000000,-433100000,-41300000,23600000
90,Debt Repayment,-20400000,-385600000,- -,-198500000,-21600000,-579400000,-79200000,-3547800000,-178200000,-4585700000,-561900000,-1545900000,-205000000,-1440500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,765300000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-22400000,-1800000,-8000000,-3600000,- -,- -,- -,- -,- -,-50000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,228700000,106900000,749000000,163400000,797800000,470700000,171300000,2766300000,12100000,4477000000,43600000,1841100000,65000000,1065900000
95,Cash Used/Provided by Financing Activities,208300000,-278700000,749000000,-35100000,753800000,-110500000,84100000,-19800000,-166100000,-108700000,-518300000,295200000,-140000000,-424600000
96,Effect of Forex Changes on Cash,-27500000,13700000,- -,-8100000,12400000,-3600000,-36600000,-59700000,800000,39500000,-18000000,-17300000,10700000,-24400000
97,Net Change In Cash,118300000,-82900000,- -,-31600000,124600000,-40500000,25600000,-17900000,148300000,130600000,-345400000,208700000,56000000,-135100000
98,Cash at the End of Period,223100000,140200000,140200000,96300000,220900000,180400000,206000000,188100000,336400000,467000000,121600000,330300000,386000000,251500000
99,Cash at the Beginning of Period,104800000,223100000,140200000,127900000,96300000,220900000,180400000,206000000,188100000,336400000,467000000,121600000,330000000,386600000
100,Free Cash Flow,-68100000,151500000,-64900000,159500000,-154600000,148000000,12400000,211000000,359500000,196200000,195300000,241400000,115000000,179400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494319/000119312516490989/0001193125-16-490989-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431917000011/0001494319-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431918000014/0001494319-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431919000006/0001494319-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431920000009/0001494319-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431921000010/0001494319-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431922000011/0001494319-22-000011-index.htm
102,false,,,,,,,,,,,,,,
