,https://roic.ai/company/REPX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,853000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11628000
57,Other Non-Current Liabilities,- -,1865078,1000000,- -,- -,5459050,6762218,6179072,2542879,566968,512015,531101,2605892,1505000,1437000,1927000,2099000,1780000,2008000,2222000,2046000,2270000,2096000,1964000,2039000,11298000
58,Total Non-Current Liabilities,50000,2006293,3200000,3119293,7108599,9361807,8768427,6400707,2649567,684880,3242549,4846874,12657915,12420000,11001000,13621000,12345000,5155000,2832000,3178000,4469000,2319000,2169000,1964000,2055000,82926000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000,119000,2428000
61,Total Liabilities,1270000,8643330,6300000,5739882,10421622,17136398,18373768,18715908,10860062,3947162,4034133,6178678,13871077,14331000,14525000,15902000,14033000,6787000,4860000,4543000,5260000,2930000,2717000,2574000,2656000,166541000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,7029,- -,8533,9296,10561,11460,12080,48757,58605,59004,59156,59351,60000,61000,61000,61000,61000,61000,6000,6000,11000,11000,11000,1000,20000
64,Retained Earnings,-3040000,-7218760,-10500000,-13287362,-15086803,-24115382,-27776726,-30755038,-33385524,-32297496,-30156132,-26645810,-26476148,-28494000,-30239000,-25559000,-25626000,-22807000,-23595000,-48316000,-52515000,-53089000,-51520000,-51956000,-55604000,-49167000
65,Other Comprehensive Income/Loss,-580000,- -,-700000,-779408,-505294,-731334,-4904860,-1265003,-8618102,-10132571,-11891727,-13306339,-15264419,-17581000,- -,-1396000,- -,- -,-24750000,-305000,-600000,-1434000,-1908000,-2595000,- -,- -
66,Other Total Stockholders Equity,5070000,13213212,18400000,23501067,30385903,39828002,46880749,43896293,60304556,64332916,66409060,67995864,70256746,72858000,- -,56991000,- -,- -,80453000,56075000,56387000,59687000,60184000,60888000,58318000,270837000
67,Total Stockholders Equity,1460000,6001481,7200000,9442830,14803102,14991847,14210623,11888332,18349687,21961454,24420205,28102871,28575530,26843000,25224000,30097000,30134000,32925000,32169000,7460000,3278000,5175000,6767000,6348000,2715000,221690000
68,Total Liabilities And Stockholders Equity,2730000,14644811,13500000,15182712,25224724,32128245,32584391,30604240,29209749,25908616,28454338,34281549,42446607,41174000,39749000,45999000,44167000,39712000,37029000,12003000,8538000,8105000,9484000,8922000,5371000,388231000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2730000,14644811,13500000,15182712,25224724,32128245,32584391,30604240,29209749,25908616,28454338,34281549,42446607,41174000,39749000,45999000,44167000,39712000,37029000,12003000,8538000,8105000,9484000,8922000,5371000,388231000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001614/000093041303001024/0000930413-03-001024-index.html,https://www.sec.gov/Archives/edgar/data/1001614/000093041304001599/0000930413-04-001599-index.html,https://www.sec.gov/Archives/edgar/data/1001614/000116923205001959/0001169232-05-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161406000006/0001001614-06-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001614/000100161408000019/0001001614-08-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161409000021/0001001614-09-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161410000003/0001001614-10-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001614/000100161412000009/0001001614-12-000009-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1001614/000114036115013485/0001140361-15-013485-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036116059420/0001140361-16-059420-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036117014015/0001140361-17-014015-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036118015512/0001140361-18-015512-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000156761919007789/0001567619-19-007789-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036120007405/0001140361-20-007405-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036121010616/0001140361-21-010616-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000162828021025024/0001628280-21-025024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1760000,-4176876,-3100000,-2671923,-1541884,-2262787,-3154555,-2546730,-1994025,1088028,2141364,3510322,169662,-2018000,-1745000,4680000,-67000,2819000,-788000,-24721000,-4199000,-574000,1569000,-436000,-3648000,-65666000
74,Depreciation and Amortization,130000,- -,500000,265807,371249,1849963,2413597,2315767,2175522,1605043,1911416,1631468,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,644000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,-7000880,-169000,-1089000,118000,2226000,1915000,-12000,7351000,- -,-242000,- -,- -,- -,12962000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000,165000,52000,50000,32000,12000,17000,14000,23000,17000,14000,6793000
77,Change in Working Capital,-1230000,-714571,-125429,493737,783964,-5703905,-1672631,-2712088,3957202,5418977,2207251,1600969,-1826320,-387156,-250000,829000,776000,-45000,-1503000,-50000,806000,64000,2912000,-131000,-1941000,4281000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47109,-26000,-369000,-62000,-89000,307000,576000,432000,-46000,-118000,96000,41000,328000,-7746000
79,Inventory,- -,- -,- -,-159455,8408,91981,-103384,-17945,-61052,-154586,-54191,90157,-15275,-105000,4000,-283000,-579000,31000,450000,198000,-238000,203000,-28000,-68000,193000,- -
80,Accounts Payable,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202152,41000,802000,-75000,136000,103000,58000,-58000,-482000,-95000,-58000,63000,32000,7445000
81,Other Working Capital,-1060000,-1774571,-1900000,-1406263,-622299,-6326204,-7998835,-10710923,-6753721,-1334744,872507,2473476,647156,260000,10000,839000,1615000,1570000,67000,17000,823000,887000,3799000,3668000,1727000,-40000
82,Other Non-Cash Items,2090000,3350025,425429,-642624,-433944,5895553,1847572,3257055,-4508836,-5998285,-1906065,-1196082,15787266,4262156,7017000,2699000,6056000,3147000,8842000,17890000,2364000,892000,-3167000,776000,3382000,127710000
83,Cash Provided by Operating Activities,-770000,-1541422,-2300000,-2555003,-820615,-221176,-566017,314004,-370137,2113763,4353966,3446677,7129728,1688000,4044000,8491000,9043000,7886000,6571000,482000,-1012000,154000,1337000,226000,-1549000,86080000
84,CAPEX,-1590000,-2433250,-3100000,-1862707,-9567975,-9320700,-3039176,-139276,-1173719,-2558223,-5388000,-7012764,-14867783,-1020000,-3758000,-9174000,-8595000,-2324000,-4011000,-571000,-449000,-186000,-1038000,-439000,-109000,-60488000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,860000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,250000,310000,-3000000,-6251,631112,-87984,149239,76230,296865,4725077,974815,3867000,- -,-276000,- -,-1200000,1022000,1501000,17000,30000,48000,7000,2673000,206000,38000,3892000
89,Cash Used for Investing Activites,-1340000,-2123250,-6100000,-1868958,-8936863,-9408684,-2889937,-63046,-876854,2166854,-4413185,-3145764,-14867783,-1480000,-3758000,-10374000,-7573000,-823000,-3994000,-541000,-401000,-179000,1635000,-233000,-71000,-55736000
90,Debt Repayment,- -,-51478,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-205226,-142000,-532000,-188000,-20133000,-13606000,-10305000,-4234000,-2376000,-2854000,-142000,-53000,-41000,-46500000
91,Common Stock Issued,- -,6402946,3800000,3970622,6425713,7832150,3980168,250000,8919341,2421257,158227,55867,- -,- -,- -,- -,- -,- -,- -,- -,- -,2699000,- -,- -,- -,50000000
92,Common Stock Repurchased,370000,- -,- -,- -,- -,-503390,- -,- -,-723370,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-514000
93,Dividends Paid,- -,- -,- -,-79571,-257557,- -,-364858,-20120,-456166,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19777000
94,Other Financing Activites,1880000,1617924,1100000,40306,4772707,1090576,-368677,-352302,-6537745,-6700640,9688,1500394,5961200,111000,-35000,1998000,18626000,6566000,7709000,4298000,3825000,289000,100000,- -,167000,1854000
95,Cash Used/Provided by Financing Activities,2250000,7969392,4900000,3931357,10940863,8419336,3246633,-122422,1202060,-4287383,167915,1556261,5755974,-31000,-567000,1810000,-1507000,-7040000,-2596000,64000,1449000,134000,-42000,-53000,126000,-14937000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,150000,4304720,-3600000,-492604,1183385,-1210524,-209321,128536,-44931,-6766,108696,1857174,-1982081,177000,-281000,-73000,-37000,23000,-19000,5000,36000,109000,2930000,-60000,-1494000,15407000
98,Cash at the End of Period,150000,4451274,900000,420590,1603975,393451,184130,312666,267735,260969,369665,2226839,244758,422000,141000,68000,31000,54000,35000,40000,76000,185000,3115000,3055000,1561000,17067000
99,Cash at the Beginning of Period,- -,146554,4500000,913194,420590,1603975,393451,184130,312666,267735,260969,369665,2226839,245000,422000,141000,68000,31000,54000,35000,40000,76000,185000,3115000,3055000,1660000
100,Free Cash Flow,-2360000,-3974672,-5400000,-4417710,-10388590,-9541876,-3605193,174728,-1543856,-444460,-1034034,-3566087,-7738055,668000,286000,-683000,448000,5562000,2560000,-89000,-1461000,-32000,299000,-213000,-1658000,25592000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001614/000093041303001024/0000930413-03-001024-index.html,https://www.sec.gov/Archives/edgar/data/1001614/000093041304001599/0000930413-04-001599-index.html,https://www.sec.gov/Archives/edgar/data/1001614/000116923205001959/0001169232-05-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161406000006/0001001614-06-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001614/000100161408000019/0001001614-08-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161409000021/0001001614-09-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161410000003/0001001614-10-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001614/000100161412000009/0001001614-12-000009-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1001614/000114036115013485/0001140361-15-013485-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036116059420/0001140361-16-059420-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036117014015/0001140361-17-014015-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036118015512/0001140361-18-015512-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000156761919007789/0001567619-19-007789-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036120007405/0001140361-20-007405-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036121010616/0001140361-21-010616-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000162828021025024/0001628280-21-025024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
