,https://roic.ai/company/AGTC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,-31290000,34848000,74873000,85532000,109288000,115329000,99182000,78709000,71016000,85808000
68,Total Liabilities And Stockholders Equity,2824000,36212000,77407000,90174000,180797000,147923000,118532000,92216000,100319000,126966000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2824000,36212000,77407000,90174000,180797000,147923000,118532000,92216000,100319000,126966000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1273636/000119312514354838/0001193125-14-354838-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459015007858/0001564590-15-007858-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459016025119/agtc-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/1273636/000156459017018636/0001564590-17-018636-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459018022913/0001564590-18-022913-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000119312519255968/d758657d10k.htm,https://www.sec.gov/Archives/edgar/data/1273636/000119312520249103/0001193125-20-249103-index.htm,https://www.sec.gov/Archives/edgar/data/1273636/000119312521280686/0001193125-21-280686-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1924000,-4990000,-15908000,-24318000,-1381000,407000,-21300000,-2006000,-45892000,-57829000
74,Depreciation and Amortization,262000,285000,334000,376000,567000,912000,1175000,1273000,1335000,1460000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2171000
76,Stock Based Compensation,24000,25000,825000,2820000,5643000,5606000,5193000,4029000,2998000,2678000
77,Change in Working Capital,447000,33268000,40033000,-13412000,-11658000,54247000,-7350000,-19800000,-4928000,19992000
78,Accounts Receivable,294000,41000,-343000,-876000,409000,780000,-36000,186000,13000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-24000,674000,156000,228000,140000,-333000,-53000,327000,83000,497000
81,Other Working Capital,-399000,32869000,72902000,59490000,47832000,102079000,94729000,74929000,70001000,89993000
82,Other Non-Cash Items,-181000,-31365000,-37212000,15049000,77820000,-92173000,-10238000,-6953000,4867000,-15303000
83,Cash Provided by Operating Activities,-1372000,-2777000,-11928000,-19485000,70991000,-31001000,-32520000,-23457000,-41620000,-51173000
84,CAPEX,-108000,-531000,-376000,-323000,-2592000,-891000,-803000,-311000,-1197000,-1861000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2000000,- -,- -,-4000000,- -
86,Purchases of Investments,- -,-14000000,-79950000,-102864000,-208180000,-67542000,-67082000,-74781000,-58904000,-20992000
87,Sales/Maturities of Investments,- -,- -,29500000,121079000,109968000,103244000,100900000,94119000,72500000,61000000
88,Other Investing Activites,-100000,-129000,-218000,-98000,-121000,-152000,-141000,-148000,-254000,-404000
89,Cash Used for Investing Activites,-108000,-14481000,-50826000,17892000,-100804000,32811000,33015000,19027000,8399000,38147000
90,Debt Repayment,-323000,-857000,-1000,- -,- -,- -,-43000,-52000,-45000,-48000
91,Common Stock Issued,- -,- -,51607000,32009000,19211000,- -,- -,- -,34811000,69261000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,750000,26234000,10878000,148000,283000,28000,-93000,120000,10215000,10402000
95,Cash Used/Provided by Financing Activities,427000,25377000,62484000,32157000,19494000,28000,-136000,68000,44981000,79615000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1053000,8119000,-270000,30564000,-10319000,1838000,359000,-4362000,11760000,66589000
98,Cash at the End of Period,774000,8893000,8623000,39187000,28868000,30706000,31065000,26703000,38463000,105052000
99,Cash at the Beginning of Period,1827000,774000,8893000,8623000,39187000,28868000,30706000,31065000,26703000,38463000
100,Free Cash Flow,-1480000,-3308000,-12304000,-19808000,68399000,-31892000,-33323000,-23768000,-42817000,-53034000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1273636/000119312514354838/0001193125-14-354838-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459015007858/0001564590-15-007858-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459016025119/agtc-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/1273636/000156459017018636/0001564590-17-018636-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459018022913/0001564590-18-022913-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000119312519255968/d758657d10k.htm,https://www.sec.gov/Archives/edgar/data/1273636/000119312520249103/0001193125-20-249103-index.htm,https://www.sec.gov/Archives/edgar/data/1273636/000119312521280686/0001193125-21-280686-index.htm
102,false,,,,,,,,,,
