,https://roic.ai/company/ALGT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,38484000,87069000,131214000,171170000,205751000,204533000,267298000,307842000,351204000,451584000,738783000,885942000,1095314000,1512415000,1847268000,2236808000,2166222000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,4712000,3286000,1976000,711000,1353000,1983000,15987000,26037000,37692000,59201000,64752000,124834000,78570000,51526000,15542000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1521000,1225000,2570000,7391000,3097000,3880000,12582000,6553000,5686000,10994000,7774000,5725000,29374000,47897000,104626000,196232000,149070000,- -
45,Total Non-Current Assets,- -,- -,40005000,93006000,137070000,180537000,209559000,209766000,281863000,330382000,382927000,500270000,805758000,956419000,1249522000,1638882000,2003420000,2448582000,2315292000,- -
46,Other Assets,5840000,32689000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3991
47,Total Assets,5840000,32689000,65474000,170083000,305726000,405425000,423976000,499639000,501266000,706743000,798194000,930191000,1239385000,1351662000,1671576000,2180157000,2498668000,3010803000,3258925000,3991
48,Accounts Payable,- -,- -,5201000,14158000,17409000,21302000,17461000,20990000,24759000,16756000,14533000,15823000,13232000,6801000,16010000,20108000,27452000,27667000,34197000,- -
49,Short-Term Debt,- -,- -,7672000,9343000,14888000,18196000,25338000,23338000,16532000,7885000,11623000,20237000,53819000,74069000,86226000,214761000,152287000,173274000,231547000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5851000,948000,705000,1415000,394000,8298000,18999000,26925000,13728000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,118768000,147914000,167388000,185315000,198136000,194001000,210184000,212230000,249950000,307508000,- -
52,Other Current Liabilities,- -,- -,18788000,43315000,55525000,88481000,88229000,114253000,125322000,34096000,36476000,87203000,110802000,109462000,96661000,105127000,122027000,161693000,116093000,- -
53,Total Current Liabilities,- -,- -,31661000,66816000,87822000,127979000,131028000,158581000,166613000,177505000,210546000,290651000,363168000,388468000,392898000,550180000,513996000,612584000,689345000,- -
54,Long-Term Debt,- -,- -,24320000,23869000,64433000,45055000,35904000,21027000,11604000,138184000,139229000,214063000,539280000,567609000,722048000,950131000,1119446000,1248579000,1544066000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,6556000,13621000,19640000,26566000,25314000,39550000,46695000,48160000,42872000,45580000,75338000,118492000,164027000,232520000,301763000,- -
57,Other Non-Current Liabilities,- -,- -,- -,64791000,-6556000,8439000,3483000,1442000,- -,- -,- -,- -,- -,- -,7670000,13407000,10878000,33569000,24388000,- -
58,Total Non-Current Liabilities,- -,- -,24320000,88660000,64433000,67115000,59027000,49035000,36918000,177734000,185924000,262223000,582152000,613189000,805056000,1082030000,1294351000,1514668000,1870217000,- -
59,Other Liabilities,8791000,32334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2768
60,Capital Lease Obligations,- -,- -,- -,28483000,4128000,28301000,5386000,3483000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116602000,- -
61,Total Liabilities,8791000,32334000,55981000,155476000,152255000,195094000,190055000,207616000,203531000,355239000,396470000,552874000,945320000,1001657000,1197954000,1632210000,1808347000,2127252000,2559562000,2768
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,20000,21000,21000,21000,21000,22000,22000,22000,22000,22000,22000,23000,23000,23000,23000,- -
64,Retained Earnings,- -,- -,7899000,13744000,19088000,50434000,85841000,162172000,212932000,262330000,302325000,352811000,395783000,573619000,753397000,902579000,1025061000,1211076000,1015622000,- -
65,Other Comprehensive Income/Loss,- -,- -,-3621000,104000,4000,13000,566000,92000,-9000,-26000,-69000,-12000,1211000,834000,-230000,-2840000,-661000,98000,-27000,2
66,Other Total Stockholders Equity,- -,355000,5215000,9307000,134359000,159863000,147493000,129738000,84791000,89178000,98183000,22922000,-104139000,-224470000,-279567000,-351815000,-334102000,-327646000,-316255000,- -
67,Total Stockholders Equity,-2951000,355000,9493000,14607000,153471000,210331000,233921000,292023000,297735000,351504000,400461000,375743000,292877000,350005000,473622000,547947000,690321000,883551000,699363000,1223600000
68,Total Liabilities And Stockholders Equity,5840000,32689000,65474000,170083000,305726000,405425000,423976000,499639000,501266000,706743000,796931000,928617000,1238197000,1351662000,1671576000,2180157000,2498668000,3010803000,3258925000,1223602768
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1263000,1574000,1188000,- -,- -,- -,- -,- -,- -,-1223598776
70,Total Liabilities & Equity,5840000,32689000,65474000,170083000,305726000,405425000,423976000,499639000,501266000,706743000,798194000,930191000,1239385000,1351662000,1671576000,2180157000,2498668000,3010803000,3258925000,3991
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362468/000104746908002507/a2183318z10-k.htm,https://www.sec.gov/Archives/edgar/data/1362468/000104746909002190/0001047469-09-002190-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000104746910001935/0001047469-10-001935-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000143774911001503/algt_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1362468/000143774912001771/0001437749-12-001771-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000143774913001984/0001437749-13-001984-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246814000010/algt201310kdoc.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246815000009/algt201410kdoc.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246816000054/0001362468-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246817000006/0001362468-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246818000008/0001362468-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246819000010/0001362468-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246820000011/0001362468-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246821000012/0001362468-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246822000018/0001362468-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,9135000,7292000,8740000,31509000,35407000,76331000,65702000,49398000,78597000,92273000,86689000,220374000,219590000,194902000,161802000,232117000,-184093000,151853000
74,Depreciation and Amortization,- -,- -,-2183000,5088000,10584000,15992000,23489000,29638000,34965000,41975000,57503000,69264000,83409000,98097000,105216000,121713000,129351000,155852000,176267000,- -
75,Deferred Income Tax,- -,- -,- -,- -,6319000,7309000,5908000,6768000,-737000,13977000,6362000,-1945000,-7353000,8979000,29846000,42473000,38222000,68466000,69344000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1702000,3109000,4437000,4735000,4069000,9818000,16723000,10474000,9389000,13856000,15098000,18226000,19287000,- -
77,Change in Working Capital,- -,- -,-855000,16453000,70573000,16075000,-13520000,47903000,-78502000,146066000,5865000,-65451000,-68811000,-63684000,22381000,-38061000,-9843000,-31615000,304651000,- -
78,Accounts Receivable,- -,- -,-1245000,-4004000,-585000,-8148000,3509000,-1901000,-376000,-5014000,-5769000,1778000,2641000,-930000,-18201000,-30568000,35624000,10498000,4390000,- -
79,Inventory,- -,- -,-1244000,150000,-2371000,-3115000,-626000,-3788000,-2221000,-1381000,-4373000,-1823000,1147000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,1690000,8957000,3251000,6032000,-2239000,4686000,4590000,3065000,891000,3140000,851000,-6431000,9209000,4798000,8633000,-2103000,7016000,- -
81,Other Working Capital,- -,- -,-6192000,10261000,80834000,96909000,83389000,131292000,52790000,198856000,204721000,139270000,70459000,6775000,29156000,-8905000,-18748000,-50363000,254288000,- -
82,Other Non-Cash Items,- -,- -,4387000,15194000,-61470000,3062000,18646000,-32075000,72091000,-126240000,24376000,92929000,159124000,91127000,-39561000,56248000,21982000,-836000,-150834000,336347000
83,Cash Provided by Operating Activities,- -,- -,10484000,44027000,34746000,73947000,71632000,131674000,97956000,129911000,176772000,196888000,269781000,365367000,346861000,391131000,356612000,442210000,234622000,488200000
84,CAPEX,- -,- -,-9384000,-15060000,-27833000,-42132000,-54119000,-32501000,-98499000,-86582000,-105084000,-177516000,-279418000,-252686000,-199743000,-568439000,-334774000,-506845000,-281159000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000,352000,-156000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-41062000,-35530000,-29086000,-101753000,-125076000,-84936000,-359035000,-385095000,-351616000,-334538000,-357546000,-444532000,-363300000,-371461000,-436237000,-686600000,- -
87,Sales/Maturities of Investments,- -,- -,- -,9100000,61690000,5788000,53046000,60364000,188436000,227232000,290669000,325367000,297968000,373816000,361082000,319915000,436581000,454813000,504600000,- -
88,Other Investing Activites,- -,- -,-291000,-684000,66000,-3497000,2321000,- -,1781000,10162000,-9290000,10581000,896000,2198000,-118644000,-6695000,677000,11806000,97468000,- -
89,Cash Used for Investing Activites,- -,- -,-9675000,-47706000,-1607000,-68927000,-100505000,-97213000,6782000,-208223000,-208827000,-192832000,-315248000,-234218000,-401837000,-618519000,-268977000,-476463000,-365691000,- -
90,Debt Repayment,- -,- -,-4600000,-5568000,-13250000,-14654000,-29796000,-25918000,-31671000,-21151000,-9321000,-22656000,-168794000,-67930000,-154080000,-138858000,-232227000,-705763000,-217766000,- -
91,Common Stock Issued,- -,- -,- -,34540000,93366000,23029000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335100000
92,Common Stock Repurchased,- -,- -,- -,-35540000,- -,- -,-16714000,-25356000,-53764000,-1922000,-4994000,-83607000,-139105000,-129455000,-66371000,-90457000,-3650000,-18569000,-33773000,- -
93,Dividends Paid,- -,- -,- -,-1447000,-3396000,- -,- -,- -,-14942000,- -,-38602000,- -,-41787000,-62439000,-67540000,-45720000,-45247000,-45552000,-11361000,- -
94,Other Financing Activites,- -,- -,5080000,31384000,-845000,601000,28267000,9899000,18693000,138832000,23789000,110361000,387052000,126177000,320566000,497161000,218761000,845011000,427503000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,480000,23369000,75875000,8976000,-18243000,-41375000,-81684000,115759000,-29128000,4098000,37366000,-133647000,32575000,222126000,-62363000,75127000,164603000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1289000,19690000,109014000,13996000,-47116000,-6914000,23054000,37447000,-61183000,8154000,-8101000,-2498000,-22401000,-5262000,25272000,40874000,33534000,- -
98,Cash at the End of Period,- -,- -,1569000,21259000,130273000,144269000,97153000,90239000,113293000,150740000,89557000,97711000,89610000,87112000,64711000,59449000,95911000,136785000,170319000,- -
99,Cash at the Beginning of Period,- -,- -,280000,1569000,21259000,130273000,144269000,97153000,90239000,113293000,150740000,89557000,97711000,89610000,87112000,64711000,70639000,95911000,136785000,- -
100,Free Cash Flow,- -,- -,1100000,28967000,6913000,31815000,17513000,99173000,-543000,43329000,71688000,19372000,-9637000,112681000,147118000,-177308000,21838000,-64635000,-46537000,488200000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362468/000104746908002507/a2183318z10-k.htm,https://www.sec.gov/Archives/edgar/data/1362468/000104746909002190/0001047469-09-002190-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000104746910001935/0001047469-10-001935-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000143774911001503/algt_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1362468/000143774912001771/0001437749-12-001771-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000143774913001984/0001437749-13-001984-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246814000010/algt201310kdoc.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246815000009/algt201410kdoc.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246816000054/0001362468-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246817000006/0001362468-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246818000008/0001362468-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246819000010/0001362468-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246820000011/0001362468-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246821000012/0001362468-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246822000018/0001362468-22-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
