,https://roic.ai/company/COLL,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1267565/000155837016004252/0001558370-16-004252-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837017001629/0001558370-17-001629-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837018001644/0001558370-18-001644-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837019001187/0001558370-19-001187-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837020001625/0001558370-20-001625-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837021001814/0001558370-21-001814-index.htm,https://www.sec.gov/Archives/edgar/data/1267565/000155837022001927/0001558370-22-001927-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-16197000,-17917000,-27255000,-94176000,-74865000,-39128000,-22722000,26752000,71517000
74,Depreciation and Amortization,169000,187000,171000,655000,594000,110908000,15483000,61550000,68917000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-78042000
76,Stock Based Compensation,62000,22000,2209000,5787000,7945000,13778000,16528000,21910000,24255000
77,Change in Working Capital,-634000,- -,-11564000,94372000,44528000,-30983000,-53610000,5569000,13486000
78,Accounts Receivable,- -,- -,- -,-2129000,-7840000,-68231000,4993000,-10367000,-22524000
79,Inventory,- -,- -,- -,-1316000,-497000,219000,-1826000,-8270000,-2296000
80,Accounts Payable,-822000,990000,1298000,5569000,-3422000,6465000,-5903000,3769000,-5827000
81,Other Working Capital,5643000,5643000,-5921000,88451000,132979000,101996000,48386000,53955000,- -
82,Other Non-Cash Items,70000,-239000,14872000,-81691000,-45220000,114815000,72104000,-21839000,3424000
83,Cash Provided by Operating Activities,-16530000,-17947000,-21567000,-75053000,-67018000,169390000,27783000,93942000,103557000
84,CAPEX,-206000,-8000,-362000,-2977000,-990000,-24354000,-6438000,-373772000,-1944000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-2500000,- -,-18877000,- -,-368226000,- -
89,Cash Used for Investing Activites,-206000,-8000,-362000,-2977000,-990000,-24354000,-6438000,-373772000,-1944000
90,Debt Repayment,-105000,-90000,-1345000,-2667000,-2667000,- -,- -,-49000000,-50000000
91,Common Stock Issued,- -,- -,72029000,137340000,34338000,- -,- -,758,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-30000,- -,- -,-47861000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12456000,12128000,45308000,885000,1809000,-117167000,2041000,335473242,8558000
95,Cash Used/Provided by Financing Activities,12351000,12038000,115992000,135558000,33480000,-117197000,2041000,286474000,-89303000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4385000,-5917000,94063000,57528000,-34528000,27839000,23386000,6644000,12310000
98,Cash at the End of Period,7551000,1634000,95697000,153225000,118697000,146633000,170019000,176663000,188973000
99,Cash at the Beginning of Period,11936000,7551000,1634000,95697000,153225000,118794000,146633000,170019000,176663000
100,Free Cash Flow,-16736000,-17955000,-21929000,-78030000,-68008000,145036000,21345000,-279830000,101613000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1267565/000155837016004252/0001558370-16-004252-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837017001629/0001558370-17-001629-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837018001644/0001558370-18-001644-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837019001187/0001558370-19-001187-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837020001625/0001558370-20-001625-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837021001814/0001558370-21-001814-index.htm,https://www.sec.gov/Archives/edgar/data/1267565/000155837022001927/0001558370-22-001927-index.htm
102,false,,,,,,,,,
