,https://roic.ai/company/TREE,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,14171000,-540440000,-215030000,-24313000,-18056000,-61108000,-2851000,-1107000,-969000,28514000,52112000,33133000,56191000,50728000,-6603000,8031000
18,Operating Income ratio,- -,- -,0.0297,-1.5603,-0.9408,-0.1122,-0.0911,-1.1188,-0.0368,-0.0080,-0.0058,0.1122,0.1356,0.0536,0.0735,0.0458,-0.0073,0.0073
19,Total Other Income Expenses (Gains),- -,- -,-456000,199000,-520000,-529000,-465000,-368000,-881000,-19000,-2000,-171000,-538000,-7424000,-12447000,-19747000,-35924000,76405000
20,Income Before Tax,- -,- -,13715000,-540241000,-215550000,-24842000,-18521000,-61476000,-3732000,-1126000,-971000,28343000,51574000,25709000,43744000,30981000,-42527000,84436000
21,Income Before Tax Ratio,- -,- -,0.0288,-1.5597,-0.9430,-0.1146,-0.0935,-1.1256,-0.0482,-0.0081,-0.0058,0.1115,0.1342,0.0416,0.0572,0.0280,-0.0467,0.0769
22,Income Tax expense (Gain),- -,- -,5022000,10161000,-13274000,-368000,-936000,-11766000,-1483000,-453000,-484000,-22973000,20366000,6291000,-65575000,-8479000,- -,11298000
23,Net Income,- -,5851000,8693000,-550402000,-202276000,-24474000,-17585000,-59503000,46625000,3947000,9362000,48047000,27494000,15578000,96499000,17828000,-42527000,69115000
24,Net Income ratio,- -,0.0139,0.0182,-1.5890,-0.8850,-0.1129,-0.0887,-1.0895,0.6021,0.0283,0.0559,0.1890,0.0715,0.0252,0.1262,0.0161,-0.0467,0.0629
25,EPS,- -,0.61,0.91,-57.80,-21.59,-2.32,-1.60,-4.17,4.10,0.38,0.84,4.17,2.33,1.30,7.72,1.39,-3.71,5.24
26,EPS Diluted,- -,0.61,0.91,-57.80,-21.59,-2.32,-1.60,-4.17,4.10,0.38,0.84,3.83,2.15,1.14,6.85,1.22,-3.71,5.05
27,Weighted Average Shares Outstanding,- -,9523000,9523000,9523000,9368000,10536000,11014000,10995000,11313000,11035000,11188000,11516000,11812000,11945000,12504000,12834000,13007000,13199000
28,Weighted Average Shares Outstanding Diluted,- -,9523000,9523000,9523000,9368000,10536000,11014000,10995000,11313000,11035000,11188000,12541000,12773000,13682000,14097000,14619000,13007000,13695000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434621/000104746909001994/0001047469-09-001994-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000104746910001702/0001047469-10-001702-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000104746911001556/a2202257z10-k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000104746912004335/a2208170z10-k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000104746913003755/0001047469-13-003755-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462114000015/tree-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462115000011/tree-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462116000052/0001434621-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462117000017/0001434621-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462118000006/0001434621-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462119000014/0001434621-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462120000015/0001434621-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462121000002/0001434621-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462122000009/0001434621-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,99498000,45940000,73643000,86093000,68819000,45541000,80190000,91667000,86212000,206975000,91131000,368550000,105102000,60243000,169932000,251231000
32,Short-Term Investments,- -,- -,- -,- -,87835000,93596000,116681000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,99498000,45940000,161478000,179689000,185500000,45541000,80190000,91667000,86212000,206975000,91131000,368550000,105102000,60243000,169932000,251231000
34,Net Receivables,- -,- -,21581000,12433000,7234000,6835000,4305000,5474000,11488000,12850000,13611000,29873000,41382000,53444000,91072000,113487000,89841000,97658000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,383859000,114138000,24164000,22777000,22477000,245936000,30594000,28227000,19836000,8736000,8110000,16047000,37997000,15696000,36636000,25490000
37,Total Current Assets,- -,- -,504938000,172511000,192876000,209301000,212282000,296951000,122272000,132744000,119659000,245584000,140623000,438041000,234171000,189426000,296409000,374379000
38,PP&E,- -,- -,30677000,21466000,17057000,12257000,12795000,8375000,6155000,5344000,5257000,9415000,35462000,36431000,23175000,31363000,146490000,149823000
39,Goodwill,- -,- -,582295000,140892000,9285000,12152000,11599000,3632000,3632000,3632000,3632000,3632000,56457000,113368000,348347000,420139000,420139000,420139000
40,Intangible Assets,- -,- -,142781000,108440000,64663000,57626000,45419000,11189000,10831000,10684000,11141000,10992000,71684000,81125000,205699000,181580000,128502000,85763000
41,Intangible Assets,- -,- -,725076000,249332000,73948000,69778000,57018000,14821000,14463000,14316000,14773000,14624000,128141000,194493000,554046000,601719000,548641000,505902000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,158140000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20977000,14610000,20156000,79289000,87664000,96224000,87581000
44,Other Non-Current Assets,- -,- -,354000,278000,202000,496000,707000,11193000,281000,240000,202000,5181000,4591000,4338000,5434000,37797000,21226000,23531000
45,Total Non-Current Assets,- -,- -,756107000,271076000,91207000,82531000,70520000,34389000,20899000,19900000,20232000,50197000,182804000,255418000,661944000,758543000,892581000,924977000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1261045000,443587000,284083000,291832000,282802000,331340000,143171000,152644000,139891000,295781000,323427000,693459000,896115000,947969000,1188990000,1299356000
48,Accounts Payable,- -,- -,8989000,3335000,3541000,5905000,7387000,9072000,2741000,4881000,1060000,5741000,5593000,9250000,15074000,2873000,10111000,1692000
49,Short-Term Debt,- -,- -,350072000,99622000,76186000,78481000,100623000,- -,- -,- -,- -,- -,- -,- -,125000000,81885000,5375000,166008000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,2908000,1435000,1231000,1731000,1540000,176000,2749000,4328000,4560000,4471000,5041000,5564000,6913000,6920000,8153000,- -
52,Other Current Liabilities,- -,- -,63506000,84606000,37146000,56905000,41783000,271077000,48876000,50990000,33016000,43815000,56073000,132702000,114966000,139028000,88204000,106732000
53,Total Current Liabilities,- -,- -,425475000,188998000,118104000,143022000,151333000,280325000,54366000,60199000,38636000,54027000,66707000,147516000,261953000,230706000,111843000,274432000
54,Long-Term Debt,- -,- -,19347000,730000,- -,510000,96000,- -,- -,- -,- -,- -,- -,238199000,250943000,264391000,703775000,574316000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,38976000,36706000,- -,15380000,13962000,435000,4694000,4849000,4738000,- -,2433000,- -,894000,- -,- -,2265000
57,Other Non-Current Liabilities,- -,- -,3794000,2529000,27851000,12010000,15590000,5109000,1189000,588000,151000,612000,22852000,12870000,36117000,50546000,8611000,351000
58,Total Non-Current Liabilities,- -,- -,62117000,39965000,27851000,27900000,29648000,5544000,5883000,5437000,4889000,612000,25285000,251069000,287954000,314937000,712386000,576932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6885000,97738000,96165000
61,Total Liabilities,- -,- -,487592000,228963000,145955000,170922000,180981000,285869000,60249000,65636000,43525000,54639000,91992000,398585000,549907000,545643000,824229000,851364000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,94000,109000,118000,121000,126000,126000,129000,139000,140000,142000,154000,157000,158000,161000
64,Retained Earnings,- -,- -,-6004000,-557366000,-756543000,-781017000,-798602000,-858105000,-811480000,-807533000,-798171000,-750124000,-722630000,-708354000,-610482000,-592654000,-640909000,-571794000
65,Other Comprehensive Income/Loss,- -,- -,29126000,20067000,-28800000,-32140000,-34081000,-20883000,-23294000,-18008000,-14810000,-6940000,-9739000,-13043000,-13887000,-17979000,- -,- -
66,Other Total Stockholders Equity,- -,- -,803371000,797522000,923377000,933958000,934386000,924338000,917570000,912423000,909218000,998067000,963664000,1015540000,970423000,1012802000,1005512000,1019625000
67,Total Stockholders Equity,- -,- -,773453000,214624000,138128000,120910000,101821000,45471000,82922000,87008000,96366000,241142000,231435000,294285000,346208000,402326000,364761000,447992000
68,Total Liabilities And Stockholders Equity,- -,- -,1261045000,443587000,284083000,291832000,282802000,331340000,143171000,152644000,139891000,295781000,323427000,692870000,896115000,947969000,1188990000,1299356000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1261045000,443587000,284083000,291832000,282802000,331340000,143171000,152644000,139891000,295781000,323427000,693459000,896115000,947969000,1188990000,1299356000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1434621/000104746909001994/0001047469-09-001994-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000104746910001702/0001047469-10-001702-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000104746911001556/a2202257z10-k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000104746912004335/a2208170z10-k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000104746913003755/0001047469-13-003755-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462114000015/tree-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462115000011/tree-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462116000052/0001434621-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462117000017/0001434621-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462118000006/0001434621-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462119000014/0001434621-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462120000015/0001434621-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462121000002/0001434621-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462122000009/0001434621-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,8693000,-550402000,-202276000,-24474000,-17585000,-59503000,46625000,3947000,9362000,48047000,27494000,15578000,96499000,17828000,-42527000,69115000
74,Depreciation and Amortization,- -,- -,35728000,44527000,51403000,11513000,8876000,5914000,4463000,3648000,3381000,3157000,6187000,21551000,31483000,66239000,67279000,60648000
75,Deferred Income Tax,- -,- -,206000,2764000,-13274000,-382000,-1270000,-11551000,-92000,64000,106000,-29969000,6367000,-6370000,-63901000,-8555000,-9628000,10908000
76,Stock Based Compensation,- -,- -,- -,- -,11237000,3892000,3640000,- -,4587000,5627000,7446000,8508000,9647000,23361000,44365000,52167000,53733000,68555000
77,Change in Working Capital,- -,- -,240097000,-95950000,91259000,-8493000,-5330000,-44323000,51280000,4639000,8478000,110534000,-117641000,216609000,-318307000,-13498000,225846000,-6048000
78,Accounts Receivable,- -,- -,- -,- -,4605000,-23000,2520000,-1964000,-6011000,-3614000,-1228000,-16598000,-8361000,-11381000,-16820000,-22457000,21861000,-10289000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-23329000,15206000,-10481000,-4376000,-6595000,6832000,-1935000,13689000,4769000,31108000,- -,-2322000,-8013000,-1537000
81,Other Working Capital,- -,- -,79463000,-16487000,74772000,66279000,60949000,16626000,67906000,72545000,81023000,191557000,73916000,290525000,-27782000,-41280000,184566000,- -
82,Other Non-Cash Items,- -,- -,-209810000,832046000,19731000,31161000,-13309000,-312000,115162000,-11112000,-29281000,-111324000,116197000,-171998000,320573000,29738000,-256134000,-68605000
83,Cash Provided by Operating Activities,- -,- -,74914000,232985000,-41920000,13217000,-24978000,-109775000,222025000,6813000,-508000,28953000,48251000,98731000,110712000,143919000,38569000,134573000
84,CAPEX,- -,- -,-13251000,-9421000,-4131000,-3865000,-7226000,-6110000,-2632000,-2750000,-3856000,-7237000,-33985000,-8045000,-14907000,-20041000,-42149000,-35065000
85,Acquisitions Net,- -,- -,-3059000,-1559000,-14487000,-5726000,-250000,- -,- -,- -,-740000,-37000,-85682000,-66390000,-368131000,-105096000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1180000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46312000
88,Other Investing Activites,- -,- -,-100000,33000,-143000,4040000,2191000,-1981000,-1085000,3397000,7300000,12175000,2452000,-2000,- -,24077000,-122149000,-35065000
89,Cash Used for Investing Activites,- -,- -,-16410000,-10947000,-18761000,-5551000,-5285000,-8091000,-3717000,647000,2704000,4901000,-117215000,-74437000,-383038000,-101060000,-122149000,10067000
90,Debt Repayment,- -,- -,- -,- -,-2017224000,-2472811000,-1842764000,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,-308862000,- -
91,Common Stock Issued,- -,- -,- -,- -,11000,3364000,- -,- -,- -,- -,- -,91484000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-9102000,-962000,-1694000,-6127000,-2610000,-218000,-48547000,-19901000,-93704000,-5470000,- -,-40008000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-11428000,- -,-229000,-131000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-45915000,-275596000,2105597000,2474231000,1864855000,94711000,-196460000,144000,-4812000,-4226000,1667000,273026000,98547000,-32208000,502152000,-23339000
95,Cash Used/Provided by Financing Activities,- -,- -,-45915000,-275596000,88384000,4784000,12989000,93749000,-209582000,-5983000,-7651000,86909000,-46880000,253125000,4843000,-87678000,193290000,-63347000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,12589000,-53558000,27703000,12450000,-17274000,-23278000,34649000,11477000,-5455000,120763000,-115844000,277419000,-267483000,-44819000,109710000,81293000
98,Cash at the End of Period,- -,- -,99498000,45940000,73643000,86093000,68819000,45541000,80190000,91667000,86212000,206975000,91131000,368550000,105158000,60339000,170049000,251342000
99,Cash at the Beginning of Period,- -,- -,86909000,99498000,45940000,73643000,86093000,68819000,45541000,80190000,91667000,86212000,206975000,91131000,372641000,105158000,60339000,170049000
100,Free Cash Flow,- -,- -,61663000,223564000,-46051000,9352000,-32204000,-115885000,219393000,4063000,-4364000,21716000,14266000,90686000,95805000,123878000,-3580000,99508000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1434621/000104746909001994/0001047469-09-001994-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000104746910001702/0001047469-10-001702-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000104746911001556/a2202257z10-k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000104746912004335/a2208170z10-k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000104746913003755/0001047469-13-003755-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462114000015/tree-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462115000011/tree-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462116000052/0001434621-16-000052-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462117000017/0001434621-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462118000006/0001434621-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462119000014/0001434621-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462120000015/0001434621-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1434621/000143462121000002/0001434621-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1434621/000143462122000009/0001434621-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,
