,https://roic.ai/company/MARA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,-30928,-5527637,-3713795,-6795354,-25096307,-17312065,-31437521,-12745190,-3517065,-10447771,-13153785
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-1.0864,-0.3175,-1.3224,-0.4726,-60.5008,-8.1576,-2.9674,-2.3977,-0.0874
22,Income Tax expense (Gain),- -,- -,- -,- -,-4913232,-8156448,11516807,-103952,69134,- -,- -,23020721
23,Net Income,- -,-30928,-6927812,-3450335,-1882123,-16939859,-28665024,-31333569,-12814324,-3517065,-10447771,-36174506
24,Net Income ratio,- -,-Infinity,-Infinity,-1.0094,-0.0879,-0.8926,-0.7826,-60.3007,-8.2018,-2.9674,-2.3977,-0.2404
25,EPS,- -,-0.26,-19.76,-6.00,-2.56,-19.04,-30.24,-19.20,-2.40,-0.53,-0.13,-0.36
26,EPS Diluted,- -,-0.26,-19.88,-6.00,-4.33,-19.04,-30.24,-19.20,-2.40,-0.53,-0.13,-0.36
27,Weighted Average Shares Outstanding,- -,118573,348448,575524,728804,888049,948628,1630662,5315943,6664238,81408340,99337587
28,Weighted Average Shares Outstanding Diluted,- -,118573,348448,575524,728804,888049,948628,1630662,5315943,6664238,81408340,99337587
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1507605/000149315221006139/0001493152-21-006139-index.htm,https://www.sec.gov/Archives/edgar/data/1507605/000149315222006446/0001493152-22-006446-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,129152,2354169,3610262,5082569,2555151,4998314,14948529,2551171,692963,141322776,268522019
32,Short-Term Investments,- -,- -,- -,6250,- -,- -,- -,- -,- -,1141,2271656,326584525
33,Cash and Short-Term Investments,- -,129152,2354169,3616512,5082569,2555151,4998314,14948529,2551171,694104,143594432,595106544
34,Net Receivables,- -,- -,- -,270000,216997,136842,95069,6826,- -,- -,74767226,30000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,20000,134978,752931,2384587,2086909,428049,92855,464006,800024,68047557,63043647
37,Total Current Assets,- -,149152,2489147,4639443,7684153,4778902,5521432,15048210,3015177,1494128,286409215,688150191
38,PP&E,- -,- -,- -,13640,53828,61297,28329,10011,1034575,4052256,17424622,276242794
39,Goodwill,- -,- -,- -,2144488,3432308,4482845,222843,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,492152,6157659,43363832,25457639,12314628,- -,1144755,1073578,1002402,931226
41,Intangible Assets,- -,- -,492152,8302147,46796140,29940484,12537471,- -,1144755,1073578,1002402,931226
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000
43,Tax Assets,- -,- -,- -,- -,4952309,12437741,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3500,1035570,- -,- -,9169,201203,- -,- -,- -,8415000,479920212
45,Total Non-Current Assets,- -,3500,1527722,8315787,51802277,42448691,12767003,10011,2179330,5125834,26842024,760094232
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,152652,4016869,12955230,59486430,47227593,18288435,15058221,5194507,6619962,313251239,1448244423
48,Accounts Payable,- -,104000,57158,- -,- -,- -,- -,1961784,- -,1238197,999742,12927139
49,Short-Term Debt,- -,- -,- -,- -,17085000,10383177,13162007,1763920,999106,87959,121596,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,152974,30664,785609,5385746,6568471,7299008,3944396,1274527,526549,322437,867260
53,Total Current Liabilities,- -,256974,87822,785609,22470746,16951648,20461015,7670100,2273633,1852705,1443775,13794399
54,Long-Term Debt,- -,- -,- -,- -,5403065,12223884,4670502,- -,- -,1119585,62500,728405922
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1044997,- -,- -,- -,- -,- -,23020721
57,Other Non-Current Liabilities,- -,- -,- -,- -,7360000,4331322,2444060,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,12763065,17600203,7114562,- -,- -,1119585,62500,751426643
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,208438,121596,- -
61,Total Liabilities,- -,256974,87822,785609,35233811,34551851,27575577,7670100,2273633,2972290,1506275,765221042
62,Preferred Stock,- -,- -,- -,- -,93,78,78,1,- -,- -,- -,- -
63,Common Stock,- -,1000,4555,549,1379,1487,1877,1248,2552,846,8197,10273
64,Retained Earnings,- -,-109322,-7037134,-10487469,-12337665,-29277524,-57942548,-89276117,-102090441,-105607506,-116055277,-152229783
65,Other Comprehensive Income/Loss,- -,- -,- -,-6250,-388357,-1265812,-1060390,-450734,-450719,-450719,-450719,-450719
66,Other Total Stockholders Equity,- -,4000,10972122,22673287,36977169,43217513,49877689,97113723,105459482,109705051,428242763,835693610
67,Total Stockholders Equity,- -,-104322,3939543,12180117,24252619,12675742,-9123294,7388121,2920874,3647672,311744964,683023381
68,Total Liabilities And Stockholders Equity,- -,152652,4027365,12965726,59486430,47227593,18452283,15058221,5194507,6619962,313251239,1448244423
69,Minority Interest,- -,- -,-10496,-10496,- -,- -,-163848,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,152652,4016869,12955230,59486430,47227593,18288435,15058221,5194507,6619962,313251239,1448244423
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1507605/000149315221006139/0001493152-21-006139-index.htm,https://www.sec.gov/Archives/edgar/data/1507605/000149315222006446/0001493152-22-006446-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,-30928,-6927812,-3450335,-1882123,-16939859,-28665024,-31333569,-12814324,-3517065,-10447771,-36174506
74,Depreciation and Amortization,- -,- -,- -,1041865,5528280,10832742,7457266,1850268,2069712,1077321,3161198,15102579
75,Deferred Income Tax,- -,- -,- -,- -,-1774807,-8279035,11392743,- -,- -,- -,- -,23020721
76,Stock Based Compensation,- -,- -,4238100,1850188,3293388,2490175,1817344,1976816,1425683,933682,1178609,160786028
77,Change in Working Capital,- -,-3345,-42004,533253,251914,3758017,2378625,-629235,-4742147,-1690181,-3823544,-137703678
78,Accounts Receivable,- -,- -,- -,-270000,110053,-295608,29547,88243,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-1253875,- -,- -,- -,11927398
81,Other Working Capital,- -,- -,3915,75895,- -,- -,- -,201203,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,1470312,-1494441,-963078,5176722,15791653,17327237,5822505,-122412,2157804,-43249704
83,Cash Provided by Operating Activities,- -,-34273,-1261404,-1519470,4453574,-2961238,10172607,-10808483,-8238571,-3318655,-7773704,-18218560
84,CAPEX,- -,- -,-1070420,-3183750,-7869795,-58386,-3689746,-7788,-5501719,-5225,-83389907,-708916677
85,Acquisitions Net,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1366627,- -,- -,- -,- -,- -,- -,- -,- -,-153000000
87,Sales/Maturities of Investments,- -,- -,576477,1181717,- -,- -,- -,- -,1342917,1220178,2102394,- -
88,Other Investing Activites,- -,- -,-745420,-3166750,-7816832,- -,-3681358,- -,-250000,- -,- -,-30000000
89,Cash Used for Investing Activites,- -,- -,-1860570,-3002033,-7869795,-58386,-3689746,-7788,-4158802,1214953,-81287513,-891916677
90,Debt Repayment,- -,- -,-930000,- -,-4465000,-19059913,-8708687,-1273000,- -,- -,- -,-77500000
91,Common Stock Issued,- -,- -,6511965,5777596,6388266,- -,4654130,16074416,- -,255893,236233598,324768476
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,9675,-234974,- -,2965262,19568751,46667,5647203,- -,-10399,-6542568,790066004
95,Cash Used/Provided by Financing Activities,- -,9675,5346991,5777596,4888528,508838,-4007890,20448619,- -,245494,229691030,1037334480
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-16632,-31808,317867,15,- -,- -,- -
97,Net Change In Cash,- -,-24598,2225017,1256093,1472307,-2527418,2443163,9950215,-12397358,-1858208,140629813,127199243
98,Cash at the End of Period,- -,55,2354169,3610262,5082569,2555151,4998314,14948529,2551171,692963,141322776,268522019
99,Cash at the Beginning of Period,- -,24653,129152,2354169,3610262,5082569,2555151,4998314,14948529,2551171,692963,141322776
100,Free Cash Flow,- -,-34273,-2331824,-4703220,-3416221,-3019624,6482861,-10816271,-13740290,-3323880,-91163611,-727135237
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1507605/000149315221006139/0001493152-21-006139-index.htm,https://www.sec.gov/Archives/edgar/data/1507605/000149315222006446/0001493152-22-006446-index.htm
102,false,,,,,,,,,,,,
