,https://roic.ai/company/CVNA,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,7093000,8725000,117879000,148889000,31000000
58,Total Non-Current Liabilities,- -,- -,4404000,55562000,434074000,1000939000,1765891000,3600000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,116071000,147478000,361000000
61,Total Liabilities,- -,70808000,200822000,361593000,763585000,1865809000,2233028000,6490000000
62,Preferred Stock,- -,68025000,250972000,97127000,- -,- -,- -,- -
63,Common Stock,- -,59654000,59654000,133000,145000,152000,173000,- -
64,Retained Earnings,- -,-62475000,-175615000,-12899000,-74653000,-183034000,-354174000,-489000000
65,Other Comprehensive Income/Loss,- -,-5112000,-9752000,-20453000,-44050000,-88795000,- -,- -
66,Other Total Stockholders Equity,- -,5112000,9752000,61828000,191966000,369789000,741601000,- -
67,Total Stockholders Equity,- -,65204000,135011000,125736000,73408000,98112000,387600000,306000000
68,Total Liabilities And Stockholders Equity,- -,136012000,335833000,487329000,836993000,1963921000,2620628000,6796000000
69,Minority Interest,- -,- -,- -,153808000,154020000,93827000,413903000,219000000
70,Total Liabilities & Equity,- -,136012000,335833000,641137000,991013000,2057748000,3034531000,7015000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1690820/000169082018000005/0001690820-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082019000024/0001690820-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082020000052/0001690820-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082021000069/0001690820-21-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1690820/000169082022000080/0001690820-22-000080-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-15238000,-4009000,-93112000,-18313000,-61754000,-114659000,-171140000,-135000000
74,Depreciation and Amortization,1705000,2800000,4658000,11568000,23539000,41265000,73791000,105000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,490000,555000,5611000,24095000,33063000,25088000,39000000
77,Change in Working Capital,-16381000,30413000,104864000,149656000,161209000,961458000,972990000,-2082000000
78,Accounts Receivable,-450000,-2711000,-3492000,-8715000,-19212000,-9741000,-42995000,-148000000
79,Inventory,-17387000,-41667000,-117468000,-40839000,-183068000,-344861000,-263321000,-2086000000
80,Accounts Payable,1625000,25558000,-1630000,16904000,68550000,97912000,- -,- -
81,Other Working Capital,48410000,78823000,183687000,333343000,494552000,1456010000,2429000000,- -
82,Other Non-Cash Items,-247000,-83202000,-257190000,-348446000,-561429000,-1678261000,-1509141000,-521000000
83,Cash Provided by Operating Activities,-30161000,-53508000,-240225000,-199924000,-414340000,-757134000,-608412000,-2594000000
84,CAPEX,-3768000,-13950000,-39539000,-78490000,-143668000,-230538000,-359801000,-557000000
85,Acquisitions Net,- -,- -,- -,- -,-6670000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-126000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2115000,-8151000,-4177000,- -,2799000,13875000,56000000
89,Cash Used for Investing Activites,-3768000,-16065000,-47690000,-82667000,-150338000,-227739000,-345926000,-627000000
90,Debt Repayment,- -,-100149000,-287835000,-902924000,-1935402000,-4235098000,-5611794000,-12660000000
91,Common Stock Issued,- -,- -,- -,206198000,172287000,297611000,1058940000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-12000,- -,- -,- -
93,Dividends Paid,- -,-33533000,- -,- -,-4619000,- -,- -,- -
94,Other Financing Activites,39614000,239460000,571800000,1112813000,2234010000,4952110000,5717844000,16188000000
95,Cash Used/Provided by Financing Activities,39614000,105778000,283965000,416087000,466264000,1014623000,1164990000,3528000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5685000,36205000,-3950000,133496000,-98414000,29750000,210652000,307000000
98,Cash at the End of Period,6929000,43134000,39184000,172680000,88709000,118459000,329111000,636000000
99,Cash at the Beginning of Period,1244000,6929000,43134000,39184000,187123000,88709000,118459000,329000000
100,Free Cash Flow,-33929000,-67458000,-279764000,-278414000,-558008000,-987672000,-968213000,-3151000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1690820/000169082018000005/0001690820-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082019000024/0001690820-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082020000052/0001690820-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082021000069/0001690820-21-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1690820/000169082022000080/0001690820-22-000080-index.htm
102,false,,,,,,,,
