,https://roic.ai/company/TPST,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-404.39,-491.98,-608.24,-575.73,-321.49,-263.65,-48.77,-361.70,-281.18
27,Weighted Average Shares Outstanding,100654,100654,100654,100654,100654,100654,100654,100654,100654
28,Weighted Average Shares Outstanding Diluted,100654,100654,100654,100654,100654,100654,100654,100654,100654
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1544227/000104746914001433/0001047469-14-001433-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000104746915002286/0001047469-15-002286-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422716000008/0001544227-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422717000002/0001544227-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422718000002/0001544227-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000155837019002660/0001558370-19-002660-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422720000004/0001544227-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422721000018/0001544227-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000162828022007717/0001628280-22-007717-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,18078000,6414000,43224000,43930000,15703000,73286000,62478000,38174000,51829000
32,Short-Term Investments,26349000,53817000,83438000,70458000,51500000,4385000,- -,- -,- -
33,Cash and Short-Term Investments,44427000,60231000,126662000,114388000,67203000,77671000,62478000,38174000,51829000
34,Net Receivables,- -,- -,- -,- -,- -,2333000,1276000,314000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,650000,1647000,3199000,2056000,1578000,3418000,7378000,2413000,17134000
37,Total Current Assets,45077000,61878000,129861000,116444000,68781000,83422000,71132000,40901000,68963000
38,PP&E,880000,3367000,8313000,5572000,3113000,- -,3331000,2157000,4164000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,1500000,- -,- -,65000,146000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,88000,327000,439000,462000,813000,652000,507000,351000,111000
45,Total Non-Current Assets,2468000,3694000,8752000,6099000,4072000,652000,3838000,2508000,4275000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47545000,65572000,138613000,122543000,72853000,84074000,74970000,43409000,73238000
48,Accounts Payable,1654000,2520000,3352000,2183000,2242000,1998000,1495000,1486000,991000
49,Short-Term Debt,- -,- -,- -,- -,- -,189000,208000,712000,3468000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,334000,- -,- -,- -,- -
52,Other Current Liabilities,4120000,7654000,7891000,11026000,5228000,7630000,10817000,5789000,- -
53,Total Current Liabilities,5774000,10174000,11243000,13209000,7804000,9817000,12520000,7987000,4459000
54,Long-Term Debt,- -,- -,- -,- -,- -,383000,168000,61000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,70000,73000,520000,1116000,751000,752000,2411000,1635000,32662000
58,Total Non-Current Liabilities,70000,73000,520000,1116000,751000,1135000,2579000,1696000,32662000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2439000,- -
61,Total Liabilities,5844000,10247000,11763000,14325000,8555000,10952000,15099000,9683000,37121000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18000,24000,27000,36000,36000,13000,18000,19000,7000
64,Retained Earnings,-45178000,-94698000,-167917000,-250177000,-301480000,-164086000,-208654000,-245060000,-100063000
65,Other Comprehensive Income/Loss,-688000,-1138000,-2420000,-3620000,-3700000,- -,- -,452000,- -
66,Other Total Stockholders Equity,87549000,151137000,297160000,361979000,369442000,235024000,267183000,175796000,136173000
67,Total Stockholders Equity,41701000,55325000,126850000,108218000,64298000,70951000,58547000,-68793000,36117000
68,Total Liabilities And Stockholders Equity,47545000,65572000,138613000,122543000,72853000,81903000,73646000,-59110000,73238000
69,Minority Interest,- -,- -,- -,- -,- -,2171000,1324000,102519000,- -
70,Total Liabilities & Equity,47545000,65572000,138613000,122543000,72853000,84074000,74970000,43409000,73238000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1544227/000104746914001433/0001047469-14-001433-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000104746915002286/0001047469-15-002286-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422716000008/0001544227-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422717000002/0001544227-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422718000002/0001544227-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000155837019002660/0001558370-19-002660-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422720000004/0001544227-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422721000018/0001544227-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000162828022007717/0001628280-22-007717-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-29044000,-49520000,-73219000,-82260000,-50975000,-27192000,-44568000,-36406000,-28302000
74,Depreciation and Amortization,231000,450000,1286000,2238000,1650000,32000,1052000,1104000,374000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,5094000,12407000,19337000,9215000,6893000,1427000,4317000,4244000,1105000
77,Change in Working Capital,9424000,12401000,66914000,-15383000,-42258000,12628000,-14993000,-25698000,31590000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-721000,2317000,-171000,-1178000,68000,320000,-469000,-574000,-209000
81,Other Working Capital,39303000,51704000,118618000,103235000,60977000,73605000,58612000,32914000,64504000
82,Other Non-Cash Items,-3799000,-6326000,-64604000,24456000,39139000,-10542000,12970000,26321000,-4767000
83,Cash Provided by Operating Activities,-18094000,-30588000,-50286000,-61734000,-45551000,-23647000,-41222000,-30435000,- -
84,CAPEX,-719000,-2804000,-5229000,-2586000,-158000,-36000,-397000,-26000,-135000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1000000,- -,- -,- -
86,Purchases of Investments,-15974000,-57603000,-95225000,-82671000,-68857000,- -,- -,- -,- -
87,Sales/Maturities of Investments,5670000,29228000,64345000,95102000,87789000,2492000,4385000,- -,- -
88,Other Investing Activites,5000,-1609000,-2181000,-1553000,-1450000,476000,- -,- -,38000
89,Cash Used for Investing Activites,-11018000,-32788000,-38290000,8292000,17324000,1932000,3988000,-26000,-97000
90,Debt Repayment,- -,- -,- -,- -,- -,-169000,-202000,-145000,- -
91,Common Stock Issued,32414000,51733000,124063000,53925000,- -,38756000,26673000,5453000,33425000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-21000,1323000,223000,- -,39157000,472000,78000,25638000
95,Cash Used/Provided by Financing Activities,32414000,51712000,125386000,54148000,- -,77744000,26943000,5386000,59063000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,118000,33000,221000,- -
97,Net Change In Cash,3302000,-11664000,36810000,706000,-28227000,56147000,-10258000,-24854000,13171000
98,Cash at the End of Period,18078000,6414000,43224000,43930000,15703000,73770000,63512000,38658000,51829000
99,Cash at the Beginning of Period,14776000,18078000,6414000,43224000,43930000,17623000,73770000,63512000,38658000
100,Free Cash Flow,-18813000,-33392000,-55515000,-64320000,-45709000,-23683000,-41619000,-30461000,-135000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1544227/000104746914001433/0001047469-14-001433-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000104746915002286/0001047469-15-002286-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422716000008/0001544227-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422717000002/0001544227-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422718000002/0001544227-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000155837019002660/0001558370-19-002660-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422720000004/0001544227-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000154422721000018/0001544227-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1544227/000162828022007717/0001628280-22-007717-index.htm
102,false,,,,,,,,,
