,https://roic.ai/company/BIMI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1213660/000119312504062302/0001193125-04-062302-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000119312505077790/0001193125-05-077790-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000119312506061773/0001193125-06-061773-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000126493107000164/0001264931-07-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420408018155/0001144204-08-018155-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420409016978/0001144204-09-016978-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420410016461/0001144204-10-016461-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420411017031/0001144204-11-017031-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420412017575/0001144204-12-017575-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420413018543/0001144204-13-018543-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420414018510/0001144204-14-018510-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420415018791/0001144204-15-018791-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420416091133/0001144204-16-091133-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420417017905/0001144204-17-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420418018116/0001144204-18-018116-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390019017050/0001213900-19-017050-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390020012223/0001213900-20-012223-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390021019186/0001213900-21-019186-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-330972,-292076,-344357,-399259,790961,2068706,3652810,4775879,4302764,2046460,88034,-180165,-617291,-969442,-1817579,-1569817,-16786509,-4438565,-1877925
74,Depreciation and Amortization,- -,- -,- -,- -,188613,270188,306994,356263,394033,588278,842050,831084,844657,1273823,998189,944012,1038836,261983,56041
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1420,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,355200,- -,- -,- -
77,Change in Working Capital,-105181,-76826,-154423,-227933,3669857,3616566,4176549,-745361,1380757,-7444101,-3341948,1005093,185655,3735292,-1097885,116629,-15077619,10958870,9118509
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-4759539,-4130526,-2040981,-2673870,- -,- -,- -,- -,- -,- -,- -,48387,-4997548
79,Inventory,- -,- -,- -,- -,-1812184,471229,28348,881297,-158836,271495,-620685,-1383490,-2994943,-1795597,2074453,2746175,1055168,106440,9294
80,Accounts Payable,- -,- -,- -,- -,- -,- -,689510,6812,1343841,1466017,268686,-335876,4731418,-648317,-1212244,330012,-585920,-66627,4548651
81,Other Working Capital,-178407,-255233,-409656,-637589,3032268,6648834,10825383,10080022,11460779,4016678,674730,1679823,1865478,5600770,4502885,4619514,-10458105,500765,9619274
82,Other Non-Cash Items,10000,178432,135234,450515,-5905181,-5178865,-8148865,-1456883,-2718976,7297936,6971112,-763304,-1408101,-6513402,1981107,-754253,30481322,-8847080,-11657740
83,Cash Provided by Operating Activities,-426153,-190470,-363546,-176677,-1255750,776595,-12512,2929898,3359998,2488573,4559248,892708,-995080,-2473729,159832,-908229,-343970,-2064792,-4361115
84,CAPEX,- -,- -,- -,- -,-16125,-399757,-119965,-179131,-4878619,-3161644,-1035194,-1080167,-341634,-663271,-407505,- -,- -,- -,-258961
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116976,-9100323
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,80461,-2024443,-3580141,1261,- -,-2215246,158174,- -,2251709,- -,- -,- -,49741,-3065181
89,Cash Used for Investing Activites,- -,- -,- -,- -,-16125,-319296,-2144408,-3759272,-4877358,-3161644,-3250440,-921993,-341634,1588438,-407505,- -,- -,166717,-12424465
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-1218445,-607269,-508248,-8341635,-6856863,-4554171,-6385203,-7872937,-5919775,-7105448,- -,- -
91,Common Stock Issued,87001,36250,10000,71683,- -,870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,4537000
92,Common Stock Repurchased,-150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,250000,212878,400350,- -,1996529,- -,2000000,- -,2693407,2595830,7772982,4763664,6180661,6433454,7827777,6972239,6816712,1836103,-547934
95,Cash Used/Provided by Financing Activities,187001,249128,410350,71683,1996529,870000,2000000,-1218445,2086138,2087582,-568653,-2093199,1626490,48251,-45160,1052464,211264,1836103,3989066
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,70360,116658,168790,22377,27610,79228,13756,71877,-6406,-32519,-17101,13282,47908,98646,386840
97,Net Change In Cash,-239152,58658,46804,-104994,795014,1443957,11870,-2025442,596388,1493739,753911,-2050607,283370,-869559,-309934,157517,-84798,- -,133708
98,Cash at the End of Period,1462,60120,106924,1930,796944,2240901,2252771,227329,823717,2317456,3071367,1020760,1304130,434571,124637,282154,197356,36674,135309
99,Cash at the Beginning of Period,240614,1462,60120,106924,1930,796944,2240901,2252771,227329,823717,2317456,3071367,1020760,1304130,434571,124637,282154,- -,1601
100,Free Cash Flow,-426153,-190470,-363546,-176677,-1271875,376838,-132477,2750767,-1518621,-673071,3524054,-187459,-1336714,-3137000,-247673,-908229,-343970,-2064792,-4620076
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1213660/000119312504062302/0001193125-04-062302-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000119312505077790/0001193125-05-077790-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000119312506061773/0001193125-06-061773-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000126493107000164/0001264931-07-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420408018155/0001144204-08-018155-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420409016978/0001144204-09-016978-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420410016461/0001144204-10-016461-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420411017031/0001144204-11-017031-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420412017575/0001144204-12-017575-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420413018543/0001144204-13-018543-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420414018510/0001144204-14-018510-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420415018791/0001144204-15-018791-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420416091133/0001144204-16-091133-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420417017905/0001144204-17-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420418018116/0001144204-18-018116-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390019017050/0001213900-19-017050-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390020012223/0001213900-20-012223-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390021019186/0001213900-21-019186-index.htm
102,false,,,,,,,,,,,,,,,,,,,
