,https://roic.ai/company/INM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,95808,- -,- -,- -,- -,666832,1686972,695202,1165087,2430706,3110266,917113,610193
77,Change in Working Capital,653318,-1377270,-1551050,-449366,-423865,287947,-312288,44311,-124092,-232955,1467169,-199578,-46828,159717,23922,-450644,5366512,14558337,-6675395,-8312333,1536903
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,161250,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24081,16981,40198
79,Inventory,- -,- -,-110423,105589,18986,865,-9989,10816,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593,- -,- -,- -,- -,- -,431939,- -,- -,- -
81,Other Working Capital,2873753,1496483,-54567,-503933,-927798,-639851,-952139,-907828,-1031920,-1264874,202294,2717,-44111,115606,139528,-311115,5055397,19613734,12938339,4626005,6162908
82,Other Non-Cash Items,-497028,-646042,1556130,1189185,2073961,154702,621561,-156446,1019841,302822,-1839273,214875,54303,-315799,63984,1139370,-5532316,-14152245,6887894,8763104,-1855513
83,Cash Provided by Operating Activities,-721626,-1810971,-844615,-484191,-702230,-577404,-1395294,-951153,100480,-195418,-562056,-174618,-39262,-641381,-1607515,-386072,-2365441,-3552401,-6679291,-7151413,-9790640
84,CAPEX,-1168845,-20018,-24618,-15445,-7313,- -,-12524,-24852,- -,- -,- -,- -,- -,-2035,-4845,-885,-19525,-42305,-27035,-41853,-1725
85,Acquisitions Net,- -,- -,- -,- -,-285705,- -,- -,-123216,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1652000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42100,- -
87,Sales/Maturities of Investments,- -,2255000,702485,33822,- -,- -,- -,386158,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3702958,- -
88,Other Investing Activites,610068,-1135034,-361161,-0,-78614,- -,2114,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1770643,-2078574,532,- -
89,Cash Used for Investing Activites,-1805948,1107327,316706,18377,-371632,- -,-10411,238091,- -,- -,- -,- -,- -,-2035,-4845,-885,-19525,-1812948,-2105609,3619537,-1725
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-12821,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71295,- -
91,Common Stock Issued,3531010,- -,18906,463788,1139004,700054,1347816,764982,5168,161740,780882,- -,- -,646740,1833184,304679,8265501,20296886,207572,- -,12472500
92,Common Stock Repurchased,-89497,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1232181,- -,554068,-35392,-102139,-51877,136159,-138776,-133848,33678,11702,- -,- -,-297,-92752,-4540,-764622,-1681476,- -,-29721,-1617778
95,Cash Used/Provided by Financing Activities,2209332,- -,572974,428396,1036865,648177,1483975,626207,-141500,195418,792585,- -,- -,646442,1740432,300138,7500879,18615411,207572,-101016,10854722
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494960
97,Net Change In Cash,-104502,-57064,45064,-37418,-36997,70774,78271,-86856,- -,- -,- -,-174618,-39262,3027,128073,-86818,5115915,13250062,-8577328,-3632893,1557317
98,Cash at the End of Period,62738,5674,49105,14410,-21346,47304,127783,46790,- -,- -,230529,44900,4142,7111,134185,41924,5157621,18350271,9806491,5793056,7363126
99,Cash at the Beginning of Period,167240,62738,4040,51829,15651,-23470,49512,133646,41021,- -,- -,219518,43404,4085,6112,128743,41706,5100210,18383819,9425949,5805809
100,Free Cash Flow,-1890471,-1830989,-869233,-499636,-709543,-577404,-1407818,-976005,100480,-195418,-562056,-174618,-39262,-643416,-1612360,-386957,-2384966,-3594706,-6706325,-7193266,-9792365
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1728328/000121390021049679/0001213900-21-049679-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
