,https://roic.ai/company/GRYN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-80000,-30000,-60000,-830000,-1240000,-8300000,-1910000,-26695090,-1573250,-4870,-129080,-1843890,-7728245,-8391
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-10.3750,-15.5000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.8903,-204.8968
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-80000,-30000,-60000,-830000,-1240000,-8300000,-1910000,-26695090,-1573250,-4870,-129080,-1843890,-7728245,-8391
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-10.3750,-15.5000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.8903,-204.8968
25,EPS,-0.00,-124.50,-200.39,-3018.10,-5895.50,-474.00,-96.00,-0.04,-0.05,-0.00,-0.00,-0.05,-0.20,-0.20
26,EPS Diluted,-0.00,-124.50,-200.39,-4000.00,-6030.00,-474.00,-96.00,-0.04,-0.05,-0.00,-0.00,-0.05,-0.20,-0.20
27,Weighted Average Shares Outstanding,44482097,275,275,275,210,16883,52840,5033725,34602917,34707835,34707835,35203862,37773491,42416542
28,Weighted Average Shares Outstanding Diluted,44482097,275,275,275,210,16883,52840,5033725,34602917,34707835,34707835,35203862,37773491,42416542
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1443388/000106299310003467/0001062993-10-003467-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000106299311004268/0001062993-11-004268-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000118518512002702/0001185185-12-002702-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000118518513002339/0001185185-13-002339-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000102/0001165527-18-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793215005411/0001477932-15-005411-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000119/0001165527-18-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000133/0001165527-18-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000236/0001165527-18-000236-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552719000187/0001165527-19-000187-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793220006163/0001477932-20-006163-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793221008557/0001477932-21-008557-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,110000,- -,- -,- -,2970,2890,2750,130,770,40538,508
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,110000,- -,- -,- -,2970,2890,2750,130,770,40538,508
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306450,- -,- -
36,Other Current Assets,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,460,2480,- -,- -
37,Total Current Assets,- -,- -,- -,120000,- -,- -,- -,2970,2890,2750,590,309700,40538,508
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4727464,5522
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245140,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245140,4727464,5547
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,120000,- -,- -,- -,2970,2890,2750,590,554840,4768002,6055
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57500,1019027,524
49,Short-Term Debt,- -,- -,- -,- -,213000,- -,37537,61624,48750,48750,18750,155250,681524,66
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15973,- -
52,Other Current Liabilities,- -,10000,150000,130000,397000,240000,392463,142746,160800,165530,322450,982090,2865866,7733
53,Total Current Liabilities,- -,10000,150000,130000,610000,240000,430000,204370,209550,214280,341200,1194840,4582390,8323
54,Long-Term Debt,60000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108132,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4510000,-3747
58,Total Non-Current Liabilities,60000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4618132,-3747
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,60000,100000,150000,130000,610000,240000,430000,204370,209550,214280,341200,1194840,9200522,4576
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20000,20000,110000,110000,- -,10000,- -,33110,34710,34710,34710,36660,39578,- -
64,Retained Earnings,-80000,-120000,-170000,-1000000,-2240000,-10540000,-12450000,-39142490,-40715740,-40720610,-40922250,-42766140,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,4016,-91091,874096,1627256,10297442,12120744,38965722,40474370,40474370,40546930,42089485,-4472098,- -
67,Total Stockholders Equity,-60000,-95984,-151091,-15904,-612744,-232558,-329256,-143658,-206660,-211530,-340610,-639995,-4432520,-6844
68,Total Liabilities And Stockholders Equity,- -,4016,-1091,114096,-2744,7442,100744,60712,2890,2750,590,554845,4768002,-2268
69,Minority Interest,- -,-4016,1091,5904,2744,-7442,-100744,-57742,- -,- -,- -,-5,- -,8323
70,Total Liabilities & Equity,- -,- -,- -,120000,- -,- -,- -,2970,2890,2750,590,554840,4768002,6055
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1443388/000106299310003467/0001062993-10-003467-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000106299311004268/0001062993-11-004268-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000118518512002702/0001185185-12-002702-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000118518513002339/0001185185-13-002339-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000102/0001165527-18-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793215005411/0001477932-15-005411-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000119/0001165527-18-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000133/0001165527-18-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000236/0001165527-18-000236-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552719000187/0001165527-19-000187-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793220006163/0001477932-20-006163-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793221008557/0001477932-21-008557-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-80000,-30000,-60000,-830000,-1240000,-8300000,-1910000,-26695090,-1573250,-4870,-129080,-1843890,-7728245,-8391
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78076,175204
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1522500,3024160,4748058
77,Change in Working Capital,- -,-10000,-140000,140000,-600000,370000,-190000,228600,-5260,-4870,-129080,-544530,-3656712,4534037
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306450,- -,172400
80,Accounts Payable,- -,1430,28655,-989,244787,22271,14631,16294,9981,- -,64999,51687,1016070,-127452
81,Other Working Capital,- -,-10000,-150000,-10000,-610000,-240000,-430000,-201400,-206660,-211530,-340610,-885140,-4541852,-7815
82,Other Non-Cash Items,20000,13850,198744,-16416,1060201,7615348,2087173,26431025,1578438,9595,255543,309742,5900884,-12424913
83,Cash Provided by Operating Activities,-60000,-26150,-1256,-706416,-779799,-314652,-12827,-35465,-72,-145,-2617,-556178,-2381837,-2976006
84,CAPEX,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245138,-218586,-376729
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-248800,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-20000,- -,- -,- -,- -,- -,-248800,- -,- -,- -,- -,-245138,-218586,-376729
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-3060,- -,- -,- -,- -,- -,-414688,- -
91,Common Stock Issued,- -,- -,- -,- -,455000,250000,228750,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,80000,26150,1256,818215,213000,68976,34974,35070,- -,- -,- -,801437,3052396,3818709
95,Cash Used/Provided by Financing Activities,80000,26150,1256,818215,668000,318976,260664,35070,- -,- -,- -,801437,2637708,3818709
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,26150,1256,818215,668000,318976,-963,-395,-72,-145,-2617,3121,37285,466974
98,Cash at the End of Period,- -,- -,- -,111799,- -,4324,3361,2966,2894,2749,132,3253,40538,507512
99,Cash at the Beginning of Period,- -,- -,- -,- -,111799,- -,4324,3361,2966,2894,2749,132,3253,40538
100,Free Cash Flow,-80000,-26150,-1256,-706416,-779799,-314652,-12827,-35465,-72,-145,-2617,-801316,-2600423,-3352735
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1443388/000106299310003467/0001062993-10-003467-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000106299311004268/0001062993-11-004268-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000118518512002702/0001185185-12-002702-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000118518513002339/0001185185-13-002339-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000102/0001165527-18-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793215005411/0001477932-15-005411-index.html,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000119/0001165527-18-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000133/0001165527-18-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552718000236/0001165527-18-000236-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000116552719000187/0001165527-19-000187-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793220006163/0001477932-20-006163-index.htm,https://www.sec.gov/Archives/edgar/data/1443388/000147793221008557/0001477932-21-008557-index.htm
102,false,,,,,,,,,,,,,,
