,https://roic.ai/company/CCCC,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -
47,Total Assets,146491000,118260000,400138000,506765000
48,Accounts Payable,1154000,5385000,5683000,4506000
49,Short-Term Debt,734000,880000,1042000,1334000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,19109000,20705000,27603000,31800000
52,Other Current Liabilities,2952000,6671000,9524000,13606000
53,Total Current Liabilities,23949000,33641000,43852000,51246000
54,Long-Term Debt,- -,- -,10052000,41545000
55,Deferred Revenue,77549000,72718000,53617000,24368000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,124743000,123864000,11826000,- -
58,Total Non-Current Liabilities,202292000,196582000,75495000,65913000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,14482000,13749000,12868000,32111000
61,Total Liabilities,226241000,230223000,119347000,117159000
62,Preferred Stock,110995000,110995000,- -,- -
63,Common Stock,- -,- -,4000,5000
64,Retained Earnings,-83389000,-117488000,-183823000,-267715000
65,Other Comprehensive Income/Loss,-2499000,-3954000,13000,-775000
66,Other Total Stockholders Equity,6138000,9479000,464597000,658091000
67,Total Stockholders Equity,-79750000,-111963000,280791000,389606000
68,Total Liabilities And Stockholders Equity,146491000,118260000,400138000,506765000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,146491000,118260000,400138000,506765000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1662579/000156459021012531/0001564590-21-012531-index.htm,https://www.sec.gov/Archives/edgar/data/1662579/000156459022006499/0001564590-22-006499-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-15711000,-34099000,-66335000,-83892000
74,Depreciation and Amortization,1273000,1595000,1617000,1492000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,582000,1642000,3432000,21512000
77,Change in Working Capital,-5559000,-36455000,274031000,-30090000
78,Accounts Receivable,-84944000,81815000,139000,-1232000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,578000,4231000,467000,-1179000
81,Other Working Capital,99581000,63126000,337157000,-25052000
82,Other Non-Cash Items,2434000,122931000,-279994000,4013000
83,Cash Provided by Operating Activities,-16981000,55614000,-67249000,-86965000
84,CAPEX,-2689000,-1349000,-650000,-1277000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-4990000,-79000000,-293855000,-537740000
87,Sales/Maturities of Investments,44600000,78666000,104000000,349681000
88,Other Investing Activites,- -,63000,- -,- -
89,Cash Used for Investing Activites,36921000,-1620000,-190505000,-189336000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,47000,274000,340599000,169465000
92,Common Stock Repurchased,- -,- -,-194000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,1914000,-30000,8527000,1935000
95,Cash Used/Provided by Financing Activities,1961000,244000,348932000,171400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,21901000,54238000,91178000,-104901000
98,Cash at the End of Period,38888000,93126000,184304000,79403000
99,Cash at the Beginning of Period,16987000,38888000,93126000,184304000
100,Free Cash Flow,-19670000,54265000,-67899000,-88242000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1662579/000156459021012531/0001564590-21-012531-index.htm,https://www.sec.gov/Archives/edgar/data/1662579/000156459022006499/0001564590-22-006499-index.htm
102,false,,,,
