,https://roic.ai/company/CDAY,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,3200000,4000000,1600000,150300000,187600000,208400000
45,Total Non-Current Assets,- -,2381000000,2407500000,2220900000,2462000000,2578700000,3022100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6326000000,6729900000,5154400000,6085700000,6701300000,7166200000
48,Accounts Payable,- -,46400000,48800000,41500000,43200000,38900000,51700000
49,Short-Term Debt,- -,2300000,- -,6800000,19600000,17700000,19600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,13100000,16800000,17200000,25500000,24400000,48700000
52,Other Current Liabilities,- -,3817200000,4206900000,2698100000,3283400000,3782900000,3621900000
53,Total Current Liabilities,- -,3879000000,4272500000,2763600000,3371700000,3863900000,3741900000
54,Long-Term Debt,- -,1139800000,1119800000,663500000,696400000,694200000,1157100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,301300000,208600000,195300000,135300000,45000000,39700000
58,Total Non-Current Liabilities,- -,1441100000,1328400000,858800000,831700000,739200000,1196800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,38900000,44100000,44000000
61,Total Liabilities,- -,5320100000,5600900000,3622400000,4203400000,4603100000,4938700000
62,Preferred Stock,- -,164900000,185400000,- -,- -,- -,- -
63,Common Stock,- -,700000,700000,1400000,1400000,1500000,1500000
64,Retained Earnings,- -,-318500000,-348200000,-419300000,-229800000,-233800000,-309200000
65,Other Comprehensive Income/Loss,- -,-351500000,-312100000,-375700000,-338400000,-276000000,-324800000
66,Other Total Stockholders Equity,- -,1471600000,1565400000,2325600000,2449100000,2606500000,- -
67,Total Stockholders Equity,- -,967200000,1091200000,1532000000,1882300000,2098200000,2227500000
68,Total Liabilities And Stockholders Equity,- -,6287300000,6692100000,5154400000,6085700000,6701300000,7166200000
69,Minority Interest,- -,38700000,37800000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6326000000,6729900000,5154400000,6085700000,6701300000,7166200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1725057/000156459019005517/0001564590-19-005517-index.html,https://www.sec.gov/Archives/edgar/data/1725057/000156459020007850/0001564590-20-007850-index.html,https://www.sec.gov/Archives/edgar/data/1725057/000156459021009508/0001564590-21-009508-index.htm,https://www.sec.gov/Archives/edgar/data/1725057/000095017022002143/0000950170-22-002143-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-104700000,-92900000,-9200000,-63400000,78700000,-4000000,-75400000
74,Depreciation and Amortization,56000000,53200000,57900000,56600000,57100000,51800000,77500000
75,Deferred Income Tax,-7900000,-8300000,-65000000,-16800000,-69400000,-7000000,-38500000
76,Stock Based Compensation,12800000,12500000,17200000,23200000,36500000,65800000,113400000
77,Change in Working Capital,-40600000,97100000,-16100000,120000000,82100000,6700000,-41000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-3200000,-4400000,-4300000,-6400000,3800000,-1400000,9300000
81,Other Working Capital,-31100000,66000000,49900000,169900000,252000000,258700000,-4000000
82,Other Non-Cash Items,66100000,-137100000,-24600000,-110100000,-134400000,-143500000,12800000
83,Cash Provided by Operating Activities,-18300000,-75500000,-39800000,9500000,50600000,-30200000,48800000
84,CAPEX,-34500000,-32900000,-50800000,-40200000,-55200000,-59800000,-63700000
85,Acquisitions Net,- -,101600000,-500000,- -,-30200000,-58300000,-409500000
86,Purchases of Investments,-610600000,-699700000,-598500000,-855200000,-408400000,-212400000,-763800000
87,Sales/Maturities of Investments,557000000,677600000,610200000,844300000,374500000,369300000,488000000
88,Other Investing Activites,386700000,690900000,-400900000,1398100000,-38900000,-41700000,-25800000
89,Cash Used for Investing Activites,323900000,763000000,-407400000,1379200000,-119300000,38800000,-711100000
90,Debt Repayment,-7000000,-11800000,-25900000,-1134000000,-7200000,-305000000,-302800000
91,Common Stock Issued,- -,75000000,78400000,595000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1800000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-361200000,-693900000,356100000,-716900000,616900000,870300000,710300000
95,Cash Used/Provided by Financing Activities,-368200000,-630700000,406800000,-1255900000,609700000,565300000,407500000
96,Effect of Forex Changes on Cash,-10400000,1300000,8600000,-9700000,11300000,-4000000,-20900000
97,Net Change In Cash,-72900000,57600000,-31800000,123600000,552300000,569900000,-275700000
98,Cash at the End of Period,63200000,120800000,99600000,217800000,1658600000,2228500000,1952800000
99,Cash at the Beginning of Period,136100000,63200000,131400000,94200000,1106300000,1658600000,2228500000
100,Free Cash Flow,-52800000,-108400000,-90600000,-30700000,-4600000,-90000000,-14900000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1725057/000156459019005517/0001564590-19-005517-index.html,https://www.sec.gov/Archives/edgar/data/1725057/000156459020007850/0001564590-20-007850-index.html,https://www.sec.gov/Archives/edgar/data/1725057/000156459021009508/0001564590-21-009508-index.htm,https://www.sec.gov/Archives/edgar/data/1725057/000095017022002143/0000950170-22-002143-index.htm
102,false,,,,,,,
