,https://roic.ai/company/NEXA,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,319356000,328608000,324931000,298598000,273278000,218392000,208583000
57,Other Non-Current Liabilities,- -,243833000,337952000,362428000,323158000,367657000,330826000,292620000
58,Total Non-Current Liabilities,- -,1577995000,1960364000,2284406000,2181755000,2270514000,2566423000,2271274000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,20600000,25920000,24309000,- -,34384000,25689000,19639000
61,Total Liabilities,- -,2128625000,2836237000,3052621000,2833605000,2969504000,3442982000,3260556000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1280505000,1041416000,133320000,133320000,133320000,132438000,132438000
64,Retained Earnings,- -,-230167000,-138043000,-11612000,61430000,-158980000,-814675000,-746308000
65,Other Comprehensive Income/Loss,- -,-1778792000,-2152128000,-77000000,-79000000,-140000000,-229491000,-289030000
66,Other Total Stockholders Equity,- -,3313833000,4096727000,2442127000,2360843000,2313112000,2289173000,2289173000
67,Total Stockholders Equity,- -,2585379000,2847972000,2486835000,2476593000,2147452000,1377445000,1386273000
68,Total Liabilities And Stockholders Equity,- -,4714004000,5684209000,5539456000,5310198000,5116956000,4820427000,4646829000
69,Minority Interest,- -,943096000,476344000,422068000,425208000,372609000,243799000,258007000
70,Total Liabilities & Equity,- -,5657100000,6160553000,5961524000,5735406000,5489565000,5064226000,4904836000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1713930/000110465918028667/a18-9928_120f.htm,https://www.sec.gov/Archives/edgar/data/1713930/000110465919019711/a19-6890_120f.htm,https://www.sec.gov/Archives/edgar/data/1713930/000110465920036842/0001104659-20-036842-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-33843000,-129461000,93167000,126885000,74860000,-146626000,-559247000,114332000
74,Depreciation and Amortization,319031000,295258000,275034000,270454000,267189000,317892000,243925000,258711000
75,Deferred Income Tax,- -,- -,- -,- -,-63615000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-124115000,62300000,181067000,-85152000,40352000,-67780000,105619000,-38487000
78,Accounts Receivable,11998000,56293000,-54188000,-63172000,8537000,-8634000,-68986000,-9375000
79,Inventory,-22312000,65885000,-62586000,-15675000,52472000,-35425000,8883000,-102068000
80,Accounts Payable,-110450000,21790000,23123000,47573000,57411000,18823000,21589000,44880000
81,Other Working Capital,16393000,- -,250000000,-36299000,234000,-21787000,-7524000,- -
82,Other Non-Cash Items,231187000,186499000,35793000,66752000,28812000,19337000,501403000,158429000
83,Cash Provided by Operating Activities,392260000,414596000,585061000,378939000,347598000,122823000,291700000,492985000
84,CAPEX,-154011000,-187067000,-182989000,-197638000,-299773000,-396672000,-323688000,-485204000
85,Acquisitions Net,- -,- -,- -,-81615000,- -,- -,- -,- -
86,Purchases of Investments,- -,-25460000,- -,-65661000,- -,- -,- -,-6356000
87,Sales/Maturities of Investments,- -,- -,- -,- -,140402000,54710000,- -,20076000
88,Other Investing Activites,-280116000,51980000,-20563000,15621000,1268000,6570000,-45508000,2210000
89,Cash Used for Investing Activites,-432095000,-156656000,-201419000,-328372000,-158103000,-335392000,-369196000,-469274000
90,Debt Repayment,-410059000,-280717000,-483100000,-537254000,-295104000,-32717000,-766613000,-351383000
91,Common Stock Issued,40000,84000,170070000,20500000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-117597000,-31252000,- -,-1352000,-8103000,- -,- -
93,Dividends Paid,-26793000,-13345000,-129591000,-61549000,-3475000,-113389000,-55964000,-52344000
94,Other Financing Activites,637142000,25692000,381635000,631149000,122521000,34920000,1274192000,59593000
95,Cash Used/Provided by Financing Activities,200330000,-385883000,-92238000,52846000,-177410000,-119289000,451615000,-344134000
96,Effect of Forex Changes on Cash,16000,-1321000,2757000,48000,1816000,-2462000,-16070000,-21923000
97,Net Change In Cash,160511000,-129264000,294161000,103461000,13901000,-334320000,387545000,-342346000
98,Cash at the End of Period,750679000,621415000,915576000,1019037000,1032938000,698618000,1086163000,743817000
99,Cash at the Beginning of Period,590168000,750679000,621415000,915576000,1019037000,1032938000,698618000,1086163000
100,Free Cash Flow,238249000,227529000,402072000,181301000,47825000,-273849000,-31988000,7781000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1713930/000110465918028667/a18-9928_120f.htm,https://www.sec.gov/Archives/edgar/data/1713930/000110465919019711/a19-6890_120f.htm,https://www.sec.gov/Archives/edgar/data/1713930/000110465920036842/0001104659-20-036842-index.html,- -,- -
102,false,,,,,,,,
