,https://roic.ai/company/STRL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0840,-0.2090,-0.0126,-0.0330,-0.2707,-0.3265,0.0421,0.0319,0.0367,0.0506,0.0534,0.0472,0.0435,0.0606,0.0415,-0.0716,-0.0005,-0.1329,-0.0146,-0.0327,-0.0134,0.0121,0.0243,0.0354,0.0296,0.0396
25,EPS,-1.25,-2.74,-0.13,-0.30,-1.10,-1.39,0.93,1.06,1.06,1.43,1.25,1.31,1.38,1.77,1.15,-2.24,-0.26,-4.91,-0.54,-2.02,-0.40,0.44,0.94,1.50,1.52,2.19
26,EPS Diluted,-1.25,-2.74,-0.13,-0.30,-1.10,-1.39,0.78,0.84,0.81,1.16,1.14,1.22,1.32,1.71,1.13,-2.24,-0.26,-4.91,-0.54,-2.02,-0.40,0.43,0.93,1.47,1.50,2.15
27,Weighted Average Shares Outstanding,3194021,3200140,3206179,3501075,4943018,4943018,5061598,5089849,5342847,7775476,10582730,11043948,13119987,13358903,16194708,16395739,16420886,16635179,18063466,19375000,23140000,26274000,26903000,26671000,27859000,28600000
28,Weighted Average Shares Outstanding Diluted,3194021,3200140,3206179,3501075,4943018,4943018,6101515,6488376,7027682,9537923,11714310,11836176,13702488,13855709,16563169,16395739,16420886,16635179,18063466,19375000,23140000,26712000,27194000,27119000,28195000,29101000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874238/000095013405006245/d23794e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000095013406006063/d34503e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000095013407005929/d44640e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000114036108006929/form10k.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423809000003/0000874238-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423810000005/0000874238-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423811000006/0000874238-11-000006-index.html,https://www.sec.gov/Archives/edgar/data/874238/000114036112016008/0001140361-12-016008-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184313001025/0001171843-13-001025-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184314001265/f10k_031714.htm,https://www.sec.gov/Archives/edgar/data/874238/000117184315001420/f10k_031615.htm,https://www.sec.gov/Archives/edgar/data/874238/000117184316008548/0001171843-16-008548-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184317001381/0001171843-17-001381-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423818000022/0000874238-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423819000044/0000874238-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423820000033/0000874238-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423821000010/0000874238-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423822000023/0000874238-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,318000,39000,47000,241000,152000,- -,2406000,2765000,3518000,22267000,28466000,80649000,55305000,54406000,49441000,16371000,3142000,1872000,22843000,4426000,42785000,83953000,94095000,45733000,66185000,81840000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26169000,54000,24379000,41660000,35752000,44855000,49211000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,318000,39000,47000,241000,152000,- -,2406000,2765000,3518000,22267000,54635000,80703000,79684000,96066000,85193000,61226000,52353000,1872000,22843000,4426000,42785000,83953000,94095000,45733000,66185000,81840000
34,Net Receivables,4821000,4365000,4249000,3488000,3690000,- -,28106000,29704000,34495000,37111000,46538000,58346000,68090000,80283000,77045000,80932000,102412000,95047000,121452000,121947000,123967000,182423000,197288000,299998000,279052000,332359000
35,Inventory,8080000,5687000,6167000,6045000,6803000,- -,3378000,4842000,4525000,- -,965000,1239000,1041000,1229000,1479000,1922000,3731000,6189000,7401000,2535000,3708000,4621000,3159000,- -,- -,- -
36,Other Current Assets,612000,370000,226000,159000,135000,- -,1819000,2888000,5540000,14249000,5270000,2662000,3907000,11610000,12612000,19943000,6262000,11377000,5278000,6013000,5448000,7529000,8074000,11790000,16306000,20492000
37,Total Current Assets,13831000,10461000,10689000,9933000,10780000,- -,35709000,40199000,48078000,73627000,107408000,142950000,152722000,189188000,176329000,164023000,164758000,114485000,156974000,134921000,175908000,278526000,302616000,357521000,361543000,434691000
38,PP&E,2107000,1528000,684000,701000,807000,- -,22794000,22380000,21227000,27271000,46617000,72389000,77993000,80282000,74681000,83429000,102308000,93683000,87098000,73475000,68127000,54406000,51999000,130009000,143183000,228836000
39,Goodwill,6035000,2468000,2275000,2080000,- -,- -,7809000,- -,- -,- -,12735000,57232000,57232000,114745000,114745000,54050000,54820000,54820000,54820000,54820000,54820000,85231000,85231000,191892000,192014000,259791000
40,Intangible Assets,- -,- -,- -,- -,156000,- -,- -,7809000,12863000,12735000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44818000,42418000,256323000,244887000,303223000
41,Intangible Assets,6035000,2468000,2275000,2080000,156000,- -,7809000,7809000,12863000,12735000,12735000,57232000,57232000,114745000,114745000,54050000,54820000,54820000,54820000,54820000,54820000,130049000,127649000,448215000,436901000,563014000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,3941000,1000000,- -,- -,- -,- -,5952000,4527000,6493000,4288000,- -,- -,- -,- -,- -,- -,2973000,- -,- -,- -,- -,- -,- -,26012000,7817000,- -
44,Other Non-Current Assets,203000,450000,383000,4162000,9690000,- -,493000,663000,883000,534000,1012000,1944000,1668000,1526000,1376000,2329000,6651000,10030000,7559000,4068000,2968000,317000,309000,183000,3250000,4455000
45,Total Non-Current Assets,12286000,5446000,3342000,6943000,10653000,- -,37048000,35379000,41466000,44828000,60364000,131565000,136893000,196553000,190802000,139808000,166752000,158533000,149477000,132363000,125915000,184772000,179957000,604419000,591151000,796305000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26117000,15907000,14031000,16876000,21433000,- -,72757000,75578000,89544000,118455000,167772000,274515000,289615000,385741000,367131000,303831000,331510000,273018000,306451000,267284000,301823000,463298000,482573000,961940000,952694000,1230996000
48,Accounts Payable,5762000,6106000,6392000,5662000,7259000,- -,14634000,14439000,18189000,20416000,38909000,52539000,49238000,32619000,35432000,34428000,47796000,61599000,66792000,58959000,67097000,97457000,99426000,137593000,95201000,144982000
49,Short-Term Debt,169000,88000,88000,88000,2831000,- -,- -,5678000,7367000,8572000,123000,98000,73000,73000,73000,573000,73000,134000,965000,5192000,3845000,3978000,2899000,49568000,85022000,37071000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000,1493000,2013000,- -,2035000,1868000,67000,78000,81000,318000,1212000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18918000,31576000,25649000,30556000,64100000,62374000,62407000,85011000,114019000,127932000
52,Other Current Liabilities,1718000,1852000,1490000,1204000,1700000,- -,9328000,13594000,6768000,26285000,5502000,8250000,8288000,42618000,33546000,34284000,10487000,12490000,11244000,9940000,11550000,18483000,14442000,21332000,27642000,41775000
53,Total Current Liabilities,7649000,8046000,7970000,6954000,11790000,- -,23962000,33711000,32324000,55273000,44534000,60887000,57599000,75310000,69051000,69285000,77274000,105799000,104650000,104647000,146592000,182292000,179174000,293504000,321884000,351760000
54,Long-Term Debt,7569000,5716000,4318000,8254000,13428000,- -,17783000,13326000,21084000,14570000,30659000,65556000,55483000,40409000,336000,263000,24201000,8331000,37021000,16107000,1549000,86160000,79117000,390627000,291249000,444419000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1588000,3098000,11117000,15369000,18591000,- -,- -,- -,- -,- -,- -,- -,1450000,- -,- -,14656000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,16540000,6632000,928000,- -,- -,- -,- -,23887000,- -,19445000,17449000,26094000,23632000,50776000,45592000,48657000,50572000,56598000,70832000,59934000
58,Total Non-Current Liabilities,7569000,5716000,4318000,8254000,13428000,- -,34323000,19958000,22012000,14570000,32247000,68654000,66600000,79665000,18927000,19708000,41650000,34425000,60653000,66883000,47141000,134817000,131139000,447225000,362081000,519009000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14071000,16546000,24672000
61,Total Liabilities,15218000,13762000,12288000,15208000,25218000,- -,58285000,53669000,54336000,69843000,76781000,129541000,124199000,154975000,87978000,88993000,118924000,140224000,165303000,171530000,193733000,317109000,310313000,740729000,683965000,870769000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,32000,32000,32000,49000,49000,- -,50000,51000,74000,82000,109000,130000,131000,160000,164000,163000,165000,167000,188000,198000,250000,271000,271000,283000,283000,298000
64,Retained Earnings,-35654000,-44415000,-44823000,-45584000,-51037000,- -,-55094000,-49675000,-45392000,-34292000,-23748000,-9304000,8762000,32708000,51553000,16509000,12220000,-62317000,-72098000,-92500000,-101738000,-90121000,-64934000,-25033000,17273000,79918000
65,Other Comprehensive Income/Loss,-1109000,-1311000,-1098000,-1344000,-1515000,- -,-5791000,-139000,-161000,-957000,-20860000,-26578000,-38748000,-47453000,-137000,496000,696000,117000,-101000,-80312000,-93146000,-98609000,-109134000,-209000,-5264000,-1723000
66,Other Total Stockholders Equity,47630000,47839000,47632000,48547000,48718000,- -,71661000,66399000,80687000,83779000,135490000,174364000,188971000,245351000,198849000,196143000,197067000,190926000,205697000,268459000,302068000,329792000,338198000,244877000,254978000,- -
67,Total Stockholders Equity,10899000,2145000,1743000,1668000,-3785000,- -,10826000,16636000,35208000,48612000,90991000,138612000,159116000,230766000,250429000,213311000,210148000,128893000,133686000,95845000,107434000,141333000,164401000,219918000,267270000,358767000
68,Total Liabilities And Stockholders Equity,26117000,15907000,14031000,16876000,21433000,- -,69111000,70305000,89544000,118455000,167772000,268153000,283315000,385741000,338407000,302304000,329072000,269117000,298989000,267375000,301167000,458442000,474714000,960647000,951235000,1229536000
69,Minority Interest,- -,- -,- -,- -,- -,- -,3646000,5273000,- -,- -,- -,6362000,6300000,- -,28724000,1527000,2438000,3901000,7462000,-91000,656000,4856000,7859000,1293000,1459000,1460000
70,Total Liabilities & Equity,26117000,15907000,14031000,16876000,21433000,- -,72757000,75578000,89544000,118455000,167772000,274515000,289615000,385741000,367131000,303831000,331510000,273018000,306451000,267284000,301823000,463298000,482573000,961940000,952694000,1230996000
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/874238/000095013405006245/d23794e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000095013406006063/d34503e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000095013407005929/d44640e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000114036108006929/form10k.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423809000003/0000874238-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423810000005/0000874238-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423811000006/0000874238-11-000006-index.html,https://www.sec.gov/Archives/edgar/data/874238/000114036112016008/0001140361-12-016008-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184313001025/0001171843-13-001025-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184314001265/f10k_031714.htm,https://www.sec.gov/Archives/edgar/data/874238/000117184315001420/f10k_031615.htm,https://www.sec.gov/Archives/edgar/data/874238/000117184316008548/0001171843-16-008548-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184317001381/0001171843-17-001381-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423818000022/0000874238-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423819000044/0000874238-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423820000033/0000874238-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423821000010/0000874238-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423822000023/0000874238-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3978000,-8761000,-408000,-1046000,-5453000,-6941000,4722000,5419000,5653000,11100000,13320000,14444000,18066000,23704000,19087000,-35900000,-297000,-73929000,-9781000,-20402000,-9238000,11617000,25187000,39901000,42306000,62645000
74,Depreciation and Amortization,873000,1207000,661000,537000,212000,150000,3855000,4807000,4628000,5064000,7011000,9544000,13168000,13730000,15770000,17322000,18997000,18650000,18348000,16529000,16048000,16994000,16770000,20740000,32785000,34201000
75,Deferred Income Tax,2000000,3086000,1000000,- -,- -,- -,-1264000,1632000,-2104000,2531000,6256000,6600000,8938000,4482000,3860000,-18709000,-1167000,5150000,- -,- -,- -,- -,1450000,-27398000,19439000,21428000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586000,595000,503000,694000,928000,849000,1604000,1810000,2843000,3064000,3788000,11643000,11771000
77,Change in Working Capital,1216000,- -,-3767000,304000,260000,-3989000,12757000,-5259000,9266000,2600000,44520000,19189000,13060000,18755000,-6600000,-12540000,-7254000,-78798000,43638000,-22050000,-958000,66918000,27208000,-59425000,-24358000,20289000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4060000,-6430000,-1651000,-3216000,-2020000,-29923000,-11094000,-21300000,-8552000,-8300000
79,Inventory,2320000,1102000,-480000,407000,-850000,645000,748000,-1464000,317000,- -,-965000,-125000,- -,- -,- -,- -,- -,- -,- -,- -,-1173000,305000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,2364000,- -,- -,- -,- -,- -,- -,- -,- -,-7942000,7730000,13794000,5192000,-7834000,8138000,13579000,1969000,10987000,-42392000,26605000
81,Other Working Capital,6182000,6182000,2415000,2719000,2979000,-1010000,11747000,6488000,15754000,18354000,62874000,82063000,95123000,113878000,107278000,94738000,87484000,8686000,52324000,30274000,29316000,96234000,123442000,64017000,39659000,-6146000
82,Other Non-Cash Items,-268000,5022000,1614000,-33000,4562000,10566000,-14964000,11200000,-14506000,9971000,-47400000,-20235000,-26511000,-13392000,14361000,70312000,13816000,106437000,-63567000,33288000,36837000,-75363000,-34205000,63487000,37468000,1260000
83,Cash Provided by Operating Activities,-157000,554000,-900000,-238000,-419000,-214000,5106000,17799000,2937000,31266000,23707000,29542000,26721000,47865000,47073000,20988000,24789000,-21562000,-10513000,8969000,44499000,23009000,39474000,41093000,119283000,151594000
84,CAPEX,-430000,-177000,-347000,-297000,-71000,-59000,-4346000,-4350000,-3589000,-11392000,-27055000,-26319000,-19896000,-5277000,-13409000,-23989000,-37359000,-14900000,-13509000,-8086000,-10888000,-9420000,-13171000,-15397000,-32864000,-46651000
85,Acquisitions Net,- -,-79000,- -,- -,- -,- -,-2662000,- -,-2446000,- -,- -,-49334000,- -,-60490000,- -,-12116000,-23144000,- -,- -,- -,- -,-54861000,- -,-396323000,- -,-180911000
86,Purchases of Investments,- -,- -,- -,-3834000,- -,- -,- -,- -,- -,- -,-144192000,-123797000,-24325000,-71386000,-137547000,-109312000,-30154000,-1638000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118023000,149912000,- -,56819000,140493000,101415000,26661000,49874000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-284000,-221000,2708000,- -,-7311000,-3651000,106000,70000,192000,420000,5605000,1603000,1298000,85000,1607000,1296000,12464000,6787000,6078000,3598000,2714000,8384000,1789000,-14063000,-30491000,-42538000
89,Cash Used for Investing Activites,-714000,-477000,2361000,-4131000,-7382000,-3710000,-6902000,-4280000,-5843000,-10972000,-47619000,-47935000,-42923000,-80249000,-8856000,-42706000,-51532000,40123000,-7431000,-4488000,-8174000,-55897000,-11382000,-410386000,-30491000,-223449000
90,Debt Repayment,-1350000,-2276000,-1580000,-230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203074000,-73000,-18500000,-51000000,-235230000,-303545000,-179338000,-19000000,-1178000,-11555000,-87621000,-77745000,-48273000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,9000,109000,405000,827000,27952000,35002000,238000,47118000,1051000,156000,- -,- -,14046000,- -,19142000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142000,- -,- -,-3592000,- -,- -,- -,- -,- -,- -,-4731000,-3201000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2225000,1920000,127000,4793000,7712000,3858000,1309000,-13269000,3254000,-2303000,2159000,35574000,-9238000,187441000,-44160000,18393000,64514000,215399000,328414000,156440000,1892000,75234000,-1664000,411753000,9405000,136179000
95,Cash Used/Provided by Financing Activities,875000,-356000,-1453000,4563000,7712000,3858000,1318000,-13160000,3659000,-1476000,30111000,70576000,-9142000,31485000,-43182000,-11352000,13514000,-19831000,38915000,-22898000,2034000,74056000,-17950000,320931000,-68340000,87906000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4000,-279000,8000,194000,-89000,-66000,-478000,359000,753000,18818000,6199000,52183000,-25344000,-899000,-4965000,-33070000,-13229000,-1270000,20971000,-18417000,38359000,41168000,10142000,-48362000,20452000,9198000
98,Cash at the End of Period,318000,39000,47000,241000,152000,86000,2406000,2765000,3518000,22267000,28466000,80649000,55305000,54406000,49441000,16371000,3142000,1872000,22843000,4426000,42785000,83953000,94095000,45733000,66185000,81840000
99,Cash at the Beginning of Period,314000,318000,39000,47000,241000,152000,2884000,2406000,2765000,3449000,22267000,28466000,80649000,55305000,54406000,49441000,16371000,3142000,1872000,22843000,4426000,42785000,83953000,94095000,45733000,72642000
100,Free Cash Flow,-587000,377000,-1247000,-535000,-490000,-273000,760000,13449000,-652000,19874000,-3348000,3223000,6825000,42588000,33664000,-3001000,-12570000,-36462000,-24022000,883000,33611000,13589000,26303000,25696000,86419000,104943000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874238/000095013405006245/d23794e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000095013406006063/d34503e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000095013407005929/d44640e10vk.htm,https://www.sec.gov/Archives/edgar/data/874238/000114036108006929/form10k.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423809000003/0000874238-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423810000005/0000874238-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423811000006/0000874238-11-000006-index.html,https://www.sec.gov/Archives/edgar/data/874238/000114036112016008/0001140361-12-016008-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184313001025/0001171843-13-001025-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184314001265/f10k_031714.htm,https://www.sec.gov/Archives/edgar/data/874238/000117184315001420/f10k_031615.htm,https://www.sec.gov/Archives/edgar/data/874238/000117184316008548/0001171843-16-008548-index.html,https://www.sec.gov/Archives/edgar/data/874238/000117184317001381/0001171843-17-001381-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423818000022/0000874238-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423819000044/0000874238-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423820000033/0000874238-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/874238/000087423821000010/0000874238-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423822000023/0000874238-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
