,https://roic.ai/company/LMNL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,139690,- -,- -,288596,- -,- -,- -,- -,- -,- -,7000,- -,- -,42000,310000,374000,363000,313000,307000,- -,451000,- -
13,Interest Expense (Gain),- -,- -,- -,240776,- -,- -,- -,- -,163000,7563000,- -,2923000,1774000,1775000,1363000,1483000,1848000,3070000,3228000,4890000,8278000,22367000,14056000,8724000,6330000
14,Depreciation and Amortization,800000,1100000,1200000,582785,965527,1238572,2751197,2740000,2892000,2983000,2992000,1483000,1897000,698000,758000,779000,869000,1694000,2437000,3250000,4576000,5458000,9906000,8447000,4344000
15,EBITDA,-2600000,-5400000,-27100000,-4344079,-7449558,-12872731,-17546484,-14412000,-19877000,-19913000,-19350000,-15772000,-5657000,-8810000,-433000,2496000,-13641000,7647000,-50435000,-98885000,-111629000,-187560000,-181984000,-100955000,23674000
16,EBITDA ratio,-1.2381,-0.5400,-9.0333,-2.0892,-2.9789,-5.1252,-13.2990,-1.7612,-2.4686,-7.5229,-2.2937,-1.5533,-0.4172,-0.7706,-0.0246,0.1070,-0.6608,0.3323,-2.0557,-6.0325,-2.8539,-3.9591,-37.1093,-30.4356,36.8180
17,Operating Income,-4800000,-7500000,-4500000,-5066554,-8477718,-14400019,-20586277,-14102000,-14920000,-22886000,-20254000,-16470000,-8210000,-9326000,-1492000,1719000,-13091000,-32110000,-50510000,-107743000,-123358000,-113826000,-118256000,-94094000,-49632000
18,Operating Income ratio,-2.2857,-0.7500,-1.5000,-2.4366,-3.3900,-5.7333,-15.6029,-1.7233,-1.8530,-8.6460,-2.4009,-1.6220,-0.6055,-0.8157,-0.0848,0.0737,-0.6341,-1.3955,-2.0588,-6.5729,-3.1537,-2.4027,-24.1142,-28.3672,-77.1882
19,Total Other Income Expenses (Gains),1400000,- -,- -,- -,- -,- -,- -,-3245000,-7849000,-10000,387000,-785000,655000,-189000,-412000,-2143000,-4176000,31630000,-11414000,-9144000,-11430000,-144089000,-116205000,-28244000,4687000
20,Income Before Tax,-3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-424000,-17267000,-480000,-61924000,-116887000,-134788000,-257915000,-234461000,-122338000,-44945000
21,Income Before Tax Ratio,-1.6190,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0182,-0.8364,-0.0209,-2.5240,-7.1307,-3.4459,-5.4442,-47.8102,-36.8821,-69.8989
22,Income Tax expense (Gain),-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000,-3056000,-5139000,-6218000,-14752000,-20019000,-237000,-201000,118000
23,Net Income,-3200000,-6500000,-28300000,-5167640,-8415085,-14111303,-20297681,-17152000,-22932000,-30459000,-22342000,-20178000,-9328000,-11283000,-2554000,234000,-16489000,5939000,-50961000,-100807000,-109731000,-195366000,-205709000,-117925000,12882000
24,Net Income ratio,-1.5238,-0.6500,-9.4333,-2.4852,-3.3650,-5.6183,-15.3842,-2.0961,-2.8480,-11.5070,-2.6484,-1.9872,-0.6879,-0.9869,-0.1452,0.0100,-0.7987,0.2581,-2.0772,-6.1498,-2.8053,-4.1239,-41.9472,-35.5517,20.0342
25,EPS,-140.00,-220.00,-220.00,-100.00,-140.00,-190.00,-230.00,-170.00,-200.00,-200.00,-90.00,-70.00,-30.00,-30.00,-10.00,0.56,-30.00,10.00,-90.00,-170.00,-160.00,-270.00,-12.81,-4.83,0.43
26,EPS Diluted,-140.00,-220.00,-220.00,-100.00,-140.00,-190.00,-230.00,-170.00,-200.00,-200.00,-90.00,-70.00,-30.00,-30.00,-10.00,0.56,-30.00,10.00,-90.00,-170.00,-160.00,-270.00,-12.81,-4.83,0.43
27,Weighted Average Shares Outstanding,22857,29545,29726,53068,62487,75718,86707,99429,115717,148621,242321,293715,323858,348035,373635,421073,493236,530422,570848,598393,683954,716208,16062000,24438000,30164000
28,Weighted Average Shares Outstanding Diluted,22857,29545,43284,53454,62487,75718,86832,99429,115717,148621,242321,293715,323858,348035,373635,421073,493236,578095,570848,598393,683954,716208,16062000,24438000,30164000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1351172/000156459020012057/0001564590-20-012057-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,- -,800000,2270316,2606798,13390259,24052171,6770000,10525000,20825000,2163000,917000,493000,252000,275000,1205000,17396000,27102000,29285000,27806000,23166000,7389000,61285000,45075000,108490000
32,Short-Term Investments,- -,- -,- -,2000000,- -,9508610,1800000,2340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11063000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1900000,- -,800000,4270316,2606798,22898869,25852171,9110000,10525000,20825000,2163000,917000,493000,252000,275000,1205000,17396000,27102000,29285000,38869000,23166000,7389000,61285000,45075000,108490000
34,Net Receivables,1100000,- -,200000,524133,10074159,1741001,684356,2796000,2914000,2298000,3349000,4414000,2612000,1790000,1438000,14572000,14090000,12671000,8416000,8782000,10955000,19973000,13300000,3903000,1068000
35,Inventory,1200000,- -,500000,300594,292333,527508,585488,921000,1935000,2223000,2233000,2567000,2128000,1032000,1243000,1238000,2979000,2586000,5492000,13658000,36013000,12028000,7532000,9377000,- -
36,Other Current Assets,100000,- -,200000,172659,228093,686188,958437,789000,518000,647000,578000,239000,201000,220000,228000,303000,945000,961000,1946000,2952000,2141000,1452000,12733000,14664000,5071000
37,Total Current Assets,4300000,- -,1700000,5267702,13201383,25853566,28080452,13616000,15892000,25993000,8323000,8137000,5434000,3294000,3184000,17318000,35410000,43320000,45139000,64261000,72275000,40842000,94850000,73019000,114629000
38,PP&E,5100000,- -,3400000,3620386,1973001,3381220,3492515,5190000,5324000,4484000,3425000,2403000,1133000,883000,928000,1127000,9706000,13784000,19041000,41193000,45254000,41113000,54725000,27348000,7092000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,3272535,4349822,5648541,5430000,5098000,5442000,4957000,- -,3908000,4136000,4320000,4252000,4588000,146163000,148339000,155487000,156647000,19803000,13846000,15492000,3516000
41,Intangible Assets,- -,- -,- -,- -,3272535,4349822,5648541,5430000,5098000,5442000,4957000,5027000,3908000,4136000,4320000,4252000,4588000,146163000,148339000,155487000,156647000,19803000,13846000,15492000,3516000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3585000,609000,52000,- -,96000,29000,25000,- -,1227000,1228000,24000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325000,110000,926000,606000,507000,572000,454000
44,Other Non-Current Assets,2700000,- -,2400000,5299349,5865076,5872607,5398066,5469000,3482000,4808000,2682000,- -,- -,228000,260000,198000,139000,151000,2444000,3016000,7543000,504000,1170000,1353000,362000
45,Total Non-Current Assets,7800000,- -,5800000,8919735,11110612,13603649,14539122,16089000,13904000,14734000,11064000,11015000,5650000,5299000,5508000,5673000,14462000,160123000,170149000,201033000,211598000,62050000,70248000,44765000,11424000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12100000,- -,7500000,14187437,24311995,39457215,42619574,29705000,29796000,40727000,19387000,19152000,11084000,8593000,8692000,22991000,49872000,203443000,215288000,265294000,283873000,102892000,165098000,117784000,126053000
48,Accounts Payable,1500000,- -,2200000,1741756,3271521,4200622,6068384,236000,5319000,5696000,4657000,- -,4039000,4508000,7091000,2353000,4650000,9102000,11044000,14269000,19333000,21097000,10496000,9153000,5762000
49,Short-Term Debt,1000000,- -,200000,110758,- -,150034,489831,1469000,1919000,2678000,3563000,4817000,4048000,2903000,3052000,5622000,6487000,- -,- -,6806000,6637000,9055000,8455000,6946000,7194000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,- -,- -,- -,- -,- -,- -,- -,113000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1800000,243000,- -,2199000,1560000,1419000,2226000,1443000,1670000,2355000,984000,4232000,2772000,2421000,2730000,507000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7478000,- -,3084000,1910000,7112000,2917000,- -,- -,2741000,12672000,24676000,- -,8562000,7320000,5071000,12312000,7682000,5538000
53,Total Current Liabilities,2500000,- -,2400000,1852514,3271521,4350656,8358215,9426000,7238000,13657000,11690000,13348000,13230000,8854000,11813000,13071000,24793000,38010000,13816000,32058000,36020000,35730000,31263000,23781000,18494000
54,Long-Term Debt,3400000,- -,1200000,- -,- -,200046,847177,407000,3536000,8899000,3141000,43000,2296000,11511000,3607000,3647000,6441000,23804000,22501000,43320000,85757000,124443000,38616000,67038000,53588000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1826000,1696000,1840000,454000,- -,- -,2161000,1822000,- -,170000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37198000,31483000,25305000,15330000,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,382358,914185,1586000,5169000,2916000,3053000,4348000,- -,- -,- -,- -,- -,- -,- -,3446000,3335000,5695000,285000,11953000,20090000
58,Total Non-Current Liabilities,3500000,- -,1200000,- -,- -,582404,1761362,1993000,8705000,11815000,6194000,4391000,4122000,13207000,5447000,4101000,6441000,61002000,56145000,73893000,104422000,130308000,38901000,78991000,73678000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,929000,790000,228000,560000,503000,2011000,5374000,7694000,38237000,33452000,22471000
61,Total Liabilities,6000000,- -,3600000,1852514,3271521,4933060,10119577,11419000,15943000,25472000,17884000,17739000,17352000,22061000,17260000,17172000,31234000,99012000,69961000,105951000,140442000,166038000,70164000,102772000,92172000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234563000,263320000,294870000,365540000,480237000,575150000,583117000,932951000,977261000,979849000
64,Retained Earnings,-6200000,- -,-45800000,-52097456,-62459792,-78395235,-100116723,-117495000,-142773000,-174179000,-197475000,-218897000,-228279000,-242965000,-246051000,-246470000,-264858000,-255856000,-313533000,-423026000,-541681000,-755688000,-967051000,-1087049000,-1074167000
65,Other Comprehensive Income/Loss,-800000,- -,-400000,-1988282,-2126136,-2773689,-3776485,99000,-5711000,-6800000,-7800000,-8700000,-735000,-480000,159000,207000,122000,226000,262000,-1964000,-1622000,-1252000,-3099000,-2846000,-3010000
66,Other Total Stockholders Equity,13100000,- -,50100000,66420661,85626402,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18304000,21748000,30726000,61084000,77120000,90137000,117219000,139388000,135733000,139965000
67,Total Stockholders Equity,6100000,- -,3900000,12334923,21040474,34524155,32499997,18286000,13853000,15255000,1503000,1413000,-6268000,-13468000,-8441000,6604000,20332000,69966000,113353000,132367000,121984000,-56604000,102189000,23099000,42637000
68,Total Liabilities And Stockholders Equity,12100000,- -,7500000,14187437,24311995,39457215,42619574,29705000,29796000,40727000,19387000,19152000,11084000,8593000,8819000,23776000,51566000,168978000,183314000,238318000,262426000,109434000,172353000,125871000,134809000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127000,-785000,-1694000,34465000,31974000,26976000,21447000,-6542000,-7255000,-8087000,-8756000
70,Total Liabilities & Equity,12100000,- -,7500000,14187437,24311995,39457215,42619574,29705000,29796000,40727000,19387000,19152000,11084000,8593000,8692000,22991000,49872000,203443000,215288000,265294000,283873000,102892000,165098000,117784000,126053000
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1351172/000156459020012057/0001564590-20-012057-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3200000,-6500000,-28300000,-5167640,-8415085,-14111303,-20297681,-17152000,-22932000,-30459000,-22342000,-20178000,-9328000,-11283000,-2554000,234000,-16489000,5939000,-50961000,-100807000,-109731000,-195366000,-205709000,-117925000,12882000
74,Depreciation and Amortization,800000,1100000,1200000,582785,965527,1238572,2751197,2740000,2892000,2983000,2992000,1483000,1897000,698000,758000,779000,869000,1694000,2437000,3250000,4576000,5458000,9906000,8447000,4344000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3271000,-5141000,-6220000,-11587000,-13815000,87000,- -,118000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000,338000,345000,311000,505000,3411000,5136000,2972000,6863000,8662000,6722000,21609000,6194000,4232000
77,Change in Working Capital,- -,- -,1100000,-592039,-172423,508139,1753034,199000,-131000,2068000,-4160000,-443000,1137000,-1235000,3148000,-3949000,-11787000,-1283000,-969000,-1515000,-20120000,11369000,-14498000,1129000,1424000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1065000,1707000,716000,360000,-3278000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-100000,219003,8261,-235175,-57980,-335000,-1014000,-288000,-205000,-334000,281000,1005000,-193000,34000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2501000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1870000,-11787000,-1283000,-969000,-1515000,-20120000,11369000,-14498000,- -,- -
82,Other Non-Cash Items,-2900000,-6100000,12900000,3739,- -,- -,- -,-2467000,4802000,2615000,1493000,3725000,-863000,286000,-9025000,298000,6923000,-34169000,6015000,736000,5627000,103178000,89215000,26238000,-122603000
83,Cash Provided by Operating Activities,-5300000,-11500000,-13100000,-5173155,-7621981,-12364592,-15793450,-16680000,-15369000,-22793000,-22017000,-15106000,-6819000,-11189000,-7362000,-2133000,-17073000,-25954000,-45647000,-97693000,-122573000,-82454000,-99390000,-75917000,-99603000
84,CAPEX,-600000,-9900000,-700000,-844909,-698563,-1428417,-2811278,-2202000,-3020000,-1849000,-1140000,-765000,-277000,-950000,-1026000,-754000,-7641000,-9023000,-6925000,-15533000,-10083000,-5128000,-4444000,-2046000,-463000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-293000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-841000,13495000,- -,-955000,43958000,4555000,173357000
86,Purchases of Investments,- -,- -,- -,-2000000,- -,-9508610,-175530,-254000,- -,- -,-147000,-3000,-1000,- -,- -,- -,- -,- -,- -,- -,- -,-955000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2000000,- -,9508610,- -,255000,- -,- -,- -,50000,114000,- -,35000,68000,- -,- -,11651000,11063000,- -,- -,- -,- -
88,Other Investing Activites,-1100000,-2700000,-2000000,-2886023,-2194932,-1140390,- -,-1353000,628000,- -,- -,-296000,-131000,-519000,-655000,-267000,-688000,-785000,-863000,-1161000,-2256000,-163000,-5121000,-1284000,-2372000
89,Cash Used for Investing Activites,-1700000,-12600000,-2700000,-5730932,-893495,-12077417,6521802,-3809000,-2430000,-1849000,-1287000,-363000,-228000,-581000,-1026000,-719000,-7550000,-8749000,-7429000,9900000,1119000,-5859000,36096000,2305000,170692000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3794000,-3793000,-3436000,-642000,-724000,-3332000,-3564000,- -,- -,-3454000,-3429000,-8551000,-7234000,-3241000
91,Common Stock Issued,6200000,26200000,13400000,14272400,9917887,38119124,20147330,3065000,15015000,27945000,9037000,19451000,- -,3501000,4827000,- -,33894000,28842000,57558000,60190000,53125000,751000,118785000,39960000,- -
92,Common Stock Repurchased,- -,- -,-1200000,- -,- -,-2816220,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,800000,-1500000,-100000,-1879659,-1065929,-77434,-213770,142000,6539000,6997000,-3170000,-444000,10208000,11253000,4307000,4418000,10493000,19070000,-2756000,26748000,67781000,74836000,7685000,24679000,-5183000
95,Cash Used/Provided by Financing Activities,7000000,24700000,12100000,12392741,8851958,35225470,19933560,3207000,21554000,34942000,5867000,15213000,6415000,11318000,8492000,3694000,41055000,44348000,54802000,86938000,117452000,72158000,117919000,57405000,-8424000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1226000,-990000,208000,211000,-81000,88000,-241000,61000,457000,-624000,-638000,378000,-729000,-3000,750000
97,Net Change In Cash,100000,500000,-3700000,1488654,336482,10783461,10661912,-17282000,3755000,10300000,-18662000,-1246000,-424000,-241000,23000,930000,16191000,9706000,2183000,-1479000,-4640000,-15777000,53896000,-16210000,63415000
98,Cash at the End of Period,1300000,900000,800000,2270316,2606798,13390259,24052171,6770000,10525000,20825000,2163000,917000,493000,252000,275000,1205000,17396000,27102000,29285000,27806000,23166000,7389000,61285000,45075000,108490000
99,Cash at the Beginning of Period,1200000,400000,4500000,781662,2270316,2606798,13390259,24052000,6770000,10525000,20825000,2163000,917000,493000,252000,275000,1205000,17396000,27102000,29285000,27806000,23166000,7389000,61285000,45075000
100,Free Cash Flow,-5900000,-21400000,-13800000,-6018064,-8320544,-13793009,-18604728,-18882000,-18389000,-24642000,-23157000,-15871000,-7096000,-12139000,-8388000,-2887000,-24714000,-34977000,-52572000,-113226000,-132656000,-87582000,-103834000,-77963000,-100066000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1351172/000156459020012057/0001564590-20-012057-index.html,- -,- -
102,Forex Rate,0.7237,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
