,https://roic.ai/company/RDFN,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,620767000,697211000,46525000,170883000,264767000,769963000,1712120000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,39823000,39868000
63,Common Stock,- -,14000,15000,81000,90000,93000,103000,106000
64,Retained Earnings,- -,-495727000,-563749000,-129003000,-170981000,-251786000,-270313000,-372164000
65,Other Comprehensive Income/Loss,- -,-7830000,-13274000,-14138000,-21530000,-29047000,211000,-174000
66,Other Total Stockholders Equity,- -,7830000,13274000,378490000,564359000,612186000,860556000,642216000
67,Total Stockholders Equity,- -,-495713000,-563734000,235430000,371938000,331446000,630380000,309852000
68,Total Liabilities And Stockholders Equity,- -,125054000,133477000,281955000,542821000,596213000,1400343000,2021972000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-39823000,- -
70,Total Liabilities & Equity,- -,125054000,133477000,281955000,542821000,596213000,1360520000,2021972000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1382821/000138282118000008/0001382821-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282119000022/0001382821-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282120000025/0001382821-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282121000045/0001382821-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1382821/000138282122000034/0001382821-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-25036000,-30236000,-22526000,-15002000,-41978000,-80805000,-18527000,-109613000
74,Depreciation and Amortization,2672000,4395000,6293000,7176000,8465000,9230000,14564000,46906000
75,Deferred Income Tax,-306000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,5196000,5562000,8413000,11101000,20438000,27814000,36973000,54722000
77,Change in Working Capital,3572000,- -,-22789000,143904000,245680000,-83618000,688694000,-312878000
78,Accounts Receivable,- -,- -,- -,- -,- -,-3861000,-35496000,-7149000
79,Inventory,- -,- -,- -,- -,-19312000,-51896000,25432000,-309063000
80,Accounts Payable,913000,152000,638000,-252000,617000,-394000,2086000,3059000
81,Other Working Capital,83234000,83234000,60445000,204349000,450029000,366411000,1055105000,- -
82,Other Non-Cash Items,306000,-1942000,21264000,-141824000,-269307000,19769000,-660437000,19295000
83,Cash Provided by Operating Activities,-13596000,-22221000,-9345000,5355000,-36702000,-107610000,61267000,-301568000
84,CAPEX,-4961000,-4607000,-13567000,-12113000,-8303000,-15533000,-14686000,-27492000
85,Acquisitions Net,-4074000,- -,- -,- -,- -,- -,- -,-608000000
86,Purchases of Investments,-1481000,-1550000,-1744000,-992000,-2000000,-136265000,-198172000,-146274000
87,Sales/Maturities of Investments,1477000,1590000,1744000,2741000,- -,35886000,155739000,205460000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-9039000,-4567000,-13567000,-10364000,-10303000,-115912000,-57119000,-576306000
90,Debt Repayment,- -,- -,- -,-8730000,-81125000,-372089000,-822948000,-1400930000
91,Common Stock Issued,- -,- -,- -,148088000,107593000,- -,69701000,- -
92,Common Stock Repurchased,-2928000,-9000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-225000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,72738000,3554000,1345000,10464000,246934000,403972000,1447474000,2051271000
95,Cash Used/Provided by Financing Activities,69585000,3545000,1345000,149822000,273402000,31883000,694227000,650341000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,32000,-3000,-6000
97,Net Change In Cash,46950000,-23243000,-21567000,144813000,226397000,-191607000,698372000,-227539000
98,Cash at the End of Period,110601000,89020000,64030000,212658000,439055000,247448000,945820000,718281000
99,Cash at the Beginning of Period,63651000,112263000,85597000,67845000,212658000,439055000,247448000,945820000
100,Free Cash Flow,-18557000,-26828000,-22912000,-6758000,-45005000,-123143000,46581000,-329060000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1382821/000138282118000008/0001382821-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282119000022/0001382821-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282120000025/0001382821-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282121000045/0001382821-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1382821/000138282122000034/0001382821-22-000034-index.htm
102,false,,,,,,,,
