,https://roic.ai/company/RMTI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,- -,9100000,9286495,10601015,12030615,12152370,12191059,12628539,- -,- -,- -,- -,- -,- -,92866458,154457878,249018189,257773494,268199939,273210907,299601960,6538,9000,9000
64,Retained Earnings,-1900000,-4300000,-5400000,-6425301,-8004404,-8985115,-8980262,-8768740,-10198617,-14773596,-18492491,-26356548,-31857786,-34541185,-55985742,-110007257,-158790569,-180117726,-194538176,-214341092,-240262376,-272388234,-306516265,- -,-370080000
65,Other Comprehensive Income/Loss,-100000,-400000,-600000,-807930,-955843,-1323374,-1752750,-2174202,-2855901,-3172322,-2971439,-3842777,-4730426,-5867828,-6852084,-7451780,-8116973,-8798558,-1000000,-1000000,-9370142,-6221139,-5864968,57000,52000
66,Other Total Stockholders Equity,3700000,9300000,500000,807930,955843,1323374,1752750,2174202,4270777,26320031,39424956,42020268,65911414,70946950,81082794,14630709,13045203,8600889,84504,97452,9334759,6284287,332694198,34104000,372554000
67,Total Stockholders Equity,1700000,4600000,3600000,2861194,2596611,3045500,3172108,3422319,3844798,8374113,17961026,11820943,29323202,30537937,18244968,-9961870,595539,68702794,62319822,52956299,32913148,27276874,20319503,34170000,2535000
68,Total Liabilities And Stockholders Equity,3400000,5300000,4500000,4051933,6058159,6453691,7044786,7700552,9260660,13152833,22803134,18959982,34879221,36966907,31939599,17025086,36362124,97999716,87822125,83153638,58779640,52557784,44316452,77748000,48574000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30,- -,- -,- -,- -,- -,- -,-4716000,- -
70,Total Liabilities & Equity,3400000,5300000,4500000,4051933,6058159,6453691,7044786,7700552,9260660,13152833,22803134,18959982,34879221,36966907,31939599,17025086,36362094,97999716,87822125,83153638,58779640,52557784,44316452,73032000,48574000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041024/000095012405001792/0000950124-05-001792-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1041024/000095012408001387/0000950124-08-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095015209002684/0000950152-09-002684-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095012310024169/0000950123-10-024169-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095012311022695/0000950123-11-022695-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000119312512096912/0001193125-12-096912-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746913002971/0001047469-13-002971-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746914001989/0001047469-14-001989-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746915001577/0001047469-15-001577-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746916010588/0001047469-16-010588-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837017001846/0001558370-17-001846-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837018002142/0001558370-18-002142-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837019002200/0001558370-19-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828020003683/0001628280-20-003683-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828021006280/0001628280-21-006280-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828022008830/0001628280-22-008830-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1900000,-1900000,-1100000,-1016804,-1579103,-980711,4853,211522,76808,-4574979,-3718895,-7864057,-5501238,-2683399,-21444557,-54021515,-48783312,-21327157,-14420450,-19802916,-25921284,-32125858,-34128031,-30890000,-32674000
74,Depreciation and Amortization,300000,400000,400000,379127,384427,391838,453926,629697,716312,756868,949739,911718,1233706,1389152,1176007,1087397,1007411,996321,822294,762368,514362,650142,2652713,2289000,668000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2352887,4021309,4378028,7302141,7712070,10094685,8887977,10346284,7174596,4387554,4951777,475000,943000
77,Change in Working Capital,500000,3000000,-600000,-799480,-703692,607860,87991,-11197,-83541,3908230,9402503,-6677819,17081133,1834160,-14041970,-26041702,27905627,70834644,-8367882,-8171272,-28678449,-6064425,-9120443,32175724,-42354000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1737034,-1014674,284480,-209116,-146387,106317,-574731,-1162469,-962338,-623948,2776789,32000,-1742000
79,Inventory,- -,100000,-200000,-171881,-481407,-409978,126215,-302166,-399362,-608279,101047,-602574,73273,151474,432751,-145512,-150009,-1120537,-3951595,-6095846,343490,-835641,316872,-1306000,146000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1822215,270750,1705030,9469028,-6147412,-3391638,-1299299,1863018,-1636840,269912,-1473648,1136000,-416000
81,Other Working Capital,-800000,2200000,1600000,800520,96828,704688,792679,781482,697941,4606171,14008674,7330855,24411988,26246148,12204178,-13837524,14068103,84902747,76534865,68363593,39685144,33620719,24500276,56676000,14322000
82,Other Non-Cash Items,-100000,-3800000,400000,940811,978347,-1134270,-321352,196513,-1203096,-3497100,-10031958,9361660,-16593247,-2460308,19149390,40926835,-38506749,-56340715,-3162849,4412898,25796540,12732653,8389436,-33690724,73417000
83,Cash Provided by Operating Activities,-1200000,-2300000,-900000,-496346,-920021,-1115283,225418,1026535,-493517,-3406981,-3398611,-4268498,-1426759,2100914,-10783102,-30746844,-50664953,4257778,-16240910,-12452638,-21114235,-20419934,-27254548,-29641000,- -
84,CAPEX,-600000,-400000,- -,-304530,-1045107,-381901,-164626,-392046,-576450,-1013284,-932797,-1269401,-1600948,-772364,-566164,-507788,-654197,-684593,-815002,-355264,-1682913,-994256,-1337452,-1046000,- -
85,Acquisitions Net,- -,- -,- -,-4736,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12151721,-2000000,-2012671,-12002203,-13100000,-21800000,-25781853,-35733677,-20178127,-41677994,-29307000,-26058000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1975244,14037255,- -,4976000,1468656,24491677,51918745,33895481,38265664,33565000,-26058000
88,Other Investing Activites,- -,- -,- -,-150000,-633901,478238,2884,-83095,-51262,- -,- -,9555,-4949,1800,-142136,1578,6898,- -,4800,1000,725,400,-750000,- -,52427000
89,Cash Used for Investing Activites,-600000,-400000,- -,-459266,-1679008,96337,-161742,-475141,-627712,-1013284,-932797,-1259846,-1600948,-12922285,-587935,11518374,-12649502,-8808593,-21141546,-1644440,14502880,12723498,-4749782,3212000,311000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181453,-43723,-18215,-6470,-2280,-21100000,- -,- -,- -,- -,-1145132,-763000,-750000
91,Common Stock Issued,2500000,5800000,- -,79354,1054487,1258550,37713,38689,345671,9104294,13161959,232140,20650610,90448,4841049,18231424,51596232,79569815,2780187,80161,123603,22000000,24160721,45473000,107000
92,Common Stock Repurchased,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2287231,- -,-279347,-19000,-6000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-600000,100000,- -,-6234,1416782,-322512,5117,-530527,908394,-2320187,-396332,-204243,- -,- -,- -,- -,18890224,- -,- -,- -,- -,3499,-1651366,18625000,-1530000
95,Cash Used/Provided by Financing Activities,1900000,4600000,- -,73120,2471269,936038,42830,-491838,1254065,6784107,12765627,27897,20469157,46725,4822834,18224954,70484176,58469815,2780187,80161,-2163628,22003499,21084876,63316000,-2179000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-671,1306,- -,- -,- -,- -
97,Net Change In Cash,1900000,4600000,-800000,-882492,-127760,-82908,106506,59556,132836,2363842,8434219,-5500447,17441450,-10774646,-6548203,-1003516,7169721,53919000,-34602269,-14017588,-8773677,14307063,-10919454,36887000,-35402000
98,Cash at the End of Period,- -,- -,1100000,210801,83041,133,106639,166195,299031,2662873,11097092,5596645,23038095,12263449,5715246,4711730,11881451,65800451,31198182,17180594,8406917,22713980,11794526,48682000,13280000
99,Cash at the Beginning of Period,- -,100000,1900000,1093293,210801,83041,133,106639,166195,299031,2662873,11097092,5596645,23038095,12263449,5715246,4711730,11881451,65800451,31198182,17180594,8406917,22713980,11795000,48682000
100,Free Cash Flow,-1800000,-2700000,-900000,-800876,-1965128,-1497184,60792,634489,-1069967,-4420265,-4331408,-5537899,-3027707,1328550,-11349266,-31254632,-51319150,3573185,-17055912,-12807902,-22797148,-21414190,-28592000,-30687000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041024/000095012405001792/0000950124-05-001792-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1041024/000095012408001387/0000950124-08-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095015209002684/0000950152-09-002684-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095012310024169/0000950123-10-024169-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095012311022695/0000950123-11-022695-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000119312512096912/0001193125-12-096912-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746913002971/0001047469-13-002971-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746914001989/0001047469-14-001989-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746915001577/0001047469-15-001577-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746916010588/0001047469-16-010588-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837017001846/0001558370-17-001846-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837018002142/0001558370-18-002142-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837019002200/0001558370-19-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828020003683/0001628280-20-003683-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828021006280/0001628280-21-006280-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828022008830/0001628280-22-008830-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
