,https://roic.ai/company/CRAWA,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,100000,100000,100000,- -,- -,100000,200000,- -,100000,100000,60367,49057,7706,3243,- -,- -,64582,49477,9974,3826,542,7610,5956,91178,6592,657,59386,- -,749021,1056843,952192
14,Depreciation and Amortization,- -,100000,200000,300000,400000,500000,600000,700000,700000,700000,700000,651870,561399,468395,313693,280552,267180,237291,221160,196490,167492,131800,108924,86257,64186,62195,68686,153422,- -,1606509,2054721,2458593
15,EBITDA,- -,1400000,1200000,2300000,2800000,3100000,3500000,2400000,1500000,2200000,100000,-122167,-536950,737707,-1927262,1123422,-2218892,1378986,-341049,-363228,-1657735,-817154,-556001,-691753,294169,77163,-53034,1546056,- -,7637260,12531054,10886026
16,EBITDA ratio,- -,0.1333,0.1026,0.1250,0.1340,0.1378,0.1190,0.0916,0.0708,0.1058,0.0053,-0.0067,-0.0352,0.0595,-0.1746,0.0715,-0.2294,0.0869,-0.0272,-0.0301,-0.2734,-0.1554,-0.1097,-0.1453,0.0455,0.0122,-0.0091,0.2326,- -,0.1151,0.1397,0.1280
17,Operating Income,- -,1300000,1000000,2000000,2500000,2500000,2800000,1600000,800000,1500000,-700000,-333656,-1139278,238462,-1252308,790905,-2665769,842580,-923233,-647809,- -,-968942,- -,-797250,216167,594,-129753,1385438,- -,7314459,-10510666,7452453
18,Operating Income ratio,- -,0.1238,0.0855,0.1087,0.1196,0.1111,0.0952,0.0611,0.0377,0.0721,-0.0372,-0.0183,-0.0747,0.0192,-0.1135,0.0503,-0.2757,0.0531,-0.0737,-0.0537,- -,-0.1842,- -,-0.1674,0.0334,0.0001,-0.0222,0.2085,- -,0.1102,-0.1172,0.0876
19,Total Other Income Expenses (Gains),- -,-100000,-100000,-100000,-100000,100000,- -,-100000,- -,-100000,- -,-500748,-8128,23144,46652,51965,179697,234533,296684,78117,-3826,19446,6740,13284,-77362,7782,7376,-52190,- -,-2032729,19930156,22788
20,Income Before Tax,- -,1200000,900000,1900000,2400000,2600000,2800000,1500000,800000,1400000,-700000,-834404,-1147406,261606,-1205656,842870,-2486072,1077113,-626549,-569692,-1829053,-949496,-672535,-783966,138805,8376,-122377,1333248,- -,5281730,9419490,7475241
21,Income Before Tax Ratio,- -,0.1143,0.0769,0.1033,0.1148,0.1156,0.0952,0.0573,0.0377,0.0673,-0.0372,-0.0457,-0.0752,0.0211,-0.1092,0.0536,-0.2571,0.0678,-0.0500,-0.0472,-0.3017,-0.1805,-0.1327,-0.1647,0.0215,0.0013,-0.0209,0.2006,- -,0.0796,0.1050,0.0879
22,Income Tax expense (Gain),- -,400000,300000,700000,900000,1000000,1000000,500000,200000,400000,-400000,-423800,-485300,17200,-471000,183100,-912300,273500,8000,200007,1845200,- -,- -,- -,- -,- -,- -,-3299600,- -,1668020,2439627,1635854
23,Net Income,- -,800000,600000,1200000,1500000,1600000,1800000,1000000,600000,1000000,-300000,-410604,-662106,244406,-1773198,659770,-1573772,803613,-619686,-769699,-3674253,-949496,-672535,-783966,138805,8376,-122377,4632848,- -,3613710,6979863,5839387
24,Net Income ratio,- -,0.0762,0.0513,0.0652,0.0718,0.0711,0.0612,0.0382,0.0283,0.0481,-0.0160,-0.0225,-0.0434,0.0197,-0.1606,0.0420,-0.1627,0.0506,-0.0495,-0.0638,-0.6060,-0.1805,-0.1327,-0.1647,0.0215,0.0013,-0.0209,0.6971,- -,0.0544,0.0778,0.0686
25,EPS,- -,0.67,0.48,1.02,1.27,1.31,1.50,0.80,0.51,0.86,-0.22,-0.34,-0.54,0.20,-1.45,0.54,-1.30,0.66,-0.53,-0.62,-2.94,-0.76,-0.54,-0.57,0.09,0.01,-0.07,2.38,- -,1.29,2.45,1.76
26,EPS Diluted,- -,0.67,0.48,1.02,1.27,1.31,1.50,0.80,0.51,0.86,-0.22,-0.34,-0.54,0.20,-1.45,0.53,-1.30,0.64,-0.53,-0.62,-2.94,-0.76,-0.54,-0.57,0.08,0.01,-0.07,2.38,- -,1.14,2.13,1.76
27,Weighted Average Shares Outstanding,- -,1194030,1250000,1176471,1181102,1221374,1194500,1192850,1193497,1196602,1199416,1204276,1218374,1219750,1219750,1218913,1211629,1211245,1213984,1239449,1248095,1248095,1248095,1372812,1610571,1638215,1638215,1943625,2874926,2799706,2849239,3319731
28,Weighted Average Shares Outstanding Diluted,- -,1194030,1250000,1176471,1181102,1221374,1226415,1194030,1219512,1232877,1315789,1204276,1218374,1219750,1220805,1244849,1211629,1255645,1213984,1239449,1248095,1248095,1248095,1372812,1735062,1638215,1638215,1943625,2874926,3181572,3277857,3320553
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47307/000095015296006733/0000950152-96-006733-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47307/000004730701500005/0000047307-01-500005-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730702000011/0000047307-02-000011-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730703000012/0000047307-03-000012-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730704000022/0000047307-04-000022-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730705000010/0000047307-05-000010-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730706000013/0000047307-06-000013-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730707000011/0000047307-07-000011-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730708000021/0000047307-08-000021-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730709000014/0000047307-09-000014-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730710000009/0000047307-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730712000004/0000047307-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730713000003/0000047307-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730713000013/0000047307-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730715000003/0000047307-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730716000024/0000047307-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000143774916043896/0001437749-16-043896-index.htm,- -,https://www.sec.gov/Archives/edgar/data/47307/000143774919006018/0001437749-19-006018-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000143774920005100/0001437749-20-005100-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000143774921006247/0001437749-21-006247-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,400000,200000,300000,500000,400000,700000,500000,2700000,1600000,500000,313553,576664,2261774,1347971,1739719,145889,61363,601979,1992558,716866,768647,274530,258798,938852,390327,346405,3060734,2444110,5057626,2232499,6194276
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018000,2051863,2148170,848698,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1534400
33,Cash and Short-Term Investments,- -,400000,200000,300000,500000,400000,700000,500000,2700000,1600000,500000,313553,576664,2261774,2365971,3791582,2294059,910061,601979,1992558,716866,768647,274530,258798,938852,390327,346405,3060734,2444110,5057626,2232499,7728676
34,Net Receivables,- -,2700000,3700000,4700000,5800000,6000000,6300000,5400000,3300000,2700000,3400000,3020754,3190930,2420614,1697549,1448444,1031017,4382383,4623055,850763,1129588,350386,725131,706446,638316,1172268,1101554,1354199,10617668,11918611,16424174,15757249
35,Inventory,- -,2700000,2600000,3900000,3200000,3800000,6900000,4900000,4900000,5900000,5700000,5860217,3994347,3589543,3291328,3860225,3684629,3763074,4585552,2979168,2184648,2122972,1963943,1734770,1589816,1714197,1926513,3308799,3903481,5497982,7678690,11030960
36,Other Current Assets,- -,- -,100000,100000,100000,200000,300000,400000,200000,400000,600000,697241,263069,520691,178781,162337,924744,586149,433919,202197,75552,70423,53267,123957,32342,37989,112019,43085,265456,818609,703002,657496
37,Total Current Assets,- -,5800000,6600000,9000000,9600000,10400000,14200000,11200000,11100000,10600000,10200000,9891765,8025010,8792622,7533629,9262588,7934449,9641667,10244505,6024686,4106654,3312428,3016871,2823971,3199326,3314781,3486491,7766817,17230715,23292828,27038365,35174381
38,PP&E,- -,700000,1000000,1300000,1500000,1900000,2300000,2400000,2300000,2400000,2200000,1947843,1632386,1462068,1265984,1074427,1034790,890421,817328,743367,609810,495203,386279,349250,299507,379026,375234,1303923,3323389,13304115,21619012,20147603
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1777656,2255912,9582202,9791745,11505852
40,Intangible Assets,- -,- -,- -,- -,- -,100000,200000,200000,200000,1900000,1800000,1799999,1687107,1574542,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1250909,1896399,4332202,3950838,7558309
41,Intangible Assets,- -,- -,- -,- -,- -,100000,200000,200000,200000,1900000,1800000,1799999,1687107,1574542,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3028565,4152311,13914404,13742583,19064161
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831000,472100,1578700,1376000,1401700,1573400,1690307,1741200,- -,- -,- -,- -,- -,- -,- -,3330600,2173892,- -,- -,- -
44,Other Non-Current Assets,- -,200000,200000,- -,- -,100000,-100000,200000,100000,100000,100000,127002,2050,2050,1750,1750,1750,1750,1750,1750,1750,1750,37450,32750,5850,5850,4850,4850,3250,95263,88046,106638
45,Total Non-Current Assets,- -,900000,1200000,1300000,1500000,2100000,2400000,2800000,2600000,4400000,4100000,3874844,4152543,3510760,2846434,2452177,2438240,2465571,2509385,2486317,611560,496953,423729,382000,305357,384876,380084,7667938,9652842,27313782,35449641,39318402
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6700000,7800000,10300000,11100000,12500000,16600000,14000000,13700000,15000000,14300000,13766609,12177553,12303382,10380063,11714765,10372689,12107238,12753890,8511003,4718214,3809381,3440600,3205971,3504683,3699657,3866575,15434755,26883557,50606610,62488006,74492783
48,Accounts Payable,- -,- -,400000,400000,300000,500000,900000,400000,700000,700000,700000,401806,314163,374024,294216,416186,305157,364702,1888687,254479,157327,183036,173848,178835,174236,145557,297761,733388,2112695,5169819,6071522,9230032
49,Short-Term Debt,- -,500000,1400000,2100000,1300000,1200000,3500000,1400000,100000,200000,200000,708128,40128,11334,- -,- -,800000,1348000,1947700,- -,- -,- -,- -,208591,- -,- -,- -,309369,1108462,3102796,4933456,5252112
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3960,46965,47786,44559,44691,48342,40764,95382,108576,360239,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2601355,5257797,1998578,820002
52,Other Current Liabilities,- -,1400000,600000,1300000,2000000,1700000,1700000,800000,1000000,900000,800000,858598,828115,687252,628273,1192874,702239,1138899,458286,384168,346707,345616,395943,500670,582636,359876,391924,1305193,2172094,3325337,3281445,2242924
53,Total Current Liabilities,- -,1900000,2400000,3800000,3600000,3400000,6100000,2600000,1800000,1800000,1700000,1968532,1182406,1072610,922489,1609060,1807396,2851601,4294673,638647,504034,528652,569791,888096,756872,505433,689685,2347950,7994606,16855749,16285001,17545070
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,100000,500000,400000,43480,8781,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,200000,200000,4588901,8491170,19281081,14053291,19083982
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,100000,200000,200000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1701653,2207734,2429828
57,Other Non-Current Liabilities,- -,- -,- -,-100000,200000,300000,-100000,- -,- -,-100000,100000,112375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235200,339700,144997,- -,2642,8513448,7901357
58,Total Non-Current Liabilities,- -,- -,- -,-100000,200000,400000,100000,200000,300000,600000,500000,155855,8781,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,435200,539700,4733898,8491170,20985376,24774473,29415167
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204366,162590,16442,9364112,9037657
61,Total Liabilities,- -,1900000,2400000,3700000,3800000,3800000,6200000,2800000,2100000,2400000,2200000,2124387,1191187,1072610,922489,1609060,1807396,2851601,4294673,638647,504034,528652,819791,888096,756872,940633,1229385,7081848,16485776,37841125,41059474,46960237
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1217750,1219750,1219750,1219750,1217454,1211245,1211245,1221645,1248095,1248095,1248095,1248095,- -,- -,- -,- -,- -,- -,3351572,5065328,5362227
64,Retained Earnings,- -,3000000,3500000,4700000,6000000,7400000,8300000,9100000,9500000,10400000,10000000,9430669,8768563,9012969,7239771,7899541,6204644,7008257,6237721,5468022,1793769,844273,171738,-612228,-473423,-465047,-587424,4045424,5964082,9577792,16527083,22366470
65,Other Comprehensive Income/Loss,- -,-1100000,-1200000,-1400000,-1800000,-2200000,-2500000,-2700000,-3100000,-3300000,-3500000,-3474290,-3114038,-2888756,-3042178,34863,218138,104869,-3402339,-3266316,-3380938,-3504989,-3613913,-3688266,-3752452,-3800551,-3646937,-3771268,- -,-2006133,-3622153,- -
66,Other Total Stockholders Equity,- -,2900000,3100000,3300000,3100000,3500000,4600000,4800000,5200000,5500000,4400000,4468093,4112091,3886809,4040231,953847,931266,931266,4402190,4422555,4553254,4693350,4814889,6618369,6973686,7024622,6871551,8078751,- -,1842254,3458274,-196151
67,Total Stockholders Equity,- -,4800000,5400000,6600000,7300000,8700000,10400000,11200000,11600000,12600000,12100000,11642222,10986366,11230772,9457574,10105705,8565293,9255637,8459217,7872356,4214180,3280729,2620809,2317875,2747811,2759024,2637190,8352907,10397781,12765485,21428532,27532546
68,Total Liabilities And Stockholders Equity,- -,6700000,7800000,10300000,11100000,12500000,16600000,14000000,13700000,15000000,14300000,13766609,12177553,12303382,10380063,11714765,10372689,12107238,12753890,8511003,4718214,3809381,3440600,3205971,3504683,3699657,3866575,15434755,26883557,50606610,62488006,74492783
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6700000,7800000,10300000,11100000,12500000,16600000,14000000,13700000,15000000,14300000,13766609,12177553,12303382,10380063,11714765,10372689,12107238,12753890,8511003,4718214,3809381,3440600,3205971,3504683,3699657,3866575,15434755,26883557,50606610,62488006,74492783
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47307/000095015296006733/0000950152-96-006733-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47307/000004730701500005/0000047307-01-500005-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730702000011/0000047307-02-000011-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730703000012/0000047307-03-000012-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730704000022/0000047307-04-000022-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730705000010/0000047307-05-000010-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730706000013/0000047307-06-000013-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730707000011/0000047307-07-000011-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730708000021/0000047307-08-000021-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730709000014/0000047307-09-000014-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730710000009/0000047307-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730712000004/0000047307-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730713000003/0000047307-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730713000013/0000047307-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730715000003/0000047307-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000004730716000024/0000047307-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000143774916043896/0001437749-16-043896-index.htm,- -,https://www.sec.gov/Archives/edgar/data/47307/000143774919006018/0001437749-19-006018-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000143774920005100/0001437749-20-005100-index.htm,https://www.sec.gov/Archives/edgar/data/47307/000143774921006247/0001437749-21-006247-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,800000,600000,1200000,1500000,1600000,1800000,1000000,600000,1000000,-300000,-410604,-662106,244406,-1773198,659770,-1573772,803613,-619686,-769699,-3674253,-949496,-672535,-783966,138805,8376,-122377,4632848,1408396,3613710,6979863,5839387
74,Depreciation and Amortization,- -,100000,200000,300000,400000,500000,600000,700000,700000,700000,700000,651870,561399,468395,313693,280552,267180,237291,221160,196490,167492,131800,108924,86257,64186,62195,68686,153422,720872,1606509,2054721,2458593
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,-100000,200000,-100000,- -,-200000,-240800,-483100,42200,-1007000,201100,-887300,244500,106593,200007,1845200,- -,- -,- -,- -,- -,- -,-3330600,693398,1124910,548715,222094
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16077,16045,12615,11388,6465,2837,543,- -,129832,394933,348877,296899
77,Change in Working Capital,- -,400000,1000000,800000,1000000,1100000,500000,700000,-500000,-300000,-576767,-1080629,877408,-1108872,1042388,-1526475,663013,-840234,-563793,-1783419,-818844,-336696,-511205,506579,366894,-12542,2622061,4176309,-343044,-2799030,4316285,6875947
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-278825,779202,-372345,19885,64530,-533952,70714,582075,-2434029,761496,-4164533,2751191
79,Inventory,- -,-200000,100000,-1300000,700000,-200000,-3100000,2300000,- -,-300000,200000,-152119,1865870,404804,298215,-568897,175596,-78445,-822478,1606384,794520,61676,159029,229173,144954,-124381,-212316,373593,45539,-1681250,-2180708,-434014
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97152,25709,-9188,4987,-4599,-28679,152204,-39886,-962207,1578467,747632,2752081
81,Other Working Capital,- -,4200000,5200000,6000000,7000000,8100000,8600000,9300000,8800000,8500000,7923233,6842604,7720012,6611140,7653528,6127053,6790066,5949832,5386039,3602620,2783776,2447080,1935875,2442454,2809348,2796806,5418867,9595176,688402,6437079,10753364,17629311
82,Other Non-Cash Items,- -,100000,-2300000,-2400000,-900000,-1800000,-3400000,700000,3500000,500000,-23233,1300720,789448,2278496,1667974,1876034,-806048,-2384697,38808,5453401,1223310,1209259,356184,-222045,109572,-667677,-2548941,-3118093,21270,6393028,-13353918,-5800195
83,Cash Provided by Operating Activities,- -,1400000,-500000,-100000,2000000,1500000,-600000,3300000,4200000,1900000,-400000,220557,1083049,1924625,243857,1490981,-2336927,-1939527,-816918,3296780,-1241018,70912,-706017,-401787,685922,-606811,19972,2513886,2630724,10334060,894543,9892725
84,CAPEX,- -,-300000,-500000,-600000,-600000,- -,-900000,-500000,-400000,-2800000,-500000,-405703,-131289,-206534,-129976,-104031,-235470,-93773,-150142,-127510,-34674,-19456,- -,-55180,-14443,-141714,-64894,-36209,-332794,-479880,-746430,-574315
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78194,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10250000,-11209583,-50001,-9400000
86,Purchases of Investments,- -,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,- -,- -,-2069935,-2000000,-500000,- -,-900247,- -,- -,- -,-38100,- -,- -,- -,- -,- -,- -,- -,- -,-949293
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1051935,1018000,849841,1400000,1886627,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,200000,100000,-800000,- -,-800000,- -,- -,- -,9575,7800,4594,1650,- -,11941,774,- -,2000,-34674,-19131,- -,-42180,16057,-141714,-63894,-36209,-332794,-479880,-746430,-574315
89,Cash Used for Investing Activites,- -,-300000,-500000,-400000,-500000,-1500000,-900000,-1300000,-400000,-2800000,-500000,-474322,-123489,-201940,-1146326,-1086031,126312,1307001,836238,-125510,-34674,-19131,-38100,-42180,16057,-141714,-63894,-36209,-10582794,-11689463,-796431,-10923608
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-250000,-683400,- -,-43445,-2983144,-10217831,-5988667,-12261090
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52650,6250,- -,- -,- -,- -,- -,42720,167009,- -,- -,- -,37000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-400000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-13202,-62090,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500,- -,- -,-32272
93,Dividends Paid,- -,- -,-100000,-100000,-200000,-200000,-300000,-100000,-200000,-100000,-200000,-119975,- -,- -,- -,- -,-121125,- -,-121124,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1000000,900000,700000,-700000,- -,2300000,-2200000,-1400000,-100000,- -,101064,-702699,-37575,-11334,- -,800000,548000,599700,-1947700,- -,- -,250000,641235,228075,883400,- -,280097,8820486,14186750,3065428,17286022
95,Cash Used/Provided by Financing Activities,- -,-1000000,800000,600000,-1300000,-200000,1900000,-2300000,-1600000,-200000,-200000,33739,-696449,-37575,-11334,-13202,616785,548000,521296,-1780691,- -,- -,250000,428235,-21925,200000,- -,236652,5825842,3968919,-2923239,4992660
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
