,https://roic.ai/company/WIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,4914672234,8675416774,10944768624,11191375605,13958568993,21484715040,27440959877,37288631077,42200000000,50526000000,64473000000,72835000000,83113000000,94969000000,112541000000,124743000000,130604000000,135131000000,127046000000,140363000000,148015000000,170245000000
16,EBITDA ratio,0.2137,0.2816,0.3228,0.2612,0.2384,0.2641,0.2582,0.2489,0.2139,0.1985,0.2371,0.2345,0.2234,0.2538,0.2592,0.2657,0.2549,0.2455,0.2332,0.2396,0.2426,0.2748
17,Operating Income,3493798945,7125809516,7920672930,9486256939,10924946289,17860261080,22011407954,29938650999,33680000000,41390000000,51511000000,57668000000,64013000000,69972000000,89354000000,95423000000,97021000000,93879000000,84294000000,99910000000,105730000000,123053000000
18,Operating Income ratio,0.1519,0.2313,0.2336,0.2214,0.1866,0.2195,0.2071,0.1999,0.1707,0.1626,0.1894,0.1857,0.1721,0.1870,0.2058,0.2032,0.1893,0.1706,0.1547,0.1705,0.1733,0.1987
19,Total Other Income Expenses (Gains),366069850,413824569,1360409392,332606671,759826500,742358040,1566705340,2991748195,2440000000,-1454000000,3899000000,5367000000,5737000000,8624000000,11651000000,16260000000,17698000000,16477000000,18180000000,15505000000,16782000000,15954000000
20,Income Before Tax,3859868795,7539634085,9281082322,9818863610,11684772789,18602619120,23578113293,32930399194,36120000000,39936000000,55410000000,63035000000,69750000000,78596000000,101005000000,111683000000,114719000000,110356000000,102474000000,115415000000,122512000000,139007000000
21,Income Before Tax Ratio,0.1678,0.2447,0.2737,0.2291,0.1995,0.2287,0.2218,0.2199,0.1831,0.1569,0.2037,0.2030,0.1875,0.2100,0.2326,0.2379,0.2239,0.2005,0.1881,0.1970,0.2008,0.2244
22,Income Tax expense (Gain),525502156,1142906356,968692959,1342227632,1614880771,2707423440,3270653354,3731368832,3880000000,5422000000,9294000000,9714000000,13763000000,16912000000,22600000000,24624000000,25305000000,25213000000,22390000000,25242000000,24799000000,30345000000
23,Net Income,3553187588,6415212017,8312389363,8099100393,10013709803,15851527560,20306123160,29237912288,32240000000,34415000000,46116000000,52977000000,55730000000,66359000000,77967000000,86528000000,88922000000,84895000000,80081000000,90031000000,97218000000,107946000000
24,Net Income ratio,0.1545,0.2082,0.2451,0.1890,0.1710,0.1948,0.1910,0.1952,0.1634,0.1352,0.1696,0.1706,0.1498,0.1773,0.1795,0.1843,0.1735,0.1542,0.1470,0.1537,0.1593,0.1743
25,EPS,0.59,1.05,1.35,1.31,1.58,2.56,3.24,4.57,4.99,5.33,5.98,8.15,8.54,10.14,11.91,13.22,13.58,13.11,12.65,14.99,16.67,19.11
26,EPS Diluted,0.57,1.05,1.35,1.31,1.58,2.54,3.20,4.52,4.97,5.32,5.95,8.10,8.51,10.12,11.87,13.17,13.55,13.07,12.62,14.95,16.62,19.07
27,Weighted Average Shares Outstanding,6081915949,6115370408,6163544119,6165459482,6167747593,6184696920,6251148601,6340940709,6447142904,6462278962,6477414587,6497173397,6530815465,6541915055,6545986187,6545816096,6550823428,6476106394,6333389616,6007376837,5833384018,5649265885
28,Weighted Average Shares Outstanding Diluted,6103397640,6166798071,6174274164,6175276086,6173746990,6221552141,6327474317,6419867043,6465702901,6472414504,6515282663,6536409443,6549221621,6557823216,6567002995,6566876120,6564504780,6495127893,6344481047,6022304367,5847823239,5661657822
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123799/000095013404007736/0000950134-04-007736-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013405011880/0000950134-05-011880-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013406011989/0000950134-06-011989-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013407012614/0000950134-07-012614-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013408010518/0000950134-08-010518-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013409010959/0000950134-09-010959-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095012310105019/0000950123-10-105019-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095012311059514/0000950123-11-059514-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312512236425/0001193125-12-236425-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312513256124/0001193125-13-256124-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312514204249/0001193125-14-204249-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312515200299/0001193125-15-200299-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312516604459/0001193125-16-604459-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312517192940/0001193125-17-192940-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312518206741/0001193125-18-206741-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312519169709/0001193125-19-169709-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,783930090,5587888799,7361627944,14096399613,3304295168,5676855600,8873540993,12441352277,39240000000,49117000000,64878000000,61141000000,77666000000,84838000000,114201000000,158940000000,99049000000,52710000000,44925000000,158529000000,144499000000,169793000000
32,Short-Term Investments,- -,- -,- -,526966881,18519133201,22969431120,30382319930,32487145237,14800000000,16180000000,- -,49282000000,41961000000,78631000000,73057000000,92108000000,202383000000,292030000000,252258000000,230099000000,190685000000,176326000000
33,Cash and Short-Term Investments,783930090,5587888799,7361627944,14623366494,21823428369,28646286720,39255860924,44928497514,54040000000,65297000000,64878000000,110423000000,119627000000,163469000000,187258000000,251048000000,301432000000,344740000000,297183000000,388628000000,335184000000,346119000000
34,Net Receivables,4433187542,5887688124,5968279093,9310143176,13101128605,17554584240,24973265290,33642370461,47200000000,46217000000,57524000000,61627000000,110353000000,122416000000,142759000000,152598000000,168502000000,156125000000,153881000000,150858000000,164255000000,153875000000
35,Inventory,1215676793,1477160022,1399196092,1449478828,1441301587,1790392920,2068443170,4160366082,7160000000,8686000000,7926000000,9707000000,10662000000,3263000000,2293000000,4849000000,5390000000,3915000000,3370000000,3951000000,1865000000,1064000000
36,Other Current Assets,993755407,2607215840,9693069191,2763791765,5062429742,3144104640,5641654239,18074479312,19880000000,44522000000,70849000000,50557000000,32846000000,18255000000,22376000000,27997000000,30267000000,34118000000,51722000000,28469000000,18547000000,22128000000
37,Total Current Assets,7426549832,15559952785,24422172320,28146780263,41428288302,51135368520,71939223623,100805713369,128280000000,164722000000,201177000000,232314000000,273488000000,307403000000,354686000000,436492000000,505591000000,538898000000,506156000000,571906000000,519851000000,523186000000
38,PP&E,3605196319,5632726002,6248654308,7309763815,9277267252,13187772240,17809019428,26604309833,39800000000,49862000000,53458000000,55094000000,58988000000,50525000000,51449000000,54206000000,64952000000,69794000000,64443000000,70601000000,97868000000,101612000000
39,Goodwill,- -,- -,- -,- -,- -,- -,7493984756,12727782465,38920000000,49502000000,53802000000,54818000000,67937000000,54756000000,63422000000,68078000000,101991000000,125796000000,117584000000,116980000000,131012000000,139127000000
40,Intangible Assets,10786026,828161297,655183376,5636967428,5603687902,5982532440,855984345,2677236616,12480000000,17604000000,4011000000,3551000000,4229000000,5909000000,6459000000,14561000000,24375000000,26438000000,25715000000,20085000000,20897000000,16502000000
41,Intangible Assets,10786026,828161297,655183376,5636967428,5603687902,5982532440,8349969101,15405019081,51400000000,67106000000,57813000000,58369000000,72166000000,60665000000,69881000000,82639000000,126366000000,152234000000,143299000000,137065000000,151909000000,155629000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2008000000,2345000000,5977000000,3232000000,- -,2676000000,3867000000,4907000000,7103000000,8874000000,8928000000,11487000000,13179000000
43,Tax Assets,- -,220600901,264587664,65497637,162125821,218340600,183138764,48818418,- -,169000000,5150000000,10706000000,2597000000,4235000000,3362000000,2945000000,3800000000,3098000000,6908000000,5604000000,6005000000,1664000000
44,Other Non-Current Assets,1641091618,3758270182,2092776352,1621895908,1392190956,1572052320,2291239720,3566336657,4920000000,6681000000,9985000000,8983000000,25530000000,16902000000,20250000000,19884000000,19305000000,22389000000,30960000000,39067000000,29942000000,36164000000
45,Total Non-Current Assets,5257073962,10439758382,9261201702,14634124789,16435271930,20960697600,28633367013,45624483990,96120000000,125826000000,128751000000,139129000000,162513000000,132327000000,147618000000,163541000000,219330000000,254618000000,254484000000,261265000000,297211000000,308248000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12683623795,25999711167,33683374022,42780905051,57863560232,72096066120,100572590636,146430197359,224400000000,290548000000,329928000000,371443000000,436001000000,439730000000,502304000000,600033000000,724921000000,793516000000,760640000000,833171000000,817062000000,831434000000
48,Accounts Payable,1388165867,1835811086,2234182136,2236066590,2738525076,3711790200,4153373285,8900072861,13080000000,18017000000,19133000000,20618000000,23429000000,15434000000,17615000000,18845000000,23447000000,23452000000,24406000000,28527000000,27053000000,23232000000
49,Short-Term Debt,1342882026,1662468504,260738231,538056930,971149721,567685560,705819470,3228495922,29520000000,37211000000,44404000000,33043000000,36448000000,62962000000,40683000000,66206000000,107860000000,122801000000,92991000000,71099000000,79762000000,83543000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4850000000,7340000000,7232000000,10226000000,12482000000,8036000000,7015000000,8101000000,9417000000,9541000000,11731000000,17324000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,4160000000,6918000000,7462000000,6595000000,9569000000,12752000000,16045000000,18749000000,20359000000,18544000000,19040000000,26129000000,20239000000,23393000000
52,Other Current Liabilities,2931877577,3317487420,3551175762,4380758763,7003948272,10393012560,16285536619,30794917413,27920000000,50735000000,34613000000,40362000000,48239000000,53592000000,62113000000,60229000000,66895000000,64746000000,77070000000,88595000000,89339000000,99872000000
53,Total Current Liabilities,5662925470,6815767009,6046096128,7154882282,10713623069,14672488320,21144729374,42923486197,74680000000,112881000000,105612000000,100618000000,117685000000,144740000000,136456000000,164029000000,218561000000,229543000000,213507000000,214350000000,216393000000,230040000000
54,Long-Term Debt,211222696,94423518,29723476,65781998,- -,- -,- -,561627820,15240000000,19595000000,18107000000,19759000000,22510000000,854000000,10909000000,12707000000,17361000000,19611000000,45268000000,28368000000,17478000000,20971000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000000
56,Deferred Tax Liabilities,17991265,90093445,115190652,- -,- -,- -,127885220,465287048,2080000000,4023000000,380000000,301000000,353000000,846000000,1796000000,3240000000,5108000000,6614000000,3059000000,3417000000,2825000000,4633000000
57,Other Non-Current Liabilities,101746720,36968576,93019862,128673000,276789601,174672480,395241080,771590220,2880000000,3632000000,9280000000,10394000000,9290000000,8307000000,8257000000,10429000000,15589000000,15053000000,13460000000,16283000000,21033000000,21074000000
58,Total Non-Current Liabilities,330960681,221485539,237933990,194454997,276789601,174672480,523126299,1798505088,20200000000,27250000000,27767000000,30454000000,32153000000,10007000000,20962000000,26376000000,38058000000,41278000000,61787000000,48068000000,41336000000,46801000000
59,Other Liabilities,- -,- -,- -,388909994,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,720000000,1418000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19198000000,21182000000
61,Total Liabilities,5993886151,7037252548,6284030118,7349337279,10990412670,14847160800,21667855674,44721991285,94880000000,140131000000,133379000000,131072000000,149838000000,154747000000,157418000000,190405000000,256619000000,270821000000,275294000000,262418000000,257729000000,276841000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,458515260,461967526,463929862,465118533,466550998,1397379840,2856697364,2924784878,2920000000,2930000000,2936000000,4908000000,4917000000,4926000000,4932000000,4937000000,4941000000,4861000000,9048000000,12068000000,11427000000,10958000000
64,Retained Earnings,5637379620,11940757083,20173956680,28083178360,37894882494,45152836080,61269496843,74122775641,101000000000,128642000000,165789000000,203250000000,241912000000,259178000000,314952000000,372248000000,425735000000,490930000000,453265000000,534700000000,519907000000,466692000000
65,Other Comprehensive Income/Loss,-3603667935,-3384487145,-4701961557,-63412329,910672494,-3187772760,-1772123759,94180665,-1440000000,-9873000000,3140000000,580000000,- -,- -,- -,- -,- -,- -,- -,- -,24849000000,41154000000
66,Other Total Stockholders Equity,4197510699,9944221154,11463418919,6946683208,7192234615,13362444720,16550664513,24566464890,26920000000,28483000000,24247000000,30942000000,38485000000,19708000000,23615000000,30797000000,35402000000,24513000000,20623000000,21348000000,1275000000,34291000000
67,Total Stockholders Equity,6689737643,18962458618,27399343904,35431567772,46464340602,56724887880,78904734962,101708206074,129400000000,150182000000,196112000000,239680000000,285314000000,283812000000,343499000000,407982000000,466078000000,520304000000,482936000000,568116000000,557458000000,553095000000
68,Total Liabilities And Stockholders Equity,12683623795,25999711167,33683374022,42780905051,57454753271,71572048680,100572590636,146430197359,224280000000,290313000000,329491000000,370752000000,435152000000,438559000000,500917000000,598387000000,722697000000,791125000000,758230000000,830534000000,815187000000,829936000000
69,Minority Interest,0,- -,- -,-0,408806961,524017440,- -,- -,120000000,235000000,437000000,691000000,849000000,1171000000,1387000000,1646000000,2224000000,2391000000,2410000000,2637000000,1875000000,1498000000
70,Total Liabilities & Equity,12683623795,25999711167,33683374022,42780905051,57863560232,72096066120,100572590636,146430197359,224400000000,290548000000,329928000000,371443000000,436001000000,439730000000,502304000000,600033000000,724921000000,793516000000,760640000000,833171000000,817062000000,831434000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123799/000095013404007736/0000950134-04-007736-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013405011880/0000950134-05-011880-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013406011989/0000950134-06-011989-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013407012614/0000950134-07-012614-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013408010518/0000950134-08-010518-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013409010959/0000950134-09-010959-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095012310105019/0000950123-10-105019-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095012311059514/0000950123-11-059514-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312512236425/0001193125-12-236425-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312513256124/0001193125-13-256124-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312514204249/0001193125-14-204249-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312515200299/0001193125-15-200299-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312516604459/0001193125-16-604459-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312517192940/0001193125-17-192940-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312518206741/0001193125-18-206741-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312519169709/0001193125-19-169709-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3553187588,6415212017,8312389363,8099100393,10013709803,15851527560,20306123160,29237912288,32240000000,34415000000,46116000000,52977000000,55730000000,66359000000,77967000000,86528000000,88922000000,84895000000,80081000000,90031000000,97218000000,107946000000
74,Depreciation and Amortization,835982489,1117298400,1663686302,1750047581,2329978419,2925764040,3864183363,4319349957,6080000000,8357000000,7831000000,8211000000,10129000000,10835000000,11106000000,12823000000,14967000000,23107000000,21124000000,19474000000,20862000000,27656000000
75,Deferred Income Tax,182620078,16435652,56279697,44454981,-76399136,-87336240,15150165,-28945434,-400000000,-799000000,9294000000,9714000000,13763000000,18349000000,22600000000,24624000000,25305000000,25213000000,22390000000,25242000000,24799000000,30345000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1595000000,1302000000,1092000000,949000000,643000000,513000000,1138000000,1534000000,1742000000,1347000000,1938000000,1262000000,2310000000
77,Change in Working Capital,-386113517,-2581794124,-1533244097,-2617109285,-1489934995,305676840,-3500133801,-4188447473,-12800000000,-338000000,-6485000000,-21378000000,-19482000000,2822000000,-10280000000,-7978000000,-6151000000,4541000000,-936000000,27165000000,-23856000000,22922000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6460000000,- -,-10699000000,-17470000000,-3168000000,-8299000000,-5929000000,-5478000000,3346000000,-9735000000,1392000000,-3327000000,12848000000
79,Inventory,228646276,-524544059,64806923,-47345977,11323211,-349344960,-295873818,-1062772644,-1840000000,-1513000000,-218000000,-1781000000,-862000000,-47000000,970000000,-2556000000,-541000000,1475000000,545000000,-566000000,2085000000,803000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3707000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-1137970592,- -,- -,- -,-596203568,420788844,-9560000000,-4276000000,-4051000000,-14738000000,-2461000000,713000000,2420000000,3784000000,1282000000,-2945000000,1733000000,7824000000,-6572000000,3704000000
82,Other Non-Cash Items,-703144068,79012184,-453940825,386824686,61301521,- -,-457624114,892988234,-520000000,-6398000000,-7060000000,-10179000000,-21013000000,-28586000000,-34009000000,-38873000000,-45704000000,-46725000000,-39773000000,-47534000000,-19642000000,-43629000000
83,Cash Provided by Operating Activities,3482532570,5046164130,8045170440,7663318356,10838655612,18995632200,20227698775,30232857572,24600000000,36832000000,50998000000,40437000000,40076000000,70422000000,67897000000,78262000000,78873000000,92773000000,84233000000,116316000000,100643000000,147550000000
84,CAPEX,-1318515215,-2797366554,-2479620085,-2529289370,-4143644448,-6593886120,-7499331873,-11418757623,-14680000000,-16592000000,-12631000000,-12211000000,-12977000000,-10616000000,-8913000000,-12661000000,-13951000000,-20853000000,-21870000000,-22781000000,-23497000000,-19577000000
85,Acquisitions Net,- -,-1076744710,- -,-5441090630,-459262495,-611353680,-2781837723,-7818723297,-32760000000,-6679000000,-4399000000,-140000000,-7920000000,-11480000000,-2985000000,-11574000000,-39373000000,-29236000000,-6652000000,26103000000,-2544000000,-9873000000
86,Purchases of Investments,-833973756,-2454499303,-9738726400,-5494076417,-18586378323,-70698686280,-58811159710,-124018655212,-232040000000,-342717000000,-351641000000,-474476000000,-353149000000,-504618000000,-479706000000,-590482000000,-934958000000,-813439000000,-782475000000,-930614000000,-1178247000000,-1172251000000
87,Sales/Maturities of Investments,96026196,172923543,7183579449,10392039027,8440217321,66375542400,52136175072,121830034800,250520000000,341687000000,325770000000,456894000000,346826000000,467485000000,484418000000,575082000000,830647000000,729755000000,830448000000,954954000000,1212826000000,1189059000000
88,Other Investing Activites,-738122232,307481712,306833982,1941137648,369978326,43668120,-373852611,-1296064,480000000,-3392000000,9086000000,483000000,6187000000,1656000000,4412000000,13819000000,19479000000,17490000000,16127000000,22464000000,25474000000,20381000000
89,Cash Used for Investing Activites,-2794585008,-5848205312,-4727933053,-1131279742,-14379089620,-11484715560,-17330006845,-21427397397,-28480000000,-27693000000,-33815000000,-17239000000,-8056000000,-57573000000,-2774000000,-25816000000,-138156000000,-116283000000,35578000000,50126000000,34012000000,7739000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-460000000,-55661000000,-82718000000,-71029000000,-96911000000,-117550000000,-98419000000,-137298000000,-112803000000,-155254000000,-104039000000,-139164000000,-105866000000
91,Common Stock Issued,502532725,5890062680,35424536,106824656,386420843,2838427800,4775421253,8915625632,720000000,436000000,66000000,25000000,22000000,9000000,6000000,1005000000,4000000,- -,24000000,4000000,14000000,6000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000000,-110312000000,- -,-105311000000,-116644000000
93,Dividends Paid,-75633184,-74635552,-128103309,-232464480,-262950121,-7554584760,-4004990783,-8894888605,-5400000000,-6829000000,-6823000000,-15585000000,-17229000000,-17080000000,-23273000000,-29490000000,-35494000000,-8734000000,-5420000000,-5434000000,-6863000000,-5459000000
94,Other Financing Activites,-968471565,-204258369,-1473748417,312796242,433275509,-436681200,-465199196,-5213202234,35480000000,6897000000,61817000000,71900000000,70839000000,107261000000,105845000000,118381000000,171201000000,123785000000,140984000000,60100000000,100326000000,99123000000
95,Cash Used/Provided by Financing Activities,-541572024,5611168759,-1566427190,187156418,556746230,-5152838160,305231274,-5192465207,30800000000,44000000,-601000000,-26378000000,-17397000000,-6721000000,-34972000000,-8523000000,-1587000000,-22752000000,-129978000000,-49369000000,-150998000000,-128840000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-8633406,- -,-10248641,-50114482,-40000000,663000000,-1258000000,523000000,1680000000,789000000,-69000000,589000000,549000000,-1412000000,375000000,526000000,1922000000,-890000000
97,Net Change In Cash,146419206,4809127577,1750810196,6719195032,-2992364567,2358078480,3192674562,3562880486,26840000000,9847000000,15324000000,-2657000000,16303000000,6917000000,30082000000,44512000000,-60321000000,-47674000000,-9792000000,117599000000,-14421000000,25559000000
98,Cash at the End of Period,783930090,5587888799,7361627944,14096399613,3304295168,5676855600,8873540993,12441784299,39240000000,49117000000,63556000000,60899000000,77202000000,84119000000,114201000000,158713000000,98392000000,50718000000,40926000000,158525000000,144104000000,169663000000
99,Cash at the Beginning of Period,637510884,778761222,5610817747,7377204581,6296659735,3318777120,5680866432,8878903813,12400000000,39270000000,48232000000,63556000000,60899000000,77202000000,84119000000,114201000000,158713000000,98392000000,50718000000,40926000000,158525000000,144104000000
100,Free Cash Flow,2164017355,2248797576,5565550355,5134028985,6695011164,12401746080,12728366902,18814099949,9920000000,20240000000,38367000000,28226000000,27099000000,59806000000,58984000000,65601000000,64922000000,71920000000,62363000000,93535000000,77146000000,127973000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123799/000095013404007736/0000950134-04-007736-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013405011880/0000950134-05-011880-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013406011989/0000950134-06-011989-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013407012614/0000950134-07-012614-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013408010518/0000950134-08-010518-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095013409010959/0000950134-09-010959-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095012310105019/0000950123-10-105019-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000095012311059514/0000950123-11-059514-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312512236425/0001193125-12-236425-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312513256124/0001193125-13-256124-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312514204249/0001193125-14-204249-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312515200299/0001193125-15-200299-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312516604459/0001193125-16-604459-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312517192940/0001193125-17-192940-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312518206741/0001193125-18-206741-index.htm,https://www.sec.gov/Archives/edgar/data/1123799/000119312519169709/0001193125-19-169709-index.htm,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
