,https://roic.ai/company/KOS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,100415000,673092000,515164000,598108000,554831000,275004000,194057000,233412000,173515000,224502000,1183253000,131620000
34,Net Receivables,- -,238953000,310155000,134216000,21326000,163544000,138032000,143337000,160961000,140006000,174293000,78813000,177526000
35,Inventory,- -,37674000,27101000,33281000,47424000,55354000,85173000,74380000,71861000,84827000,114412000,128972000,- -
36,Other Current Assets,- -,182878000,102133000,67457000,68103000,236747000,235939000,63413000,67368000,111352000,53350000,-990747000,232806000
37,Total Current Assets,- -,559920000,1112481000,750118000,734961000,1010476000,734148000,475187000,533602000,509700000,566557000,400291000,541952000
38,PP&E,- -,998000000,1377041000,1525762000,1522962000,1784846000,2322839000,2708892000,2317828000,3459701000,3642332000,3320913000,4183987000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,236514000,51896000,- -,- -,- -
43,Tax Assets,- -,- -,3765000,10145000,16292000,9182000,33209000,37827000,22517000,14004000,32779000,- -,- -
44,Other Non-Current Assets,- -,133615000,58647000,80098000,71611000,168262000,112854000,119559000,82142000,52888000,75564000,146389000,214712000
45,Total Non-Current Assets,- -,1131615000,1439453000,1616005000,1610865000,1962290000,2468902000,2866278000,2659001000,3578489000,3750675000,3467302000,4398699000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1691535000,2551934000,2366123000,2345826000,2972766000,3203050000,3341465000,3192603000,4088189000,4317232000,3867593000,4940651000
48,Accounts Payable,- -,163495000,278006000,128855000,94172000,184400000,295689000,220627000,141787000,176540000,149483000,221430000,184403000
49,Short-Term Debt,- -,245000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,30000000
50,Tax Payable,- -,- -,5066000,15316000,35567000,29548000,6482000,4493000,20693000,13571000,106941000,40159000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,73562000,61601000,61398000,125152000,264371000,161052000,149398000,286943000,207768000,389618000,231269000,316549000
53,Total Current Liabilities,- -,482057000,339607000,190253000,219324000,448771000,456741000,370025000,428730000,384308000,539101000,460199000,530952000
54,Long-Term Debt,- -,800000000,1110000000,1000000000,900000000,794269000,860878000,1321900000,1282800000,2120547000,2008063000,2103900000,2590495000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,12513000,47608000,104137000,170226000,337961000,502189000,482221000,476548000,477179000,653221000,573619000,711038000
57,Other Non-Current Liabilities,- -,32870000,33993000,42827000,63941000,52806000,57729000,86120000,107413000,164677000,275145000,289721000,578929000
58,Total Non-Current Liabilities,- -,845383000,1191601000,1146964000,1134167000,1185036000,1420796000,1890241000,1866761000,2762403000,2936429000,2967240000,3880462000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1327440000,1531208000,1337217000,1353491000,1633807000,1877537000,2260266000,2295491000,3146711000,3475530000,3427439000,4411414000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3742000,3905000,3914000,3920000,3924000,3939000,3959000,3986000,4429000,4458000,4497000,- -
64,Retained Earnings,- -,-615515000,-616148000,-683176000,-774220000,-494850000,-564686000,-850410000,-1073202000,-1167193000,-1222970000,-1634556000,- -
65,Other Comprehensive Income/Loss,- -,588000,3522000,3685000,2158000,767000,-884636000,-1019129000,-1267356000,-1588247000,-2137979000,- -,- -
66,Other Total Stockholders Equity,- -,975280000,1629447000,1704483000,1760477000,1829118000,2770896000,2946779000,3233684000,3692489000,4198193000,2070213000,- -
67,Total Stockholders Equity,- -,364095000,1020726000,1028906000,992335000,1338959000,1325513000,1081199000,897112000,941478000,841702000,440154000,529237000
68,Total Liabilities And Stockholders Equity,- -,1691535000,2551934000,2366123000,2345826000,2972766000,3203050000,3341465000,3192603000,4088189000,4317232000,3867593000,4940651000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1691535000,2551934000,2366123000,2345826000,2972766000,3203050000,3341465000,3192603000,4088189000,4317232000,3867593000,4940651000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1509991/000104746912001964/0001047469-12-001964-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000104746913001596/0001047469-13-001596-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000104746914001232/a2218405z10-k.htm,https://www.sec.gov/Archives/edgar/data/1509991/000104746915001041/a2223111z10-k.htm,https://www.sec.gov/Archives/edgar/data/1509991/000155837016003331/0001558370-16-003331-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000155837017001056/0001558370-17-001056-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999118000014/0001509991-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999119000063/0001509991-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999120000052/0001509991-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999121000031/0001509991-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1509991/000150999122000019/0001509991-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-79747000,-245672000,22357000,-67028000,-91044000,279370000,-69836000,-283780000,-222792000,-93991000,-55777000,-411586000,-77836000
74,Depreciation and Amortization,1911000,- -,140469000,- -,- -,- -,- -,- -,- -,- -,- -,495209000,- -
75,Deferred Income Tax,99000,-77614000,56457000,80036000,82380000,216409000,110786000,-23561000,9505000,9145000,-90370000,-42587000,-69174000
76,Stock Based Compensation,3468000,- -,50966000,83423000,69026000,79541000,75057000,40084000,39913000,35230000,32370000,32706000,31651000
77,Change in Working Capital,41825000,77863000,695011000,-213009000,-44228000,46068000,-284298000,-172245000,-290000,20520000,-97936000,-87364000,-67378000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-14465000,-12699000,4176000,-7385000,-16763000,-8100000,-29855000,-4107000,1653000,8848000,-28970000,-23167000,- -
80,Accounts Payable,80883000,65800000,89214000,-126401000,-34683000,90228000,111289000,-75487000,-94434000,7440000,-83921000,71947000,- -
81,Other Working Capital,- -,77863000,772874000,559865000,515637000,561705000,277407000,105162000,104872000,125392000,27456000,-59908000,- -
82,Other Non-Cash Items,4853000,53623000,-600351000,488108000,506270000,-177802000,609070000,491579000,410281000,289587000,839863000,209767000,557081000
83,Cash Provided by Operating Activities,-27591000,-191800000,364909000,371530000,522404000,443586000,440779000,52077000,236617000,260491000,628150000,196145000,374344000
84,CAPEX,-418315000,-446164000,-483246000,-378984000,-322383000,-426918000,-825125000,-537973000,-143353000,-1183505000,-352013000,-379593000,-937998000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-231280000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,184664000,- -,- -,- -
88,Other Investing Activites,-82078000,-143811000,98106000,-23678000,-1750000,79239000,24885000,210000,222068000,13703000,-11918000,34006000,-35379000
89,Cash Used for Investing Activites,-500393000,-589975000,-385140000,-402662000,-324133000,-347679000,-800240000,-537763000,-152565000,-985138000,-363931000,-345587000,-973377000
90,Debt Repayment,- -,- -,-1438000000,-110000000,-100000000,-400000000,-200000000,- -,-250000000,-325000000,-960338000,-250000000,-1050000000
91,Common Stock Issued,325344000,- -,- -,- -,- -,294000000,206774000,- -,- -,- -,- -,- -,136006000
92,Common Stock Repurchased,- -,- -,- -,-8378000,-13101000,-11096000,-18110000,-1981000,-2194000,-206051000,-1983000,-4947000,-1100000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72599000,-19271000,-512000
94,Other Financing Activites,194351000,742685000,2030908000,-8418000,-2226000,-22088000,90970000,450000000,199933000,1136328000,814431000,344078000,1539771000
95,Cash Used/Provided by Financing Activities,519695000,742685000,592908000,-126796000,-115327000,-139184000,79634000,448019000,-52261000,605277000,-220489000,69860000,624165000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-8289000,-39090000,572677000,-157928000,82944000,-43277000,-279827000,-37667000,31791000,-119370000,43730000,-79582000,25132000
98,Cash at the End of Period,139505000,100415000,673092000,515164000,598108000,554831000,275004000,273195000,304986000,185616000,229346000,149764000,174896000
99,Cash at the Beginning of Period,147794000,139505000,100415000,673092000,515164000,598108000,554831000,310862000,273195000,304986000,185616000,229346000,149764000
100,Free Cash Flow,-445906000,-637964000,-118337000,-7454000,200021000,16668000,-384346000,-485896000,93264000,-923014000,276137000,-183448000,-563654000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1509991/000104746912001964/0001047469-12-001964-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000104746913001596/0001047469-13-001596-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000104746914001232/a2218405z10-k.htm,https://www.sec.gov/Archives/edgar/data/1509991/000104746915001041/a2223111z10-k.htm,https://www.sec.gov/Archives/edgar/data/1509991/000155837016003331/0001558370-16-003331-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000155837017001056/0001558370-17-001056-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999118000014/0001509991-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999119000063/0001509991-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999120000052/0001509991-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999121000031/0001509991-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1509991/000150999122000019/0001509991-22-000019-index.htm
102,false,,,,,,,,,,,,,
