,https://roic.ai/company/STLA,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2007335148,- -,17197284069,17144312586,9976296756,11112793570,21143160675,14678797698,15689956520,26214000000,27958000000,26693000000,20914000000,18632000000,5305000000,6040000000,6684000000,6820000000,6276000000,4050000000,6463000000,8669000000,8852000000,9424000000,10440000000,10842000000,9720000000,10369000000,10067000000,8480000000,13617000000
11,COGS and Expenses,35117980261,- -,30333751007,34075137744,38611472316,41768387950,46833862257,47460078792,50593848900,56190000000,57596000000,56507000000,49074000000,46531000000,44929000000,49928000000,55608000000,56243000000,49537000000,34768000000,57167000000,80143000000,83422000000,92570000000,108060000000,106137000000,103695000000,105380000000,103231000000,84442000000,133560000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1344000000,- -,1301000000,- -,- -,684000000,587000000,256000000,204000000,229000000,365000000,226000000,182000000,249000000,261000000,117000000,188000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2650000000,3132000000,3046000000,2489000000,1944000000,1695000000,- -,1580000000,947000000,753000000,1094000000,1588000000,1897000000,2168000000,2276000000,2731000000,1569000000,1250000000,957000000,937000000,842000000,484000000
14,Depreciation and Amortization,2007335148,- -,1777005188,1923425502,2068867257,2506022930,2624724648,2307468492,2355282300,3052000000,2880000000,2614000000,2269000000,2168000000,2590000000,2969000000,2738000000,2901000000,2673000000,2186000000,3358000000,4134000000,4574000000,4897000000,5414000000,5956000000,5890000000,5507000000,5445000000,5143000000,5871000000
15,EBITDA,3002186824,308510640,1024099167,2739700962,3533928192,4318651250,4475540979,3453699330,3226836130,6838000000,5861000000,1158000000,3508000000,2497000000,6460000000,4524000000,6990000000,5926000000,3069000000,4284000000,6814000000,7004000000,6703000000,8285000000,8645000000,10620000000,13282000000,10850000000,14325000000,7346000000,22466000000
16,EBITDA ratio,0.0816,0.0092,0.0343,0.0780,0.0882,0.1054,0.0921,0.0716,0.0666,0.1187,0.1018,0.0209,0.0726,0.0537,0.1388,0.0873,0.1194,0.0998,0.0613,0.1194,0.1144,0.0834,0.0772,0.0862,0.0782,0.0957,0.1197,0.0983,0.1324,0.0848,0.1504
17,Operating Income,1661647351,33561124740,-467642378,1027234962,1462097277,-797042240,1783907307,745395372,-2155530510,1413000000,-21000000,-1080000000,-728000000,-43000000,1615000000,1904000000,2921000000,3137000000,565000000,1112000000,2392000000,3814000000,3394000000,3520000000,2535000000,4881000000,7239000000,5032000000,4956000000,2234000000,15126000000
18,Operating Income ratio,0.0452,1.0000,-0.0157,0.0293,0.0365,-0.0195,0.0367,0.0155,-0.0445,0.0245,-0.0004,-0.0195,-0.0151,-0.0009,0.0347,0.0367,0.0499,0.0528,0.0113,0.0310,0.0402,0.0454,0.0391,0.0366,0.0229,0.0440,0.0653,0.0456,0.0458,0.0258,0.1012
19,Total Other Income Expenses (Gains),-666795675,- -,-285263643,-210959502,2963658,2609670560,66909024,400835466,3027084340,-363000000,-476000000,-3737000000,-570000000,-1534000000,649000000,-263000000,-148000000,-950000000,-932000000,-406000000,-207000000,-1778000000,-2386000000,-2344000000,-2276000000,-1775000000,-1078000000,-924000000,-935000000,-878000000,-734000000
20,Income Before Tax,994851676,- -,-752906021,816275460,1465060935,1812628320,1850816331,1146230838,871553830,1050000000,-497000000,-4817000000,-1298000000,-1577000000,2264000000,1641000000,2773000000,2187000000,-367000000,706000000,2185000000,2036000000,1008000000,1176000000,259000000,3106000000,6161000000,4108000000,4021000000,1356000000,14392000000
21,Income Before Tax Ratio,0.0270,- -,-0.0252,0.0233,0.0366,0.0442,0.0381,0.0238,0.0180,0.0182,-0.0086,-0.0869,-0.0268,-0.0339,0.0486,0.0317,0.0474,0.0368,-0.0073,0.0197,0.0367,0.0243,0.0116,0.0122,0.0023,0.0280,0.0555,0.0372,0.0372,0.0156,0.0963
22,Income Tax expense (Gain),269557288,- -,178704274,308406972,408438867,558411650,607181211,525664890,517764590,472000000,294000000,-554000000,650000000,-29000000,844000000,490000000,719000000,466000000,481000000,484000000,534000000,625000000,-943000000,544000000,166000000,1292000000,2651000000,778000000,1321000000,1332000000,1911000000
23,Net Income,725294388,308510640,-931610295,507868488,1056622068,1254216670,1243635120,620565948,353789240,664000000,-445000000,-3948000000,-1900000000,-1586000000,1331000000,1065000000,1953000000,1612000000,-838000000,520000000,1334000000,348000000,904000000,568000000,334000000,1803000000,3491000000,3608000000,6622000000,29000000,14200000000
24,Net Income ratio,0.0197,0.0092,-0.0312,0.0145,0.0264,0.0306,0.0256,0.0129,0.0073,0.0115,-0.0077,-0.0712,-0.0393,-0.0341,0.0286,0.0205,0.0334,0.0271,-0.0167,0.0145,0.0224,0.0041,0.0104,0.0059,0.0030,0.0162,0.0315,0.0327,0.0612,0.0003,0.0950
25,EPS,2.54,1.26,-2.17,0.95,0.39,3.41,3.85,1.12,0.62,1.21,-0.84,-6.66,-2.41,-1.62,1.25,0.79,1.54,1.29,-0.68,0.41,1.07,0.29,0.74,0.47,0.22,1.19,2.27,2.33,4.23,0.02,4.64
26,EPS Diluted,2.54,1.26,-2.17,0.95,0.39,3.41,3.85,1.12,0.62,1.21,-0.84,-6.66,-2.41,-1.62,1.25,0.79,1.53,1.28,-0.68,0.41,1.06,0.28,0.74,0.46,0.22,1.18,2.24,2.30,4.22,0.02,4.51
27,Weighted Average Shares Outstanding,285529412,245263158,429545455,536896552,2709600000,368160377,322641509,555572519,546000000,554423749,542000000,566000000,753000000,979000000,1064381552,1271232000,1262380000,1239880000,1236884000,1236884000,1237212000,1215828000,1215921000,1222346000,1510555000,1513019000,1535988000,1548439000,1564114000,1572020000,3059284000
28,Weighted Average Shares Outstanding Diluted,285529412,245263158,429545455,536896552,2709600000,368160377,322641509,555572519,546000000,554423749,542000000,568165355,753000000,979145978,1064381552,1272812000,1271426000,1244974000,1236884000,1242820000,1246889000,1225868000,1228926000,1234097000,1514007000,1526376000,1556306000,1567839000,1570850000,1577313000,3151432000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6631497782,- -,1523557000,1220662074,1736235642,1884940620,2093725179,1670872536,1907083010,1997000000,2133000000,3489000000,3211000000,3164000000,6417000000,7736000000,6639000000,3683000000,12226000000,11967000000,17526000000,17657000000,19439000000,22840000000,20662000000,17318000000,12638000000,12450000000,15014000000,23846000000,49629000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,7274127726,- -,6016000000,8403000000,7579000000,3877000000,2217000000,1041000000,637000000,1016000000,967000000,46000000,735000000,789000000,807000000,282000000,246000000,530000000,290000000,222000000,332000000,577000000,350000000,1783000000
33,Cash and Short-Term Investments,6631497782,- -,1523557000,1220662074,1736235642,1884940620,2093725179,8945000262,1907083010,8013000000,10536000000,11068000000,7088000000,5381000000,7458000000,8373000000,7655000000,4650000000,12272000000,12702000000,18315000000,18464000000,19721000000,23086000000,21192000000,17608000000,12860000000,12782000000,15591000000,24196000000,51412000000
34,Net Receivables,8019628162,- -,8252749785,7680491556,8178604206,8728898080,9048809133,22402703574,10653428800,33541000000,35274000000,32285000000,21056000000,17835000000,24298000000,19773000000,20096000000,18296000000,17018000000,5478000000,6962000000,6665000000,6368000000,9496000000,8157000000,7868000000,8479000000,7607000000,7000000000,5634000000,8323000000
35,Inventory,6167243628,- -,8952869037,7302770484,8550621276,9800727060,10700443845,9643499334,12212685310,14379000000,15510000000,15277000000,15360000000,15617000000,7881000000,8447000000,9990000000,11346000000,8748000000,4443000000,9123000000,9295000000,10230000000,12467000000,11351000000,12121000000,12922000000,10694000000,9722000000,8094000000,11361000000
36,Other Current Assets,9494423302,- -,10381875882,12358214754,11807525436,13907262230,18137163681,- -,19699899170,27000000,37000000,22000000,32000000,26000000,151000000,332000000,83000000,2637000000,3631000000,33517000000,2154000000,2218000000,2844000000,525000000,6389000000,2125000000,2013000000,7209000000,2619000000,2129000000,3699000000
37,Total Current Assets,30312792874,- -,29111051704,28562138868,30272986560,34321827990,39980141838,40991203170,44473096290,55960000000,61357000000,58652000000,43536000000,38859000000,39788000000,36925000000,37824000000,36929000000,41669000000,56140000000,36554000000,36642000000,39163000000,45574000000,47089000000,39722000000,36274000000,38292000000,34932000000,40053000000,74795000000
38,PP&E,12752495301,- -,15826262011,16261250952,16714953129,16455869070,15906165912,15038364420,15931447490,20827000000,17254000000,15053000000,11472000000,11264000000,12260000000,10787000000,11642000000,12607000000,12945000000,9601000000,20830000000,22061000000,22843000000,26408000000,27454000000,30431000000,29014000000,26307000000,28608000000,27582000000,35488000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10230000000,9839000000,11059000000,11497000000,11817000000,10396000000,10834000000,11065000000,10131000000,14375000000
40,Intangible Assets,517597808,- -,569541455,465627660,430120365,649203760,710544744,859396014,1810685380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9054000000,9670000000,11788000000,13239000000,14827000000,14536000000,14885000000,15639000000,15443000000,32181000000
41,Intangible Assets,517597808,- -,569541455,465627660,430120365,649203760,710544744,859396014,1810685380,6457000000,6535000000,5200000000,3724000000,3322000000,5943000000,6421000000,6523000000,7048000000,7199000000,4350000000,18200000000,19284000000,19509000000,22847000000,24736000000,26644000000,24932000000,25719000000,26704000000,25574000000,46556000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13337000000,3950000000,3779000000,2333000000,2280000000,2214000000,2177000000,- -,1653000000,2660000000,2290000000,2260000000,2020000000,2242000000,2047000000,2135000000,2037000000,2060000000,2129000000,6467000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2104000000,1860000000,1892000000,2386000000,2580000000,1678000000,1690000000,1736000000,2893000000,3547000000,3343000000,3699000000,2004000000,1814000000,1689000000,1096000000,1927000000
44,Other Non-Current Assets,8690532942,- -,3037703795,2886320670,2717986350,5335844270,6267175551,8024724324,17717288120,12510000000,15602000000,278000000,29000000,19000000,26000000,30000000,41000000,625000000,2842000000,20000000,97000000,106000000,106000000,114000000,176000000,1800000000,1940000000,2704000000,4051000000,3296000000,6533000000
45,Total Non-Current Assets,21960626051,- -,19433507261,19613199282,19863059844,22440917100,22883886207,23922484758,35459420990,39794000000,39391000000,33868000000,19175000000,18384000000,22666000000,21378000000,22312000000,24843000000,25566000000,17302000000,43477000000,45477000000,47611000000,54936000000,57951000000,64621000000,60025000000,58581000000,63112000000,59677000000,96971000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,52273418925,- -,48544558965,48175338150,50136046404,56762745090,62864028045,64913687928,79932517280,95754000000,100748000000,92520000000,62711000000,57243000000,62454000000,58303000000,60136000000,61772000000,67235000000,73442000000,80031000000,82119000000,86774000000,100510000000,105040000000,104343000000,96299000000,96873000000,98044000000,99730000000,171766000000
48,Accounts Payable,9795209788,- -,6770418445,6733171674,7343008632,7672254683,9306081603,8322899526,11077777130,11066000000,12112000000,12056000000,11733000000,10949000000,11777000000,12603000000,14725000000,13258000000,12295000000,9345000000,16418000000,16736000000,17447000000,20106000000,21692000000,22891000000,22129000000,19229000000,21616000000,20576000000,28181000000
49,Short-Term Debt,17126002530,- -,20407956394,12385777302,13057487193,16166860911,13810895280,9544931838,- -,15369000000,13117000000,7308000000,5720000000,9024000000,14761000000,7617000000,7018000000,9569000000,10611000000,10694000000,6073000000,5811000000,7138000000,7710000000,7368000000,7937000000,7245000000,5861000000,4876000000,4081000000,10958000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279000000,833000000,- -,- -,311000000,- -,331000000,377000000,181000000,230000000,1464000000,1616000000,1841000000,1577000000,829000000,1108000000,795000000,623000000,929000000,2171000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3411000000,3978000000,3603000000,2877000000,2556000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661000000,704000000,638000000,994000000
52,Other Current Liabilities,- -,- -,- -,- -,-77991,- -,2498633865,5098224672,- -,9755000000,10586000000,8869000000,6408000000,5884000000,6400000000,6602000000,7426000000,7720000000,6714000000,25773000000,8197000000,7834000000,9066000000,11589000000,14559000000,9324000000,8886000000,10240000000,7180000000,6487000000,24724000000
53,Total Current Liabilities,26921212318,- -,27178374839,19118948976,20400417834,23839115594,25615610748,22966056036,11077777130,39601000000,39793000000,31836000000,26738000000,28413000000,32938000000,26822000000,29169000000,30547000000,29620000000,45812000000,30688000000,30381000000,33651000000,39405000000,43619000000,40152000000,38260000000,35991000000,34376000000,31782000000,64857000000
54,Long-Term Debt,- -,- -,- -,6053485764,6752460780,6947926478,7080174738,7794079794,24847731370,14486000000,17826000000,20367000000,15264000000,8772000000,11000000000,12571000000,10933000000,11810000000,17916000000,10110000000,20699000000,22078000000,22764000000,26014000000,20418000000,16111000000,10726000000,8667000000,8025000000,17036000000,22624000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3332000000,4078000000,5707000000,6272000000,7361000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1521000000,1530000000,1400000000,2188000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,135363501,- -,- -,- -,- -,- -,- -,- -,405000000,263000000,193000000,170000000,152000000,135000000,760000000,802000000,278000000,233000000,156000000,194000000,388000000,937000000,1628000000,1845000000,4374000000
57,Other Non-Current Liabilities,12074268843,- -,10362517746,10960190130,10371009207,11610462888,14627894463,19050811848,29229351480,23127000000,25445000000,25932000000,6943000000,6940000000,8698000000,8611000000,8562000000,8144000000,8432000000,4924000000,15624000000,15685000000,17497000000,21120000000,24592000000,28533000000,25938000000,24854000000,23810000000,21806000000,21416000000
58,Total Non-Current Liabilities,12074268843,- -,10362517746,17013675894,17123469987,18558389366,21843432702,26844891642,54077082850,40945000000,47349000000,52006000000,28479000000,23073000000,20103000000,21445000000,19688000000,20124000000,26500000000,15169000000,37083000000,38565000000,40539000000,47367000000,45166000000,44838000000,37052000000,35979000000,34993000000,42087000000,50602000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1640000000,1693000000,2486000000
61,Total Liabilities,38995481161,- -,37540892585,36132624870,37523887821,42397504960,47459043450,49810947678,65154859980,80546000000,87142000000,83842000000,55217000000,51486000000,53041000000,48267000000,48857000000,50671000000,56120000000,60981000000,67771000000,68946000000,74190000000,86772000000,88785000000,84990000000,75312000000,71970000000,69369000000,73869000000,115459000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,2840295726,2754785880,2753000000,2753000000,3082000000,4918000000,4918000000,- -,- -,- -,6377000000,- -,- -,- -,- -,- -,- -,17000000,19000000,19000000,19000000,20000000,20000000,31000000
64,Retained Earnings,7974054452,- -,5901005124,4941361416,5080645704,6095123420,6756993243,7817357412,7805226660,8222000000,6840000000,1320000000,905000000,-292000000,- -,- -,- -,4661000000,- -,- -,- -,- -,- -,- -,-1117000000,- -,- -,- -,- -,- -,52776000000
65,Other Comprehensive Income/Loss,-12651635451,- -,-14269724483,-14507114946,-16714953129,-16964786968,-18086800095,-18467251344,-18934680870,- -,- -,912000000,691000000,473000000,-22381000000,-22432000000,-23140000000,-709000000,-25188000000,-21052000000,-22588000000,-24712000000,-26709000000,-30482000000,16858000000,19149000000,20800000000,24683000000,28517000000,25717000000,3100000000
66,Other Total Stockholders Equity,15207199917,- -,17326338309,19622821710,22285850259,23202928048,24483611880,20792710962,21258161890,2345000000,2577000000,2327000000,279000000,- -,- -,- -,- -,25000000,- -,- -,- -,- -,- -,- -,334000000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,10529618918,- -,8957618950,10057068180,10651542834,12333264500,13153805028,12983112756,12883493560,13320000000,12170000000,7641000000,6793000000,5099000000,8681000000,9362000000,10606000000,10354000000,10301000000,11544000000,8727000000,9059000000,8326000000,13425000000,16092000000,19168000000,20819000000,24702000000,28537000000,25737000000,55907000000
68,Total Liabilities And Stockholders Equity,49525100079,- -,46498511535,46189693050,48175430655,54730769460,60612848478,62794060434,78038353540,93866000000,99312000000,91483000000,62010000000,56585000000,61722000000,57629000000,59463000000,61025000000,66421000000,72525000000,76498000000,78005000000,82516000000,100197000000,104877000000,104158000000,96131000000,96672000000,97906000000,99606000000,171366000000
69,Minority Interest,2748318846,- -,2046047430,1985645100,1960615749,2031975630,2251179567,2119627494,1894163740,1888000000,1436000000,1037000000,701000000,658000000,732000000,674000000,673000000,747000000,814000000,917000000,3533000000,4114000000,4258000000,313000000,163000000,185000000,168000000,201000000,138000000,124000000,400000000
70,Total Liabilities & Equity,52273418925,- -,48544558965,48175338150,50136046404,56762745090,62864028045,64913687928,79932517280,95754000000,100748000000,92520000000,62711000000,57243000000,62454000000,58303000000,60136000000,61772000000,67235000000,73442000000,80031000000,82119000000,86774000000,100510000000,105040000000,104343000000,96299000000,96873000000,98044000000,99730000000,171766000000
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,725294388,- -,-931610295,507868488,1056622068,1254216670,1243635120,620565948,353789240,664000000,-445000000,-3948000000,-1900000000,-1586000000,1331000000,1065000000,1953000000,1612000000,-838000000,520000000,1334000000,348000000,904000000,568000000,334000000,1803000000,3491000000,3608000000,6622000000,29000000,14200000000
74,Depreciation and Amortization,2007335148,- -,1777005188,1923425502,2068867257,2506022930,2624724648,2307468492,2355282300,3052000000,2880000000,2614000000,2269000000,2168000000,2590000000,2969000000,2738000000,2901000000,2673000000,2186000000,3358000000,4134000000,4574000000,4897000000,5414000000,5956000000,5890000000,5507000000,5445000000,5143000000,5871000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-187755732,- -,- -,- -,- -,- -,- -,- -,- -,- -,-490000000,-179000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-654000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,684203338,- -,511018942,707330004,-591951690,128555200,881362755,111442662,1084224890,3636000000,1723000000,1062000000,-996000000,-965000000,1220000000,997000000,1471000000,-3786000000,2562000000,1029000000,1187000000,658000000,427000000,2203000000,2775000000,2590000000,1142000000,422000000,924000000,2770000000,1212000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,572000000,583000000,423000000,125000000,-259000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000000,-206000000,19000000,100000000,366000000,246000000
79,Inventory,743523872,- -,357946274,-899126196,-1003432206,249075700,-630363006,157827366,-580373360,-973000000,-164000000,1325000000,-389000000,464000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-471000000,-1666000000,1399000000,1017000000,983000000,2201000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,492000000,1605000000,-104000000,6000000,-531000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776000000,1086000000,-1240000000,2020000000,565000000,-1273000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,406463022,-90434890,3545000000,-910000000,-766000000,-124000000,-357000000,1220000000,997000000,1628000000,-3786000000,- -,1228000000,1206000000,709000000,335000000,2025000000,2769000000,2203000000,1939000000,86000000,-2148000000,1105000000,38000000
82,Other Non-Cash Items,573780480,- -,84064498,412785852,498440481,-38566560,1045089864,1677523284,2018387490,-2580000000,-1723000000,1325000000,-1320000000,25000000,-1425000000,-413000000,-253000000,147000000,383000000,2375000000,-684000000,1304000000,1684000000,501000000,1228000000,245000000,-138000000,411000000,-2529000000,1241000000,-1983000000
83,Cash Provided by Operating Activities,3990613354,- -,1440478333,3551409846,3031978116,3850228240,5794812387,4529244654,5811683920,4772000000,2435000000,1053000000,-1947000000,-358000000,3716000000,4618000000,5909000000,384000000,4601000000,6110000000,5195000000,6444000000,7589000000,8169000000,9751000000,10594000000,10385000000,9948000000,10462000000,9183000000,18646000000
84,CAPEX,-2723514794,- -,-3479266462,-2286549840,-2781003078,-2812145000,-2388997611,-2414733120,-2714040490,-3757000000,-3911000000,-3289000000,-2499000000,-2349000000,-3052000000,-3789000000,-3985000000,-5263000000,-3386000000,-2864000000,-5528000000,-7534000000,-7440000000,-8121000000,-8819000000,-8815000000,-8666000000,-5392000000,-8385000000,-8600000000,-10113000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21949000000
86,Purchases of Investments,-190737183,- -,-403921847,-1970640636,-453283692,-178370340,- -,-1241643492,-1782859260,-6761000000,-1524000000,-563000000,-212000000,-239000000,-226000000,- -,-172000000,-86000000,- -,- -,-142000000,-88000000,-222000000,- -,-256000000,- -,- -,-75000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,713203918,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,1427000000,476000000,176000000,- -,11000000,125000000,21000000,5000000,81000000,- -,354000000,179000000,- -,- -,278000000,- -
88,Other Investing Activites,-1717680601,- -,1657898879,-319007952,813992067,-1295193640,-4791449754,-1725613308,-8178891700,-1400000000,1945000000,5430000000,5120000000,5396000000,2670000000,972000000,-920000000,-1137000000,827000000,-1100000000,4687000000,-7470000000,-7869000000,-8221000000,-9044000000,-9393000000,-9475000000,-6663000000,-2985000000,-8193000000,-3162000000
89,Cash Used for Investing Activites,-4631932578,- -,-1512085512,-4576198428,-2420294703,-4285708980,-7180447365,-5381989920,-12675791450,-11397000000,-3017000000,2096000000,2897000000,3045000000,-535000000,-1390000000,-4601000000,-6310000000,-2559000000,-3953000000,-858000000,-7537000000,-8086000000,-8140000000,-9300000000,-9039000000,-9296000000,-6738000000,-2985000000,-7915000000,8674000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4161000000,-6057000000,-9392000000,-6178000000,-4704000000,- -,-4505000000,-2182000000,-1361000000,-1883000000,-2211000000,-6343000000,-2978000000,-3549000000,-7988000000,-11653000000,-7582000000,-5674000000,-4702000000,-2643000000,-9671000000,- -
91,Common Stock Issued,- -,- -,1697600982,419961900,- -,- -,- -,- -,- -,2603000000,- -,1215000000,1860000000,20000000,- -,6000000,5000000,15000000,13000000,1000000,41000000,22000000,4000000,- -,876000000,- -,- -,- -,- -,- -,243000000
92,Common Stock Repurchased,-93089906,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-266000000,-77000000,-18000000,- -,- -,- -,-395000000,-238000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-553384377,- -,-122243044,-21609690,-141241701,-271572860,-267090642,-351295920,-349814080,-352000000,-380000000,-228000000,-15000000,-19000000,-29000000,-23000000,-310000000,-546000000,-27000000,-239000000,-181000000,-58000000,-1000000,-15000000,-283000000,-18000000,-1000000,-1000000,-3056000000,- -,-4204000000
94,Other Financing Activites,1297580648,- -,-1115602208,382287648,69879936,725533410,1913088996,775835334,7446468470,8656000000,7421000000,6689000000,3123000000,1969000000,-2839000000,2791000000,507000000,5257000000,8178000000,3360000000,7115000000,4657000000,6734000000,10140000000,7932000000,2473000000,1202000000,1918000000,-128000000,18758000000,2595000000
