,https://roic.ai/company/OPRT,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1538716/000153871620000005/0001538716-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1538716/000153871621000030/0001538716-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1538716/000153871622000019/0001538716-22-000019-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,48349000,70475000,72179000,136187000,131000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,48349000,70475000,72179000,136187000,131000000
34,Net Receivables,- -,16264000,43543000,36913000,33731000,20900000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-36913000,- -,- -
37,Total Current Assets,- -,- -,- -,72179000,- -,- -
38,PP&E,- -,17162000,23195000,73337000,62670000,38400000
39,Goodwill,- -,- -,- -,- -,- -,104000000
40,Intangible Assets,- -,5656000,5492000,18339000,27419000,131200000
41,Intangible Assets,- -,5656000,5492000,18339000,27419000,235200000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2020834000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,2112510000,- -,- -
46,Other Assets,- -,1215041000,1739939000,- -,2009051000,2946600000
47,Total Assets,- -,1215041000,1739939000,2184689000,2009051000,2946600000
48,Accounts Payable,- -,8183000,10645000,9761000,5249000,- -
49,Short-Term Debt,- -,- -,- -,- -,246385000,393900000
50,Tax Payable,- -,- -,- -,- -,6208000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,513235000,- -,- -
53,Total Current Liabilities,- -,- -,- -,522996000,251634000,393900000
54,Long-Term Debt,- -,779662000,1224977000,1488313000,1216993000,1813500000
55,Deferred Revenue,- -,1492000,2208000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,13925000,24868000,10557000,- -
57,Other Non-Current Liabilities,- -,- -,- -,-323069000,- -,- -
58,Total Non-Current Liabilities,- -,781154000,1241110000,1190112000,1227550000,1813500000
59,Other Liabilities,- -,1779468000,2634500000,- -,2518600000,3762400000
60,Capital Lease Obligations,- -,- -,- -,53357000,49684000,47700000
61,Total Liabilities,- -,998314000,1393390000,1713108000,1542684000,2342800000
62,Preferred Stock,- -,267990000,257903000,- -,- -,- -
63,Common Stock,- -,3000,3000,6000,6000,- -
64,Retained Earnings,- -,-70732000,52662000,76679000,36432000,83800000
65,Other Comprehensive Income/Loss,- -,-15349000,-22609000,-30765000,-261000,- -
66,Other Total Stockholders Equity,- -,34815000,58590000,442846000,430190000,- -
67,Total Stockholders Equity,- -,216727000,346549000,488766000,466367000,603800000
68,Total Liabilities And Stockholders Equity,- -,1215041000,1739939000,2201874000,2009051000,2946600000
69,Minority Interest,- -,- -,- -,-17185000,- -,- -
70,Total Liabilities & Equity,- -,1215041000,1739939000,2184689000,2009051000,2946600000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1538716/000153871620000005/0001538716-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1538716/000153871621000030/0001538716-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1538716/000153871622000019/0001538716-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,50858000,-10206000,123394000,61598000,-45082000,47400000
74,Depreciation and Amortization,8378000,10589000,11823000,14101000,20220000,- -
75,Deferred Income Tax,-36367000,8291000,42023000,10419000,-14464000,- -
76,Stock Based Compensation,4503000,5705000,6772000,19183000,19488000,- -
77,Change in Working Capital,7264000,- -,- -,-450817000,450817000,-10400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-450817000,- -,- -
82,Other Non-Cash Items,79266000,124739000,-45638000,563890000,-278110000,126400000
83,Cash Provided by Operating Activities,113902000,139118000,138374000,218374000,152869000,163400000
84,CAPEX,-14198000,-12021000,-17944000,-26223000,-26597000,-26500000
85,Acquisitions Net,- -,- -,- -,- -,- -,-111700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-299103000,-334840000,-456868000,-488805000,21204000,-773100000
89,Cash Used for Investing Activites,-309759000,-343388000,-471427000,-497680000,16379000,-884800000
90,Debt Repayment,-364284000,-561401000,-974876000,-169270000,-644007000,-2022200000
91,Common Stock Issued,- -,- -,- -,60479000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,586197000,792089000,1342949000,395063000,509208000,2767900000
95,Cash Used/Provided by Financing Activities,221913000,230688000,368073000,286272000,-136799000,745700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,26056000,26418000,35020000,6966000,32449000,24400000
98,Cash at the End of Period,67737000,94155000,129175000,136141000,168590000,193000000
99,Cash at the Beginning of Period,41681000,67737000,94155000,129175000,136141000,168600000
100,Free Cash Flow,99704000,127097000,120430000,192151000,126272000,136900000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1538716/000153871620000005/0001538716-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1538716/000153871621000030/0001538716-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1538716/000153871622000019/0001538716-22-000019-index.htm
102,false,,,,,,
