,https://roic.ai/company/GTN-A,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217854000,1247294000,1253560000,1443870000,1548129000,1527962000,1176458000,1158955000,1157602000,1154625000,1153405000,1203837000,1703276000,1857707000,2247020000,2594100000,3340700000,1644000000,6339000000,10145000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1296724000,1325329000,1373469000,1525054000,1628287000,1625969000,1278265000,1245739000,1242293000,1233980000,1249788000,1334424000,1871580000,2143161000,2783331000,3260857000,4213445000,2002000000,7643000000,11108000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6044000,8134000,3276000,4803000,7848000,7978000,11515000,6047000,5609000,2045000,2379000,2256000,4613000,4532000,5257000,7840000,8403000,11000000,10000000,59000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10359000,9100000,3823000,3577000,4500000,9250000,8085000,8080000,4823000,4823000,- -,224000,- -,- -,- -,6417000,- -,6000000,7000000,24000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4374000,4206000,3802000,2794000,1911000,1550000,1894000,771000,2916000,8753000,14330000,13000000,20000000,10000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3791000,3022000,2386000,697000,3786000,5491000,10364000,6241000,4197000,3468000,3216000,2522000,7486000,3514000,4706000,4004000,3703000,-472000000,22000000,14000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,24455000,44407000,45704000,47667000,53416000,52198000,54704000,43917000,39201000,42122000,58083000,67923000,79549000,109444000,113044000,138290000,701000000,216000000,287000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46094000,44711000,53892000,54781000,63801000,76135000,82162000,75072000,58546000,49537000,47717000,63085000,80022000,87595000,119407000,131305000,150396000,246000000,255000000,384000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658459000,656792000,652082000,789892000,847154000,915750000,792295000,783729000,821881000,827410000,832867000,842650000,1236401000,1235537000,1756747000,1831011000,2549224000,3697000000,3974000000,6803000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3310000,2638000,1754000,1061000,450000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174765000,217666000,242988000,253341000,282540000,262778000,143975000,142204000,157929000,157832000,184440000,225407000,292679000,351546000,373837000,261690000,284890000,- -,885000000,1471000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47986000,43385000,46270000,46044000,55038000,33461000,139416000,148476000,72776000,75187000,40379000,29272000,46286000,39209000,40479000,43954000,41746000,-25000000,126000000,43000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,881210000,917843000,941340000,1089277000,1184732000,1211989000,1078996000,1077047000,1054340000,1061490000,1058136000,1097329000,1575366000,1626292000,2171063000,2136655000,2875860000,3672000000,4985000000,8317000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8284000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,58000000,72000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,927304000,962554000,995232000,1144058000,1248533000,1288124000,1161158000,1152119000,1112886000,1111027000,1105853000,1160414000,1655388000,1713887000,2290470000,2267960000,3026256000,4858000000,5240000000,8701000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92183000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000000,650000000,650000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405935000,407677000,413199000,456815000,- -,- -,- -,- -,- -,- -,496094000,498376000,503413000,674771000,679899000,927162000,933823000,1093000000,1144000000,1166000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28176000,-17500000,11669000,-22662000,-20026000,-50560000,-263532000,-303698000,-295117000,-293322000,-269288000,-251000000,-202939000,-163638000,-101365000,161694000,372497000,504000000,862000000,869000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86127000,-1483000,-2470000,-1993000,-2429000,-13047000,-24458000,-9314000,-7988000,-16402000,-20170000,-10409000,-20812000,-17284000,-17645000,-22165000,-21377000,-31000000,-39000000,-27000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77788000,-25919000,-44161000,-51164000,542740000,564834000,585967000,615560000,662461000,664403000,-62701000,-62957000,-63470000,-64575000,-68028000,-73794000,-97754000,-102000000,-214000000,-251000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369420000,362775000,378237000,380996000,379754000,337845000,117107000,93620000,129407000,122953000,143935000,174010000,216192000,429274000,492861000,992897000,1187189000,2114000000,2403000000,2407000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1296724000,1325329000,1373469000,1525054000,1628287000,1625969000,1278265000,1245739000,1242293000,1233980000,1249788000,1334424000,1871580000,2143161000,2783331000,3260857000,4213445000,6972000000,7643000000,11108000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4970000000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1296724000,1325329000,1373469000,1525054000,1628287000,1625969000,1278265000,1245739000,1242293000,1233980000,1249788000,1334424000,1871580000,2143161000,2783331000,3260857000,4213445000,2002000000,7643000000,11108000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/43196/000143774913002311/0001437749-13-002311-index.htm,- -,https://www.sec.gov/Archives/edgar/data/43196/000143774915004131/0001437749-15-004131-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774916026123/0001437749-16-026123-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774917003503/0001437749-17-003503-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774918003441/0001437749-18-003441-index.htm,- -,https://www.sec.gov/Archives/edgar/data/43196/000143774920003706/0001437749-20-003706-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774921004048/0001437749-21-004048-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774922004412/0001437749-22-004412-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3200000,-400000,1100000,2800000,900000,2500000,-1400000,41700000,-6300000,-6211814,-13317849,-27886800,14024000,44285000,3362000,11711000,-23151000,-202016000,-23047000,23163000,9035000,28129000,18288000,48061000,39301000,62273000,261952000,210803000,179000000,410000000,90000000
74,Depreciation and Amortization,- -,2200000,1900000,1100000,3400000,5600000,10900000,19100000,23500000,31000000,38050624,37878866,23997000,40723000,38111000,40801000,54121000,56792000,51423000,48302000,46519000,39792000,34289000,35799000,51416000,63654000,81520000,98078000,95869000,195000000,239000000,259000000
75,Deferred Income Tax,- -,- -,-700000,600000,500000,900000,- -,1300000,26800000,-2700000,-2454030,-6145236,1201000,16205000,25472000,5717000,8976000,-13823000,-110990000,-11219000,13910000,5085000,19229000,13165000,30938000,25770000,41386000,-77325000,22932000,- -,75000000,-22000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,878000,1974000,5012000,4019000,5099000,8303000,6661000,- -,16000000,14000000
77,Change in Working Capital,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32776000,548000,32693000,-39614000,-10046000,5515000,-2227000,-7933000,14433000,3673000,18848000,18836000,20780000,109577000,219045000,118548000,186897000,-610349000,937000000,-50000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8385000,-2483000,-7309000,2401000,-389000,-7391000,-17442000,-14787000,-6107000,-23744000,-12362000,22000000,-14000000,-30000000
79,Inventory,- -,200000,100000,-100000,-200000,-200000,300000,-100000,-300000,- -,-139437,708947,-415000,-343000,420000,169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2162000,-4238000,-438000,-3666000,274000,133000,2197000,-141000,518000,2116000,563000,-1000000,-1000000,22000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32776000,33324000,66017000,26403000,16357000,21872000,19645000,11712000,26145000,29818000,48666000,67502000,88282000,197859000,416904000,535452000,722349000,112000000,1049000000,9000000
82,Other Non-Cash Items,- -,800000,3200000,-1900000,300000,200000,-1300000,-9300000,-71900000,-1200000,-6620228,2057129,-2914200,-9183000,-37825000,40216000,15098000,3027000,337485000,12800000,-59899000,-19412000,-12001000,-27823000,-21988000,-136707000,-202690000,-229541000,-199846000,236349000,-1025000000,9000000
83,Cash Provided by Operating Activities,- -,6400000,4000000,900000,7000000,7600000,12100000,9700000,20100000,20800000,22764552,20472910,27173000,62317000,102736000,50482000,79860000,28360000,73675000,18903000,38126000,38173000,89372000,60239000,134219000,105614000,206633000,180015000,323316000,- -,652000000,300000000
84,CAPEX,- -,-1500000,-2800000,-1000000,-1800000,-3300000,-3400000,-10400000,-131800000,-126400000,-5702494,-11242758,-14970000,-22306000,-36295000,-37161000,-41139000,-24834000,-16289000,-17756000,-19395000,-24274000,-24523000,-24053000,-32215000,-24222000,-43604000,-34516000,-69975000,-110000000,-110000000,-207000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9751840,-554205000,-819000,-1023000,-208250000,-88126000,-1104000,- -,- -,- -,-587000,- -,-36623000,-461185000,-185126000,-438709000,-406294000,7914000,-2590000000,-139000000,-3341000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,200000,1300000,1500000,-40900000,-5600000,-211000000,-47100000,76500000,-400000,-2573169,-168820323,168239000,-9871000,-234000,-514000,-40000,276000,-51000,225000,-111000,2992000,1217000,149000,-8492000,2966000,2979000,91011000,14684000,80000000,38000000,14000000
89,Cash Used for Investing Activites,- -,-1300000,-1500000,500000,-42600000,-8900000,-214400000,-57500000,-55300000,-126800000,-8275663,-189814921,-400936000,-32996000,-37552000,-245925000,-129305000,-25662000,-16340000,-17531000,-19506000,-21869000,-23306000,-60527000,-501892000,-206382000,-479334000,-349799000,-47377000,-2656000000,-211000000,-3534000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-140621000,-8571000,-324018000,-21323000,-856292000,-381003000,-249623000,- -,-1127502000,-562641000,-40208000,1189000000,-525000000,-250000000
91,Common Stock Issued,- -,- -,- -,- -,- -,500000,76800000,1800000,2000000,- -,126000,723808,297797000,3074000,6360000,2448000,- -,1271000,- -,- -,25518000,- -,- -,280000,- -,167313000,- -,238945000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-31300000,- -,-6600000,- -,-2700000,-3500000,-8200000,-300000,-5142584,- -,-6000,-22513000,-22806000,-7004000,-7396000,-43408000,-185000,- -,-60693000,-13385000,-25922000,- -,- -,- -,- -,-4000000,-19607000,-36000000,-75000000,-30000000
93,Dividends Paid,- -,-400000,-300000,-200000,-300000,-300000,-400000,-1400000,-1600000,-2300000,-2146507,-1865645,-4351000,-7207000,-9158000,-14892000,-6756000,-7709000,-8825000,- -,-14892000,-6596000,-16731000,- -,- -,- -,- -,- -,- -,- -,-52000000,-83000000
94,Other Financing Activites,- -,-700000,15500000,-1500000,42700000,1100000,129200000,52200000,42500000,108400000,-6898406,168826531,92680000,-3643000,-961000,173640000,59023000,57745000,107607000,-7450000,344896000,24759000,838756000,383422000,634587000,4000,1628074000,634690000,740420000,-89000000,772000000,3013000000
95,Cash Used/Provided by Financing Activities,- -,-1100000,-16100000,-1700000,35800000,1300000,202900000,49100000,34700000,105800000,-14061497,167684694,386120000,-30289000,-26565000,154192000,44871000,7899000,-42024000,-16021000,-29189000,-16545000,-60189000,2699000,384964000,167317000,500572000,306994000,680605000,1064000000,120000000,2650000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1100000,-16100000,-1700000,35800000,1300000,202900000,49100000,34700000,-100000,427392,-1657317,12357000,-968000,38619000,-41251000,-4574000,10597000,15311000,-14649000,-10569000,-241000,5877000,2411000,17291000,66549000,227871000,137210000,956544000,-1207000000,561000000,-584000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,2214838,557521,12915000,11947000,50566000,9315000,4741000,15338000,30649000,16000000,5431000,5190000,11067000,13478000,30769000,97318000,325189000,462399000,1418943000,- -,773000000,189000000
