,https://roic.ai/company/CSWC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,165.7989,43.6617,49.1839,-43.1589,-39.8863,-2.7663,7.9816,-11.6405,0.9817,0.8753,0.9795,17.9531,-20.4593,-9.8896,12.0375,7.0941,9.8304,0.9139,0.9356,0.8118,-0.3738,0.6114,0.7390,0.6764,94.7076,0.7339
25,EPS,3.50,2.14,5.22,-2.54,-1.12,-0.52,1.68,-2.72,5.54,0.92,6.23,7.52,-8.94,-9.24,4.91,3.58,5.94,7.00,7.02,-0.06,-0.54,1.49,2.43,1.98,-1.24,2.67
26,EPS Diluted,3.50,2.14,5.22,-2.54,-1.12,-0.52,1.68,-2.72,5.54,0.92,6.23,7.52,-8.94,-9.24,4.91,3.58,5.94,7.00,7.02,-0.06,-0.54,1.48,2.43,1.98,-1.24,2.67
27,Weighted Average Shares Outstanding,15068204,15068204,15151804,15260204,15260204,15260204,15316204,15344432,15428000,15428000,15440000,15544000,15556604,14966552,14966552,15012152,15440808,15232976,15955840,15565332,15635597,15824879,16161786,16727254,17999836,19060131
28,Weighted Average Shares Outstanding Diluted,15068204,15068204,15151804,15260204,15260204,15260204,15316204,15344432,15428000,15428000,15440000,15544000,15556604,14966552,14966552,15012152,15440808,15232976,15955840,15565332,15723617,15877331,16161786,16734369,17999836,19060131
29,SEC Link,https://www.sec.gov/Archives/edgar/data/17313/000101054996000133/0001010549-96-000133-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17313/000101054901500197/0001010549-01-500197-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054902000371/0001010549-02-000371-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17313/000101054907000465/0001010549-07-000465-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054908000459/0001010549-08-000459-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054909000411/0001010549-09-000411-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054910000354/0001010549-10-000354-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054911000603/0001010549-11-000603-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036112028351/form10k.htm,https://www.sec.gov/Archives/edgar/data/17313/000114036113023510/0001140361-13-023510-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036114024348/0001140361-14-024348-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036115023093/0001140361-15-023093-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036116069706/0001140361-16-069706-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731317000012/0000017313-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731318000023/0000017313-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731319000024/0000017313-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731320000051/0000017313-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731321000075/0000017313-21-000075-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,67045185,14009481,117047920,6050443,63986715,1137767,1977180,4650388,10150796,5104935,11503866,38844203,31327758,14721730,4093508,45498000,64895000,81767000,88163000,225797000,95969000,22386000,7907000,9924000,13744000,31613000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,67045185,14009481,117047920,6050443,63986715,1137767,1977180,4650388,10150796,5104935,11503866,38844203,31327758,14721730,4093508,45498000,64895000,81767000,88163000,225797000,95969000,22386000,7907000,9924000,13744000,31613000
34,Net Receivables,285002,279815,332873,315707,238594,264377,1753297,297664,76477,136401,135887,337892,156322,515212,1877725,863000,1961000,2465000,782000,77000,5395000,4308000,5785000,10866000,12083000,11854000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,287060437,406948819,422022222,550428083,611155033,547570502,396635023,477943057,489273000,558546000,574478000,678342000,539782000,178436000,286880000,393095000,524071000,553072000,688432000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,326972450,310760493,522323555,360785788,392585804,322667968,357182904,298489872,423978859,434383601,569368133,729507313,586685068,417543139,491174585,543214000,632989000,667672000,778694000,776872000,284493000,325752000,417490000,551843000,584959000,735584000
47,Total Assets,326972450,310760493,522323555,360785788,392585804,322667968,357182904,298489872,423978859,434383601,569368133,729507313,586685068,417543139,491174585,543214000,632989000,667672000,778694000,776872000,284493000,325752000,417490000,551843000,584959000,735584000
48,Accounts Payable,- -,- -,- -,- -,- -,2135052,2018140,1868991,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7191000,4525000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,15500000,13000000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,2726850,- -,982653,231274,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000,50000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,126900000,86800000,221300000,99600000,150700000,88964948,99681860,90131009,117900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9454000,- -,8489000,9372000,9781000,9441000,- -
53,Total Current Liabilities,126900000,86800000,221300000,99600000,150700000,91100000,101700000,92000000,133400000,13000000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,9454000,- -,15680000,13897000,9781000,9441000,- -
54,Long-Term Debt,61000000,5000000,105000000,5000000,70000000,16000000,14000000,23000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381304000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,69204128,81868628,119339357,97247457,83489085,- -,- -,- -,108312663,117007107,162070285,213474680,1797058,1092427,2095518,2150000,2027000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-119204128,-81868628,-219339357,-97247457,-148489085,-11000000,-9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,95305000,216099000,303296000,- -
58,Total Non-Current Liabilities,11000000,5000000,5000000,5000000,5000000,5000000,5000000,23000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,95305000,216099000,303296000,381304000
59,Other Liabilities,22024697,- -,10000739,- -,10009838,- -,- -,22897,- -,118849694,164750024,215163801,2984854,2280148,4248999,3981000,4283000,7895000,8306000,- -,11858000,- -,- -,- -,- -,780637000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,137924697,91788373,226300739,104553823,155709838,96059355,106691862,92022897,133355509,131849694,172750024,215163801,2984854,2280148,4248999,3981000,4283000,7895000,8306000,9454000,11858000,40680000,109202000,225880000,312737000,399333000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4204416,4204416,4225316,4252416,4252416,4252416,4266416,4266416,4294416,4294416,4297616,4323416,4326516,4326516,4326516,4338000,4339000,4394000,4438000,4476000,4516000,4588000,4625000,4961000,5085000,5836000
64,Retained Earnings,57798156,64917773,71860358,72336614,77730405,3550573,3297838,3299659,- -,- -,- -,- -,- -,42622,- -,- -,910000,-706000,1138000,-4390000,-307000,-1457000,6147000,63734000,-19772000,-2095000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,198998705,82960068,76985971,90176870,108421060,470719847,310259472,2061109,391790000,469553000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,127045181,149849931,219937142,179642935,154893145,218805624,242926788,-97805,203368866,221253520,302143623,401599036,108653851,100634381,480537961,143105000,153904000,656089000,764812000,767332000,268426000,281941000,297516000,257268000,286909000,332510000
67,Total Stockholders Equity,189047753,218972120,296022816,256231965,236875966,226608613,250491042,206466975,290623350,302533907,396618109,514343512,583700214,415262991,486925586,539233000,628706000,659777000,770388000,767418000,272635000,285072000,308288000,325963000,272222000,336251000
68,Total Liabilities And Stockholders Equity,326972450,310760493,522323555,360785788,392585804,322667968,357182904,298489872,423978859,434383601,569368133,729507313,586685068,417543139,491174585,543214000,632989000,667672000,778694000,776872000,284493000,325752000,417490000,551843000,584959000,735584000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,326972450,310760493,522323555,360785788,392585804,322667968,357182904,298489872,423978859,434383601,569368133,729507313,586685068,417543139,491174585,543214000,632989000,667672000,778694000,776872000,284493000,325752000,417490000,551843000,584959000,735584000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/17313/000101054996000133/0001010549-96-000133-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17313/000101054901500197/0001010549-01-500197-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054902000371/0001010549-02-000371-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17313/000101054907000465/0001010549-07-000465-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054908000459/0001010549-08-000459-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054909000411/0001010549-09-000411-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054910000354/0001010549-10-000354-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054911000603/0001010549-11-000603-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036112028351/form10k.htm,https://www.sec.gov/Archives/edgar/data/17313/000114036113023510/0001140361-13-023510-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036114024348/0001140361-14-024348-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036115023093/0001140361-15-023093-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036116069706/0001140361-16-069706-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731317000012/0000017313-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731318000023/0000017313-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731319000024/0000017313-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731320000051/0000017313-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731321000075/0000017313-21-000075-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,52774610,32184598,78598959,-38475878,-17066968,-7978322,25678310,-41726636,85467506,14224788,96190433,116910949,-139014474,-138307446,73540503,53688000,91757000,106707000,112010000,53442000,-5400000,23474000,39307000,33058000,-22351000,50883000
74,Depreciation and Amortization,33439,31240,23770,24667,31976,29891,26258,21668,19089,17597,16136,16808,32756,40478,33130,27000,25000,30000,23000,55000,86000,459000,927000,1393000,2405000,1967000
75,Deferred Income Tax,72640,122500,109729,109100,152600,170400,176600,135800,- -,- -,2335031,-1367704,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169003,263664,503645,675210,957000,1050000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-41369,40100000,-134500000,121700000,-51100000,59600000,-10600000,9700000,-41400000,133400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9454000,9454000,-15680000,1783000,4116000,340000,9441000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,41701,121196,-67245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-126900000,-86800000,-221300000,-99600000,-150700000,-91100000,-101700000,-92000000,-133400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9454000,- -,-15680000,-13897000,-9781000,-9441000,- -
82,Other Non-Cash Items,-50051369,-70139425,58300230,-81878848,69467777,-50657184,-15291551,35100683,-34775056,-142874015,-85036438,-79860419,133303510,155540350,-81069252,13559000,-69283000,-12395000,-107407000,95871000,-115646000,-97812000,-105880000,-133273000,-28341000,-130543000
83,Cash Provided by Operating Activities,2787951,2298913,2532688,1479041,1485385,1164785,-10383,3231515,9311539,4768370,13505162,35868637,-5414544,17777027,-6820409,68231000,23549000,94342000,4626000,139914000,-111506000,-89559000,-63863000,-94706000,-47947000,-68252000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-19406816,-6023684,-9709195,-13170132,-21924423,-15922079,-3545458,-11904639,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,26985997,15218080,18367758,2275230,19733442,8197377,8191135,4643763,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-6268782,-6604549,-266643,-4069101,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,7579181,2925614,2054014,-11161545,-6260082,-7724702,4645677,-7260876,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-56000000,- -,-100000000,- -,-55000000,-3500000,-5000000,- -,- -,-5000000,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61000000,-45000000,-119000000,-293136000
91,Common Stock Issued,574750,- -,720188,965438,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,745000,99000,- -,- -,- -,- -,- -,- -,18891000,26084000,50410000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16903346,- -,- -,- -,- -,- -,- -,- -,- -,-588000,-185000,-9209000,- -
93,Dividends Paid,-2269673,-2260231,-2268451,-2280411,-2289031,-2289031,-2294631,-2297431,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80326000,-3050000,-3083000,-14544000,-5994000,-18586000,-42535000,-50343000,-39945000
94,Other Financing Activites,50000000,- -,100000000,- -,65000000,1000000,1998750,14000000,-3811131,-9814231,-2106231,-528300,-2101901,-17479709,-3807813,-27571000,-4252000,2856000,4820000,803000,-3778000,21970000,129558000,165552000,204235000,368792000
95,Cash Used/Provided by Financing Activities,48305077,-58260231,98451737,-101314973,62710969,-56289031,-3795881,6702569,-3811131,-9814231,-7106231,-8528300,-2101901,-34383055,-3807813,-26826000,-4153000,-77470000,1770000,-2280000,-18322000,15976000,49384000,96723000,51767000,86121000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,58672209,-53035704,103038439,-110997477,57936272,-62848948,839413,2673208,5500408,-5045861,6398931,27340337,-7516445,-16606028,-10628222,41405000,19396000,16872000,6396000,137634000,-129828000,-73583000,-14479000,2017000,3820000,17869000
98,Cash at the End of Period,67045185,14009481,117047920,6050443,63986715,1137767,1977180,4650388,10150796,5104935,11503866,38844203,31327758,14721730,4093508,45499000,64895000,81767000,88163000,225797000,95969000,22386000,7907000,9924000,13744000,31613000
99,Cash at the Beginning of Period,8372976,67045185,14009481,117047920,6050443,63986715,1137767,1977180,4650388,10150796,5104935,11503866,38844203,31327758,14721730,4094000,45499000,64895000,81767000,88163000,225797000,95969000,22386000,7907000,9924000,13744000
100,Free Cash Flow,2787951,2298913,2532688,1479041,1485385,1164785,-10383,3231515,9311539,4768370,13505162,35868637,-5414544,17777027,-6820409,68231000,23549000,94342000,4626000,139914000,-111506000,-89559000,-63863000,-94706000,-47947000,-68252000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/17313/000101054996000133/0001010549-96-000133-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17313/000101054901500197/0001010549-01-500197-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054902000371/0001010549-02-000371-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17313/000101054907000465/0001010549-07-000465-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054908000459/0001010549-08-000459-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054909000411/0001010549-09-000411-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054910000354/0001010549-10-000354-index.html,https://www.sec.gov/Archives/edgar/data/17313/000101054911000603/0001010549-11-000603-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036112028351/form10k.htm,https://www.sec.gov/Archives/edgar/data/17313/000114036113023510/0001140361-13-023510-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036114024348/0001140361-14-024348-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036115023093/0001140361-15-023093-index.html,https://www.sec.gov/Archives/edgar/data/17313/000114036116069706/0001140361-16-069706-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731317000012/0000017313-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731318000023/0000017313-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731319000024/0000017313-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/17313/000001731320000051/0000017313-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/17313/000001731321000075/0000017313-21-000075-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
