,https://roic.ai/company/VUZI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),-180000,-240000,260977,297200,433116,996044,509925,503779,585655,907191,617945,243994,19332,- -,- -,- -
14,Depreciation and Amortization,280000,370000,510133,522458,444358,468823,468817,377840,350930,667291,770668,1213366,1665887,2441581,2641810,2309571
15,EBITDA,-620000,-3030000,-4117877,-2460983,-3664720,-2387025,1321980,-9264609,-6932273,-11852996,-17861469,-18176142,-20190494,-24034789,-15310362,-38067589
16,EBITDA ratio,-0.0650,-0.2985,-0.3297,-0.2070,-0.2990,-0.1829,0.4095,-3.8779,-2.2863,-4.3102,-8.3960,-3.2822,-2.4944,-3.6031,-1.3220,-2.8916
17,Operating Income,-540000,-2920000,-4603982,-2961278,-3877342,-2568666,-4206185,-4652557,-5032332,-11341456,-18535760,-19354546,-21860794,-26566242,-19127464,-39980107
18,Operating Income ratio,-0.0566,-0.2877,-0.3686,-0.2491,-0.3164,-0.1968,-1.3029,-1.9474,-1.6597,-4.1242,-8.7130,-3.4950,-2.7007,-3.9826,-1.6516,-3.0369
19,Total Other Income Expenses (Gains),-180000,-240000,-285005,-319363,-664852,-1283226,-520804,-5493671,-2836526,-2086022,-714322,-278956,-14919,89872,1175292,-397053
20,Income Before Tax,-720000,-3160000,-4888987,-3280641,-4542194,-3851892,-4726989,-10146228,-7868858,-13427478,-19250082,-19633502,-21875713,-26476370,-17952172,-40377160
21,Income Before Tax Ratio,-0.0755,-0.3113,-0.3914,-0.2760,-0.3706,-0.2951,-1.4643,-4.2470,-2.5952,-4.8827,-9.0487,-3.5454,-2.7026,-3.9691,-1.5501,-3.0670
22,Income Tax expense (Gain),- -,-100000,5212,-30217,14939,27689,20398,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-720000,-3060000,-4894199,-3250424,-4557133,-3879581,322840,-10146228,-7868858,-13427478,-19250082,-19633502,-21875713,-26476370,-17952172,-40377160
24,Net Income ratio,-0.0755,-0.3015,-0.3919,-0.2735,-0.3718,-0.2972,0.1000,-4.2470,-2.5952,-4.8827,-9.0487,-3.5454,-2.7026,-3.9691,-1.5501,-3.0670
25,EPS,-0.31,-1.24,-1.80,-1.13,-1.30,-1.10,0.09,-1.69,-0.75,-0.97,-0.98,-1.02,-0.87,-0.94,-0.53,-0.66
26,EPS Diluted,-0.31,-1.24,-1.80,-1.13,-1.30,-1.10,0.09,-1.69,-0.75,-0.97,-0.98,-1.02,-0.87,-0.94,-0.53,-0.66
27,Weighted Average Shares Outstanding,2310000,2470000,2769404,2952853,3514582,3518245,3536865,5988595,10476971,15408724,19569247,21013907,25144499,28166351,33871698,61177273
28,Weighted Average Shares Outstanding Diluted,2310000,2470000,2769404,2952853,3514582,3518245,3651100,5988595,10476971,15408724,19569247,21013907,25144499,28166351,33871698,61177273
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463972/000114420411019283/0001144204-11-019283-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420412021889/0001144204-12-021889-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420413016162/0001144204-13-016162-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420414021666/0001144204-14-021666-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420415020102/0001144204-15-020102-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420416091496/0001144204-16-091496-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420417015161/0001144204-17-015161-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420418015310/0001144204-18-015310-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420419014093/0001144204-19-014093-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000110465920033613/0001104659-20-033613-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000155837021003001/0001558370-21-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000155837022002641/0001558370-22-002641-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,570000,370000,818719,2500523,2636819,417976,66554,310140,84967,11877058,14533944,14889636,17263643,10606091,36069508,120203873
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,570000,370000,818719,2500523,2636819,417976,66554,310140,84967,11877058,14533944,14889636,17263643,10606091,36069508,120203873
34,Net Receivables,1980000,2910000,1413611,1446750,1358905,1104084,170600,214920,383533,325694,103314,1471956,772336,1621913,1388882,2242429
35,Inventory,1160000,1980000,2307321,2959636,3748664,2539721,687181,953627,911949,3349098,2651218,3852317,7281802,5707867,6100824,12151982
36,Other Current Assets,- -,240000,171520,41192,158817,74625,285339,200936,579000,978361,941577,1028664,2065314,1137637,1496037,2551870
37,Total Current Assets,3710000,5500000,4711171,6948101,7903205,4136406,1209674,1679623,1959449,16530211,18230053,21242573,27383095,19073508,45055251,137150154
38,PP&E,780000,860000,825924,701368,562085,961692,664967,446329,416965,2015433,3364908,4124466,4291690,6423866,2837402,6307460
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,530000,610000,- -,- -,- -,- -,551307,736169,1211227,1016985,750299,1466214,3199663,2699091,566456,4067520
41,Intangible Assets,530000,610000,684802,759356,726892,720599,551307,736169,1211227,1016985,750299,1466214,3199663,2699091,566456,4067520
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,250000,450000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-10000,- -,- -,- -,- -,- -,- -,- -,112521,- -,- -,- -,259192,- -,-250000,491923
45,Total Non-Current Assets,1300000,1470000,1510726,1460724,1288977,1682291,1216274,1182498,1740713,3032418,4115207,5590680,7750545,9372957,3403858,11316903
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5010000,6970000,6221897,8408825,9192182,5818697,2425948,2862121,3700162,19562629,22345260,26833253,35133640,28446465,48459109,148467057
48,Accounts Payable,2740000,4030000,4763321,3936914,4128842,3766617,2896567,2420571,2183565,907434,1085472,3726056,2668241,1062785,1517155,2054762
49,Short-Term Debt,90000,80000,842090,1240685,307062,5661603,1488141,402457,294845,55790,1416480,- -,- -,524825,444495,534146
50,Tax Payable,- -,- -,36412,3592,9100,300,21486,75851,35158,7073,12290,3500,30258,18687,109653,120242
51,Deferred Revenue,- -,- -,- -,- -,- -,392151,63079,170777,173953,97328,575734,181286,364088,142463,41152,27797
52,Other Current Liabilities,810000,420000,952049,728245,2364347,368316,702861,667050,734225,741570,1344273,1527867,1644336,904584,1092686,1539550
53,Total Current Liabilities,3640000,4530000,6557460,5905844,6800251,10188687,5150648,3660855,3386588,1802122,4421959,5435209,4676665,2634657,3095488,4156255
54,Long-Term Debt,1210000,1030000,- -,1746500,3433366,1072051,1715253,170496,1088996,1227550,- -,- -,- -,- -,- -,582876
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,770000,980000,1754379,1086706,2370062,1382706,1769612,12069063,13622589,440086,201464,18331,- -,1571365,- -,- -
58,Total Non-Current Liabilities,1980000,2010000,1754379,2833206,5803428,2454757,3484865,12239559,14711585,1667636,201464,18331,- -,1571365,- -,582876
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1072811,- -
60,Capital Lease Obligations,- -,- -,699336,404045,201594,136684,97285,41552,16882,- -,- -,- -,- -,2096190,1517306,1117022
61,Total Liabilities,5620000,6540000,8311839,8739050,12603679,12643444,8635513,15900414,18098173,3469758,4623423,5453540,4676665,4206022,4168299,4739131
62,Preferred Stock,- -,- -,169,- -,- -,- -,- -,- -,- -,50,50,50,50,50,50,- -
63,Common Stock,170000,200000,218269,263600,263600,189155,265259,9600,11296,16088,19569,24276,27591,33128,45645,63672
64,Retained Earnings,-6530000,-9690000,-14687276,-18032430,-22589563,-26469144,-26146304,-36292532,-44161390,-57588868,-76838950,-96472452,-118266441,-144742811,- -,-203072143
65,Other Comprehensive Income/Loss,- -,-1170000,-1624582,-2025660,-2171494,-2567375,-2398740,-2696339,-2146585,-1042122,-1686614,-2252794,-3055485,-4576458,- -,- -
66,Other Total Stockholders Equity,5760000,11080000,14003478,19464265,21085960,22022617,22070220,25940978,31898668,74707723,96227782,120080633,151751260,173526534,48257490,346736397
67,Total Stockholders Equity,-600000,420000,-2089942,-330225,-3411497,-6824747,-6209565,-13038293,-14398011,16092871,17721837,21379713,30456975,24240443,48303185,143727926
68,Total Liabilities And Stockholders Equity,5020000,6960000,6221897,8408825,9192182,5818697,2425948,2862121,3700162,19562629,22345260,26833253,35133640,28446465,52471484,148467057
69,Minority Interest,-10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4012375,- -
70,Total Liabilities & Equity,5010000,6970000,6221897,8408825,9192182,5818697,2425948,2862121,3700162,19562629,22345260,26833253,35133640,28446465,48459109,148467057
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463972/000114420411019283/0001144204-11-019283-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420412021889/0001144204-12-021889-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420413016162/0001144204-13-016162-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420414021666/0001144204-14-021666-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420415020102/0001144204-15-020102-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420416091496/0001144204-16-091496-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420417015161/0001144204-17-015161-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420418015310/0001144204-18-015310-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420419014093/0001144204-19-014093-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000110465920033613/0001104659-20-033613-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000155837021003001/0001558370-21-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000155837022002641/0001558370-22-002641-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-720000,-3060000,-4894199,-3250424,-4557133,-3879581,322840,-10146228,-7868858,-13427478,-19250082,-19633502,-21875713,-26476370,-17952172,-40377160
74,Depreciation and Amortization,280000,370000,510133,522458,444358,468823,468817,377840,350930,667291,770668,1213366,1665887,2441581,2641810,2309571
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,180298,355198,243973,298664,172233,159272,260747,2238548,902978,1623272,2197481,1498357,2805842,17302833
77,Change in Working Capital,540000,900000,-2816289,2888546,60697,-7155235,2111307,1959742,554093,16155228,-919995,1999270,6899066,-6267579,25520912,-6999382
78,Accounts Receivable,- -,-930000,1494613,-33139,87845,254821,607885,-44320,-168613,57839,222380,-870858,201836,-599577,-289413,-853547
79,Inventory,- -,-820000,-322856,-652315,-789028,1208942,717499,-266446,41679,-2437149,-426521,-2352581,-3429485,-2998724,-1666792,-6571108
80,Accounts Payable,- -,-1290000,733691,-826407,191429,-362226,-912122,-379634,-237006,-1276132,178037,2640584,-846399,-1605456,454370,537607
81,Other Working Capital,70000,970000,-1846289,1042257,1102954,-6052281,-3940974,-1981232,-1427139,14728089,13808094,15807364,22706430,16438851,41959763,-13355
82,Other Non-Cash Items,20000,-1510000,5734608,-2776901,963695,8763668,-5898493,2557824,2094038,-17301668,4099467,-1668112,-11429295,6448991,-26980445,783727
83,Cash Provided by Operating Activities,120000,-3300000,-1285449,-2261123,-2844410,-1503661,-2823296,-5091550,-4609050,-11668079,-14396964,-16465706,-22542574,-22355020,-13964053,-26980411
84,CAPEX,-480000,-320000,-549804,-472456,-236039,-897403,-248112,-459194,-901340,-2084739,-2186303,-2689425,-3147794,-2907539,-1485513,-4852452
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-125638,-134594,-85491,-97006,7452274,-313265,-705437,-191908,-147004,-1008167,-1782406,-1258768,-988884,-1043184
89,Cash Used for Investing Activites,-480000,-320000,-549804,-472456,-236039,-897403,7272085,-459194,-901340,-2084739,-2186303,-2689425,-3147794,-3157539,-1485513,-4852452
90,Debt Repayment,- -,- -,-98702,-149474,-958255,-394303,-4567618,-2377525,-509952,-214049,-76875,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,2138646,6110657,- -,- -,- -,8050000,- -,24813000,21112500,21128502,30000000,20000007,25199336,91613587
92,Common Stock Repurchased,410000,3800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000
94,Other Financing Activites,470000,-390000,249172,-1545800,4175000,576524,-232593,121855,5795169,945958,-1795472,-1617679,-1935625,-1145000,15713647,34353641
95,Cash Used/Provided by Financing Activities,880000,3410000,2289116,4415383,3216745,182221,-4800211,5794330,5285217,25544909,19240153,19510823,28064375,18855007,40912983,115967228
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,520000,-200000,453863,1681804,136296,-2218843,-351422,243586,-225173,11792091,2656886,355692,2374007,-6657552,25463417,84134365
98,Cash at the End of Period,520000,370000,818719,2500523,2636819,417976,66554,310140,84967,11877058,14533944,14889636,17263643,10606091,36069508,120203873
99,Cash at the Beginning of Period,- -,570000,364856,818719,2500523,2636819,417976,66554,310140,84967,11877058,14533944,14889636,17263643,10606091,36069508
100,Free Cash Flow,-360000,-3620000,-1835253,-2733579,-3080449,-2401064,-3071408,-5550744,-5510390,-13752818,-16583267,-19155131,-25690368,-25262559,-15449566,-31832863
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463972/000114420411019283/0001144204-11-019283-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420412021889/0001144204-12-021889-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420413016162/0001144204-13-016162-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420414021666/0001144204-14-021666-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420415020102/0001144204-15-020102-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420416091496/0001144204-16-091496-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420417015161/0001144204-17-015161-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420418015310/0001144204-18-015310-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000114420419014093/0001144204-19-014093-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000110465920033613/0001104659-20-033613-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000155837021003001/0001558370-21-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1463972/000155837022002641/0001558370-22-002641-index.htm
102,false,,,,,,,,,,,,,,,,
