,https://roic.ai/company/BFAM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0542,0.0576,0.0645,0.0733,0.0854,0.0991,0.1021,0.0931,- -,- -,-0.0231,0.0057,0.0110,0.0039,0.0830,0.0961,0.0912,0.0927,0.1007,0.1080,0.0103,0.0515
22,Income Tax expense (Gain),6560000,8409000,10954000,14631000,19768000,25241000,29544000,33003000,- -,- -,-10314000,825000,3243000,-7533000,40279000,46229000,48437000,4437000,33606000,42279000,-11340000,19889000
23,Net Income,9212000,11527000,15319000,20014000,27328000,36701000,41723000,39134000,- -,- -,-9994000,4759000,8162000,12623000,72035000,93927000,94760000,156963000,157981000,180386000,26992000,70459000
24,Net Income ratio,0.0316,0.0333,0.0376,0.0423,0.0495,0.0587,0.0598,0.0505,- -,- -,-0.0114,0.0049,0.0076,0.0104,0.0532,0.0644,0.0604,0.0902,0.0830,0.0875,0.0178,0.0401
25,EPS,0.77,0.95,1.24,1.57,1.03,1.35,1.58,1.50,- -,- -,-12.64,-11.32,0.13,0.20,1.09,1.53,1.59,2.65,2.72,3.10,0.45,1.18
26,EPS Diluted,0.74,0.90,1.18,1.50,0.98,1.29,1.52,1.45,- -,- -,-12.64,-11.32,0.13,0.20,1.07,1.50,1.55,2.59,2.66,3.05,0.45,1.17
27,Weighted Average Shares Outstanding,11895000,12189000,12383000,12737000,26511000,27123000,26338000,26044000,- -,- -,6006960,6016733,64533873,62659264,65612572,60835574,59229069,58873196,57812602,57838245,59533104,59533104
28,Weighted Average Shares Outstanding Diluted,12522000,12798000,13025000,13373000,27846000,28392000,27391000,26925000,- -,- -,6006960,6016733,64533873,64509036,67244172,62360778,60594895,60253691,59000669,58947240,60309985,60309985
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1437578/000119312513126728/0001193125-13-126728-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000119312514114374/0001193125-14-114374-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757815000020/0001437578-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757816000066/0001437578-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757817000006/0001437578-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757818000005/0001437578-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757819000006/0001437578-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757820000006/0001437578-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757821000007/0001437578-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757822000007/0001437578-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8599000,12770000,28193000,33899000,42472000,21650000,7115000,8954000,- -,- -,- -,30448000,34109000,29585000,87886000,11539000,14633000,23227000,15450000,27872000,384344000,260980000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17053000,21493000,- -
33,Cash and Short-Term Investments,8599000,12770000,28193000,33899000,42472000,21650000,7115000,8954000,- -,- -,- -,30448000,34109000,29585000,87886000,11539000,14633000,23227000,15450000,44925000,405837000,260980000
34,Net Receivables,23945000,26738000,22564000,27937000,26182000,28738000,38644000,47022000,- -,- -,- -,60656000,62714000,78691000,83066000,97295000,97212000,117138000,131178000,148855000,184989000,210971000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,8805000,11737000,14348000,19217000,25954000,28707000,33747000,35170000,- -,- -,- -,33101000,39194000,56894000,52206000,43879000,42554000,52096000,47263000,35108000,33359000,68320000
37,Total Current Assets,41349000,51245000,65105000,81053000,94608000,79095000,79506000,91146000,- -,- -,- -,124205000,136017000,165170000,223158000,152713000,154399000,192461000,193891000,228888000,624185000,540271000
38,PP&E,64433000,77761000,88472000,98201000,112637000,116462000,137312000,164892000,- -,- -,- -,237157000,340376000,390894000,398947000,429736000,529432000,575185000,597141000,1337109000,1346578000,1294559000
39,Goodwill,- -,- -,- -,55652000,72987000,120507000,145070000,152397000,- -,- -,- -,947371000,993397000,1096283000,1095738000,1147809000,1267705000,1306792000,1347611000,1412873000,1431967000,1481725000
40,Intangible Assets,- -,- -,- -,5679000,12747000,28720000,38150000,34299000,- -,- -,- -,453069000,432564000,435060000,406249000,389331000,374566000,348540000,323035000,304673000,274620000,251032000
41,Intangible Assets,24256000,24375000,39946000,61331000,85734000,149227000,183220000,186696000,- -,- -,- -,1400440000,1425961000,1531343000,1501987000,1537140000,1642271000,1655332000,1670646000,1717546000,1706587000,1732757000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,6151000,7057000,7231000,5829000,2837000,6467000,5858000,7369000,- -,- -,- -,1814000,1603000,236000,580000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,706000,580000,536000,651000,789000,2448000,3474000,4410000,- -,- -,- -,7500000,9659000,15027000,16404000,30952000,32915000,45666000,62628000,46877000,49298000,72460000
45,Total Non-Current Assets,95546000,109773000,136185000,166012000,201997000,274604000,329864000,363367000,- -,- -,- -,1646911000,1777599000,1937500000,1917918000,1997828000,2204618000,2276183000,2330415000,3101532000,3102463000,3099776000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,136895000,161018000,201290000,247065000,296605000,353699000,409370000,454513000,- -,- -,- -,1771116000,1913616000,2102670000,2141076000,2150541000,2359017000,2468644000,2524306000,3330420000,3726648000,3640047000
48,Accounts Payable,28007000,36154000,48835000,52378000,51956000,54478000,48735000,62128000,- -,- -,- -,7850000,6319000,6691000,12784000,26944000,26171000,31719000,35937000,31600000,29958000,- -
49,Short-Term Debt,6475000,251000,162000,669000,778000,628000,4376000,98000,- -,- -,- -,4814000,2036000,7900000,9550000,33550000,86750000,137850000,128950000,93873000,97931000,103341000
50,Tax Payable,- -,- -,1309000,- -,274000,3260000,5507000,1563000,- -,- -,- -,994000,933000,- -,4802000,1916000,3081000,4680000,835000,6671000,3660000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95777000,97142000,134755000,143525000,149678000,161380000,172990000,186067000,207039000,222717000,321468000
52,Other Current Liabilities,13132000,18387000,24833000,30275000,30055000,49005000,98248000,83716000,- -,- -,- -,85231000,96396000,105742000,113564000,95171000,113279000,118096000,132831000,150778000,180208000,197366000
53,Total Current Liabilities,47614000,54792000,73830000,83322000,82789000,104111000,151359000,145942000,- -,- -,- -,193672000,201893000,255088000,279423000,305343000,387580000,460655000,483785000,483290000,530814000,622175000
54,Long-Term Debt,425000,639000,380000,1992000,1321000,684000,77000,47000,- -,- -,- -,794443000,904607000,756323000,911627000,905661000,1054009000,1046011000,1036870000,1028049000,1020137000,1680307000
55,Deferred Revenue,8471000,9784000,10995000,9428000,16146000,16174000,13467000,10016000,- -,- -,- -,11370000,12208000,14446000,14724000,16679000,20637000,24629000,5683000,10098000,10215000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2195000,2682000,2167000,- -,- -,- -,156144000,146404000,139888000,127036000,113100000,111711000,74069000,71306000,58940000,45951000,48509000
57,Other Non-Current Liabilities,5102000,6386000,6458000,6817000,10105000,13356000,17947000,25700000,- -,- -,- -,821563000,902407000,47788000,57307000,82150000,97213000,114220000,147185000,778775000,835734000,109780000
58,Total Non-Current Liabilities,13998000,16809000,17833000,18237000,27572000,32409000,34173000,37930000,- -,- -,- -,1783520000,1965626000,958445000,1110694000,1117590000,1283570000,1258929000,1261044000,1875862000,1912037000,1838596000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,769033000,816935000,791252000
61,Total Liabilities,61612000,71601000,91663000,101559000,110361000,136520000,185532000,183872000,- -,- -,- -,1977192000,2167519000,1213533000,1390117000,1422933000,1671150000,1719584000,1744829000,2359152000,2442851000,2460771000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,126000,128000,129000,131000,268000,274000,279000,283000,- -,- -,- -,6000,6000,65000,62000,60000,59000,58000,57000,58000,60000,- -
64,Retained Earnings,2815000,14342000,29661000,49675000,77003000,113704000,155427000,194561000,- -,- -,- -,-318680000,-395165000,-382542000,-310507000,-216580000,-121820000,35143000,193124000,373510000,400502000,- -
65,Other Comprehensive Income/Loss,- -,- -,1885000,4481000,8474000,3155000,9546000,11240000,- -,- -,- -,-14161000,-8816000,1416000,-21687000,-39270000,-89448000,-33296000,-62355000,-50331000,-27069000,-37359000
66,Other Total Stockholders Equity,72342000,74947000,77952000,91219000,100499000,100046000,58586000,64557000,- -,- -,- -,126807000,150088000,1270198000,1083091000,983398000,899076000,747155000,648651000,648031000,910304000,- -
67,Total Stockholders Equity,75283000,89417000,109627000,145506000,186244000,217179000,223838000,270641000,- -,- -,- -,-206028000,-253887000,889137000,750959000,727608000,687867000,749060000,779477000,971268000,1283797000,1179276000
68,Total Liabilities And Stockholders Equity,136895000,161018000,201290000,247065000,296605000,353699000,409370000,454513000,- -,- -,- -,1771164000,1913632000,2102670000,2141076000,2150541000,2359017000,2468644000,2524306000,3330420000,3726648000,3640047000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000,-16000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,136895000,161018000,201290000,247065000,296605000,353699000,409370000,454513000,- -,- -,- -,1771116000,1913616000,2102670000,2141076000,2150541000,2359017000,2468644000,2524306000,3330420000,3726648000,3640047000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1437578/000119312513126728/0001193125-13-126728-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000119312514114374/0001193125-14-114374-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757815000020/0001437578-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757816000066/0001437578-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757817000006/0001437578-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757818000005/0001437578-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757819000006/0001437578-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757820000006/0001437578-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757821000007/0001437578-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757822000007/0001437578-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9212000,11527000,15319000,20014000,27328000,36701000,41723000,39134000,- -,- -,-9994000,4759000,8162000,12623000,72035000,93927000,94760000,156963000,157981000,180386000,26992000,70459000
74,Depreciation and Amortization,7525000,9781000,9760000,11028000,12357000,14510000,18856000,23739000,- -,- -,53320000,55451000,61348000,72808000,77447000,78666000,85284000,94776000,100943000,108269000,111662000,108830000
75,Deferred Income Tax,-2290000,-2447000,-2189000,-496000,-987000,-5253000,263000,-4647000,- -,- -,-13570000,-5872000,-12045000,-13410000,-13376000,-758000,-12121000,-37562000,-5469000,-11344000,-12277000,-4996000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2354000,1158000,17596000,10692000,7922000,9200000,11646000,12072000,13811000,17283000,20996000,23060000
77,Change in Working Capital,-8698000,-9607000,2718000,-5178000,6456000,14088000,-36835000,-46837000,- -,- -,17057000,-14671000,3591000,-24042000,33653000,-96365000,-80551000,-35013000,-21700000,35492000,347773000,7046000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6968000,-1487000,-1580000,-11458000,-4604000,-13340000,-78000,-18689000,-14498000,-15718000,-27470000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1723000,13303000,1155000,365000,9589000,-6448000,-6858000,5912000,15912000,9032000,22998000,- -
81,Other Working Capital,3342000,-6265000,-3547000,-8725000,-2269000,11819000,-25016000,-71853000,- -,- -,-54796000,-69467000,-65876000,-89918000,-56265000,-152630000,-233181000,-268194000,-289894000,-254402000,93371000,- -
82,Other Non-Cash Items,11204000,21832000,20466000,5380000,-7879000,-9927000,30657000,66245000,- -,- -,20952000,92745000,28330000,101008000,-3384000,85386000,114279000,45036000,49181000,267000,-285574000,22854000
83,Cash Provided by Operating Activities,16953000,31086000,46074000,30748000,37275000,50119000,54664000,77634000,- -,- -,70119000,133570000,106982000,159679000,174297000,170056000,213297000,236272000,294747000,330353000,209572000,227253000
84,CAPEX,-19677000,-21005000,-17026000,-19050000,-12970000,-15599000,-32715000,-41847000,- -,- -,-39522000,-42517000,-69086000,-69509000,-66194000,-77785000,-75334000,-88122000,-92491000,-111845000,-84740000,-57662000
85,Acquisitions Net,-8167000,-1162000,-14623000,-16528000,-20987000,-54923000,-24771000,-9180000,- -,- -,-6387000,-57326000,-111825000,-129812000,-12192000,-77619000,-228737000,-21484000,-67111000,-59290000,-8254000,-53895000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,-767000,-28015000,-25705000,-29912000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,22968000,24080000
88,Other Investing Activites,-482000,- -,43000,363000,84000,5605000,-646000,50000,- -,- -,5000,4851000,21000,189000,385000,50000,1234000,4285000,1826000,7080000,11906000,- -
89,Cash Used for Investing Activites,-28326000,-22167000,-31606000,-35215000,-33873000,-64917000,-58132000,-50977000,- -,- -,-45904000,-94992000,-180890000,-201132000,-78001000,-155354000,-302837000,-105321000,-158543000,-189070000,-83825000,-117389000
90,Debt Repayment,-11401000,-8036000,-3630000,-418000,-743000,-778000,-640000,-4468000,- -,- -,-23956000,-23433000,-5472000,-1121168000,-7900000,-252850000,-1323519000,-600164000,-699550000,-417282000,-53950000,-1034688000
91,Common Stock Issued,2573000,1802000,2331000,7967000,5696000,6466000,5602000,4439000,- -,- -,258000,- -,2115000,234944000,4709000,3864000,3682000,4363000,4457000,- -,249790000,- -
92,Common Stock Repurchased,- -,- -,-479000,- -,- -,-11234000,-54049000,-5196000,- -,- -,-111000,- -,-5140000,- -,-221577000,-128103000,-112792000,-162195000,-126679000,-31553000,-32658000,-213830000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16038000,1500000,2550000,2506000,- -,- -,37610000,-19958000,- -,- -,312000,152000,85702000,922985000,188348000,286508000,1526384000,634132000,687579000,299707000,65814000,1018488000
95,Cash Used/Provided by Financing Activities,7210000,-4734000,772000,10055000,4953000,-5546000,-11477000,-25183000,- -,- -,-23497000,-23281000,77205000,36761000,-36420000,-90581000,93755000,-123864000,-134193000,-149128000,228996000,-230030000
96,Effect of Forex Changes on Cash,10000,-14000,183000,118000,218000,-478000,410000,365000,- -,- -,360000,-287000,364000,168000,-1575000,-468000,-1121000,1507000,-103000,559000,2530000,-3018000
97,Net Change In Cash,-4153000,4171000,15423000,5706000,8573000,-20822000,-14535000,1839000,- -,- -,1078000,15010000,3661000,-4524000,58301000,-76347000,3094000,8594000,1908000,-7286000,357273000,-123184000
98,Cash at the End of Period,8599000,12770000,28193000,33899000,42472000,21650000,7115000,8954000,- -,- -,15438000,30448000,34109000,29585000,87886000,11539000,14633000,23227000,38478000,31192000,388465000,265281000
99,Cash at the Beginning of Period,12752000,8599000,12770000,28193000,33899000,42472000,21650000,7115000,- -,- -,14360000,15438000,30448000,34109000,29585000,87886000,11539000,14633000,36570000,38478000,31192000,388465000
100,Free Cash Flow,-2724000,10081000,29048000,11698000,24305000,34520000,21949000,35787000,- -,- -,30597000,91053000,37896000,90170000,108103000,92271000,137963000,148150000,202256000,218508000,124832000,169591000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1437578/000119312513126728/0001193125-13-126728-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000119312514114374/0001193125-14-114374-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757815000020/0001437578-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757816000066/0001437578-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757817000006/0001437578-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757818000005/0001437578-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757819000006/0001437578-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757820000006/0001437578-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757821000007/0001437578-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757822000007/0001437578-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
