,https://roic.ai/company/NYC,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,-5219000,-402000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-2039000,-436000,- -
81,Other Working Capital,1426000,52305000,49496000,69684000,81515000,68081000,461091000
82,Other Non-Cash Items,-675000,-52633000,-1449000,-32863000,-22791000,5197000,-364044000
83,Cash Provided by Operating Activities,-5194000,4128000,2282000,-7080000,-1603000,-13578000,- -
84,CAPEX,-14175000,-16718000,-10831000,-8987000,-7709000,-3755000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-28000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,491000,- -,- -,- -,- -
88,Other Investing Activites,-169136000,-95880000,-10831000,-14935000,-45974000,-3755000,- -
89,Cash Used for Investing Activites,-169164000,-95880000,-10340000,-14935000,-45974000,-3755000,- -
90,Debt Repayment,- -,- -,-96000000,- -,- -,- -,- -
91,Common Stock Issued,230600000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-2760000,-12488000,-7337000,-10269000,- -,-328000,- -
93,Dividends Paid,-19988000,-25312000,-28279000,-7475000,- -,-622000,- -
94,Other Financing Activites,-35135000,-3327000,137069000,47344000,51073000,-20000,- -
95,Cash Used/Provided by Financing Activities,172717000,-41127000,5453000,29600000,51073000,-970000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1641000,-132879000,-2605000,7585000,3496000,-18303000,- -
98,Cash at the End of Period,182700000,49821000,47216000,54801000,58297000,39994000,- -
99,Cash at the Beginning of Period,184341000,182700000,49821000,47216000,54801000,58297000,39994000
100,Free Cash Flow,-19369000,-12590000,-8549000,-16067000,-9312000,-17333000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595527/000159552720000004/0001595527-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1595527/000159552721000007/0001595527-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1595527/000159552722000007/0001595527-22-000007-index.htm
102,false,,,,,,,
