,https://roic.ai/company/ZEPP,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,29131000,50822000,-277191000,1373577000,1478902000,1552109000,1619746000
67,Total Stockholders Equity,-21023000,30179000,225775000,1810915000,2500750000,2730258000,2920347000
68,Total Liabilities And Stockholders Equity,529079000,972896000,1463128000,3259818000,5177905000,5903719000,6072409000
69,Minority Interest,- -,- -,2389000,-1337000,-3162000,- -,13092000
70,Total Liabilities & Equity,529079000,972896000,1465517000,3258481000,5174743000,5903719000,6085501000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1720446/000156459019011452/hmi-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1720446/000110465920050322/a20-3630_120f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-37853000,23946000,167682000,340046000,575196000,228753000,- -
74,Depreciation and Amortization,285000,2399000,3717000,6216000,17215000,27129000,- -
75,Deferred Income Tax,-3208000,-18468000,-18962000,-32895000,-27800000,-10442000,- -
76,Stock Based Compensation,55991000,57735000,62787000,134709000,55128000,65154000,- -
77,Change in Working Capital,-21982000,-51212000,26237000,259708000,-249694000,-209967000,- -
78,Accounts Receivable,-17770000,2218000,-13158000,-26058000,-130015000,-131215000,- -
79,Inventory,-52822000,-103464000,-57609000,-234887000,-432983000,-410691000,- -
80,Accounts Payable,164044000,271999000,181628000,356324000,935845000,-9761000,- -
81,Other Working Capital,-3208000,5885000,9273000,43419000,93519000,33501000,- -
82,Other Non-Cash Items,- -,2866000,-3125000,-179000,57954000,56675000,- -
83,Cash Provided by Operating Activities,-6767000,17266000,238336000,707605000,427999000,157302000,- -
84,CAPEX,-2915000,-11497000,-21542000,-69153000,-46121000,-84774000,- -
85,Acquisitions Net,- -,- -,2323000,- -,- -,-34414000,- -
86,Purchases of Investments,-2000000,-71819000,-30116000,-536182000,-180927000,-294286000,- -
87,Sales/Maturities of Investments,- -,- -,25147000,288771000,107430000,207065000,- -
88,Other Investing Activites,4000,-17294000,-14781000,-60294000,-4930000,-1691000,- -
89,Cash Used for Investing Activites,-4911000,-99387000,-38881000,-324841000,-112703000,-206880000,- -
90,Debt Repayment,- -,- -,-10000000,-33221000,-20000000,-643122000,- -
91,Common Stock Issued,- -,- -,- -,657062000,49214000,- -,- -
92,Common Stock Repurchased,-19467000,- -,- -,-8157000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-4538000,- -,- -
94,Other Financing Activites,233530000,10024000,30089000,23486000,933000,1207793000,- -
95,Cash Used/Provided by Financing Activities,214063000,10024000,20089000,639170000,25609000,564671000,- -
96,Effect of Forex Changes on Cash,10226000,5262000,-3175000,60357000,11274000,-43334000,- -
97,Net Change In Cash,212611000,-66835000,216369000,1082291000,352179000,471759000,- -
98,Cash at the End of Period,219987000,153152000,369521000,1451812000,1803991000,2275750000,- -
99,Cash at the Beginning of Period,7376000,219987000,153152000,369521000,1451812000,1803991000,- -
100,Free Cash Flow,-9682000,5769000,216794000,638452000,381878000,72528000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1720446/000156459019011452/hmi-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1720446/000110465920050322/a20-3630_120f.htm,- -,undefined
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
