,https://roic.ai/company/SRTS,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494891/000161577417000965/0001615774-17-000965-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000161577418001252/0001615774-18-001252-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000161577419004125/0001615774-19-004125-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000121390020005609/0001213900-20-005609-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000121390021013664/0001213900-21-013664-index.htm,https://www.sec.gov/Archives/edgar/data/1494891/000121390022015172/0001213900-22-015172-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,4538713,5065068,5042477,10085468,12484256,8100288,14906976,14519000
32,Short-Term Investments,- -,- -,- -,6462369,1104635,2892190,7389407,- -,- -
33,Cash and Short-Term Investments,- -,4538713,5065068,11504846,11190103,15376446,15489695,14906976,14519000
34,Net Receivables,- -,407592,2071572,3098635,4958255,13145934,14011180,3775937,12130000
35,Inventory,- -,844074,998861,1254915,1171383,1628817,2997120,4427109,1759000
36,Other Current Assets,- -,48312,432787,900722,566972,1750994,1505175,2061039,2837000
37,Total Current Assets,- -,5838691,8568288,16759118,17886713,31902191,34003170,25171061,31245000
38,PP&E,- -,260497,320699,433408,394078,891029,2482465,2431559,774000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,819281,722895,626509,530123,433737,337351,337882,146000
41,Intangible Assets,- -,819281,722895,626509,530123,433737,337351,337882,146000
42,Investments,- -,- -,- -,1103773,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,24272,24272,24272,24272,24272,101561,69393,75000
45,Total Non-Current Assets,- -,1104050,1067866,2187962,948473,1349038,2921377,2838834,995000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6942741,9636154,18947080,18835186,33251229,36924547,28009895,32240000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,2214970,- -,- -,1418934,225000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1249880,890234,853798,652242,722025,1191898,1491916,1172000
52,Other Current Liabilities,- -,1503653,2778530,2802852,1999646,5302456,5276413,1945242,4566000
53,Total Current Liabilities,- -,2753533,3668764,3656650,4866858,6024481,6468311,4856092,5963000
54,Long-Term Debt,- -,- -,- -,- -,2214970,- -,- -,266777,- -
55,Deferred Revenue,- -,51000,45786,16251,73083,766732,1339285,579292,262000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1115529,812124,- -
58,Total Non-Current Liabilities,- -,51000,45786,16251,2288053,766732,2454814,1658193,262000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1425053,1115529,174000
61,Total Liabilities,- -,2804533,3714550,3672901,7154911,6791213,8923125,6514285,6225000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,408,428,135461,135221,161459,165404,165643,167000
64,Retained Earnings,- -,-7208542,-7445809,-7792257,-11502771,-13525532,-15225535,-22061061,-17942000
65,Other Comprehensive Income/Loss,- -,-494763,-669863,-587171,-514134,-858009,-1230268,- -,- -
66,Other Total Stockholders Equity,- -,11841105,14036848,23518146,23561959,40682098,44291821,43391028,43790000
67,Total Stockholders Equity,- -,4138208,5921604,15274179,11680275,26460016,28001422,21495610,26015000
68,Total Liabilities And Stockholders Equity,- -,6942741,9636154,18947080,18835186,33251229,36924547,28009895,32240000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6942741,9636154,18947080,18835186,33251229,36924547,28009895,32240000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1494891/000161577417000965/0001615774-17-000965-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000161577418001252/0001615774-18-001252-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000161577419004125/0001615774-19-004125-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000121390020005609/0001213900-20-005609-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000121390021013664/0001213900-21-013664-index.htm,https://www.sec.gov/Archives/edgar/data/1494891/000121390022015172/0001213900-22-015172-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,107627,-3699470,-237267,-346448,-3710514,-2022761,-1700003,-6835526,4119000
74,Depreciation and Amortization,265557,272649,315599,337583,387917,658255,545717,721865,613000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1080,6477,6477,726377,405896,982624,620925,386483,415000
77,Change in Working Capital,-694712,2875477,1814366,8202944,-82613,12857855,1657149,-7219890,4967031
78,Accounts Receivable,-1368941,2118715,-1665057,-1027063,-2051011,-8174399,-1215332,10249726,-8432000
79,Inventory,-342934,-327350,-238011,-323962,118925,-661419,-1698523,-1429989,2735000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-2302964,962000
81,Other Working Capital,209681,3085158,4899524,13102468,13019855,25877710,27534859,20314969,25282000
82,Other Non-Cash Items,191755,-1322815,-3238518,-9771480,-57292,-21039704,-3230430,12512888,-10400031
83,Cash Provided by Operating Activities,-128693,-1867682,-1339343,-851024,-3056606,-8563731,-2106642,-434180,-286000
84,CAPEX,-251004,-123959,-196190,-285998,-287594,-854834,-400593,-358545,-128000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-7865675,- -,-2892190,-7797217,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,299533,6461507,1104635,3300000,7389407,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,257000
89,Cash Used for Investing Activites,-251004,-123959,-196190,-7852140,6173913,-2642389,-4897810,7030862,129000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3575000,- -,2200000,12650000,- -,17249995,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-45421,- -,-2552701,- -,- -,- -,- -,- -
94,Other Financing Activites,-329146,- -,-138112,-1416726,1925684,-3645087,2620484,210006,-231000
95,Cash Used/Provided by Financing Activities,3245854,-45421,2061888,8680573,1925684,13604908,2620484,210006,-231000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2866157,-2037062,526355,-22591,5042991,2398788,-4383968,6806688,-387976
98,Cash at the End of Period,6575775,4538713,5065068,5042477,10085468,12484256,8100288,14906976,14519000
99,Cash at the Beginning of Period,3709618,6575775,4538713,5065068,5042477,10085468,12484256,8100288,14906976
100,Free Cash Flow,-379697,-1991641,-1535533,-1137022,-3344200,-9418565,-2507235,-792725,-414000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494891/000161577417000965/0001615774-17-000965-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000161577418001252/0001615774-18-001252-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000161577419004125/0001615774-19-004125-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000121390020005609/0001213900-20-005609-index.html,https://www.sec.gov/Archives/edgar/data/1494891/000121390021013664/0001213900-21-013664-index.htm,https://www.sec.gov/Archives/edgar/data/1494891/000121390022015172/0001213900-22-015172-index.htm
102,false,,,,,,,,,
