,https://roic.ai/company/CASS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,90300000,67200000,99100000,179400000,124200000,115931000,31915000,24279000,17754000,23131000,29561000,26995000,26719000,10043000,39189000,79576000,136130000,469289000,489366000,568414000,561116000,539218000,640001000,635857000,613163000,782521000,1188381000
34,Net Receivables,3800000,3400000,3100000,2800000,2800000,3528000,2627000,2539000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,603314000,671460000,771817000,809951000,855202000,855500000,965946000,1100720000,410444000,20010000,821842000,917965000,880395000,952034000,948643000,1045196000,1132537000,-751536000,155501000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,621068000,694591000,801378000,836946000,881921000,865543000,1005135000,1180296000,546574000,489299000,1311208000,1486379000,1441511000,1491252000,1588644000,1681053000,1745700000,30985000,1343882000
38,PP&E,8300000,8100000,10000000,9200000,9200000,13914000,16798000,15359000,13538000,12187000,11987000,12898000,12771000,11617000,10451000,9617000,9587000,10735000,13231000,16909000,19648000,21086000,21586000,22031000,20527000,18057000,18113000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7471000,7471000,7471000,11590000,11590000,11590000,11590000,11590000,12569000,12569000,14262000,14262000,14262000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000,268000,161000,3757000,3222000,2762000,2405000,1997000,1996000,1554000,4281000,3423000,2564000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5090000,9743000,5333000,8627000,8348000,8068000,7846000,7739000,7632000,15347000,14812000,14352000,13995000,13587000,14565000,14123000,18543000,17685000,16826000
42,Investments,- -,- -,- -,- -,- -,- -,- -,69371000,69147000,77130000,94859000,102749000,171706000,193865000,224597000,264569000,310612000,341935000,317767000,356141000,375696000,390552000,470523000,441534000,422665000,357726000,1176080000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-69147000,-77130000,-94859000,-102749000,-171706000,-193865000,-235048000,-274186000,444896000,430071000,-330998000,-373050000,-395344000,-411638000,-492109000,-463565000,-443192000,-375783000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,18628000,21930000,17320000,21525000,21119000,19685000,7846000,7739000,772727000,798088000,14812000,14352000,13995000,13587000,14565000,14123000,18543000,17685000,1211019000
46,Other Assets,428100000,438300000,438300000,503900000,500800000,576886000,600875000,572233000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3765920000
47,Total Assets,428100000,438300000,438300000,503900000,500800000,576886000,600875000,572233000,639696000,716521000,818698000,858471000,903040000,885228000,1012981000,1188035000,1319301000,1287387000,1326020000,1500731000,1455506000,1504839000,1603209000,1695176000,1764243000,48670000,2554901000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522761000,543953000,655428000,577259000,642287000,661888000,694360000,684295000,835386000,1050396000
49,Short-Term Debt,- -,2500000,400000,300000,200000,- -,200000,37438000,123000,127000,188000,181000,- -,- -,26000,9000,- -,- -,- -,- -,- -,- -,- -,- -,18000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,643073000,739512000,770719000,799900000,776000000,883374000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,2500000,400000,300000,200000,- -,200000,37438000,123000,643200000,739700000,770900000,799900000,776000000,883400000,9000,- -,- -,- -,- -,- -,- -,- -,- -,702295000,835386000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3700000,3700000,3688000,2991000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,9000,- -,- -,- -,28372000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3700000,3700000,3700000,3000000,- -,- -,- -,28372000,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,384800000,388000000,385200000,446200000,444000000,523065000,545155000,473749000,574781000,7432000,7417000,- -,- -,- -,13000,1045932000,1158753000,1141744000,1135593000,1300299000,1248128000,1296804000,1378121000,1465328000,817758000,1106689000,2309103000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,384800000,390500000,385600000,446500000,444200000,523065000,545355000,511187000,574904000,646932000,743417000,774550000,803588000,778987000,883413000,1045941000,1158753000,1113372000,1135593000,1300299000,1248128000,1296804000,1378121000,1465328000,1520053000,1942075000,2309103000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000000,2000000,2000000,2080000,2080000,2247000,3168000,4556000,4975000,4975000,4975000,4975000,5445000,5966000,5966000,5966000,5966000,5966000,6524000,7753000,7753000,7753000,7753000
64,Retained Earnings,38200000,42400000,46900000,51500000,54800000,59177000,63623000,64607000,69695000,64685000,71506000,81516000,66690000,81197000,92401000,107263000,89853000,60952000,75939000,90635000,103994000,118363000,59314000,75171000,90341000,99062000,112220000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,1168000,993000,383000,-566000,-2970000,-1932000,-7413000,-181000,-3248000,-2753000,-6093000,-5560000,-9631000,-6664000,-14543000,-13320000,-18872000,-13920000,-15000,453000
66,Other Total Stockholders Equity,5100000,5400000,5800000,5900000,- -,- -,- -,-6809000,-7976000,2274000,1173000,819000,29719000,27482000,32373000,33104000,68003000,113190000,114082000,113462000,104082000,98249000,172570000,165796000,160016000,154360000,125372000
67,Total Stockholders Equity,43300000,47800000,52700000,57400000,56600000,53821000,55520000,61046000,64792000,69589000,75281000,83921000,99452000,106241000,129568000,142094000,160548000,174015000,190427000,200432000,207378000,208035000,225088000,229848000,244190000,261160000,245798000
68,Total Liabilities And Stockholders Equity,428100000,438300000,438300000,503900000,500800000,576886000,600875000,572233000,639696000,716521000,818698000,858471000,903040000,885228000,1012981000,1188035000,1319301000,1287387000,1326020000,1500731000,1455506000,1504839000,1603209000,1695176000,1764243000,2203235000,2554901000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2154565000,- -
70,Total Liabilities & Equity,428100000,438300000,438300000,503900000,500800000,576886000,600875000,572233000,639696000,716521000,818698000,858471000,903040000,885228000,1012981000,1188035000,1319301000,1287387000,1326020000,1500731000,1455506000,1504839000,1603209000,1695176000,1764243000,48670000,2554901000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000095011401500013/0000950114-01-500013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000119380506000714/0001193805-06-000714-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000114544309000476/0001145443-09-000476-index.html,https://www.sec.gov/Archives/edgar/data/708781/000114420410012778/0001144204-10-012778-index.html,https://www.sec.gov/Archives/edgar/data/708781/000114420411014006/v214144_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677412001006/0001206774-12-001006-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677413000998/0001206774-13-000998-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677414000828/cass_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677415000808/cass_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677416004815/0001206774-16-004815-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677417000734/0001206774-17-000734-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677418000614/0001206774-18-000614-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677419000648/0001206774-19-000648-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677420000650/0001206774-20-000650-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677421000530/0001206774-21-000530-index.htm,https://www.sec.gov/Archives/edgar/data/708781/000162828022004254/0001628280-22-004254-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6200000,6500000,7000000,7400000,6200000,7147000,7025000,7312000,7902000,8005000,10946000,15066000,17795000,19006000,16129000,20310000,23009000,23303000,23497000,24033000,23056000,24348000,25014000,30268000,30404000,25176000,28604000
74,Depreciation and Amortization,2600000,2700000,2600000,2400000,2500000,2652000,3356000,4000000,4637000,3976000,2207000,2049000,3186000,4336000,4039000,4026000,4528000,6916000,7346000,8181000,8859000,9429000,11341000,11238000,10939000,11269000,5172000
75,Deferred Income Tax,-100000,900000,300000,100000,-500000,-501000,761000,-315000,-599000,-590000,-921000,-289000,1409000,1575000,-650000,1268000,2145000,974000,57000,-679000,-137000,319000,3997000,-3521000,1247000,-874000,-698000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1881000,1472000,1390000,1399000,1975000,2041000,2059000,1959000,2339000,3006000,3144000,2267000,2859000
77,Change in Working Capital,100000,- -,- -,- -,- -,- -,- -,- -,621068000,-569677000,10287000,4368000,15975000,7522000,32192000,1058561000,-633722000,-57275000,821909000,175171000,-44868000,49741000,97392000,92409000,64647000,-2550101000,-2207000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4656000,4709000,988000,756000,-602000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,621068000,51391000,61678000,66046000,82021000,89543000,121735000,1180296000,546574000,489299000,1311208000,1486379000,1441511000,1491252000,1588644000,1681053000,1745700000,-804401000,-1811000
82,Other Non-Cash Items,-1800000,-500000,-1600000,-1300000,2200000,3013000,-2445000,-2019000,-620877000,568316000,-10066000,-5699000,-14713000,-10409000,-34512000,-1061861000,628292000,60011000,-825898000,-173904000,44524000,-50607000,-101193000,-85065000,-68255000,2560044000,817000
83,Cash Provided by Operating Activities,7000000,9600000,8300000,8600000,10400000,12311000,8697000,8978000,12131000,10030000,12453000,15495000,23652000,22030000,19079000,23776000,25642000,35328000,28886000,34843000,33493000,35189000,38890000,48335000,42126000,47781000,34547000
84,CAPEX,-3200000,-1700000,-3900000,-1300000,-1900000,-7041000,-5944000,-2216000,-1881000,-1592000,-2582000,-2953000,-2112000,-1240000,-1077000,-1190000,-1925000,-3099000,-4857000,-6291000,-5747000,-4684000,-4127000,-4399000,-2723000,-2001000,-4369000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2092000,- -,-3172000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2833000,- -,- -
86,Purchases of Investments,-300000,-39200000,-9800000,- -,-33100000,-19322000,-61497000,-79761000,-52970000,-66525000,-108545000,-90326000,-120304000,-54460000,-51160000,-49944000,-61768000,-114646000,-104351000,-54054000,-161279000,-96290000,-124777000,-82022000,- -,-20043000,-494226000
87,Sales/Maturities of Investments,23400000,27100000,43500000,42300000,32500000,33666000,38993000,104823000,53976000,58395000,90100000,83510000,52500000,31973000,27561000,4770000,60421000,81645000,113859000,18927000,137807000,65015000,44156000,96636000,26150000,85732000,160725000
88,Other Investing Activites,-24300000,-27300000,-2900000,-29700000,-55500000,-101053000,-20937000,-65829000,-38201000,-33402000,-26133000,19923000,-1285000,-106991000,-50970000,-78141000,-27769000,-29107000,20250000,-59531000,25583000,-5592000,-55091000,-57010000,-96351000,-107588000,-190647000
89,Cash Used for Investing Activites,-1200000,-39400000,30800000,12600000,-56100000,-86709000,-43441000,-40767000,-37195000,-43624000,-44578000,9935000,-69089000,-129478000,-75646000,-124505000,-31041000,-65207000,24901000,-100949000,-3636000,-41551000,-139839000,-46795000,-75757000,-43900000,-528517000
90,Debt Repayment,- -,-4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48774000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-467000,- -,- -,- -,-1848000,-10951000,-9215000,-2270000,-8838000,-7799000,-6825000,-30997000
93,Dividends Paid,-2100000,-2300000,-2500000,-2800000,-2900000,-2784000,-2579000,-2630000,-2814000,-3029000,-3204000,-3666000,-4118000,-4499000,-4925000,-5448000,-6279000,-7361000,-8510000,-9337000,-9697000,-9979000,-10675000,-13177000,-15234000,-15599000,-15446000
94,Other Financing Activites,15900000,13300000,-4700000,61900000,-6600000,68896000,21247000,-35430000,60239000,61799000,97478000,25048000,29121000,-34638000,160075000,166279000,108711000,-57634000,38897000,146364000,-50372000,39127000,75261000,23298000,29685000,485117000,384813000
95,Cash Used/Provided by Financing Activities,13800000,6700000,-7200000,59100000,-9500000,66112000,18668000,-38060000,57425000,58770000,94274000,21382000,25003000,-39137000,106376000,160364000,102432000,-64995000,30387000,135179000,-71020000,19933000,62316000,1283000,6652000,462693000,338370000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13800000,6700000,-7200000,59100000,-55200000,-8286000,-16076000,-69849000,32361000,25176000,62149000,46812000,-20434000,-146585000,49809000,59635000,97033000,-94874000,84174000,69073000,-41163000,13571000,-38633000,2823000,-26979000,466574000,-155600000
98,Cash at the End of Period,- -,- -,- -,- -,124200000,115931000,99855000,30006000,62367000,87543000,149692000,196504000,176070000,29485000,79294000,138929000,235962000,141088000,225262000,294335000,253172000,266743000,228110000,230933000,203954000,670528000,514928000
99,Cash at the Beginning of Period,70800000,90300000,67200000,99100000,179400000,124217000,115931000,99855000,30006000,62367000,87543000,149692000,196504000,176070000,29485000,79294000,138929000,235962000,141088000,225262000,294335000,253172000,266743000,228110000,230933000,203954000,670528000
100,Free Cash Flow,3800000,7900000,4400000,7300000,8500000,5270000,2753000,6762000,10250000,8438000,9871000,12542000,21540000,20790000,18002000,22586000,23717000,32229000,24029000,28552000,27746000,30505000,34763000,43936000,39403000,45780000,30178000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000095011401500013/0000950114-01-500013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000119380506000714/0001193805-06-000714-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/708781/000114544309000476/0001145443-09-000476-index.html,https://www.sec.gov/Archives/edgar/data/708781/000114420410012778/0001144204-10-012778-index.html,https://www.sec.gov/Archives/edgar/data/708781/000114420411014006/v214144_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677412001006/0001206774-12-001006-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677413000998/0001206774-13-000998-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677414000828/cass_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677415000808/cass_10k.htm,https://www.sec.gov/Archives/edgar/data/708781/000120677416004815/0001206774-16-004815-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677417000734/0001206774-17-000734-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677418000614/0001206774-18-000614-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677419000648/0001206774-19-000648-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677420000650/0001206774-20-000650-index.html,https://www.sec.gov/Archives/edgar/data/708781/000120677421000530/0001206774-21-000530-index.htm,https://www.sec.gov/Archives/edgar/data/708781/000162828022004254/0001628280-22-004254-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
