,https://roic.ai/company/MWA,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2500000
56,Deferred Tax Liabilities,278500000,307300000,295800000,180000000,165500000,154200000,132800000,141500000,150400000,145300000,109900000,115100000,79200000,87900000,99800000,99900000
57,Other Non-Current Liabilities,114500000,56300000,85000000,173900000,122200000,79600000,86800000,29600000,71300000,65800000,86200000,37100000,36500000,33200000,50500000,30100000
58,Total Non-Current Liabilities,1511300000,1457900000,1466600000,1082400000,979200000,911200000,841300000,770600000,721100000,694000000,675300000,627200000,560000000,566500000,599300000,603000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,28600000
61,Total Liabilities,1762900000,1698200000,1761300000,1303200000,1162900000,1106000000,1009700000,953700000,965500000,862000000,861100000,768800000,727100000,745000000,754300000,823100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1100000,1100000,1200000,1500000,1500000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000
64,Retained Earnings,-173000000,-124800000,-81600000,-1078300000,-1123500000,-1161600000,-1270000000,-1229200000,-1173700000,-1142800000,-1078900000,-955600000,-850000000,-786200000,-714200000,-643900000
65,Other Comprehensive Income/Loss,-18600000,13000000,-20000000,-86000000,-70000000,-54000000,-88000000,-29000000,-61000000,-67000000,-68000000,-52000000,-33000000,-36000000,-25000000,-5000000
66,Other Total Stockholders Equity,- -,1421700000,1429300000,1599100000,1597300000,1593000000,1587600000,1584800000,1583100000,1574500000,1563600000,1494400000,1444700000,1410700000,1378300000,1342200000
67,Total Stockholders Equity,1227000000,1311000000,1328900000,436300000,405300000,379000000,231200000,328200000,350000000,366300000,418300000,488400000,563300000,590100000,640700000,694900000
68,Total Liabilities And Stockholders Equity,2989900000,3009200000,3090200000,1739500000,1568200000,1485000000,1240900000,1281900000,1315500000,1228300000,1279400000,1257200000,1290400000,1335100000,1395000000,1518000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1500000,1200000,1100000,1500000,2200000,-100000,- -
70,Total Liabilities & Equity,2989900000,3009200000,3090200000,1739500000,1568200000,1485000000,1240900000,1281900000,1317100000,1229800000,1280600000,1258300000,1291900000,1337300000,1394900000,1518000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350593/000119312507255091/0001193125-07-255091-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000095014408009023/0000950144-08-009023-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000119312509241519/0001193125-09-241519-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000119312510267819/0001193125-10-267819-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059311000017/0001350593-11-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059312000058/0001350593-12-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059313000043/0001350593-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059314000049/0001350593-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059315000049/0001350593-15-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059316000118/0001350593-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059317000062/0001350593-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059318000061/0001350593-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059319000064/0001350593-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059320000066/0001350593-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059321000061/0001350593-21-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,5100000,48200000,42000000,-996700000,-45200000,-38100000,-108400000,40800000,55500000,30900000,63900000,123300000,105600000,63800000,72000000,70400000
74,Depreciation and Amortization,100000000,103900000,93100000,90200000,84600000,81600000,60600000,59200000,56700000,58100000,52600000,41900000,43700000,53000000,57800000,59600000
75,Deferred Income Tax,-24900000,29600000,-4200000,-57800000,-21100000,-22200000,7600000,7300000,15600000,18500000,-7500000,-5700000,-43300000,1300000,7200000,-5300000
76,Stock Based Compensation,- -,- -,- -,11600000,8300000,5500000,5100000,7100000,8600000,4800000,5200000,6000000,5200000,4300000,5300000,8100000
77,Change in Working Capital,700000,26100000,45900000,-230300000,-72600000,-48700000,-82500000,64800000,-6800000,2000000,45000000,102200000,-10300000,-130000000,37800000,4700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,70400000,15000000,-18200000,109800000,54300000,29300000,-6000000,-25900000,11000000,-24600000,5500000,-1900000,-18400000,-17400000,24900000,-23500000
80,Accounts Payable,- -,- -,- -,- -,-69800000,-18900000,- -,- -,- -,- -,- -,- -,- -,-11000000,-17600000,23000000
81,Other Working Capital,683600000,709700000,755600000,525300000,452700000,404000000,321500000,386300000,379500000,381500000,426500000,528700000,518400000,388400000,426200000,- -
82,Other Non-Cash Items,26700000,-52700000,5200000,1313500000,109000000,62000000,151100000,-70000000,18000000,-26500000,-14100000,-251600000,32200000,100100000,-39800000,19200000
83,Cash Provided by Operating Activities,107600000,155100000,182000000,130500000,63000000,40100000,33500000,109200000,147600000,87800000,145100000,16100000,133100000,92500000,140300000,156700000
84,CAPEX,-71100000,-88300000,-88100000,-48400000,-32800000,-31500000,-31400000,-35600000,-36900000,-37500000,-39400000,-40600000,-55700000,-86600000,-67700000,-62700000
85,Acquisitions Net,-15600000,-26200000,- -,- -,- -,-9200000,-1300000,-1100000,-10000000,300000,- -,-26600000,- -,-127500000,- -,-19700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,5300000,800000,9600000,-42900000,23600000,-30100000,56400000,-30600000,-32200000,-31900000,-39100000,257500000,-47900000,-84300000,-67500000,-62000000
89,Cash Used for Investing Activites,-81400000,-113700000,-78500000,-42900000,23600000,-39300000,55100000,-31700000,-42200000,-31600000,-39100000,230900000,-47900000,-211800000,-67500000,-81700000
90,Debt Repayment,- -,- -,- -,-897400000,-318500000,-15000000,-57200000,-23200000,-55700000,-589000000,-5000000,-4900000,-486300000,-13200000,- -,-462400000
91,Common Stock Issued,428900000,1800000,1900000,166900000,1000000,1000000,200000,3100000,4200000,3300000,3300000,5800000,7300000,5200000,3500000,1900000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1500000,-3100000,-7400000,-3300000,-57700000,-32100000,-11300000,-5900000,-10000000
93,Dividends Paid,-444500000,-8000000,-8100000,-8100000,-10800000,-10900000,-11000000,-11000000,-11200000,-12000000,-16100000,-24000000,-30100000,-32000000,-33100000,-34800000
94,Other Financing Activites,70800000,-19400000,-11900000,529300000,262400000,2000000,-100000,-3100000,600000,506100000,-2600000,-700000,442900000,400000,-5900000,446500000
95,Cash Used/Provided by Financing Activities,55200000,-25600000,-18100000,-209300000,-65900000,-22900000,-68100000,-35700000,-65200000,-99000000,-23700000,-81500000,-98300000,-50900000,-41400000,-58800000
96,Effect of Forex Changes on Cash,- -,1700000,-400000,-700000,1500000,-400000,1500000,-1200000,-2700000,-5200000,-400000,1200000,-1500000,-200000,800000,2400000
97,Net Change In Cash,55200000,17500000,85000000,-122400000,22200000,-22500000,22000000,40600000,37500000,-48000000,81900000,166700000,-14600000,-170400000,32200000,18600000
98,Cash at the End of Period,81400000,98900000,183900000,61500000,83700000,61200000,83000000,123600000,161100000,113100000,195000000,361700000,347100000,176700000,208900000,227500000
99,Cash at the Beginning of Period,- -,81400000,98900000,183900000,61500000,83700000,61000000,83000000,123600000,161100000,113100000,195000000,361700000,347100000,176700000,208900000
100,Free Cash Flow,36500000,66800000,93900000,82100000,30200000,8600000,2100000,73600000,110700000,50300000,105700000,-24500000,77400000,5900000,72600000,94000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350593/000119312507255091/0001193125-07-255091-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000095014408009023/0000950144-08-009023-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000119312509241519/0001193125-09-241519-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000119312510267819/0001193125-10-267819-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059311000017/0001350593-11-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059312000058/0001350593-12-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059313000043/0001350593-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059314000049/0001350593-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059315000049/0001350593-15-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059316000118/0001350593-16-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059317000062/0001350593-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059318000061/0001350593-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059319000064/0001350593-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059320000066/0001350593-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1350593/000135059321000061/0001350593-21-000061-index.htm
102,false,,,,,,,,,,,,,,,,
