,https://roic.ai/company/III,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-5750000,5719000,-1000,-2000,-310000,-30000,-103000,403000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-48305,-203630000,-1634000,-1239000,-6707000,-9655000,-1848000,-1903000,-3370000,-1945000,-57649000,-3655000,-3999000,-1922000,-3498000,- -
90,Debt Repayment,- -,- -,-950000,-22238000,-2000000,-6000000,-7000000,-60822000,-3375000,-2591000,-4850000,-8540000,-17637000,-17250000,-8088000,- -
91,Common Stock Issued,10078,265250000,246000,244000,302000,322000,334000,382000,576000,581000,12000000,- -,824000,- -,- -,- -
92,Common Stock Repurchased,-4687,-94893000,-3235000,-86000,- -,-1225000,-1513000,-4055000,-5320000,-3381000,-11565000,-2853000,-3063000,-3428000,-5166000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5189000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,178693,74010000,- -,- -,- -,- -,-2000000,55097000,-1287000,-2673000,68704000,-4746000,-4127000,1744000,-2441000,- -
95,Cash Used/Provided by Financing Activities,184084,244367000,-3939000,-22080000,-1698000,-6903000,-10179000,-9398000,-9406000,-13253000,64289000,-16139000,-24003000,-18934000,-15695000,- -
96,Effect of Forex Changes on Cash,- -,430000,-939000,903000,173000,-145000,327000,-168000,-1654000,-1442000,-649000,2285000,-915000,-65000,806000,- -
97,Net Change In Cash,- -,47088000,13969000,-18360000,-2485000,-15832000,-970000,11586000,-7423000,-9827000,16650000,-6065000,-9789000,-484000,25584000,- -
98,Cash at the End of Period,88911,47177000,61146000,42786000,40301000,24469000,23499000,35085000,27662000,17835000,34485000,28420000,18725000,18241000,43825000,- -
99,Cash at the Beginning of Period,- -,89000,47177000,61146000,42786000,40301000,24469000,23499000,35085000,27662000,17835000,34485000,28514000,18725000,18241000,43825000
100,Free Cash Flow,-95173,5684000,18847000,2817000,4790000,-819000,8907000,21154000,4837000,5435000,8300000,8275000,15129000,18515000,42790000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1371489/000104746908003541/0001047469-08-003541-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746909002741/0001047469-09-002741-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1371489/000104746911002222/0001047469-11-002222-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746912002765/0001047469-12-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746913002665/0001047469-13-002665-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746914001991/0001047469-14-001991-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000104746915002152/0001047469-15-002152-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837016003969/0001558370-16-003969-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837017001838/0001558370-17-001838-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837018002157/0001558370-18-002157-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837019002121/0001558370-19-002121-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837020002405/0001558370-20-002405-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837021002901/0001558370-21-002901-index.htm,https://www.sec.gov/Archives/edgar/data/1371489/000155837022003397/0001558370-22-003397-index.htm
102,false,,,,,,,,,,,,,,,,
