,https://roic.ai/company/TLFA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0902,0.0925,0.0828,-0.0106,0.0472,0.0405,0.0701,0.1078,0.1047,0.1040,0.0982,0.0923,0.1099,0.1280,0.0815,0.0785,0.0935,0.1108,0.1166,0.1257,0.1439,0.1433,0.1245,0.1242,0.0880,0.0461,-0.0347,-0.0991,0.0278
19,Total Other Income Expenses (Gains),-100000,-100000,-600000,-1000000,-900000,- -,-900000,-653779,-533482,-311917,-125169,-44800,134502,98391,316831,-67072,-133699,-159865,-165148,-198360,-46031,-150419,-255647,-97902,-78698,-124766,3965,69000,-107000
20,Income Before Tax,2100000,2500000,2000000,-1300000,300000,- -,1000000,2591305,3368486,3819857,3972490,4213646,5707913,7166105,4827832,4112072,4961402,6475746,7541502,8945645,11220759,11807610,10219053,10202829,7163124,3703697,-2594244,-6279000,2193000
21,Income Before Tax Ratio,0.0861,0.0890,0.0637,-0.0459,0.0118,- -,0.0369,0.0861,0.0904,0.0961,0.0952,0.0913,0.1125,0.1298,0.0873,0.0772,0.0911,0.1081,0.1141,0.1230,0.1433,0.1415,0.1214,0.1230,0.0870,0.0446,-0.0346,-0.0980,0.0265
22,Income Tax expense (Gain),800000,1000000,800000,-300000,200000,-100000,600000,1049985,1362053,1224868,1232116,1559605,1994199,2389039,1739701,1507891,1700259,2317255,2787533,3349575,3955042,4100689,3816648,3800570,2711373,1739869,-690463,-1378000,839000
23,Net Income,1200000,1500000,1200000,-1000000,100000,- -,400000,1541320,2006433,-1413842,2740374,2654041,3713714,4777066,3088131,2604181,3318057,4160257,4752601,5596070,7265717,7706921,6402405,6402259,4451751,1963828,-1903781,-4901000,1354000
24,Net Income ratio,0.0492,0.0534,0.0382,-0.0353,0.0039,- -,0.0148,0.0512,0.0538,-0.0356,0.0657,0.0575,0.0732,0.0865,0.0558,0.0489,0.0609,0.0695,0.0719,0.0770,0.0928,0.0924,0.0761,0.0772,0.0541,0.0236,-0.0254,-0.0765,0.0164
25,EPS,0.13,0.15,0.12,-0.10,0.01,- -,0.04,0.16,0.20,-0.14,0.27,0.25,0.35,0.44,0.28,0.24,0.32,0.41,0.47,0.55,0.71,0.76,0.64,0.69,0.48,0.21,-0.21,-0.54,0.15
26,EPS Diluted,0.13,0.15,0.12,-0.10,0.01,- -,0.04,0.15,0.19,-0.14,0.25,0.24,0.34,0.43,0.28,0.24,0.31,0.41,0.47,0.55,0.71,0.75,0.63,0.69,0.48,0.21,-0.21,-0.54,0.15
27,Weighted Average Shares Outstanding,9230769,10000000,10000000,9788530,10000000,10000000,10000000,9633250,10032165,10063581,10323549,10543994,10643004,10807316,10951481,10931306,10471103,10208944,10156442,10157395,10176492,10203063,10077140,9301867,9242092,9185203,8973246,9062598,9062598
28,Weighted Average Shares Outstanding Diluted,9230769,10000000,10000000,10000000,10000000,10000000,10000000,10275467,10560174,10761670,10861305,10957518,10976240,11113855,11157775,11015657,10535736,10251863,10182098,10175346,10216438,10241121,10102394,9318045,9256810,9185662,8973246,9062598,9062598
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909724/000090972419000004/0000909724-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036121021895/0001140361-21-021895-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036121030267/0001140361-21-030267-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036122012320/0001140361-22-012320-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,101557,1728344,2560202,3215727,6739891,6810396,7810298,7891962,4293746,10765591,7705182,11082679,10636530,10962615,16862304,18337258,24070351,15905158,10329000,10155000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3011000,5017000,1621593,423893,- -,- -,- -,- -,- -,- -,- -,9152166,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,101557,1728344,2560202,3215727,6739891,6810396,10821298,12908962,5915339,11189484,7705182,11082679,10636530,10962615,16862304,18337258,24070351,25057324,10329000,10155000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1984039,1828738,2032289,2178848,2599279,2843188,1348640,1202811,1294802,1387550,887500,1100893,718408,599463,560984,461212,408170,408711,3103000,614000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,12695344,11079893,12749709,15669182,17169358,17473352,16011147,16865826,20236028,19940251,25862784,26300830,32875492,33584539,33177539,37311197,33867276,24041827,36779000,38084000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1395349,1042571,829031,631930,1355276,1055402,838760,1063365,1322547,1170739,1214663,2059282,2121375,2414934,2713415,1703483,1789440,3007838,801000,1596000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16176289,15679546,18171231,21695687,27863804,28182338,29019845,32040964,28768716,33688024,35670129,40543684,46351805,47561551,53314242,57813150,60135237,52515700,51012000,50449000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,2019851,1905893,1904565,1759477,1876605,6998812,10320847,9679721,10284541,10299350,11944590,14427710,15162278,15695053,15651793,15467842,14399297,26816322,24206000,22199000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,746611,746139,990536,966655,983823,990368,987009,990725,981985,971786,953356,956201,962949,954765,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1169991,1136784,1180618,398967,360676,1044606,355492,307802,232416,187292,145534,103228,58026,27282,20840,19222,16500,7000,6000,6000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1169991,1136784,1180618,1145578,1106815,2035142,1322147,1291625,1222784,1174301,1136259,1085213,1029812,980638,977041,982171,971265,7000,6000,6000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84695,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,682364,- -,- -,- -,- -,- -,- -,375236,271738,248228,427333,82000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,309471,336183,910749,1079731,1069411,435214,313074,-367443,319533,341240,252000,341959,329979,329684,334408,379695,386107,344816,387000,431000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3499313,3378860,3995932,3984786,4052831,9469168,11956068,11286267,11826858,11814891,13417544,15854882,16522069,17005375,17338478,17101446,16004897,27595471,24681000,22636000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19675602,19058406,22167163,25680473,31916635,37651506,40975913,43327231,40595574,45502915,49087673,56398566,62873874,64566926,70652720,74914596,76140134,80111171,75693000,73085000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1594909,1545079,1954146,1220420,1776646,1497564,1148577,1185032,1247821,1622697,1612627,1884637,1255218,1983376,1621884,1413450,1215490,6204052,6781000,4786000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4218968,1134,134067,134067,111723,135000,467611,202500,202500,202500,202500,202500,3702500,304638,686997,614311,747335,3822748,3544000,3119000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441107,399536,929421,932052,409187,695538,490749,383657,494720,524184,491775,458882,935000,972000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,421908,488305,- -,597546,747335,826467,864104,934868,902236,909297,905657,843178,319124,301000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2503331,1000427,1704767,2750154,3483402,1717882,2965011,4387680,4850070,4532753,5216036,5216976,4459646,5143316,5027890,4047820,4096651,1886155,2297000,4302000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8317208,2546640,3792980,4104641,5371771,3772354,5069504,5775212,6897937,7105285,7857630,8168217,10352232,8333566,8246068,6981238,6902654,12232079,12923000,12207000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2256,1792984,505154,- -,- -,3915000,3712500,3510000,3307500,3105000,2902500,2396250,1940625,3479273,6757419,6757419,8220683,10654631,9720000,8530000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,186076,209289,313006,206253,221621,148648,600309,682364,628543,858829,806525,1212557,1458005,1702515,1956032,1636958,1556493,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245790,111722,- -,- -,328838,- -,- -,- -,- -,- -,- -,79396,- -,- -,- -,805034,856000,847000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,188332,2002273,1063950,317975,221621,4063648,4641647,4192364,3936043,3963829,3709025,3608807,3398630,5261184,8713451,8394377,9777176,11459665,10576000,9377000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245790,111722,- -,- -,593949,- -,- -,- -,- -,- -,- -,152082,72686,- -,- -,14477379,12818000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8505540,4548913,4856930,4422616,5593392,7836002,9711151,9967576,10833980,11069114,11566655,11777024,13750862,13594750,16959519,15375615,16679830,23691744,23499000,21584000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,24360,25171,25345,25780,26124,26359,26388,26453,26760,26760,26775,26862,26984,27062,27142,27153,27232,25072,25000,24000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,7064345,9804719,12458760,16172475,20949540,24037672,26641853,29959910,26429335,31181936,34241875,41507592,46664829,53067234,59469493,63921244,65716761,62210781,57310000,58664000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82544,6445,54616,96644,80475,357483,-39537,334205,496180,382630,378927,88249,-688058,-1687679,-1893129,-962103,-1510660,-1080546,-1292000,-1373000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4163901,4673158,4771512,4962958,5267104,5393990,4636058,3039087,2809319,2842475,2873440,2998839,3119257,-434441,-3910305,-3447313,-4773029,-4735880,-3849000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11170062,14509493,17310233,21257857,26323243,29815504,31264762,33359655,29761594,34433801,37521017,44621542,49123012,50972176,53693201,59538981,59460304,56419427,52194000,51501000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,19675602,19058406,22167163,25680473,31916635,37651506,40975913,43327231,40595574,45502915,49087672,56398566,62873874,64566926,70652720,74914596,76140134,80111171,75693000,73085000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,19675602,19058406,22167163,25680473,31916635,37651506,40975913,43327231,40595574,45502915,49087673,56398566,62873874,64566926,70652720,74914596,76140134,80111171,75693000,73085000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909724/000090972419000004/0000909724-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036121021895/0001140361-21-021895-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036121030267/0001140361-21-030267-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036122012320/0001140361-22-012320-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,1500000,1200000,-1000000,100000,- -,400000,1541320,2006433,-1413842,2740374,2654041,3713714,4777066,3088131,2604181,3318057,4160257,4752601,5596070,7265717,7706921,6402405,6402259,4451751,1963828,-1903781,-4901000,1354000
74,Depreciation and Amortization,200000,200000,400000,600000,500000,500000,800000,627582,775906,528350,529262,452653,456706,392915,634291,985549,1125009,972409,1016561,1068226,1194612,1436624,1567172,1719154,1875102,1797281,5137154,4214000,1105000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30184,47991,38721,-181317,23222,-63893,479098,40776,-90520,256544,-120531,445977,183490,289171,205111,-215576,-90997,-334343,442000,83000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30495,2540,41692,33156,10000,11686,67818,145322,199870,239599,327629,770188,887000,797000
77,Change in Working Capital,-1800000,- -,- -,- -,- -,- -,- -,-379467,379467,7859081,5273825,1245345,3212795,4900987,1917951,-459643,2315411,-4394973,4711960,1229760,4562968,3624106,3228412,5840189,5763738,2400671,-12948962,-2194621,153000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358467,-99994,-56736,-74940,505807,60367,137351,71848,-7778,99772,53042,-22703,86000,-325000
79,Inventory,-1800000,-1800000,300000,200000,500000,300000,-1900000,1562274,151629,-3463866,1615451,-1303762,-2919473,-1500176,156052,1462205,-900466,-3370202,295777,-5922533,-438046,-6574662,-709047,407000,-4133658,3443921,9329998,-12686000,-2777000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-348987,36455,62788,374876,-10070,272010,-629419,728158,-361492,-208434,-197960,3499627,-440000,1143000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-379467,- -,7859081,13132906,14378251,17591046,22492033,24409984,23950341,26265752,21870779,26582739,27812499,32375467,35999573,39227985,45068174,50831912,53232583,40283621,38089000,38242000
82,Other Non-Cash Items,300000,-2100000,-900000,500000,1000000,1100000,-1000000,2113119,-1134453,-5510475,-5243514,-1452049,-5666371,-6181686,-3031253,4210386,-1527332,2032378,-4198210,-5869730,-5941070,-11841247,-3433582,-6827000,-9093027,989929,19751037,-10974379,224000
83,Cash Provided by Operating Activities,-100000,-400000,700000,100000,1600000,1600000,200000,3902554,2027353,1432930,3347938,2938711,1535527,3912504,2545227,7850066,5274461,2721243,6572612,1913795,7539890,1177712,8198900,7539583,3021587,7388341,10471293,-12527000,3716000
84,CAPEX,-300000,-300000,-500000,-200000,-200000,-100000,-300000,-377840,-629773,-1073515,-360202,-369559,-272826,-471753,-1705367,-2870256,-791565,-1553339,-1100523,-2686221,-3770022,-2204190,-2174040,-1697704,-1689645,-1091433,-268961,-1313000,-1001000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2999159,- -,-435747,- -,-556794,- -,- -,-771417,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3109000,-8671000,-2572593,-87893,- -,- -,- -,- -,- -,- -,- -,-18094775,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,598000,6665000,5968000,1285593,423893,- -,- -,- -,- -,- -,- -,9095000,7523000,- -
88,Other Investing Activites,-300000,-5700000,-300000,-300000,-100000,- -,- -,5003,1814,-16379,-21753,12280,-159836,14070,6005,139546,663,2958,4556,5775,79,32916,1957,152356,-7706,23706,112589,46000,- -
89,Cash Used for Investing Activites,-300000,-6000000,-800000,-500000,- -,-100000,-300000,-3371996,-627959,-1525641,-381955,-914073,-432662,-457683,-2470779,-5217002,-2796902,1845026,101733,-2256553,-3769943,-2171274,-2162083,-1545348,-1697351,-1067727,-9156147,6256000,-1001000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-344764,-796449,-202500,-202500,-202500,-506250,-455625,-5723015,-79396,-72686,- -,-8968018,- -,-14000
91,Common Stock Issued,1300000,600000,- -,- -,- -,- -,- -,- -,132499,133774,510068,124015,191881,203410,107780,14500,24818,170266,- -,20980,113800,52722,9920,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-200000,-300000,- -,- -,- -,- -,- -,- -,- -,-25487,- -,- -,- -,-802898,-1624264,-441419,- -,- -,- -,- -,-3708862,-3675654,- -,-1653266,-735199,- -,-2738000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7690832,- -,-2536131,- -,-2549684,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,5600000,300000,700000,-2000000,-1000000,-400000,-430882,-1356994,-348546,-1849264,-1291308,-639221,-134067,-111723,- -,- -,- -,- -,- -,- -,3500000,3711225,3660505,223404,1596288,- -,416000,-25000
95,Cash Used/Provided by Financing Activities,900000,6200000,100000,400000,-2000000,-1000000,-400000,-430882,-1224495,-214772,-1339196,-1192780,-447340,69343,-3943,-1133162,-2395895,-8164485,-202500,-2717651,-392450,547413,-5710732,-94545,150718,-56978,-9703217,416000,-2777000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-530543,222878,279000,-112000
97,Net Change In Cash,900000,6200000,100000,400000,-2000000,-1000000,-400000,99676,174899,-307483,1626787,831858,655525,3524164,70505,1499902,81664,-3598216,6471845,-3060409,3377497,-446149,326085,5899689,1474954,5733093,-8165193,-5576000,-174000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,100000,234141,409040,101557,1728344,2560202,3215727,6739891,6810396,7810298,7891962,4293746,10765591,7705182,11082679,10636530,10962615,16862304,18337258,24070351,15905158,10329000,10155000
99,Cash at the Beginning of Period,100000,500000,400000,500000,500000,100000,500000,134465,234141,409040,101557,1728344,2560202,3215727,6739891,6310396,7810298,7891962,4293746,10765591,7705182,11082679,10636530,10962615,16862304,18337258,24070351,15905000,10329000
100,Free Cash Flow,-400000,-700000,200000,-100000,1400000,1500000,-100000,3524714,1397580,359415,2987736,2569152,1262701,3440751,839860,4979810,4482896,1167904,5472089,-772426,3769868,-1026478,6024860,5841879,1331942,6296908,10202332,-13840000,2715000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909724/000090972419000004/0000909724-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036121021895/0001140361-21-021895-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036121030267/0001140361-21-030267-index.htm,https://www.sec.gov/Archives/edgar/data/909724/000114036122012320/0001140361-22-012320-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
