,https://roic.ai/company/PLG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,- -,- -,2806113,3674363,6958298,13222637,25026634,34804698,36764203000,61237888,119757641,292878208,245439807,369929805,506041349,495115505,519858000,100528000,41849000,43663000,37415000,51199000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1095052/000113717105000293/financials.htm,https://www.sec.gov/Archives/edgar/data/1095052/000113717106000438/platinum20f022806.htm,https://www.sec.gov/Archives/edgar/data/1095052/000113717106002229/financials.htm,https://www.sec.gov/Archives/edgar/data/1095052/000109505207000017/0001095052-07-000017-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000109505208000041/0001095052-08-000041-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000113717109000959/0001137171-09-000959-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000113717110000715/0001137171-10-000715-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000120445911003165/0001204459-11-003165-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299312005082/0001062993-12-005082-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299313006057/0001062993-13-006057-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000110465914083412/0001104659-14-083412-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299315006423/0001062993-15-006423-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299316012525/0001062993-16-012525-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299317005381/form20f.htm,https://www.sec.gov/Archives/edgar/data/1095052/000106299318004854/0001062993-18-004854-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299319004589/0001062993-19-004589-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-311477,-963565,-1263449,-1708434,-3195662,-3485863,-6397920,- -,-6357803,25141620,-12479622,-10662102,-11733068,-9599573,-2868168,-20675000,-542415000,-38682000,-16776000,-7128000,-13063000
74,Depreciation and Amortization,- -,4563,6581,11171,24201,63784,84952,118381,- -,107027,98663,266995,389708,366154,435926,473497,446000,535000,347000,235000,177000,122000
75,Deferred Income Tax,- -,- -,-291068,-153435,-211780,-667649,- -,- -,- -,-290354,13752629,-2112889,2771260,163157,-192212,817858,-7494000,1656000,- -,106000,72000,55000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1918042,129762,7058895,2020039,1106052,2043519,1055740,150000,1144000,77000,787000,1569000,3184000
77,Change in Working Capital,- -,-101214,-129791,223529,245489,-353571,111554,130750,-8602700000,-324402,371729,356345,424953,2082148,-3261169,-1792039,-574000,3375000,2965000,-390000,-739000,-72000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-231768,-257588,586920,-267862,2103965,-3016536,-2295743,-2124000,4445000,-42000,195000,234000,30000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130308,646829,-230575,- -,- -,- -,- -,- -,- -,- -,-585000,-973000,-102000
81,Other Working Capital,- -,-101214,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,4727,713707,691099,752266,1970900,1157766,2662506,8602700000,0,-45824316,888379,2531595,7741415,4949694,2168118,25349000,539168000,14691000,11086000,2929000,1720000
83,Cash Provided by Operating Activities,- -,-403401,-664136,-491086,-898258,-2182198,-2131591,-3486283,- -,-4947490,-6329913,-6021897,-2524546,-274142,-5623816,-144994,-2798000,3463000,-20602000,-4952000,-3120000,-8054000
84,CAPEX,- -,-95654,-80469,-342707,-435957,-1125027,-713755,-1065845,- -,-2014257,-27045061,-40641245,-37198530,-69314172,-142379568,-130673846,-133350000,-134488000,- -,- -,- -,-2415000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-5229099,-4397787,- -,-842546,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,10832,- -,- -,- -,42338,- -,- -,- -,2835475,- -,- -,- -,- -,- -,- -,- -,- -,7951000,- -,- -
88,Other Investing Activites,- -,-238266,-760773,-945239,-2134164,-3547427,- -,-0,- -,-1783319,-1158276,-70599979,-4858768,6148738,-7088859,-5133704,10114000,15167000,7889000,-7399000,-5370000,-43000
89,Cash Used for Investing Activites,- -,-333920,-830410,-1287946,-2570121,-4672454,-5900517,-5463632,- -,-2856803,-23593909,-92173391,-42057298,-63165434,-149468428,-135807550,-123236000,-119321000,7889000,552000,-5370000,-2808000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10475,-21244,- -,- -,- -,- -,- -,- -,-5000000,-73163000,-41023000,-66000,-10691000
91,Common Stock Issued,- -,876078,1080250,1848195,4556630,7141478,14653258,11434354,- -,36288463,1088456,146899740,- -,170745589,161154745,99737198,33000000,88774000,19882000,25024000,5705000,27949000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,714843,- -,- -,- -,-11276,-2424,-20872,- -,- -,0,15277201,- -,-10395561,-9116744,-7702822,73683000,13446000,65076000,22441000,-1046000,-1513000
95,Cash Used/Provided by Financing Activities,- -,1590921,1080250,1848195,4556630,7130202,14650834,11413482,- -,36277988,1067212,162176941,- -,160350028,152038001,92034376,106683000,97220000,11795000,6442000,4593000,15594000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-901010,-2196264,-7630431,-287858,1074619,-3281000,5602000,521000,491000,-345000,19000
97,Net Change In Cash,- -,853600,-414296,69163,1088252,275550,6618726,2463567,- -,28473695,-28856610,63080643,-46778108,89280023,-3342101,-42843550,-22632000,-13036000,-397000,2533000,-4242000,4751000
98,Cash at the End of Period,- -,996693,576814,718522,1845976,2315690,9106931,11993815,- -,30098777,2231362,65497657,17788631,106036805,99462909,38829020,16450000,3414000,3017000,5550000,1308000,6059000
99,Cash at the Beginning of Period,- -,143094,991110,649359,757725,2040140,2488204,9530248,- -,1625082,31087972,2417014,64566739,16756782,102805010,81672570,39082000,16450000,3414000,3017000,5550000,1308000
100,Free Cash Flow,- -,-499055,-744605,-833793,-1334215,-3307225,-2845346,-4552128,- -,-6961747,-33374975,-46663142,-39723075,-69588313,-148003384,-130818840,-136148000,-131025000,-20602000,-4952000,-3120000,-10469000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095052/000113717105000293/financials.htm,https://www.sec.gov/Archives/edgar/data/1095052/000113717106000438/platinum20f022806.htm,https://www.sec.gov/Archives/edgar/data/1095052/000113717106002229/financials.htm,https://www.sec.gov/Archives/edgar/data/1095052/000109505207000017/0001095052-07-000017-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000109505208000041/0001095052-08-000041-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000113717109000959/0001137171-09-000959-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000113717110000715/0001137171-10-000715-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000120445911003165/0001204459-11-003165-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299312005082/0001062993-12-005082-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299313006057/0001062993-13-006057-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000110465914083412/0001104659-14-083412-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299315006423/0001062993-15-006423-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299316012525/0001062993-16-012525-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299317005381/form20f.htm,https://www.sec.gov/Archives/edgar/data/1095052/000106299318004854/0001062993-18-004854-index.html,https://www.sec.gov/Archives/edgar/data/1095052/000106299319004589/0001062993-19-004589-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
