,https://roic.ai/company/GRFS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1451,0.1551,0.2333,0.2675,0.2807,0.2394,0.2068,0.2941,0.3081,0.2956,0.2809,0.2826,0.2691,0.2743,0.2786,0.2496,0.1746
17,Operating Income,73586000,100490000,146354000,202961000,226528000,209683000,278861000,660084000,736120000,857689000,970370000,939408000,1003343000,994124000,1131365000,996132000,595064000
18,Operating Income ratio,0.1404,0.1549,0.2081,0.2492,0.2481,0.2116,0.1553,0.2518,0.2685,0.2556,0.2466,0.2320,0.2324,0.2216,0.2219,0.1865,0.1206
19,Total Other Income Expenses (Gains),-32766000,-36981000,-22767000,-30692000,-22534000,-51899000,-198838000,-272136000,-238584000,-268009000,-280120000,-226656000,-307621000,-268282000,-314262000,-117503000,-244611000
20,Income Before Tax,40820000,63509000,123587000,172269000,203994000,157784000,80023000,387948000,497536000,589680000,690250000,712752000,695722000,725842000,817103000,878629000,350453000
21,Income Before Tax Ratio,0.0779,0.0979,0.1757,0.2116,0.2234,0.1593,0.0446,0.1480,0.1815,0.1757,0.1754,0.1760,0.1611,0.1618,0.1603,0.1645,0.0710
22,Income Tax expense (Gain),15315000,17824000,35239000,50153000,56424000,42517000,29795000,132571000,155482000,122597000,158809000,168209000,34408000,131436000,168459000,169639000,85126000
23,Net Income,25556000,45394000,87774000,121728000,147972000,115513000,50307000,256686000,345551000,470253000,532145000,545456000,662700000,596642000,625146000,618546000,182803000
24,Net Income ratio,0.0487,0.0700,0.1248,0.1495,0.1620,0.1166,0.0280,0.0979,0.1260,0.1401,0.1352,0.1347,0.1535,0.1330,0.1226,0.1158,0.0371
25,EPS,0.06,0.11,0.18,0.25,0.31,0.23,0.09,0.38,0.51,0.69,0.78,0.80,0.97,0.87,0.91,0.90,0.27
26,EPS Diluted,0.06,0.11,0.18,0.25,0.31,0.23,0.09,0.38,0.51,0.69,0.78,0.80,0.97,0.87,0.91,0.90,0.27
27,Weighted Average Shares Outstanding,421254064,429583236,489965490,486734549,483833671,491820164,555590485,685402388,681010596,685344936,685283873,683225815,684197276,684709377,685115836,685515740,681556937
28,Weighted Average Shares Outstanding Diluted,421254064,429583236,489965490,486734549,483833671,491820164,555590485,685402388,681010596,685344936,685658983,684170887,684243891,684709377,685115836,685515740,681556937
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438569/000119312512139637/0001193125-12-139637-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465913027300/0001104659-13-027300-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465914025829/0001104659-14-025829-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465915024797/0001104659-15-024797-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465916109722/0001104659-16-109722-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465917021206/0001104659-17-021206-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465918022787/0001104659-18-022787-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465919020063/0001104659-19-020063-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465920043470/0001104659-20-043470-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22856000,26883000,5690000,6368000,249372000,239649000,340586000,473327000,708777000,1079146000,1142500000,895009000,886521000,1033792000,741982000,579647000,655493000
32,Short-Term Investments,661000,6232000,7080000,6657000,8217000,12946000,16904000,- -,- -,- -,- -,- -,- -,- -,1727429000,10861000,2029107000
33,Cash and Short-Term Investments,23517000,33115000,12770000,13025000,257589000,252595000,357490000,473327000,708777000,1079146000,1142500000,895009000,886521000,1033792000,2469411000,590508000,2684600000
34,Net Receivables,147710000,188868000,200472000,231806000,255182000,282994000,531989000,441788000,462655000,608328000,477803000,528518000,385265000,401573000,470495000,504200000,495476000
35,Inventory,249545000,235475000,270659000,373098000,484462000,527865000,1030341000,998644000,946913000,1194057000,1431391000,1642931000,1629293000,1949360000,2342590000,2002281000,2259354000
36,Other Current Assets,15522000,15836000,11626000,8671000,7345000,80628000,9395000,20805000,21315000,31591000,37778000,56056000,44237000,98526000,79688000,67965000,70850000
37,Total Current Assets,436294000,473294000,495527000,626600000,1004578000,1144082000,1929215000,1934564000,2139660000,2913122000,3089472000,3122514000,2945316000,3483251000,5362184000,3164954000,5510280000
38,PP&E,186621000,184993000,201332000,301009000,371705000,434131000,775869000,810107000,840238000,1147782000,1644402000,1809852000,1760053000,1951983000,2863403000,3002803000,3343154000
39,Goodwill,117115000,150820000,150243000,158567000,174000000,189448000,1895101000,1869899000,1829141000,3174732000,3532359000,3643995000,4590498000,5209230000,5507063000,5332271000,6228901000
40,Intangible Assets,48718000,60850000,57223000,57756000,69385000,78299000,1008307000,969095000,946435000,1068361000,1161572000,1195302000,1269342000,1385537000,1433534000,1557650000,1636950000
41,Intangible Assets,165833000,211670000,207466000,216323000,243385000,267747000,2903408000,2838994000,2775576000,4243093000,4693931000,4839297000,5859840000,6594767000,6940597000,6889921000,7865851000
42,Investments,2406000,2265000,1134000,2010000,4114000,8133000,6756000,5967000,39130000,58651000,78083000,232421000,259063000,228820000,143984000,1980058000,2359975000
43,Tax Assets,30529000,41452000,34110000,34297000,33395000,34889000,185824000,24717000,34601000,82445000,66794000,67219000,66157000,112539000,123024000,149921000,152507000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,6646000,13125000,11831000,4656000,29033000,58469000,29835000,105686000,109419000,87119000,2068000
45,Total Non-Current Assets,385389000,440380000,444042000,553639000,652599000,744900000,3878503000,3692910000,3701376000,5536627000,6512243000,7007258000,7974948000,8993795000,10180427000,12109822000,13723555000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,821683000,913674000,939569000,1180239000,1657177000,1888982000,5807718000,5627474000,5841036000,8449749000,9601715000,10129772000,10920264000,12477046000,15542611000,15274776000,19233835000
48,Accounts Payable,70587000,81513000,76934000,99215000,120909000,160678000,280722000,228405000,273621000,439631000,409986000,461073000,423096000,561883000,581882000,601618000,628992000
49,Short-Term Debt,103635000,138881000,183992000,151710000,113991000,191635000,147789000,192003000,251389000,165860000,186797000,203944000,133067000,268199000,320802000,319571000,2394182000
50,Tax Payable,- -,- -,3770000,16362000,3258000,4172000,4691000,14995000,15604000,114245000,46469000,41705000,39620000,37170000,42804000,22005000,24794000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,7463000,20373000,9191000,7004000,14229000,15525000,21473000,30144000,43539000
52,Other Current Liabilities,78183000,62370000,55650000,66613000,64143000,70813000,217566000,172457000,182823000,453847000,447032000,399742000,407595000,411714000,442401000,383805000,407599000
53,Total Current Liabilities,252405000,282764000,316576000,317538000,299043000,423126000,646077000,592865000,715296000,1079711000,1053006000,1071763000,977987000,1257321000,1366558000,1335138000,3474312000
54,Long-Term Debt,189994000,198329000,189489000,324055000,703186000,665385000,2809225000,2585988000,2437976000,4071573000,4571846000,4681096000,5878178000,6020508000,6786087000,6591828000,6930124000
55,Deferred Revenue,- -,- -,4545000,2353000,- -,- -,- -,5855000,7034000,6781000,13120000,12196000,11822000,11845000,11377000,17008000,15036000
56,Deferred Tax Liabilities,42104000,45862000,43794000,51969000,60325000,79141000,538441000,453846000,454089000,538786000,631565000,600646000,388912000,404398000,463827000,556813000,633984000
57,Other Non-Current Liabilities,281233000,18367000,999000,3045000,16095000,13940000,148981000,108179000,119437000,90010000,30788000,36093000,29400000,86370000,68994000,53934000,33344000
58,Total Non-Current Liabilities,513331000,262558000,238827000,381422000,779606000,758466000,3496647000,3153868000,3018536000,4707150000,5247319000,5330031000,6308312000,6523121000,7330285000,7219583000,7612488000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,9553000,12064000,10936000,8014000,- -,24597000,19186000,17509000,11508000,9945000,9360000,12885000,740690000,733499000,873724000
61,Total Liabilities,765736000,545322000,555403000,698960000,1078649000,1181592000,4142724000,3746733000,3733832000,5786861000,6300325000,6401794000,7286299000,7780442000,8696843000,8554721000,11086800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,70169000,106532000,106532000,106532000,- -,- -,117882000,1008237000,1030332000,1030332000,1030332000,1030332000,1030332000,1030332000,1030332000,1030332000,1030332000
64,Retained Earnings,25556000,45394000,- -,- -,147972000,115513000,50307000,256686000,276796000,384309000,412530000,422548000,539714000,459895000,488318000,618546000,182803000
65,Other Comprehensive Income/Loss,-39899000,216018000,85940000,163054000,224650000,352871000,627074000,614905000,794134000,1312734000,1911916000,2337311000,2121455000,2790768000,3353053000,3503248000,5047697000
66,Other Total Stockholders Equity,- -,- -,190713000,210443000,- -,- -,867244000,-3060000,- -,-69252000,-58575000,-68710000,-62422000,-55441000,-49584000,-43734000,-164189000
67,Total Stockholders Equity,55826000,367944000,383185000,480029000,566371000,693040000,1662507000,1876768000,2101262000,2658123000,3296203000,3721481000,3629079000,4225554000,4822119000,5108392000,6096643000
68,Total Liabilities And Stockholders Equity,821562000,913266000,938588000,1178989000,1645020000,1874632000,5805231000,5623501000,5835094000,8444984000,9596528000,10123275000,10915378000,12005996000,13518962000,13663113000,17183443000
69,Minority Interest,121000,408000,981000,1250000,12157000,14350000,2487000,3973000,5942000,4765000,5187000,6497000,4886000,471050000,2023649000,1611663000,2050392000
70,Total Liabilities & Equity,821683000,913674000,939569000,1180239000,1657177000,1888982000,5807718000,5627474000,5841036000,8449749000,9601715000,10129772000,10920264000,12477046000,15542611000,15274776000,19233835000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438569/000119312512139637/0001193125-12-139637-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465913027300/0001104659-13-027300-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465914025829/0001104659-14-025829-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465915024797/0001104659-15-024797-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465916109722/0001104659-16-109722-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465917021206/0001104659-17-021206-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465918022787/0001104659-18-022787-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465919020063/0001104659-19-020063-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465920043470/0001104659-20-043470-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,25556000,45394000,87774000,121728000,147972000,115513000,50307000,256686000,345551000,470253000,532145000,545456000,662700000,596642000,625146000,618546000,182803000
74,Depreciation and Amortization,26898000,29357000,31528000,33256000,39554000,45776000,90639000,129126000,128469000,189472000,189755000,201869000,215490000,228609000,302455000,321533000,359767000
75,Deferred Income Tax,15424000,17824000,35239000,50153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,52163000,-33656000,-40382000,-86550000,-104127000,-78767000,-51279000,-43617000,40332000,95281000,-77058000,-164319000,-65800000,-112639000,-481537000,106283000,-140908000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,6090000,7456000,-45516000,-98520000,-113104000,-18306000,6909000,14509000,17277000,-97023000,-120641000,-173003000,-165508000,-231670000,-323748000,164631000,-157474000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-317000,-9843000,-25515000,-45178000,4781000,21730000,130561000,164923000,77659000,223922000,97936000,-29728000,29356000,24816000,122869000,63974000,195313000
83,Cash Provided by Operating Activities,119724000,49076000,88644000,73409000,88180000,104252000,220228000,507118000,592011000,978928000,742778000,553278000,841746000,737428000,568933000,1110336000,596975000
84,CAPEX,- -,- -,- -,- -,-118770000,-103402000,-159899000,-166128000,-172849000,-287039000,-567020000,-292690000,-322973000,-307722000,-412305000,-362560000,-315088000
85,Acquisitions Net,- -,-60458000,-17077000,-632000,-15385000,-1474000,-1624869000,-9184000,-69172000,-1234952000,-58609000,-202727000,-1857210000,-524081000,-119745000,-468589000,326027000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-10806000,-13536000,-21788000,-13661000,-29484000,-20733000,-19447000,-27238000,-42462000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,621000,5776000,30981000,- -,- -,- -,- -,23025000,70119000,- -,- -,1491000
88,Other Investing Activites,-28611000,-34835000,-53637000,-130134000,-17153000,-16403000,137567000,59796000,-17596000,-36722000,-30126000,-40848000,-70704000,-75189000,-99214000,-82134000,-67076000
89,Cash Used for Investing Activites,-28611000,-95293000,-70714000,-130766000,-135953000,-104056000,-1618726000,-64435000,-236034000,-1521104000,-633110000,-506652000,-2185880000,-781867000,-548789000,-858115000,-29393000
90,Debt Repayment,- -,- -,- -,- -,-180665000,-119304000,-1232191000,-281296000,-132920000,-3970803000,-149733000,-161662000,-103844000,-141932000,-127594000,-351914000,-82692000
91,Common Stock Issued,- -,- -,- -,- -,51917000,- -,- -,5185000,155650000,- -,71152000,920000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-25262000,-1250000,-2830000,-5194000,-120429000,-69252000,-58457000,-12686000,- -,- -,- -,- -,-125703000
93,Dividends Paid,-2840000,-7000000,-12805000,-34792000,-80913000,-27282000,- -,- -,-70062000,-156007000,-221772000,-216151000,-218260000,-278841000,-238740000,-113230000,-258946000
94,Other Financing Activites,-90912000,57412000,-25323000,93171000,525819000,118561000,2709993000,-24025000,62615000,5037180000,200772000,60021000,1756169000,573276000,33978000,110743000,1940264000
95,Cash Used/Provided by Financing Activities,-93752000,50412000,-38128000,58379000,290896000,-29275000,1474972000,-305330000,-105146000,841118000,-158038000,-329558000,1434065000,152503000,-332356000,-354401000,1472923000
96,Effect of Forex Changes on Cash,2499000,-1056000,-995000,-344000,-119000,19356000,24463000,-4612000,-15381000,71427000,111724000,35441000,-98419000,39207000,20402000,-60155000,55459000
97,Net Change In Cash,-140000,4027000,-21193000,678000,243004000,-9723000,100937000,132741000,235450000,370369000,63354000,-247491000,-8488000,147271000,-291810000,-162335000,2095964000
98,Cash at the End of Period,22856000,26883000,5690000,6368000,249372000,239649000,340586000,473327000,708777000,1079146000,1142500000,895009000,886521000,1033792000,741982000,579647000,2675611000
99,Cash at the Beginning of Period,22996000,22856000,26883000,5690000,6368000,249372000,239649000,340586000,473327000,708777000,1079146000,1142500000,895009000,886521000,1033792000,741982000,579647000
100,Free Cash Flow,119724000,49076000,88644000,73409000,-30590000,850000,60329000,340990000,419162000,691889000,175758000,260588000,518773000,429706000,156628000,747776000,281887000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438569/000119312512139637/0001193125-12-139637-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465913027300/0001104659-13-027300-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465914025829/0001104659-14-025829-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465915024797/0001104659-15-024797-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465916109722/0001104659-16-109722-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465917021206/0001104659-17-021206-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465918022787/0001104659-18-022787-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465919020063/0001104659-19-020063-index.htm,https://www.sec.gov/Archives/edgar/data/1438569/000110465920043470/0001104659-20-043470-index.htm,- -,- -
102,Forex Rate,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
