,https://roic.ai/company/CAPL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1538849/000104746913003574/0001047469-13-003574-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000119312514091702/0001193125-14-091702-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000119312515070302/0001193125-15-070302-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000153884916000071/0001538849-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000153884917000008/0001538849-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459018003295/0001564590-18-003295-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459019004128/0001564590-19-004128-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459020006520/0001564590-20-006520-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459021010002/0001564590-21-010002-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459022007821/0001564590-22-007821-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-5030000,9910000,-3594000,18070000,-6162000,11441000,10704000,23158000,5251000,18076000,107456000,21654000
74,Depreciation and Amortization,13295000,12153000,14587000,21059000,33217000,48621000,54610000,57540000,66528000,55032000,68742000,77852000
75,Deferred Income Tax,- -,- -,- -,-2948000,-1762000,-6116000,-686000,-18853000,-4261000,3569000,-4436000,-3761000
76,Stock Based Compensation,- -,- -,- -,3162000,11958000,5119000,3927000,1931000,481000,1246000,172000,1311000
77,Change in Working Capital,13003000,1694000,7354000,5818000,-14548000,220000,7963000,-3241000,-24619000,-11555000,-22986000,72069425
78,Accounts Receivable,9441000,-1953000,14043000,-10061000,7130000,10960000,-8156000,597000,16785000,-12948000,10865000,- -
79,Inventory,84000,108000,1049000,-2085000,3235000,9857000,4960000,863000,362000,7244000,-777000,- -
80,Accounts Payable,2144000,1001000,8780000,4288000,-20438000,-12339000,281000,15664000,-5010000,-519000,11076000,- -
81,Other Working Capital,-18227000,-16533000,-9179000,-3361000,-17909000,-17689000,-9726000,-12967000,-37586000,-49141000,-72127000,-57575
82,Other Non-Cash Items,9624000,-12197000,-8730000,-15539000,5828000,5202000,2922000,28425000,46372000,5959000,-44464000,-73657425
83,Cash Provided by Operating Activities,30892000,11560000,9617000,29622000,28531000,64487000,79440000,88960000,89752000,72327000,104484000,95468000
84,CAPEX,-2401000,-2772000,-1524000,-6959000,-13972000,-1318000,-20776000,-12488000,-13717000,-24611000,-37057000,-41859000
85,Acquisitions Net,-2126000,-33749000,-76023000,-42334000,-153561000,-318567000,-97134000,-75627000,-485000,- -,-28244000,-272983000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,19045000,17646000,8401000,2274000,11383000,7049000,228000,15514000,-6295000,-15509000,-13034000,-25707000
89,Cash Used for Investing Activites,14518000,-18875000,-69146000,-47019000,-156150000,-311518000,-96906000,-60113000,-6780000,-15509000,-19549000,-298690000
90,Debt Repayment,-186811000,-29162000,-204156000,-44712000,-2582000,-184865000,-134695000,-143518000,-139992000,-118600000,-254281000,-2604000
91,Common Stock Issued,- -,- -,- -,91370000,135032000,144939000,- -,- -,6306000,- -,- -,- -
92,Common Stock Repurchased,-1043000,- -,- -,- -,- -,-3603000,-3252000,- -,- -,- -,- -,- -
93,Dividends Paid,-23986000,- -,-43403000,-25998000,-41441000,-65969000,-83449000,-88123000,-77178000,-72960000,-77924000,- -
94,Other Financing Activites,169097000,35571000,310700000,-3916000,47665000,342551000,239020000,205341000,127186000,133331000,246003000,212961000
95,Cash Used/Provided by Financing Activities,-42743000,6409000,63141000,16744000,138674000,233053000,17624000,-26300000,-83678000,-58229000,-86202000,210357000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2667000,-906000,2686000,-653000,11055000,-13978000,158000,2547000,-706000,-1411000,-1267000,7135000
98,Cash at the End of Period,2988000,2082000,4768000,4115000,15170000,1192000,1350000,3897000,3191000,1780000,513000,7648000
99,Cash at the Beginning of Period,321000,2988000,2082000,4768000,4115000,15170000,1192000,1350000,3897000,3191000,1780000,513000
100,Free Cash Flow,28491000,8788000,8093000,22663000,14559000,63169000,58664000,76472000,76035000,47716000,67427000,53609000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1538849/000104746913003574/0001047469-13-003574-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000119312514091702/0001193125-14-091702-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000119312515070302/0001193125-15-070302-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000153884916000071/0001538849-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000153884917000008/0001538849-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459018003295/0001564590-18-003295-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459019004128/0001564590-19-004128-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459020006520/0001564590-20-006520-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459021010002/0001564590-21-010002-index.htm,https://www.sec.gov/Archives/edgar/data/1538849/000156459022007821/0001564590-22-007821-index.htm
102,false,,,,,,,,,,,,
