,https://roic.ai/company/DV,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1819928/000155837022003061/0001558370-22-003061-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,3177000,23307000,20453000,29308000
74,Depreciation and Amortization,18626000,21813000,24595000,30285000
75,Deferred Income Tax,-2045000,1997000,-5137000,-7866000
76,Stock Based Compensation,1442000,1680000,5984000,21887000
77,Change in Working Capital,-11146000,53225000,54690000,202876000
78,Accounts Receivable,-12972000,-32741000,-30443000,-22004000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-339000,-538000,2482000,36000
81,Other Working Capital,- -,53225000,107915000,310791000
82,Other Non-Cash Items,2004000,-72589000,-79369000,-193741000
83,Cash Provided by Operating Activities,12058000,29433000,21216000,82749000
84,CAPEX,-1640000,-5943000,-9751000,-9397000
85,Acquisitions Net,-11328000,-57252000,- -,-149217000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-12968000,-63195000,-9751000,-158614000
90,Debt Repayment,-2286000,-2271000,-143556000,-22000000
91,Common Stock Issued,100000,- -,424000,12440000
92,Common Stock Repurchased,- -,- -,-260686000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,25087000,17316000,414203000,273955000
95,Cash Used/Provided by Financing Activities,22901000,15045000,10385000,264395000
96,Effect of Forex Changes on Cash,-76000,23000,203000,-200000
97,Net Change In Cash,21915000,-18694000,22053000,188330000
98,Cash at the End of Period,30036000,11342000,33395000,221725000
99,Cash at the Beginning of Period,8121000,30036000,11342000,33395000
100,Free Cash Flow,10418000,23490000,11465000,73352000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1819928/000155837022003061/0001558370-22-003061-index.htm
102,false,,,,
