,https://roic.ai/company/BLFS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-329606,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1541000,-3264000,20306000
23,Net Income,- -,-500000,-1700000,-2600000,-4700000,-6600000,-2600000,-2230725,- -,-1590000,-1270000,-1170000,-2771927,-4410257,215876,-1303368,-743162,-619323,-1134018,-2851774,-2775117,-2768352,-1983630,-1956639,-1659586,-1084160,-3217750,-4213936,-6875446,-2515106,3266000,-1657000,2667000,-48995000
24,Net Income ratio,- -,-5.0000,-17.0000,-26.0000,-47.0000,-1.1186,-0.1940,-0.1641,- -,-0.4454,-0.5359,-0.6573,-2.3303,-3.2814,0.2543,-2.1525,-1.1858,-1.0075,-1.8799,-2.9331,-2.0984,-1.7503,-0.9530,-0.7093,-0.2931,-0.1211,-0.5198,-0.6534,-0.8357,-0.2282,0.1654,-0.0605,0.0555,-0.4112
25,EPS,- -,-0.28,-0.96,-1.46,-2.66,-3.74,-1.47,-1.26,- -,-0.70,-0.56,-0.42,-3.92,-5.04,0.28,-2.10,-0.84,-0.70,-0.28,-0.56,-0.56,-0.56,-0.42,-0.42,-0.28,-0.22,-0.31,-0.35,-0.54,-0.21,0.18,0.47,0.09,-0.22
26,EPS Diluted,- -,-0.28,-0.96,-1.46,-2.66,-3.74,-1.47,-1.26,- -,-0.70,-0.56,-0.42,-3.92,-5.04,0.28,-2.10,-0.84,-0.70,-0.28,-0.56,-0.56,-0.56,-0.42,-0.42,-0.28,-0.22,-0.31,-0.35,-0.54,-0.21,0.14,0.42,0.03,-0.22
27,Weighted Average Shares Outstanding,- -,1775323,1775323,1775323,1764693,1764693,1764693,1764693,2368514,2368514,2389607,2403149,708651,886663,886663,886663,886663,886663,3776370,4961487,4973713,4974860,4977162,4977162,4977162,5007928,10447030,12177396,12643000,13264000,16256000,19460299,27306258,27306258
28,Weighted Average Shares Outstanding Diluted,- -,1775323,1775323,1775323,1764693,1764693,1764693,1764693,2368514,2368514,2389607,2403149,2418178,886663,886663,886663,886663,886663,3776370,4961487,4973713,4974860,4977162,4977162,4977162,5007928,10447030,12177396,12643000,13264000,21627000,22024755,27306258,27306258
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/834365/000135448807000458/0001354488-07-000458-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448808000516/0001354488-08-000516-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000111650209000499/0001116502-09-000499-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448810001010/0001354488-10-001010-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448811000959/0001354488-11-000959-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448812001441/0001354488-12-001441-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448813001572/0001354488-13-001572-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448814000653/0001354488-14-000653-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448815001113/0001354488-15-001113-index.htm,- -,https://www.sec.gov/Archives/edgar/data/834365/000114420417014799/0001144204-17-014799-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000114420418013727/0001144204-18-013727-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774919004980/0001437749-19-004980-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774920011046/0001437749-20-011046-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774921007867/0001437749-21-007867-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774922007869/0001437749-22-007869-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,400000,2300000,5200000,2300000,2000000,2400000,1117383,- -,120000,140000,10000,2150112,286105,67118,787904,531684,185095,118674,56497,98724,139151,3211,16864,196478,156273,2538758,2173258,1405826,6663318,30657000,6448000,90456000,69870000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,100310,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7399636,1651341,- -,- -,- -,- -,5872000,- -
33,Cash and Short-Term Investments,- -,400000,2300000,5200000,2300000,2000000,2400000,1217693,- -,120000,140000,10000,2150112,286105,67118,787904,531684,185095,118674,56497,98724,139151,3211,16864,196478,156273,9938394,3824599,1405826,6663318,30657000,6448000,96328000,69870000
34,Net Receivables,- -,- -,- -,- -,- -,2600000,3000000,3178032,- -,990000,490000,250000,86956,54043,44666,1906796,75337,76343,98980,300505,279192,315365,338899,547143,600153,1009316,901623,929289,1193646,1021315,3045000,5345000,8006000,23217000
35,Inventory,- -,- -,- -,- -,200000,1400000,2100000,2628532,- -,1650000,1230000,950000,653945,487858,- -,39805,94319,123413,92751,99062,625291,358219,410486,505956,656397,420924,965224,1834635,1757784,1846746,3509000,10972000,11602000,28345000
36,Other Current Assets,- -,100000,1200000,300000,10000000,1200000,400000,297984,- -,110000,70000,80000,135547,23192,44348,106408,2925,- -,205251,113514,37318,79635,62377,90444,174731,291745,360521,384414,270814,399502,353000,1348000,-1224000,4427000
37,Total Current Assets,- -,500000,3500000,5500000,12500000,7200000,7900000,7322241,- -,2870000,1930000,1290000,3026560,851198,156132,2840913,704265,384851,515656,569578,1040525,892370,814973,1160407,1627759,1878258,12165762,6972937,4628070,9930881,37564000,24113000,114712000,125859000
38,PP&E,- -,-100000,-100000,100000,400000,1200000,1200000,1061935,- -,1000000,780000,500000,433655,454293,157714,122998,129004,62254,44776,112690,130097,405422,360700,353402,1334446,1324044,1655605,1446399,1187378,1106036,1319000,6612000,19795000,36362000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33637000,58449000,224741000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,370000,512320,471099,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3914120,- -,- -,- -,21982000,31049000,152149000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,370000,512320,471099,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2215385,3914120,- -,- -,- -,55619000,89498000,376890000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36166,- -,- -,- -,- -,- -,2075000,1070120,6548000,2500000,5872000,4372000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,100000,- -,- -,18727,- -,10000,20000,- -,16284,- -,- -,- -,- -,- -,- -,43750,- -,36166,97220,148208,207624,151040,36166,36166,36166,36166,36000,3972000,4952000,9121000
45,Total Non-Current Assets,- -,- -,- -,100000,500000,1200000,1200000,1080662,- -,1010000,800000,870000,962259,925392,157714,122998,129004,62254,44776,156440,130097,441588,494086,501610,1542070,1475084,3907156,5396685,3298544,2212322,7903000,68703000,120117000,426745000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,500000,3500000,5600000,13000000,8400000,9100000,8402903,- -,3880000,2730000,2160000,3988819,1776590,313846,2963911,833269,447105,560432,726018,1170622,1333958,1309059,1662017,3169829,3353342,16072918,12369622,7926614,12143203,45467000,92816000,234829000,552604000
48,Accounts Payable,- -,- -,200000,100000,900000,1600000,1800000,- -,- -,960000,590000,650000,120066,1000027,171666,563359,85037,65663,90297,97138,659133,192834,117068,403103,862492,867070,474662,1029373,710719,690702,720000,3119000,3672000,14945000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,31083,- -,- -,120000,120000,10858,- -,345824,705524,- -,28450,197477,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804000,1729000,3769000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8333,25833,20000,20000,20000,20000,- -,- -,- -,- -,- -,- -,324000,- -,- -
52,Other Current Liabilities,- -,400000,- -,- -,- -,600000,1000000,3515265,- -,320000,500000,550000,229341,465797,350607,338907,135273,117034,92568,340337,242181,143839,203634,156145,482846,761070,787114,696420,422444,822196,1219000,3422000,10172000,21256000
53,Total Current Liabilities,- -,400000,200000,100000,900000,2200000,2800000,3546348,- -,1280000,1210000,1320000,360265,1465824,868097,1607790,220310,211147,380342,445808,927147,356673,340702,579248,1365338,1628140,1261776,1725793,1133163,1512898,1939000,7669000,15573000,39970000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,22654,- -,100000,50000,10000,- -,- -,- -,- -,- -,197477,- -,2750000,5063127,- -,9033127,- -,10603127,10603127,- -,- -,2844004,- -,- -,- -,- -,23110000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72500,149167,129167,109167,89167,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5487000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,851976,- -,40000,40000,10000,- -,- -,- -,- -,- -,- -,- -,- -,278961,8655100,1354975,12154088,3598220,4393596,874825,784458,783307,537719,380000,41693000,14010000,3286000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,874630,- -,140000,90000,20000,- -,- -,- -,- -,- -,197477,- -,2750000,5414588,8804267,10517269,12263255,14290514,14996723,874825,784458,3627311,537719,380000,41693000,14010000,31883000
59,Other Liabilities,- -,- -,- -,- -,100000,600000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1354000,9884000,- -
61,Total Liabilities,- -,400000,200000,100000,1000000,2800000,3800000,4420978,- -,1420000,1300000,1340000,360265,1465824,868097,1607790,220310,408624,380342,3195808,6341735,9160940,10857971,12842503,15655852,16624863,2136601,2510251,4760474,2050617,2319000,49362000,29583000,71853000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12,12,12,12,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,24846,- -,30000,30000,30000,12413,12413,12413,12413,12413,12413,68773,69607,69640,69680,69680,69680,69680,5030,12084,12447,12864,14021,19000,21000,33000,42000
64,Retained Earnings,- -,-500000,-2500000,-6000000,-10800000,-17400000,-20000000,-22250365,- -,-28090000,-29350000,-30530000,-33300727,-37710984,-37495108,-39319476,-40062638,-40681961,-41815979,-44667753,-47442870,-50211222,-52194852,-54151491,-55811077,-56895237,-60112987,-64326923,-71202369,-73957883,-71031000,-100052000,- -,-105020000
65,Other Comprehensive Income/Loss,- -,-100000,-100000,-100000,-100000,-300000,-600000,- -,- -,-80000,-2330000,-2590000,-1879927,-2138614,-1434263,-97318,-157114,-31024,-8988,-203380,-190214,-281036,-352331,-447393,-615085,-862157,-6448,-451,-1670245,-2008927,-2328000,-2521000,- -,-282000
66,Other Total Stockholders Equity,- -,700000,5900000,11600000,22900000,23300000,25900000,26207444,- -,30600000,33080000,33910000,38796795,40147951,38362695,40760490,40820286,40739041,41936284,42331736,42392331,42595596,42928591,43348718,43870459,44480843,71911328,- -,76025890,86045371,116488000,146006000,205213000,480751000
67,Total Stockholders Equity,- -,100000,3300000,5500000,12000000,5600000,5300000,3981925,- -,2460000,1430000,820000,3628554,310766,-554251,1356121,612959,38481,180090,-2469790,-5171113,-7826982,-9548912,-11180486,-12486023,-13271521,11803977,8508471,3166140,10092586,43148000,43454000,205246000,480751000
68,Total Liabilities And Stockholders Equity,- -,500000,3500000,5600000,13000000,8400000,9100000,8402903,- -,3880000,2730000,2160000,3988819,1776590,313846,2963911,833269,447105,560432,726018,1170622,1333958,1309059,1662017,3169829,3353342,13940578,11018722,7926614,12143203,45467000,92816000,234829000,552604000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2132340,1350900,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,500000,3500000,5600000,13000000,8400000,9100000,8402903,- -,3880000,2730000,2160000,3988819,1776590,313846,2963911,833269,447105,560432,726018,1170622,1333958,1309059,1662017,3169829,3353342,16072918,12369622,7926614,12143203,45467000,92816000,234829000,552604000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/834365/000135448807000458/0001354488-07-000458-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448808000516/0001354488-08-000516-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000111650209000499/0001116502-09-000499-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448810001010/0001354488-10-001010-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448811000959/0001354488-11-000959-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448812001441/0001354488-12-001441-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448813001572/0001354488-13-001572-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448814000653/0001354488-14-000653-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000135448815001113/0001354488-15-001113-index.htm,- -,https://www.sec.gov/Archives/edgar/data/834365/000114420417014799/0001144204-17-014799-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000114420418013727/0001144204-18-013727-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774919004980/0001437749-19-004980-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774920011046/0001437749-20-011046-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774921007867/0001437749-21-007867-index.htm,https://www.sec.gov/Archives/edgar/data/834365/000143774922007869/0001437749-22-007869-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1700000,-2600000,-4700000,-6600000,-2600000,-2230725,-3404247,-1590000,-1270000,-1170000,-2771927,-4410257,215876,-1303368,-743162,-619323,-1134018,-2851774,-2775117,-2768352,-1983630,-1956639,-1659586,-1084160,-3217750,-4213936,-6875446,-2515106,3266000,-1657000,2667000,-48995000
74,Depreciation and Amortization,- -,- -,-200000,-200000,-300000,-100000,-300000,425804,398294,420993,342288,283728,266174,299909,168880,251588,166204,66088,49760,61563,29281,93690,71741,97115,169644,247072,258119,343218,368102,338682,338000,1797000,5068000,12865000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1541000,-3297000,-20127000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71461,109883,164480,235840,216094,248204,229679,511457,776994,1270203,1519000,3043000,5981000,13956000
77,Change in Working Capital,- -,- -,200000,3200000,2100000,6200000,-6600000,100000,-1324107,-2185893,-870000,-750000,2696295,-3280921,-97339,1945088,-749168,-310251,-38390,-11544,-10392,422319,-61426,106888,-318738,-12303,10653868,-5656842,-1752237,4923076,27207017,-19181000,82695000,-13250000
78,Accounts Receivable,- -,- -,- -,- -,- -,-2500000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21313,-36173,-23534,-208244,-53010,-409163,107693,-27666,-264357,172331,-2024000,-290000,-1786000,-10132000
79,Inventory,- -,- -,- -,- -,-200000,-1100000,-900000,-497243,637984,37195,428124,273684,298353,166087,- -,-39805,-54514,-29094,30662,-6311,-526229,267072,-52267,-95470,-150441,235473,-544300,-869411,-290838,-88962,-1662000,-3777000,-629000,114000
80,Accounts Payable,- -,- -,200000,-100000,800000,900000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,561995,-466301,-75766,286035,459389,4578,-392408,194386,233482,20580,-11000,768000,-171000,- -
81,Other Working Capital,- -,- -,100000,3300000,5400000,11600000,5000000,5100000,3775893,1590000,720000,-30000,2666295,-614626,-711965,1233123,483955,173704,135314,123770,113378,535697,474271,581159,262421,250118,10903986,5247144,3494907,8417983,35625000,16444000,99139000,85889000
82,Other Non-Cash Items,- -,- -,400000,-2900000,-1400000,-7900000,6900000,162681,2257003,1859983,1826830,1370014,-3089174,4748563,-2964841,-1747536,1841230,287153,410452,92776,571349,-271182,556309,526879,2447520,747194,-11086232,4042242,3155596,-3411733,-29982017,18752000,-86469000,50715000
83,Cash Provided by Operating Activities,- -,- -,-1300000,-2500000,-4300000,-8400000,-2600000,-1542240,-2073057,-1494917,29118,-266258,-2898632,-2642706,-2677424,-854228,515104,-576333,-712196,-2708979,-2113418,-2413642,-1252526,-989917,854934,146007,-3162316,-4973861,-4326991,605122,2348000,1213000,6645000,-4836000
84,CAPEX,- -,- -,- -,-100000,-400000,-900000,-200000,-317240,-60447,-355293,-249619,- -,-185743,-279326,-87387,-11219,-65800,-15108,-35555,-105546,-46688,-373531,-28414,-93530,-1151720,-236670,-589680,-1417697,-1257208,-143767,-500000,-675000,-4633000,-8385000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-22188000,-15942000,- -
86,Purchases of Investments,- -,- -,-1100000,- -,-15400000,-10600000,-100000,-100310,-4761,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7952119,-1409695,- -,- -,- -,-2500000,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,900000,6000000,19500000,1100000,97424,- -,110150,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402376,7067000,1650000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44926,-382698,-15000,- -,2200000,- -,- -,18925,- -,- -,- -,- -,- -,2100,1400,- -,4400,-1283685,-1113675,- -,- -,-1655000,-3140000,-4257000
89,Cash Used for Investing Activites,- -,- -,-1100000,800000,-9800000,8000000,800000,-320126,-65208,-245143,-204693,-382698,-200743,-279326,2112613,-11219,-65800,3817,-35555,-105546,-46688,-373531,-28414,-91430,-1150320,-236670,-8135023,4239608,392792,-143767,-6500000,-27018000,-24715000,-12642000
90,Debt Repayment,- -,- -,-600000,- -,- -,- -,- -,- -,- -,-18656,-85174,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23982,-25000,- -,-2175000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,111042,1910000,- -,- -,562480,5397242,1068883,- -,1226533,- -,- -,879341,- -,- -,- -,- -,- -,- -,- -,13596230,- -,- -,- -,20000000,- -,100121000,-145000
92,Common Stock Repurchased,- -,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4250000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106250,-436000,- -,- -,- -
94,Other Financing Activites,- -,- -,6000000,4600000,11100000,100000,2300000,442240,361753,113474,271932,-40755,-155707,-10858,345824,359700,-705524,225927,-198011,2752348,2202333,2827600,1145000,1095000,475000,50458,83594,368753,3166767,4926369,12857000,1596000,4132000,-2681000
