,https://roic.ai/company/MMI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,- -,-360000,-3182000,-7939000,41592000,107942000,172599000,224071000,311341000,388271000,431076000,573546000
65,Other Comprehensive Income/Loss,- -,-15654000,-17917000,-19412000,-15760000,-16441000,1000000,1000000,1000000,2000000,2574000,910000
66,Other Total Stockholders Equity,- -,35931000,42485000,89844000,90973000,97485000,85251000,89813000,97229000,104632000,113182000,121844000
67,Total Stockholders Equity,- -,20157000,21630000,62497000,116809000,188990000,258854000,314888000,409574000,494907000,546836000,696304000
68,Total Liabilities And Stockholders Equity,- -,64296000,89733000,167309000,233604000,321225000,394016000,459664000,566380000,709034000,779122000,1045198000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,64296000,89733000,167309000,233604000,321225000,394016000,459664000,566380000,709034000,779122000,1045198000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1578732/000119312514110596/0001193125-14-110596-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312515083184/0001193125-15-083184-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312516504193/0001193125-16-504193-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312517084360/0001193125-17-084360-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312518084734/0001193125-18-084734-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312519059132/0001193125-19-059132-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312520058202/0001193125-20-058202-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312521062693/0001193125-21-062693-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312522060189/0001193125-22-060189-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,8391000,13450000,27934000,8206000,49531000,66350000,64657000,51524000,87257000,76930000,42838000,142470000
74,Depreciation and Amortization,3333000,2971000,2981000,3043000,3206000,3305000,4387000,5363000,6297000,29224000,33724000,11721000
75,Deferred Income Tax,- -,- -,- -,-9276000,877000,10548000,2228000,12825000,-142000,226000,473000,-11845000
76,Stock Based Compensation,704000,1610000,4209000,33817000,5034000,7114000,7035000,9145000,11983000,9278000,9905000,10361000
77,Change in Working Capital,-8841000,-6798000,-18934000,104275000,48866000,9834000,34733000,81335000,41312000,29879000,399000,73740000
78,Accounts Receivable,-1454000,738000,-3614000,1679000,-174000,70000,-1467000,-4777000,4783000,-55000,-3290000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1095000,3239000,6791000,-8043000,2711000,-912000,964000,-572000,226000,-486000,1251000,10175000
81,Other Working Capital,-16140000,-22938000,-41872000,62403000,111269000,121103000,155836000,237171000,278483000,308362000,308761000,382501000
82,Other Non-Cash Items,525000,6583000,19164000,-43121000,-36077000,-25031000,-38554000,-93655000,-29393000,-120250000,-49251000,29456000
83,Cash Provided by Operating Activities,4112000,17816000,35354000,96944000,71437000,72120000,74486000,66537000,117314000,25287000,38088000,255903000
84,CAPEX,-922000,-3083000,-4563000,-4795000,-2566000,-6796000,-9473000,-6554000,-8072000,-8812000,-6945000,-6857000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-6000000,-16298000,229000
86,Purchases of Investments,- -,- -,- -,- -,-14700000,-146050000,-107898000,-65093000,-208460000,-168083000,-215606000,-378106000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,26142000,137593000,44753000,113911000,179693000,221677000,285409000
88,Other Investing Activites,-154000,412000,-74000,771000,41000,-225000,-403000,-444000,-359000,-220000,-56000,-9031000
89,Cash Used for Investing Activites,-1076000,-2671000,-4637000,-4024000,-17225000,-126929000,19819000,-27338000,-117980000,-3422000,-17228000,-108356000
90,Debt Repayment,-600000,-318000,-98000,-58000,-867000,-894000,-938000,-986000,-1035000,-1087000,-6564000,-3352000
91,Common Stock Issued,- -,- -,- -,42506000,- -,976000,673000,653000,621000,- -,- -,- -
92,Common Stock Repurchased,-3000,-131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2000000,-16526000,-30756000,-37681000,-412000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,33000,56000,86000,158000,-4726000,1753000,-2854000,-5451000,-5023000,-2791000,-3766000,-2567000
95,Cash Used/Provided by Financing Activities,-2570000,-16919000,-30768000,4925000,-6005000,1835000,-3119000,-5784000,-5437000,-3878000,-10330000,-5919000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000,-2640000
97,Net Change In Cash,466000,-1774000,-51000,97845000,48207000,-52974000,91186000,33415000,-6103000,17987000,10482000,138988000
98,Cash at the End of Period,4932000,3158000,3107000,100952000,149159000,96185000,187371000,220786000,214683000,232670000,243152000,382140000
99,Cash at the Beginning of Period,4466000,4932000,3158000,3107000,100952000,149159000,96185000,187371000,220786000,214683000,232670000,243152000
100,Free Cash Flow,3190000,14733000,30791000,92149000,68871000,65324000,65013000,59983000,109242000,16475000,31143000,249046000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1578732/000119312514110596/0001193125-14-110596-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312515083184/0001193125-15-083184-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312516504193/0001193125-16-504193-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312517084360/0001193125-17-084360-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312518084734/0001193125-18-084734-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312519059132/0001193125-19-059132-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312520058202/0001193125-20-058202-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312521062693/0001193125-21-062693-index.htm,https://www.sec.gov/Archives/edgar/data/1578732/000119312522060189/0001193125-22-060189-index.htm
102,false,,,,,,,,,,,,
