,https://roic.ai/company/FBIOP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-9982000,-36360000,-27610000,-37158000,-20386000,-48428000,-55095000,-66876000,-84147000,-39960000,-102985000,-64703000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-56.1159,-3.3431,-0.3565,-3.1302,-1.0909,-2.3127,-1.0249
25,EPS,-0.46,-1.68,-1.27,-1.22,-0.56,-1.24,-1.38,-1.61,-1.94,-0.73,-1.56,-0.98
26,EPS Diluted,-0.46,-1.68,-1.27,-1.22,-0.56,-1.24,-1.38,-1.61,-1.94,-0.73,-1.56,-0.98
27,Weighted Average Shares Outstanding,21654984,21654984,21654984,30429743,36323596,39146589,39962657,41658733,43461978,54711838,66023367,66023367
28,Weighted Average Shares Outstanding Diluted,21654984,21654984,21654984,30429743,36323596,39146589,39962657,41658733,43461978,54711838,66023367,66023367
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1429260/000119312513112518/0001193125-13-112518-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420414015803/0001144204-14-015803-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420415026590/0001144204-15-026590-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1429260/000114420417015137/0001144204-17-015137-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420418015301/0001144204-18-015301-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420419014617/0001144204-19-014617-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000110465920034133/0001104659-20-034133-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000155837021003815/0001558370-21-003815-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000155837022004487/0001558370-22-004487-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23160000,40199000,99521000,49759000,98182000,88294000,113915000,65508000,136858000,233351000,305744000
32,Short-Term Investments,- -,- -,- -,- -,20002000,- -,- -,36002000,17604000,11148000,17566000,- -
33,Cash and Short-Term Investments,- -,23160000,40199000,99521000,69761000,98182000,88294000,149917000,83112000,148006000,250917000,305744000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1830000,7758000,5498000,13539000,19349000,23112000
35,Inventory,- -,- -,- -,- -,- -,- -,203000,171000,678000,857000,1404000,9862000
36,Other Current Assets,- -,215000,393000,510000,702000,1597000,19307000,25335000,21919000,-6150000,-10099000,7744000
37,Total Current Assets,- -,23375000,40592000,100031000,70463000,99779000,109634000,183181000,111207000,156252000,261571000,346462000
38,PP&E,- -,- -,51000,447000,52000,309000,7376000,9513000,12019000,12433000,11923000,34071000
39,Goodwill,- -,- -,- -,- -,- -,- -,18645000,18645000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,1250000,17408000,15223000,1417000,7377000,14629000,12552000
41,Intangible Assets,- -,- -,- -,- -,- -,1250000,36053000,33868000,1417000,7377000,14629000,12552000
42,Investments,- -,- -,- -,- -,4160000,2485000,1414000,1390000,- -,11148000,17566000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,349000,104000,14656000,14787000,16254000,17998000,16350000,39212000,-17566000,3418000
45,Total Non-Current Assets,- -,- -,400000,551000,18868000,18831000,61097000,62769000,29786000,70170000,26552000,50041000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,23375000,40992000,100582000,89331000,118610000,170731000,245950000,140993000,226422000,288123000,396503000
48,Accounts Payable,- -,575000,1029000,468000,366000,1868000,24295000,36127000,34067000,35451000,40674000,- -
49,Short-Term Debt,- -,- -,1799000,6203000,165000,146000,2031000,13228000,19078000,9004000,7149000,45041000
50,Tax Payable,- -,- -,- -,190000,- -,- -,- -,- -,- -,- -,136000,345000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,995000,786000,- -,- -,- -,2611000
52,Other Current Liabilities,- -,2918000,2304000,4539000,3546000,8565000,29244000,17287000,2469000,1161000,136000,53390000
53,Total Current Liabilities,- -,3493000,5132000,11210000,4077000,10579000,56565000,67428000,55614000,45616000,47959000,101042000
54,Long-Term Debt,- -,750000,12386000,7017000,14009000,23174000,22528000,43222000,60425000,77436000,51677000,64736000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,722000,584000,5014000,4739000,5211000,7126000,1949000,4848000
58,Total Non-Current Liabilities,- -,750000,12386000,7017000,14731000,23758000,27542000,47961000,65636000,84562000,53626000,69584000
59,Other Liabilities,- -,- -,26213000,15111000,- -,74943000,103213000,173910000,149163000,239153000,137502000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,433000,237000,- -,- -,- -,25496000,24740000,- -
61,Total Liabilities,- -,4243000,18959000,19304000,18808000,61764000,132236000,193377000,139141000,200207000,131835000,170626000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,3000,- -
63,Common Stock,- -,19000,24000,40000,46000,47000,49000,51000,58000,74000,- -,101000
64,Retained Earnings,- -,-56574000,-84184000,-121342000,-141728000,-190156000,-245251000,-312127000,-396274000,-436234000,- -,-547463000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,75687000,106193000,202580000,212205000,246955000,283697000,364648000,398067000,462374000,196999000,656036000
67,Total Stockholders Equity,- -,19132000,22033000,81278000,70523000,56846000,38495000,52573000,1852000,26215000,100338000,108674000
68,Total Liabilities And Stockholders Equity,- -,23375000,40992000,100582000,89331000,118610000,170731000,245950000,140993000,226422000,232173000,279300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55950000,117203000
70,Total Liabilities & Equity,- -,23375000,40992000,100582000,89331000,118610000,170731000,245950000,140993000,226422000,288123000,396503000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1429260/000119312513112518/0001193125-13-112518-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420414015803/0001144204-14-015803-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420415026590/0001144204-15-026590-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1429260/000114420417015137/0001144204-17-015137-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420418015301/0001144204-18-015301-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420419014617/0001144204-19-014617-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000110465920034133/0001104659-20-034133-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000155837021003815/0001558370-21-003815-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000155837022004487/0001558370-22-004487-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-9982000,-36360000,-27610000,-37158000,-20386000,-48428000,-55095000,-66876000,-84147000,-39960000,-102985000,-64703000
74,Depreciation and Amortization,5000,22000,3000,17000,23000,26000,1127000,3350000,2059000,4654000,5325000,4317000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-73000,- -,- -,- -,- -,- -
76,Stock Based Compensation,2329000,1469000,3638000,5902000,5546000,14291000,12128000,14005000,15012000,13188000,13451000,19486000
77,Change in Working Capital,318000,19882000,15578000,53361000,-22435000,22814000,-36131000,62684000,-60160000,55043000,102976000,31808000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1830000,-5928000,2260000,-8141000,-5859000,768000
79,Inventory,- -,- -,- -,- -,- -,- -,-203000,32000,-507000,-179000,-547000,-8458000
80,Accounts Payable,407000,- -,-260000,1184000,-849000,5889000,5395000,9899000,4663000,1946000,6522000,43307000
81,Other Working Capital,- -,19882000,35460000,88821000,66386000,89200000,53069000,115753000,55593000,110636000,213612000,245420000
82,Other Non-Cash Items,1653000,4035000,-14803000,-51768000,20918000,-9081000,32231000,-98593000,28388000,-127886000,-102449000,-107448000
83,Cash Provided by Operating Activities,-5677000,-10952000,-23194000,-29646000,-16334000,-20378000,-45813000,-85430000,-98848000,-94961000,-83682000,-116540000
84,CAPEX,-13000,-3843000,-279000,-188000,- -,-11981000,-10505000,-5445000,-9356000,-9395000,-7164000,-4566000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,4451000,-19000,- -,-1201000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-23273000,-79947000,- -,-56091000,-52604000,-5000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,99949000,- -,20089000,71002000,22604000,- -,- -
88,Other Investing Activites,- -,-3843000,- -,- -,- -,-11834000,-4141000,-3528000,7508000,6039000,-5238000,45080000
89,Cash Used for Investing Activites,-13000,-3843000,-279000,-188000,-23273000,7885000,-6060000,-41629000,18824000,20097000,-7164000,40514000
90,Debt Repayment,-650000,- -,-750000,-1345000,-13654000,- -,-6392000,-3608000,-4408000,- -,-89671000,- -
91,Common Stock Issued,- -,193000,28855000,92399000,4117000,57817000,40096000,95116000,38266000,137386000,177808000,- -
92,Common Stock Repurchased,-2291000,-2884000,-2305000,-1898000,- -,- -,- -,- -,-234000,-24000,-70000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-299000,-2344000,-2559000,-6752000,-820000
94,Other Financing Activites,21983000,25784000,14712000,- -,-618000,3099000,8281000,62998000,19368000,11911000,91095000,- -
95,Cash Used/Provided by Financing Activities,19042000,23093000,40512000,89156000,-10155000,60916000,41985000,154207000,50648000,146714000,172410000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13352000,8298000,17039000,59322000,-49762000,48423000,-9888000,27148000,-29376000,71850000,81564000,- -
98,Cash at the End of Period,14862000,23160000,40199000,99521000,49759000,98182000,88294000,131302000,81582000,153432000,234996000,- -
99,Cash at the Beginning of Period,1510000,14862000,23160000,40199000,99521000,49759000,98182000,104154000,110958000,81582000,153432000,234996000
100,Free Cash Flow,-5690000,-14795000,-23473000,-29834000,-16334000,-32359000,-56318000,-90875000,-108204000,-104356000,-90846000,-121106000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1429260/000119312513112518/0001193125-13-112518-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420414015803/0001144204-14-015803-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420415026590/0001144204-15-026590-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1429260/000114420417015137/0001144204-17-015137-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420418015301/0001144204-18-015301-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000114420419014617/0001144204-19-014617-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000110465920034133/0001104659-20-034133-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000155837021003815/0001558370-21-003815-index.htm,https://www.sec.gov/Archives/edgar/data/1429260/000155837022004487/0001558370-22-004487-index.htm
102,false,,,,,,,,,,,,
